time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,28,14,29,3,3,2
2021-01-01,41,18,33,8,3,2
2021-01-02,16,12,32,3,3,2
2021-01-02,28,14,29,3,3,2
2021-01-03,17,17,30,2,3,2
2021-01-03,16,12,32,3,3,2
2021-01-04,19,10,30,3,3,3
2021-01-04,17,17,30,2,3,2
2021-01-05,13,13,44,5,3,2
2021-01-05,19,,,,3,
2021-01-06,20,26,45,13,3,3
2021-01-07,32,27,46,12,3,4
2021-01-08,37,30,40,16,3,4
2021-01-09,39,31,35,14,3,4
2021-01-10,42,33,35,12,3,4
2021-01-11,44,43,37,15,3,4
2021-01-12,55,38,38,13,3,3
2021-01-13,44,45,38,15,3,4
2021-01-14,55,40,36,10,3,4
2021-01-15,50,51,34,16,3,4
2021-01-16,61,50,34,15,3,5
2021-01-17,80,49,34,15,3,4
2021-01-18,61,32,38,6,3,4
2021-01-19,31,25,37,3,3,4
2021-01-20,53,30,36,13,3,4
2021-01-21,55,34,33,13,3,4
2021-01-22,64,28,38,6,3,6
2021-01-23,60,30,33,11,3,4
2021-01-24,58,19,38,4,3,2
2021-01-25,25,18,26,10,3,5
2021-01-26,24,26,32,13,3,5
2021-01-27,42,29,28,13,3,3
2021-01-28,41,32,31,14,3,3
2021-01-29,47,40,35,17,3,4
2021-01-30,63,34,40,17,3,4
2021-01-31,56,39,36,18,3,5
2021-02-01,64,39,35,18,3,5
2021-02-02,61,23,39,7,3,3
2021-02-03,40,16,41,1,,3
2021-02-04,19,13,42,5,2,4
2021-02-05,20,25,36,12,2,4
2021-02-06,38,39,33,17,2,4
2021-02-07,66,13,34,2,2,3
2021-02-08,19,17,31,8,3,4
2021-02-09,34,34,28,17,2,5
2021-02-10,53,39,29,20,2,7
2021-02-11,63,44,30,22,2,9
2021-02-12,71,40,30,22,2,9
2021-02-13,68,40,29,22,2,7
2021-02-14,64,45,27,21,2,6
2021-02-15,71,56,37,15,2,4
2021-02-16,74,13,39,4,2,3
2021-02-17,25,33,36,14,2,5
2021-02-18,50,30,29,14,2,5
2021-02-19,47,41,32,4,2,5
2021-02-20,56,33,36,1,2,4
2021-02-21,32,22,44,5,,5
2021-02-22,21,35,34,16,2,7
2021-02-23,51,46,33,12,2,7
2021-02-24,54,44,31,14,2,9
2021-02-25,49,35,58,18,2,10
2021-02-26,48,11,50,3,2,4
2021-02-27,18,17,35,5,2,4
2021-02-28,22,33,29,15,2,8
2021-03-01,50,50,23,24,2,9
2021-03-02,75,36,30,17,2,10
2021-03-03,56,33,28,15,2,9
2021-03-04,60,25,22,10,2,7
2021-03-05,39,32,19,18,2,7
2021-03-06,49,32,26,16,2,8
2021-03-07,58,35,29,16,2,7
2021-03-08,57,32,33,9,2,5
2021-03-09,44,40,21,21,2,9
2021-03-10,69,45,25,20,2,11
2021-03-11,75,42,30,17,2,8
2021-03-12,73,36,32,17,2,8
2021-03-13,63,39,31,15,2,6
2021-03-14,63,32,39,4,2,3
2021-03-15,38,21,33,7,2,5
2021-03-16,38,22,28,8,2,5
2021-03-17,46,34,30,11,2,7
2021-03-18,48,19,33,6,3,6
2021-03-19,24,29,31,10,2,6
2021-03-20,30,35,32,10,2,8
2021-03-21,46,23,29,11,2,6
2021-03-22,34,35,23,20,2,8
2021-03-23,56,48,28,23,2,13
2021-03-24,73,54,31,17,2,10
2021-03-25,65,21,32,8,2,5
2021-03-26,27,22,36,3,2,5
2021-03-27,22,15,29,9,2,7
2021-03-28,29,28,29,13,2,8
2021-03-29,43,44,34,12,1,7
2021-03-30,43,23,33,6,2,7
2021-03-31,,26,28,12,2,6
2021-03-31,30,33,30,15,2,10
2021-04-01,50,20,24,9,2,3
2021-04-01,67,20,31,5,1,6
2021-04-02,41,19,31,9,2,4
2021-04-02,43,26,29,11,2,8
2021-04-03,42,32,33,17,2,6
2021-04-03,35,27,30,11,1,9
2021-04-04,58,33,28,18,2,6
2021-04-04,41,15,31,7,2,5
2021-04-05,60,32,28,13,2,7
2021-04-05,27,,,,,
2021-04-06,51,27,29,12,2,6
2021-04-07,47,29,30,11,2,6
2021-04-08,51,30,26,11,2,5
2021-04-09,44,22,33,7,2,7
2021-04-10,38,17,31,7,2,7
2021-04-11,32,30,27,15,2,9
2021-04-12,53,27,31,9,1,7
2021-04-13,37,11,32,5,,3
2021-04-14,17,18,28,8,,3
2021-04-15,23,28,39,11,2,4
2021-04-16,42,31,35,8,1,3
2021-04-17,38,28,35,5,1,3
2021-04-18,38,17,29,9,1,5
2021-04-19,39,44,34,11,1,7
2021-04-20,58,38,32,2,1,5
2021-04-21,39,25,32,3,1,4
2021-04-22,31,31,30,1,1,2
2021-04-23,31,20,30,6,1,3
2021-04-24,31,17,29,6,1,4
2021-04-25,34,23,30,1,1,3
2021-04-26,26,14,35,2,1,4
2021-04-27,27,13,33,2,1,4
2021-04-28,36,13,32,4,1,5
2021-04-29,31,15,31,6,1,6
2021-04-30,32,20,27,9,1,7
2021-05-01,47,15,31,4,2,6
2021-05-02,21,16,32,6,2,6
2021-05-03,27,15,36,2,2,5
2021-05-04,26,18,39,5,2,5
2021-05-05,28,11,31,5,1,5
2021-05-06,20,16,28,8,1,7
2021-05-07,27,21,28,9,2,7
