time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,79,28,24,13,9,6
2021-01-01,123,42,28,16,11,11
2021-01-02,52,27,24,14,10,6
2021-01-02,79,28,24,13,9,6
2021-01-03,55,28,27,12,9,5
2021-01-03,52,27,24,14,10,6
2021-01-04,55,35,30,15,10,10
2021-01-04,55,28,27,12,9,5
2021-01-05,64,22,23,12,7,3
2021-01-05,55,,,,,
2021-01-06,37,33,22,13,9,4
2021-01-07,64,30,29,9,7,4
2021-01-08,64,27,20,9,7,3
2021-01-09,63,45,30,13,16,11
2021-01-10,92,38,31,13,7,5
2021-01-11,72,23,28,4,5,1
2021-01-12,57,40,37,14,8,4
2021-01-13,85,45,38,17,13,7
2021-01-14,91,39,39,12,12,5
2021-01-15,77,20,17,9,10,5
2021-01-16,57,19,14,10,7,4
2021-01-17,38,26,7,13,8,6
2021-01-18,67,15,5,12,6,6
2021-01-19,51,19,12,11,7,6
2021-01-20,48,14,19,7,4,7
2021-01-21,35,45,10,16,10,16
2021-01-22,96,58,16,9,11,19
2021-01-23,114,43,34,5,9,13
2021-01-24,87,50,34,7,12,15
2021-01-25,121,49,25,14,12,17
2021-01-26,103,51,28,14,11,18
2021-01-27,101,49,26,12,13,14
2021-01-28,87,44,32,14,9,7
2021-01-29,84,43,16,15,10,8
2021-01-30,93,42,17,15,10,8
2021-01-31,75,42,23,14,9,9
2021-02-01,80,27,12,11,5,6
2021-02-02,57,28,9,10,6,5
2021-02-03,68,32,12,13,7,7
2021-02-04,80,53,17,20,8,17
2021-02-05,118,51,13,18,12,22
2021-02-06,101,37,17,15,5,9
2021-02-07,70,49,31,19,10,13
2021-02-08,82,45,15,21,7,13
2021-02-09,98,47,20,19,9,14
2021-02-10,109,73,24,26,9,15
2021-02-11,134,55,32,25,10,9
2021-02-12,110,55,30,26,13,13
2021-02-13,107,52,36,23,10,9
2021-02-14,94,55,34,26,12,12
2021-02-15,118,57,27,31,13,16
2021-02-16,127,54,19,31,18,25
2021-02-17,101,45,24,23,20,23
2021-02-18,77,46,27,19,18,21
2021-02-19,80,49,1,24,11,22
2021-02-20,82,61,29,23,27,46
2021-02-21,110,63,16,23,23,40
2021-02-22,113,57,27,21,23,38
2021-02-23,107,48,28,20,18,28
2021-02-24,89,62,27,22,31,44
2021-02-25,103,51,30,20,17,25
2021-02-26,102,47,5,19,8,19
2021-02-27,98,55,28,19,20,19
2021-02-28,104,44,33,13,11,4
2021-03-01,92,56,22,21,13,13
2021-03-02,112,54,26,20,15,23
2021-03-03,106,56,25,20,13,18
2021-03-04,108,47,27,19,9,14
2021-03-05,80,46,30,14,10,7
2021-03-06,88,46,23,19,14,19
2021-03-07,89,47,23,20,23,25
2021-03-08,81,46,23,20,13,18
2021-03-09,84,58,29,21,14,18
2021-03-10,116,56,26,24,12,19
2021-03-11,120,52,14,24,6,18
2021-03-12,112,55,24,21,6,17
2021-03-13,112,60,28,24,8,18
2021-03-14,116,69,26,26,8,29
2021-03-15,117,81,29,25,17,33
2021-03-16,125,81,27,24,20,41
2021-03-17,118,62,26,25,29,42
2021-03-18,105,73,24,24,26,42
2021-03-19,119,70,29,24,29,40
2021-03-20,132,62,34,19,11,15
2021-03-21,111,51,28,13,7,4
2021-03-22,117,59,27,21,14,14
2021-03-23,129,60,23,21,12,17
2021-03-24,129,59,26,18,10,13
2021-03-25,120,61,30,17,10,9
2021-03-26,135,67,31,25,12,17
2021-03-27,147,84,27,25,30,36
2021-03-28,141,78,36,24,19,27
2021-03-29,151,80,29,29,16,26
2021-03-30,158,94,32,30,28,41
2021-03-31,175,74,31,14,7,8
2021-04-01,,72,38,27,21,31
2021-04-01,148,89,49,18,11,18
2021-04-02,154,78,31,31,26,38
2021-04-02,181,79,34,21,14,24
2021-04-03,160,87,28,29,29,54
2021-04-03,142,62,26,22,12,20
2021-04-04,146,54,25,20,17,24
2021-04-04,121,70,26,27,23,36
2021-04-05,107,41,33,15,7,6
2021-04-05,132,,,,,
2021-04-06,79,44,37,16,10,7
2021-04-07,101,51,34,19,7,8
2021-04-08,96,37,20,9,4,4
2021-04-09,68,50,27,16,8,9
2021-04-10,122,69,28,21,12,20
2021-04-11,154,81,30,23,14,25
2021-04-12,170,85,35,26,15,25
2021-04-13,175,75,33,22,9,17
2021-04-14,146,33,25,10,5,6
2021-04-15,66,39,23,14,7,12
2021-04-16,98,68,29,21,11,21
2021-04-17,146,55,23,20,11,20
2021-04-18,113,43,31,15,10,12
2021-04-19,97,38,33,12,6,4
2021-04-20,97,61,36,18,10,11
2021-04-21,139,70,37,24,12,24
2021-04-22,139,56,39,16,8,7
2021-04-23,127,87,40,28,13,28
2021-04-24,170,98,32,27,44,61
2021-04-25,159,71,49,18,13,15
2021-04-26,145,95,49,27,14,21
2021-04-27,184,91,31,26,44,23
2021-04-28,156,67,32,20,30,31
2021-04-29,136,52,37,19,19,19
2021-04-30,123,55,35,23,26,32
2021-05-01,127,48,39,22,19,22
2021-05-02,100,59,38,26,24,26
2021-05-03,118,60,35,29,42,31
2021-05-04,127,62,33,24,31,41
2021-05-05,126,54,33,22,26,31
2021-05-06,111,45,26,15,12,9
2021-05-07,106,43,33,10,11,6
2021-05-08,100,40,38,10,9,8
2021-05-09,112,44,35,13,18,16
2021-05-10,118,32,41,8,9,8
2021-05-11,91,51,38,15,16,29
2021-05-12,124,40,41,10,11,12
2021-05-13,102,57,33,17,26,35
2021-05-14,127,49,42,13,19,22
2021-05-15,122,32,39,6,7,4
2021-05-16,89,37,40,10,9,5
2021-05-17,93,46,34,15,12,15
2021-05-18,113,43,34,14,13,15
2021-05-19,106,46,34,20,14,21
2021-05-20,116,46,38,19,14,16
2021-05-21,109,43,41,18,15,21
2021-05-22,111,62,33,21,31,34
2021-05-23,139,33,41,11,8,8
2021-05-24,90,38,43,10,5,6
2021-05-25,106,49,42,14,7,9
2021-05-26,142,44,40,11,7,10
2021-05-27,116,51,35,13,9,10
2021-05-28,111,33,40,13,9,11
2021-05-29,81,78,40,28,32,37
2021-05-30,165,67,39,22,29,32
2021-05-31,154,64,38,19,23,27
2021-06-01,152,43,46,10,10,13
2021-06-02,114,50,52,11,12,14
2021-06-03,142,46,42,12,12,15
2021-06-04,124,55,44,15,17,21
2021-06-05,136,41,38,11,11,14
2021-06-06,109,41,43,9,5,3
