time,pm25,pm10,O3,NO2,SO2,CO
2023-03-30,,84,68,6,5,6
2023-03-31,145,64,55,6,4,7
2023-04-01,147,49,51,5,4,7
2023-04-02,127,48,47,6,4,6
2023-04-03,111,42,43,4,3,5
2023-04-04,103,36,43,2,3,3
2023-04-05,90,46,44,4,3,4
2023-04-06,105,35,46,4,3,4
2023-04-07,86,60,60,8,5,8
2023-04-08,145,75,55,6,4,9
2023-04-09,158,54,47,6,4,9
2023-04-10,140,32,41,4,3,6
2023-04-11,97,35,41,4,3,6
2023-04-12,92,41,33,7,3,6
2023-04-13,99,44,41,5,3,6
2023-04-14,99,40,33,5,3,7
2023-04-15,104,43,45,4,3,7
2023-04-16,96,43,47,5,4,6
2023-04-17,101,54,28,9,4,7
2023-04-18,115,45,25,4,2,8
2023-04-19,108,47,37,6,4,6
2023-04-20,113,53,27,9,4,8
2023-04-21,128,36,46,4,3,6
2023-04-22,89,40,51,5,4,3
2023-04-23,99,52,48,6,4,6
2023-04-24,123,59,35,7,4,7
2023-04-25,141,47,41,5,3,6
2023-04-26,112,54,50,5,3,8
2023-04-27,141,52,52,4,4,8
2023-04-28,137,55,54,5,4,9
2023-04-29,137,55,69,7,6,7
2023-04-30,128,55,59,6,4,6
2023-05-01,130,55,57,5,4,9
2023-05-02,135,47,55,5,4,5
2023-05-03,112,54,43,8,3,8
2023-05-04,124,30,37,6,3,7
2023-05-05,70,54,57,8,3,12
2023-05-06,135,54,55,6,3,8
2023-05-07,136,44,50,5,4,8
2023-05-08,111,36,50,4,4,7
2023-05-09,84,49,62,3,5,5
2023-05-10,107,44,47,4,5,8
2023-05-11,106,27,39,2,3,4
2023-05-12,65,14,40,1,3,4
2023-05-13,40,17,39,2,4,4
2023-05-14,45,21,42,3,4,5
2023-05-15,56,21,45,3,3,5
2023-05-16,54,30,48,4,3,6
2023-05-17,67,41,53,4,3,8
2023-05-18,95,46,51,5,3,7
2023-05-19,105,56,51,5,3,9
2023-05-20,130,42,45,5,3,9
2023-05-21,102,32,52,5,3,6
2023-05-22,81,46,56,5,4,5
2023-05-23,92,38,50,4,4,5
2023-05-24,83,41,46,3,4,5
2023-05-25,92,,,,,
2023-06-29,,38,50,4,4,5
2023-06-30,83,41,46,3,4,5
2023-07-01,92,22,47,1,3,5
2023-07-02,58,17,49,1,3,5
2023-07-03,45,22,50,2,,6
2023-07-04,56,36,49,3,4,4
2023-07-05,77,46,59,5,5,4
2023-07-06,104,54,71,8,6,5
2023-07-07,121,64,70,6,7,13
2023-07-08,142,55,67,5,6,9
2023-07-09,124,51,82,3,6,5
2023-07-10,116,56,79,6,6,8
2023-07-11,126,63,84,5,4,7
2023-07-12,143,68,95,6,4,7
2023-07-13,151,49,67,6,2,8
2023-07-14,109,75,83,8,5,13
2023-07-15,162,65,78,5,3,10
2023-07-16,145,56,82,4,3,7
2023-07-17,118,59,77,5,3,9
2023-07-18,130,59,76,4,3,8
2023-07-19,125,48,66,3,3,6
2023-07-20,98,51,68,3,3,8
2023-07-21,89,31,55,2,2,8
2023-07-22,68,35,52,4,2,8
2023-07-23,76,35,48,5,3,6
2023-07-24,78,34,48,4,2,7
2023-07-25,77,33,49,5,3,8
2023-07-26,79,35,58,4,3,4
2023-07-27,80,44,51,9,4,8
2023-07-28,96,38,49,5,2,6
2023-07-29,85,29,46,4,2,6
2023-07-30,74,24,45,3,2,5
2023-07-31,65,20,42,3,2,4
2023-08-01,54,16,45,2,2,4
2023-08-02,47,15,44,3,2,1
2023-08-03,38,19,52,3,2,2
2023-08-04,48,20,55,4,2,3
2023-08-05,47,34,63,6,2,5
2023-08-06,77,42,66,4,2,5
2023-08-07,90,43,63,4,2,6
2023-08-08,94,39,66,5,2,7
2023-08-09,82,31,34,4,2,3
2023-08-10,60,34,36,6,2,4
2023-08-11,84,26,56,6,3,5
2023-08-12,76,31,37,7,3,8
2023-08-13,78,13,53,3,1,5
2023-08-14,39,33,66,2,2,3
2023-08-15,64,28,60,5,2,6
2023-08-16,62,32,62,4,2,3
2023-08-17,69,34,59,2,2,3
2023-08-18,67,27,54,2,2,3
2023-08-19,53,31,67,3,2,2
2023-08-20,57,36,61,3,2,3
2023-08-21,67,40,63,4,3,5
2023-08-22,76,36,55,2,1,5
2023-08-23,72,22,49,3,2,5
2023-08-24,57,20,50,1,1,4
2023-08-25,49,30,54,3,2,5
2023-08-26,62,30,49,3,2,6
2023-08-27,65,34,50,5,3,8
2023-08-28,72,33,48,5,3,7
2023-08-29,63,22,51,2,2,5
2023-08-30,51,27,48,2,2,7
2023-08-31,60,21,55,3,2,8
2023-09-01,50,23,50,3,3,5
2023-09-02,57,29,56,4,3,6
2023-09-03,62,20,32,4,2,6
2023-09-04,53,27,43,6,3,8
2023-09-05,76,17,42,5,3,7
2023-09-06,50,17,66,4,3,1
2023-09-07,45,26,65,7,4,2
2023-09-08,53,42,74,10,6,4
2023-09-09,77,33,42,7,3,6
2023-09-10,78,19,54,7,3,3
2023-09-11,52,30,44,6,2,4
2023-09-12,75,20,31,4,2,5
2023-09-13,47,30,40,2,1,4
2023-09-14,61,24,37,2,1,4
2023-09-15,57,23,39,2,2,3
2023-09-16,50,30,39,4,2,6
2023-09-17,63,24,35,5,2,10
2023-09-18,65,23,33,4,3,7
2023-09-19,58,20,39,4,2,5
2023-09-20,48,20,30,9,2,7
2023-09-21,45,20,59,8,2,4
2023-09-22,55,30,73,9,3,5
2023-09-23,71,34,70,9,3,6
