time,pm25,pm10,O3,NO2,SO2,CO
2023-03-30,,37,34,6,3,4
2023-03-31,78,37,38,7,3,4
2023-04-01,79,51,44,8,3,5
2023-04-02,101,59,43,8,3,5
2023-04-03,119,59,44,8,3,4
2023-04-04,130,58,42,8,3,4
2023-04-05,123,58,36,8,2,4
2023-04-06,113,53,42,9,1,4
2023-04-07,104,66,47,11,1,6
2023-04-08,139,75,42,11,1,7
2023-04-09,155,51,26,7,1,6
2023-04-10,98,37,25,8,2,5
2023-04-11,77,36,37,8,2,4
2023-04-12,71,40,38,9,2,5
2023-04-13,80,33,32,6,2,5
2023-04-14,70,38,23,7,2,6
2023-04-15,81,52,39,8,2,7
2023-04-16,102,55,46,9,2,6
2023-04-17,108,50,49,10,2,5
2023-04-18,98,48,33,6,2,6
2023-04-19,95,38,28,7,2,7
2023-04-20,81,46,26,8,2,7
2023-04-21,92,53,42,9,2,8
2023-04-22,110,54,44,10,2,7
2023-04-23,101,58,51,10,9,7
2023-04-24,115,64,38,7,1,6
2023-04-25,140,66,33,7,0,
2023-04-26,142,63,34,7,0,6
2023-04-27,118,75,42,7,0,8
2023-04-28,148,77,46,10,1,8
2023-04-29,155,70,57,10,1,7
2023-04-30,144,74,58,9,0,7
2023-05-01,152,76,56,9,0,7
2023-05-02,149,67,52,10,0,5
2023-05-03,130,63,49,11,1,5
2023-05-04,125,63,40,6,0,6
2023-05-05,117,56,45,8,0,7
2023-05-06,109,59,12,8,1,6
2023-05-07,114,,,,,
2023-05-09,,70,36,9,2,5
2023-05-10,145,61,47,7,2,4
2023-05-11,110,54,39,7,2,4
2023-05-12,96,45,34,6,2,3
2023-05-13,78,46,38,8,1,3
2023-05-14,77,49,43,7,1,4
2023-05-15,85,57,40,9,1,4
2023-05-16,107,53,46,7,1,4
2023-05-17,98,68,56,7,1,5
2023-05-18,130,73,60,8,1,5
2023-05-19,144,104,54,9,1,8
2023-05-20,179,69,41,6,1,7
2023-05-21,131,53,50,7,3,3
2023-05-22,83,61,52,8,3,4
2023-05-23,110,62,53,7,3,5
2023-05-24,120,67,50,8,3,6
2023-05-25,132,,,,,
2023-06-29,,62,53,7,3,5
2023-06-30,120,67,50,8,3,6
2023-07-01,132,48,44,6,3,4
2023-07-02,86,50,49,7,3,4
2023-07-03,93,54,48,7,3,3
2023-07-04,95,62,59,7,3,4
2023-07-05,118,69,61,8,3,6
2023-07-06,136,73,79,8,4,5
2023-07-07,151,85,94,8,4,8
2023-07-08,162,93,94,9,4,9
2023-07-09,167,83,89,9,4,8
2023-07-10,159,87,99,9,4,8
2023-07-11,161,97,101,10,4,9
2023-07-12,177,97,96,9,4,9
2023-07-13,177,93,97,10,4,10
2023-07-14,174,114,86,10,4,12
2023-07-15,187,93,79,8,4,9
2023-07-16,171,79,77,8,4,7
2023-07-17,151,82,90,8,4,7
2023-07-18,159,87,83,8,4,8
2023-07-19,165,64,65,8,3,6
2023-07-20,127,56,65,7,3,6
2023-07-21,114,58,68,7,3,7
2023-07-22,129,55,57,7,3,6
2023-07-23,124,53,48,7,3,5
2023-07-24,109,54,50,7,3,6
2023-07-25,116,59,53,6,3,7
2023-07-26,123,59,60,7,3,7
2023-07-27,133,59,61,7,4,7
2023-07-28,128,49,42,6,3,6
2023-07-29,102,36,43,5,3,6
2023-07-30,71,46,44,7,3,6
2023-07-31,87,39,40,6,4,5
2023-08-01,83,35,38,6,3,4
2023-08-02,73,35,37,6,3,4
2023-08-03,75,43,42,7,3,5
2023-08-04,84,48,49,7,3,5
2023-08-05,93,49,55,7,3,5
2023-08-06,94,46,48,5,3,5
2023-08-07,85,36,48,6,3,5
2023-08-08,63,40,55,6,3,3
2023-08-09,79,42,40,5,3,4
2023-08-10,71,25,39,5,3,4
2023-08-11,47,22,45,6,2,3
2023-08-12,51,21,33,4,2,4
2023-08-13,43,33,45,4,2,4
2023-08-14,66,49,47,6,2,5
2023-08-15,84,50,51,6,3,5
2023-08-16,76,54,51,6,2,5
2023-08-17,74,61,49,7,2,5
2023-08-18,87,56,47,7,3,4
2023-08-19,80,48,56,7,3,4
2023-08-20,81,56,59,7,3,5
2023-08-21,89,59,58,6,3,5
2023-08-22,92,51,44,5,3,5
2023-08-23,96,45,43,6,3,5
2023-08-24,63,48,44,6,3,5
2023-08-25,65,46,44,5,3,5
2023-08-26,63,47,41,4,3,5
2023-08-27,68,45,41,5,4,5
2023-08-28,67,42,44,5,4,5
2023-08-29,54,42,46,5,4,5
2023-08-30,61,40,38,5,5,5
2023-08-31,63,31,41,4,4,4
2023-09-01,47,33,40,4,4,4
2023-09-02,45,36,47,4,4,4
2023-09-03,45,31,26,4,4,4
2023-09-04,51,25,29,4,4,4
2023-09-05,39,25,30,4,3,3
2023-09-06,33,32,21,6,2,4
2023-09-07,41,39,30,6,2,5
2023-09-08,39,35,10,6,2,
2023-09-09,34,,,,,
2023-09-10,,34,23,5,1,5
2023-09-11,49,25,27,4,1,5
2023-09-12,30,27,29,3,1,4
2023-09-13,36,49,34,4,1,4
2023-09-14,50,46,22,6,2,3
2023-09-15,65,41,34,5,2,3
2023-09-16,49,37,35,5,2,4
2023-09-17,46,33,25,4,2,3
2023-09-18,36,24,25,3,2,3
2023-09-19,28,23,19,3,2,3
2023-09-20,31,25,20,4,1,3
2023-09-21,23,24,21,4,1,4
2023-09-22,38,32,36,5,1,4
2023-09-23,38,30,35,4,1,4
2023-09-24,37,35,38,5,1,4
2023-09-25,,25,27,3,1,5
2023-09-25,54,32,30,4,2,4
2023-09-26,37,24,26,3,3,4
2023-09-26,39,23,26,3,2,3
2023-09-27,31,21,21,3,3,4
2023-09-27,30,27,27,4,2,4
2023-09-28,32,19,23,3,3,
2023-09-28,50,25,27,3,1,5
2023-09-29,27,17,14,3,2,5
2023-09-29,37,24,26,3,3,4
2023-09-30,26,18,18,3,2,4
2023-09-30,31,,,,,
2023-10-01,25,20,20,4,2,4
2023-10-02,30,23,21,4,2,4
2023-10-03,35,21,15,4,2,4
2023-10-04,28,21,21,4,2,4
2023-10-05,35,23,23,4,,4
2023-10-06,45,17,17,4,1,4
2023-10-07,34,21,15,4,1,4
2023-10-08,30,22,21,5,,4
2023-10-09,34,30,37,6,2,4
2023-10-10,35,35,47,6,2,5
2023-10-11,49,38,65,7,2,5
2023-10-12,56,40,72,7,3,5
2023-10-13,56,30,39,6,3,5
2023-10-14,49,21,29,4,2,5
2023-10-15,34,23,21,4,2,4
2023-10-16,34,24,21,5,2,4
2023-10-17,31,22,18,5,2,
2023-10-18,33,21,23,4,2,3
2023-10-19,32,23,24,4,2,4
2023-10-20,32,26,23,5,2,4
2023-10-21,35,27,22,6,2,4
2023-10-22,33,25,18,6,2,5
2023-10-23,40,29,27,5,2,5
2023-10-24,51,15,20,4,,3
2023-10-25,33,9,15,3,2,3
2023-10-26,25,11,18,4,1,3
2023-10-27,30,8,15,4,1,3
2023-10-28,31,16,18,4,1,4
2023-10-29,39,15,18,5,1,3
2023-10-30,40,13,16,4,1,3
2023-10-31,28,12,12,5,1,3
2023-11-01,33,13,13,4,1,3
2023-11-02,33,14,14,4,1,3
2023-11-03,36,11,14,3,1,3
2023-11-04,31,13,18,3,1,3
2023-11-05,37,13,17,3,1,3
2023-11-06,,19,10,3,11,5
2023-11-06,33,13,17,3,2,3
2023-11-07,25,19,17,2,2,4
2023-11-07,33,14,25,4,1,4
2023-11-08,37,23,17,2,3,6
2023-11-08,36,17,19,4,2,4
2023-11-09,44,23,18,2,3,4
2023-11-09,45,18,26,4,1,5
2023-11-10,43,30,15,3,2,2
2023-11-10,45,17,22,4,1,4
2023-11-11,53,21,14,3,2,3
2023-11-11,40,13,22,3,1,3
2023-11-12,29,19,15,3,1,3
2023-11-12,34,17,23,4,1,4
2023-11-13,34,18,23,2,0,4
2023-11-13,37,16,24,4,1,4
2023-11-14,34,22,20,2,1,4
2023-11-14,31,16,23,4,1,4
2023-11-15,35,23,20,2,3,4
2023-11-15,33,12,15,3,1,4
2023-11-16,37,25,23,2,3,3
2023-11-16,28,11,20,3,1,4
2023-11-17,41,21,18,2,2,3
2023-11-17,29,12,17,3,3,4
2023-11-18,48,18,20,2,2,4
2023-11-18,28,11,13,3,2,3
2023-11-19,39,18,23,2,3,3
2023-11-19,41,11,11,4,2,4
2023-11-20,37,20,20,3,3,5
2023-11-20,32,12,16,3,2,3
2023-11-21,43,21,19,4,3,5
2023-11-21,33,13,18,4,2,3
2023-11-22,47,19,23,2,3,5
2023-11-22,30,14,22,4,2,4
2023-11-23,41,18,24,3,2,3
2023-11-23,41,20,27,4,2,4
2023-11-24,51,26,21,4,2,6
2023-11-24,47,18,28,4,2,4
2023-11-25,44,25,26,2,1,3
2023-11-25,42,24,30,5,2,5
2023-11-26,52,26,23,2,1,3
2023-11-26,52,30,34,6,2,5
2023-11-27,53,23,23,2,2,3
2023-11-27,61,29,41,5,2,5
2023-11-28,49,22,25,2,2,2
2023-11-28,57,31,43,5,2,5
2023-11-29,43,19,19,2,2,3
2023-11-29,58,30,41,6,2,4
2023-11-30,32,17,20,2,2,2
2023-11-30,68,17,28,4,3,3
2023-12-01,33,22,25,3,2,2
2023-12-01,41,18,20,6,3,4
2023-12-02,51,24,16,4,3,3
2023-12-02,43,17,21,4,3,4
2023-12-03,55,18,21,3,3,2
2023-12-03,42,18,24,5,3,3
2023-12-04,39,23,17,3,3,3
2023-12-04,41,19,25,5,3,4
2023-12-05,54,26,20,3,4,4
2023-12-05,46,16,22,4,3,3
2023-12-06,58,23,27,2,4,4
2023-12-06,34,14,22,4,3,3
2023-12-07,46,27,21,3,3,4
2023-12-07,37,12,23,6,3,3
2023-12-08,54,21,25,3,1,3
2023-12-08,36,13,31,7,3,3
2023-12-09,52,22,26,4,2,3
2023-12-09,42,21,36,7,3,4
2023-12-10,47,25,25,4,2,3
2023-12-10,47,23,30,6,4,2
2023-12-11,63,26,27,4,2,4
2023-12-11,51,15,23,9,3,2
2023-12-12,59,24,21,4,3,3
2023-12-12,50,13,19,7,3,2
2023-12-13,47,24,18,3,3,3
2023-12-13,30,13,13,6,2,3
2023-12-14,51,20,17,2,3,3
2023-12-14,28,12,17,6,2,2
2023-12-15,42,,,,,
2023-12-15,32,11,15,5,2,2
2023-12-16,31,13,21,5,3,2
2023-12-17,25,15,15,4,3,2
2023-12-18,44,25,18,3,3,3
2023-12-19,,19,,2,2,3
2023-12-19,38,25,17,2,3,4
2023-12-20,56,18,,2,2,5
2023-12-20,41,22,23,2,4,
2023-12-21,43,15,,2,2,4
2023-12-21,32,32,29,4,4,3
2023-12-22,38,21,,3,1,5
2023-12-22,41,32,12,3,4,3
2023-12-23,48,28,,5,1,5
2023-12-23,31,20,17,3,4,2
2023-12-24,65,35,,4,1,3
2023-12-24,40,,,,,
2023-12-25,67,29,,5,1,3
2023-12-26,69,22,,4,1,3
2023-12-27,57,20,,4,1,3
2023-12-28,60,23,,4,1,3
2023-12-29,52,25,,4,1,3
2023-12-30,57,24,,3,1,3
2023-12-31,50,28,,3,1,2
