time,pm25,pm10,O3,NO2,SO2,CO
2023-03-30,,52,58,8,7,3
2023-03-31,118,57,46,10,4,6
2023-04-01,127,46,48,8,3,6
2023-04-02,98,53,47,12,10,4
2023-04-03,119,48,41,7,6,5
2023-04-04,103,51,41,6,3,3
2023-04-05,95,47,42,4,2,4
2023-04-06,87,53,48,12,6,3
2023-04-07,116,46,39,9,4,6
2023-04-08,106,66,43,9,5,9
2023-04-09,156,55,49,5,2,9
2023-04-10,138,41,40,6,4,7
2023-04-11,99,39,48,6,3,6
2023-04-12,85,42,21,7,3,5
2023-04-13,102,46,43,5,3,9
2023-04-14,107,46,35,8,2,7
2023-04-15,112,38,48,4,1,9
2023-04-16,93,46,48,6,6,5
2023-04-17,102,32,34,7,4,5
2023-04-18,77,38,26,6,3,5
2023-04-19,97,45,42,6,4,6
2023-04-20,105,48,44,9,5,5
2023-04-21,119,36,44,6,4,7
2023-04-22,82,64,53,16,7,5
2023-04-23,151,58,35,7,3,8
2023-04-24,142,38,32,7,2,8
2023-04-25,92,41,50,5,2,8
2023-04-26,105,53,55,5,4,7
2023-04-27,134,49,53,5,3,7
2023-04-28,125,58,59,10,4,7
2023-04-29,130,50,45,8,5,6
2023-04-30,110,45,49,6,4,6
2023-05-01,105,57,49,8,9,6
2023-05-02,120,65,66,12,15,5
2023-05-03,149,37,33,6,3,7
2023-05-04,87,27,44,6,4,5
2023-05-05,64,45,50,9,9,5
2023-05-06,104,63,59,14,8,5
2023-05-07,141,51,53,6,5,6
2023-05-08,113,43,61,7,12,4
2023-05-09,94,50,61,6,7,4
2023-05-10,106,50,49,7,11,3
2023-05-11,109,38,38,4,8,3
2023-05-12,70,24,39,1,5,3
2023-05-13,43,23,40,2,6,2
2023-05-14,40,29,43,6,7,3
2023-05-15,60,31,48,5,18,3
2023-05-16,64,40,49,6,10,5
2023-05-17,88,48,58,5,3,5
2023-05-18,109,40,33,5,3,7
2023-05-19,85,40,38,5,4,8
2023-05-20,98,37,50,9,5,7
2023-05-21,90,31,53,4,4,7
2023-05-22,75,41,56,6,5,5
2023-05-23,82,49,53,12,12,7
2023-05-24,99,45,44,5,4,8
2023-05-25,85,,,,,7
2023-06-29,,49,53,12,12,8
2023-06-30,99,45,44,5,4,7
2023-07-01,85,25,48,4,3,6
2023-07-02,55,24,51,2,4,7
2023-07-03,50,30,58,3,12,7
2023-07-04,62,43,49,4,8,5
2023-07-05,87,50,74,5,4,5
2023-07-06,101,53,34,5,3,6
2023-07-07,111,49,70,5,4,6
2023-07-08,107,58,64,12,10,8
2023-07-09,119,52,80,6,14,6
2023-07-10,109,57,86,4,5,6
2023-07-11,127,64,80,6,9,6
2023-07-12,133,70,80,7,10,7
2023-07-13,154,32,62,3,3,5
2023-07-14,66,68,90,8,6,7
2023-07-15,143,67,70,4,5,7
2023-07-16,134,58,70,4,9,6
2023-07-17,122,56,83,6,6,7
2023-07-18,121,61,72,7,7,6
2023-07-19,121,59,58,7,10,5
2023-07-20,106,59,67,5,7,6
2023-07-21,98,41,53,4,5,4
2023-07-22,75,48,53,7,11,5
2023-07-23,87,30,45,3,3,6
2023-07-24,65,38,51,3,4,5
2023-07-25,78,38,56,4,4,5
2023-07-26,77,38,56,4,7,5
2023-07-27,78,30,36,5,4,5
2023-07-28,65,49,51,7,4,7
2023-07-29,100,33,49,3,3,6
2023-07-30,80,31,46,4,4,5
2023-07-31,73,25,42,3,4,3
2023-08-01,53,26,49,2,12,4
2023-08-02,50,31,46,3,7,5
2023-08-03,72,24,54,3,11,4
2023-08-04,58,38,74,6,6,5
2023-08-05,84,32,41,2,2,6
2023-08-06,77,36,63,3,3,6
2023-08-07,71,54,67,5,4,6
2023-08-08,111,28,30,4,3,7
2023-08-09,66,23,24,5,3,6
2023-08-10,61,37,24,7,3,7
2023-08-11,91,30,54,8,9,7
2023-08-12,73,30,38,10,4,6
2023-08-13,65,17,44,4,6,6
2023-08-14,37,35,69,6,7,4
2023-08-15,68,47,64,8,8,5
2023-08-16,95,35,58,4,4,5
2023-08-17,81,42,60,5,4,4
2023-08-18,72,38,54,6,7,3
2023-08-19,69,50,73,9,12,4
2023-08-20,82,39,65,3,4,4
2023-08-21,77,43,67,3,3,5
2023-08-22,84,41,58,2,3,4
2023-08-23,78,27,54,2,3,4
2023-08-24,56,26,55,1,3,4
2023-08-25,51,32,51,2,2,4
2023-08-26,61,32,56,3,4,5
2023-08-27,68,42,52,7,7,6
2023-08-28,78,40,55,6,5,6
2023-08-29,74,30,57,2,3,5
2023-08-30,61,30,47,1,3,5
2023-08-31,63,24,46,1,3,6
2023-09-01,52,22,48,1,3,5
2023-09-02,54,21,37,2,3,6
2023-09-03,53,22,28,3,3,6
2023-09-04,58,21,39,3,3,5
2023-09-05,52,12,34,3,3,5
2023-09-06,35,24,49,3,3,5
2023-09-07,53,25,47,4,3,4
2023-09-08,52,28,63,6,4,5
2023-09-09,59,31,33,10,6,6
2023-09-10,76,17,47,4,3,3
2023-09-11,34,32,42,7,4,6
2023-09-12,75,18,29,2,3,4
2023-09-13,50,31,47,3,4,4
2023-09-14,60,34,43,4,5,4
2023-09-15,64,27,44,3,3,4
2023-09-16,58,19,37,4,3,5
2023-09-17,39,17,34,4,3,5
2023-09-18,51,18,33,3,4,6
2023-09-19,44,10,31,2,2,4
2023-09-20,29,14,31,4,3,5
