time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,43,23,26,3,5,8
2021-01-02,48,26,33,3,6,8
2021-01-03,58,32,28,4,9,7
2021-01-04,65,34,28,6,11,7
2021-01-05,66,,,,,
2021-07-01,,90,56,11,7,10
2021-07-02,165,83,44,7,10,10
2021-07-03,163,67,42,7,10,9
2021-07-04,138,20,13,3,2,7
2021-07-05,46,18,12,3,4,7
2021-07-06,38,39,13,6,5,9
2021-07-07,90,32,30,7,4,9
2021-07-08,79,35,22,7,4,8
2021-07-09,65,20,19,6,4,7
2021-07-10,36,17,15,5,2,7
2021-07-11,41,42,8,12,5,10
2021-07-12,82,48,28,8,5,10
2021-07-13,95,54,32,6,8,8
2021-07-14,95,49,24,6,6,8
2021-07-15,96,33,12,5,2,8
2021-07-16,63,32,9,7,4,8
2021-07-17,55,36,15,10,3,9
2021-07-18,63,29,11,8,4,9
2021-07-19,60,27,25,5,4,9
2021-07-20,56,41,35,5,7,9
2021-07-21,78,47,38,4,8,8
2021-07-22,81,47,47,5,8,8
2021-07-23,94,53,43,5,7,8
2021-07-24,97,51,48,4,8,8
2021-07-25,110,47,41,5,5,8
2021-07-26,95,25,20,7,7,8
2021-07-27,34,34,15,10,8,9
2021-07-28,59,37,17,11,4,9
2021-07-29,67,41,45,9,4,7
2021-07-30,76,51,55,8,7,7
2021-07-31,86,54,69,7,8,9
2021-08-01,107,56,47,5,8,9
2021-08-02,123,33,37,2,7,7
2021-08-03,68,34,41,2,9,7
2021-08-04,62,29,25,4,3,7
2021-08-05,57,42,31,4,7,7
2021-08-06,84,48,44,7,9,7
2021-08-07,98,44,56,6,7,6
2021-08-08,83,38,56,3,5,6
2021-08-09,80,46,43,3,8,6
2021-08-10,86,42,52,5,5,6
2021-08-11,78,48,48,4,9,7
2021-08-12,91,31,42,4,6,5
2021-08-13,60,30,38,3,6,5
2021-08-14,62,36,36,4,7,5
2021-08-15,67,40,47,3,6,6
2021-08-16,78,39,33,3,8,7
2021-08-17,74,23,16,2,4,7
2021-08-18,39,42,40,3,6,7
2021-08-19,79,20,22,4,4,6
2021-08-20,38,34,41,3,7,7
2021-08-21,65,45,41,3,10,7
2021-08-22,89,37,29,5,7,7
2021-08-23,57,24,27,5,4,7
2021-08-24,38,31,44,4,6,7
2021-08-25,60,36,34,5,9,8
2021-08-26,73,27,34,4,5,6
2021-08-27,59,43,41,6,8,6
2021-08-28,76,30,42,6,8,6
2021-08-29,84,33,45,3,5,6
2021-08-30,56,41,37,4,5,6
2021-08-31,84,40,31,4,4,6
2021-09-01,78,29,25,5,4,6
2021-09-02,57,50,53,5,7,7
2021-09-03,101,24,40,4,3,4
