time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,63,29,39,5,4,8
2021-01-01,70,27,33,3,4,7
2021-01-02,67,30,33,6,4,7
2021-01-02,63,29,39,5,4,8
2021-01-03,66,30,31,7,4,3
2021-01-03,67,30,33,6,4,7
2021-01-04,61,19,27,3,4,1
2021-01-04,66,30,31,7,4,3
2021-01-05,40,20,24,4,4,1
2021-01-05,61,,,,,
2021-01-06,44,23,27,4,4,1
2021-01-07,58,23,33,3,4,3
2021-01-08,59,26,30,3,4,6
2021-01-09,67,34,43,3,4,5
2021-01-10,80,47,61,3,5,6
2021-01-11,104,53,68,4,5,6
2021-01-12,122,55,49,3,4,5
2021-01-13,129,22,32,3,3,4
2021-01-14,80,21,27,3,3,5
2021-01-15,58,18,27,2,4,6
2021-01-16,52,13,35,2,4,4
2021-01-17,35,18,34,3,4,4
2021-01-18,,65,42,12,6,6
2021-01-18,46,29,32,2,4,5
2021-01-19,157,71,44,12,5,6
2021-01-19,73,28,37,3,4,5
2021-01-20,166,76,35,12,5,8
2021-01-20,71,28,40,4,4,5
2021-01-21,179,36,23,11,1,8
2021-01-21,67,32,52,2,5,3
2021-01-22,107,26,25,6,1,3
2021-01-22,53,62,62,3,6,4
2021-01-23,73,44,25,6,2,2
2021-01-23,92,64,68,5,6,4
2021-01-24,84,47,23,7,2,4
2021-01-24,117,59,55,6,6,4
2021-01-25,105,46,35,8,3,3
2021-01-25,107,57,67,5,7,4
2021-01-26,107,48,46,7,3,4
2021-01-26,111,49,63,4,5,6
2021-01-27,109,70,43,22,4,5
2021-01-27,109,54,57,6,5,5
2021-01-28,134,74,63,21,5,6
2021-01-28,117,51,45,4,4,6
2021-01-29,153,83,76,23,7,8
2021-01-29,127,46,35,4,3,7
2021-01-30,163,75,71,10,5,8
2021-01-30,109,55,47,5,5,7
2021-01-31,165,82,33,9,4,5
2021-01-31,129,61,40,10,5,8
2021-02-01,154,56,44,9,3,4
2021-02-01,134,30,25,5,5,7
2021-02-02,102,80,55,18,5,6
2021-02-02,72,45,55,5,6,5
2021-02-03,146,75,50,16,5,6
2021-02-03,81,60,62,5,7,6
2021-02-04,153,71,24,15,6,6
2021-02-04,124,65,75,8,7,7
2021-02-05,160,,,,,
2021-02-05,136,63,55,5,6,7
2021-02-06,144,49,48,5,6,7
2021-02-07,116,47,72,4,7,7
2021-02-08,100,54,73,4,7,3
2021-02-09,75,57,60,8,7,4
2021-02-10,99,56,77,7,7,4
2021-02-11,111,58,82,6,8,4
2021-02-12,126,56,70,5,8,3
2021-02-13,116,55,51,8,7,4
2021-02-14,117,55,40,9,5,5
2021-02-15,139,57,40,10,6,4
2021-02-16,132,68,36,19,6,6
2021-02-17,132,52,21,13,5,3
2021-02-18,94,40,22,9,4,3
2021-02-19,73,50,26,12,5,4
2021-02-20,85,55,19,16,6,5
2021-02-21,93,54,31,12,5,5
2021-02-22,108,28,15,5,4,5
2021-02-23,66,35,12,7,4,7
2021-02-24,79,54,28,10,5,7
2021-02-25,104,41,17,9,5,7
2021-02-26,90,30,16,7,5,7
2021-02-27,66,29,18,5,5,6
2021-02-28,64,38,25,5,5,7
2021-03-01,85,39,41,5,5,7
2021-03-02,93,30,41,5,5,7
2021-03-03,78,40,41,5,6,6
2021-03-04,96,34,35,5,5,7
2021-03-05,78,23,22,4,5,7
2021-03-06,55,28,39,5,5,7
2021-03-07,70,46,41,5,5,7
2021-03-08,111,60,42,7,7,7
2021-03-09,150,46,34,5,5,6
2021-03-10,114,47,43,7,5,6
2021-03-11,114,50,45,6,6,6
2021-03-12,120,60,33,12,7,8
2021-03-13,134,60,45,9,6,7
2021-03-14,145,72,22,17,6,9
2021-03-15,156,21,18,8,4,7
2021-03-16,63,13,14,6,,4
2021-03-17,35,19,14,5,,4
2021-03-18,56,16,14,5,,3
2021-03-19,60,23,18,5,,4
2021-03-20,72,46,32,7,4,4
2021-03-21,108,53,40,8,6,4
2021-03-22,130,51,56,8,8,4
2021-03-23,129,59,53,11,9,6
2021-03-24,144,72,41,13,9,7
2021-03-25,163,47,36,8,7,6
2021-03-26,122,60,33,13,4,6
2021-03-27,143,72,23,20,6,8
2021-03-28,152,82,36,12,7,8
2021-03-29,170,85,40,21,2,8
2021-03-30,156,48,29,12,3,5
2021-03-31,78,40,38,5,1,5
2021-04-01,71,37,40,4,1,2
2021-04-02,71,44,41,4,1,
2021-04-03,80,56,44,13,2,5
2021-04-04,123,56,55,11,3,5
2021-04-05,130,,,,3,
2021-09-30,,30,35,6,2,4
2021-10-01,83,30,32,7,3,3
2021-10-02,63,22,39,7,2,6
2021-10-03,43,28,33,6,3,3
2021-10-04,61,28,40,5,3,3
2021-10-05,58,34,48,5,3,3
2021-10-06,64,20,39,4,2,2
2021-10-07,56,26,28,4,3,2
2021-10-08,52,24,29,4,2,2
2021-10-09,50,,,,,
2021-10-10,,38,60,7,2,4
2021-10-11,66,35,40,8,2,3
2021-10-12,85,20,43,3,2,4
2021-10-13,90,36,72,7,2,4
2021-10-14,72,31,57,6,2,3
2021-10-15,72,47,57,7,2,5
2021-10-16,90,55,54,10,2,6
2021-10-17,110,58,76,8,3,6
2021-10-18,128,51,44,8,4,4
2021-10-19,111,22,32,7,2,4
2021-10-20,63,30,48,6,2,3
2021-10-21,53,33,26,7,3,2
2021-10-22,61,29,34,6,2,2
2021-10-23,63,40,42,7,2,3
2021-10-24,71,33,39,7,2,3
2021-10-25,59,35,34,7,2,3
2021-10-26,64,23,31,5,2,2
2021-10-27,55,25,32,6,2,3
2021-10-28,52,21,31,6,2,2
2021-10-29,46,22,29,6,2,3
2021-10-30,38,39,50,9,3,5
2021-10-31,56,41,66,6,3,7
2021-11-01,81,36,42,7,3,6
2021-11-02,68,44,48,7,3,7
2021-11-03,83,44,55,6,3,6
2021-11-04,92,43,66,5,3,6
2021-11-05,89,47,54,6,3,7
2021-11-06,93,43,36,6,3,5
2021-11-07,79,,,,,
2021-12-30,,43,66,5,3,6
2021-12-31,89,47,54,6,3,7
2022-01-01,93,43,36,6,3,5
2022-01-02,79,37,46,5,3,5
2022-01-03,67,35,53,6,2,6
2022-01-04,63,48,77,9,3,6
2022-01-05,83,43,56,4,3,6
2022-01-06,79,33,41,4,2,6
2022-01-07,75,20,28,3,2,7
2022-01-08,63,15,24,2,2,5
2022-01-09,32,19,39,3,2,9
2022-01-10,66,18,38,3,2,5
2022-01-11,40,23,37,2,2,4
2022-01-12,53,18,29,2,,4
2022-01-13,57,18,40,3,2,6
2022-01-14,57,5,27,2,2,6
2022-01-15,33,10,31,3,2,5
2022-01-16,30,18,21,4,2,4
2022-01-17,30,49,58,9,4,8
2022-01-18,91,53,25,14,3,6
2022-01-19,114,7,29,3,2,6
2022-01-20,32,16,32,2,2,4
2022-01-21,45,23,40,3,3,4
2022-01-22,61,35,61,4,4,4
2022-01-23,85,38,57,5,4,6
2022-01-24,85,38,61,6,3,5
2022-01-25,94,46,66,4,5,6
2022-01-26,107,57,44,6,4,7
2022-01-27,134,47,38,7,2,7
2022-01-28,127,11,21,4,2,8
2022-01-29,46,11,18,5,2,6
2022-01-30,40,7,22,3,0,7
2022-01-31,25,7,25,2,0,7
2022-02-01,23,19,17,5,0,8
2022-02-02,41,44,38,9,3,8
2022-02-03,78,47,22,11,1,6
2022-02-04,86,42,26,8,2,6
2022-02-05,65,35,34,6,1,6
2022-02-06,65,26,31,2,1,2
2022-02-07,24,24,38,3,2,4
2022-02-08,40,22,45,3,2,3
2022-02-09,55,43,49,8,3,4
2022-02-10,76,33,42,4,2,3
2022-02-11,77,35,51,5,3,4
2022-02-12,84,45,60,6,4,5
2022-02-13,89,43,43,6,1,5
2022-02-14,113,45,38,7,2,5
2022-02-15,103,25,24,5,1,5
2022-02-16,75,26,34,5,2,6
2022-02-17,61,40,21,10,3,7
2022-02-18,82,47,22,15,4,6
2022-02-19,103,37,26,13,3,7
2022-02-20,102,16,31,4,3,4
2022-02-21,31,39,35,3,3,3
2022-02-22,55,35,37,4,4,4
2022-02-23,60,26,40,4,5,3
2022-02-24,61,39,45,9,4,5
2022-02-25,77,43,58,5,5,5
2022-02-26,88,53,61,6,4,5
2022-02-27,105,53,66,6,6,6
2022-02-28,118,44,48,5,4,5
2022-03-01,104,32,44,4,4,2
2022-03-02,64,39,47,8,4,4
2022-03-03,71,45,56,9,4,4
2022-03-04,88,44,54,9,4,4
2022-03-05,90,49,59,13,6,5
2022-03-06,101,46,58,11,4,5
2022-03-07,94,48,56,13,5,5
2022-03-08,95,56,64,16,6,5
2022-03-09,112,62,56,8,7,7
2022-03-10,150,72,77,14,6,8
2022-03-11,157,73,84,15,7,8
2022-03-12,156,63,53,7,5,9
2022-03-13,157,37,46,6,3,6
2022-03-14,104,57,54,10,5,7
2022-03-15,125,65,58,14,6,9
2022-03-16,150,59,51,13,6,7
2022-03-17,133,38,46,6,3,6
2022-03-18,90,53,47,6,4,5
2022-03-19,94,52,50,6,5,5
2022-03-20,100,54,41,9,5,6
2022-03-21,120,36,39,7,3,6
2022-03-22,99,50,35,8,5,5
2022-03-23,124,42,30,9,4,6
2022-03-24,104,54,36,14,8,8
2022-03-25,131,54,29,7,3,7
2022-03-26,134,27,14,6,2,6
