time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,117,46,23,3,3,6
2021-01-01,144,67,32,4,3,5
2021-01-02,95,36,24,2,1,4
2021-01-02,117,46,23,3,3,6
2021-01-03,76,42,25,6,6,3
2021-01-03,95,36,24,2,1,4
2021-01-04,73,45,24,11,10,5
2021-01-04,76,42,25,6,6,3
2021-01-05,72,65,15,15,7,7
2021-01-05,73,,,,,
2021-01-06,123,63,44,9,7,7
2021-01-07,128,36,43,4,4,3
2021-01-08,78,58,34,11,7,5
2021-01-09,118,67,32,15,5,8
2021-01-10,143,85,18,12,3,10
2021-01-11,172,67,22,12,2,8
2021-01-12,142,52,21,10,1,9
2021-01-13,133,29,26,4,2,5
2021-01-14,72,42,23,7,2,5
2021-01-15,88,41,35,10,1,4
2021-01-16,79,65,38,21,6,17
2021-01-17,103,76,42,22,8,11
2021-01-18,133,86,52,25,5,9
2021-01-19,149,84,30,21,7,9
2021-01-20,160,111,34,19,4,7
2021-01-21,151,113,30,20,8,14
2021-01-22,140,83,44,15,6,10
2021-01-23,111,81,41,10,2,5
2021-01-24,114,98,48,21,3,7
2021-01-25,143,98,35,18,7,5
2021-01-26,147,64,13,15,6,4
2021-01-27,111,36,18,7,2,2
2021-01-28,82,63,29,13,5,4
2021-01-29,134,85,46,15,5,11
2021-01-30,166,88,34,14,6,6
2021-01-31,154,77,29,16,7,4
2021-02-01,103,75,31,16,5,3
2021-02-02,98,68,26,20,10,13
2021-02-03,102,84,31,23,11,9
2021-02-04,137,100,29,22,7,7
2021-02-05,167,88,35,15,4,4
2021-02-06,125,79,35,18,6,4
2021-02-07,105,115,33,27,7,11
2021-02-08,154,109,42,24,8,10
2021-02-09,153,97,52,15,8,7
2021-02-10,152,89,58,13,6,6
2021-02-11,143,114,48,20,11,11
2021-02-12,172,113,69,10,7,8
2021-02-13,168,102,64,10,5,6
2021-02-14,168,83,56,10,4,6
2021-02-15,158,79,52,6,2,5
2021-02-16,152,41,40,8,2,8
2021-02-17,95,42,24,9,2,6
2021-02-18,90,49,29,10,3,5
2021-02-19,89,52,19,13,4,6
2021-02-20,101,25,26,8,2,6
2021-02-21,74,23,22,6,3,4
2021-02-22,57,38,16,7,3,9
2021-02-23,94,73,12,15,6,19
2021-02-24,165,78,8,14,6,18
2021-02-25,165,69,22,12,6,11
2021-02-26,152,79,24,14,8,11
2021-02-27,161,60,25,10,7,9
2021-02-28,128,75,29,14,5,11
2021-03-01,161,95,15,19,8,22
2021-03-02,180,81,26,9,3,13
2021-03-03,172,74,18,10,5,14
2021-03-04,166,48,18,10,8,10
2021-03-05,112,60,20,13,9,4
2021-03-06,123,90,15,22,14,19
2021-03-07,172,109,10,17,7,10
2021-03-08,182,73,21,16,7,5
2021-03-09,145,89,13,20,9,14
2021-03-10,167,100,16,20,11,12
2021-03-11,179,101,23,20,7,11
2021-03-12,179,109,17,23,10,13
2021-03-13,181,132,22,24,12,15
2021-03-14,194,84,23,11,4,3
2021-03-15,88,69,19,15,8,8
2021-03-16,86,108,26,19,11,11
2021-03-17,161,110,16,25,9,11
2021-03-18,166,109,16,22,14,15
2021-03-19,167,88,24,20,9,6
2021-03-20,139,75,22,19,8,7
2021-03-21,136,96,25,21,10,11
2021-03-22,163,113,23,28,14,19
2021-03-23,173,133,29,25,13,21
2021-03-24,190,130,29,18,6,9
2021-03-25,169,113,30,21,11,11
2021-03-26,155,115,21,25,16,23
2021-03-27,171,130,24,28,11,19
2021-03-28,182,147,25,35,17,27
2021-03-29,194,159,25,26,10,20
2021-03-30,218,67,25,7,3,6
2021-03-31,57,33,23,8,4,7
2021-04-01,51,50,21,12,11,10
2021-04-02,82,85,22,25,8,14
2021-04-03,156,136,9,32,23,32
2021-04-04,190,127,17,28,13,17
2021-04-05,185,,,,,
2021-09-30,,34,63,4,1,2
2021-10-01,67,38,59,5,1,4
2021-10-02,77,36,56,5,1,4
2021-10-03,83,61,83,11,1,4
2021-10-04,87,33,87,4,1,3
2021-10-05,65,45,76,6,3,4
2021-10-06,72,51,93,6,2,5
2021-10-07,74,49,84,6,2,6
2021-10-08,83,51,87,9,4,6
2021-10-09,75,33,44,5,1,3
2021-10-10,45,20,34,3,1,4
2021-10-11,42,28,67,4,1,6
2021-10-12,57,36,74,6,1,4
2021-10-13,61,40,74,5,1,4
2021-10-14,69,37,72,4,1,3
2021-10-15,67,34,72,4,1,4
2021-10-16,74,46,80,5,1,6
2021-10-17,89,35,47,5,1,6
2021-10-18,74,25,36,5,1,6
2021-10-19,49,30,32,8,1,10
2021-10-20,79,33,40,5,1,10
2021-10-21,65,26,35,4,1,5
2021-10-22,65,23,32,2,,4
2021-10-23,62,26,39,2,1,4
2021-10-24,59,29,47,2,1,3
2021-10-25,55,40,46,4,2,4
2021-10-26,75,40,64,3,1,3
2021-10-27,67,49,55,8,2,5
2021-10-28,80,46,68,7,2,7
2021-10-29,77,55,90,13,2,4
2021-10-30,78,64,89,12,2,6
2021-10-31,91,77,120,12,4,7
2021-11-01,107,47,70,3,1,5
2021-11-02,72,40,80,3,1,4
2021-11-03,69,42,63,3,2,6
2021-11-04,83,63,59,10,2,5
2021-11-05,100,58,84,9,1,5
2021-11-06,89,42,82,2,2,4
2021-11-07,80,48,53,3,1,4
2021-11-08,93,40,57,3,1,3
2021-11-09,91,,,,,
2021-11-19,,37,61,4,3,7
2021-11-20,93,43,50,4,1,6
2021-11-21,83,27,41,4,1,9
2021-11-22,66,33,41,3,1,7
2021-11-23,69,53,43,5,2,5
2021-11-24,72,54,39,9,3,5
2021-11-25,64,68,42,12,3,5
2021-11-26,81,44,48,9,2,4
2021-11-27,61,37,39,3,2,5
2021-11-28,66,16,29,3,1,5
2021-11-29,35,18,23,5,1,9
2021-11-30,46,20,25,7,1,12
2021-12-01,60,22,38,6,1,10
2021-12-02,59,39,45,9,1,9
2021-12-03,74,51,37,9,1,9
2021-12-04,98,19,37,4,1,8
2021-12-05,48,41,31,7,1,11
2021-12-06,99,21,28,4,1,5
2021-12-07,54,38,46,9,1,5
2021-12-08,78,49,55,14,2,7
2021-12-09,74,66,68,17,2,7
2021-12-10,93,64,74,12,2,8
2021-12-11,100,51,65,6,2,6
2021-12-12,82,54,108,7,2,5
2021-12-13,77,55,86,4,2,4
2021-12-14,83,58,79,3,2,5
2021-12-15,107,59,78,3,2,5
2021-12-16,108,37,35,3,1,5
2021-12-17,76,20,30,4,1,7
2021-12-18,45,15,26,7,1,10
2021-12-19,37,12,27,5,1,9
2021-12-20,39,26,43,4,1,4
2021-12-21,51,43,47,12,2,6
2021-12-22,63,65,52,12,3,14
2021-12-23,96,36,32,11,1,14
2021-12-24,84,43,26,10,2,13
2021-12-25,108,19,34,9,1,12
2021-12-26,59,16,21,7,1,10
2021-12-27,44,22,19,7,1,10
2021-12-28,70,28,27,9,1,14
2021-12-29,67,43,30,12,1,12
2021-12-30,,72,38,11,1,11
2021-12-30,83,59,26,10,1,12
2021-12-31,142,63,57,8,1,9
2021-12-31,125,72,38,11,1,11
2022-01-01,120,59,42,8,1,11
2022-01-01,142,63,57,8,1,9
2022-01-02,124,33,18,5,1,4
2022-01-02,120,59,42,8,1,11
2022-01-03,54,17,10,10,1,10
2022-01-03,124,,,,,
2022-01-04,48,12,10,12,1,15
2022-01-05,42,40,25,12,3,16
2022-01-06,89,20,28,4,1,6
2022-01-07,61,30,22,4,1,6
2022-01-08,76,46,22,5,1,3
2022-01-09,57,32,29,7,1,4
2022-01-10,60,22,33,6,1,4
2022-01-11,55,47,49,7,2,6
2022-01-12,92,33,27,5,1,4
2022-01-13,73,40,27,8,2,3
2022-01-14,63,39,30,6,1,3
2022-01-15,55,40,33,7,2,3
2022-01-16,63,57,37,14,3,5
2022-01-17,94,75,31,14,3,12
2022-01-18,147,33,29,7,1,5
2022-01-19,78,47,32,12,3,5
2022-01-20,97,63,43,14,5,12
2022-01-21,101,63,47,6,3,4
2022-01-22,131,75,44,16,3,6
2022-01-23,144,90,37,19,4,11
2022-01-24,160,90,37,12,3,7
2022-01-25,154,72,14,19,2,7
2022-01-26,138,103,39,20,3,10
2022-01-27,173,116,36,20,2,10
2022-01-28,177,103,40,22,3,12
2022-01-29,169,99,24,20,4,10
2022-01-30,151,93,43,14,3,9
2022-01-31,156,97,36,14,4,11
2022-02-01,172,109,32,21,2,11
2022-02-02,175,102,45,15,3,12
2022-02-03,162,79,43,9,2,7
2022-02-04,157,84,24,7,1,7
2022-02-05,113,32,27,6,2,3
2022-02-06,48,48,31,11,3,2
2022-02-07,67,55,29,14,3,3
2022-02-08,89,54,30,13,3,2
2022-02-09,91,65,28,16,4,3
2022-02-10,103,76,31,15,4,4
2022-02-11,106,89,29,23,4,8
2022-02-12,137,93,29,24,5,10
2022-02-13,154,91,26,28,5,9
2022-02-14,145,99,32,27,7,13
2022-02-15,163,122,35,30,7,11
2022-02-16,188,116,29,32,6,17
2022-02-17,180,108,44,18,5,10
2022-02-18,178,89,26,15,3,9
2022-02-19,161,73,27,8,2,4
2022-02-20,93,56,26,9,2,3
2022-02-21,66,87,23,21,5,8
2022-02-22,137,117,22,24,6,12
2022-02-23,166,117,27,26,6,12
2022-02-24,174,116,36,27,8,17
2022-02-25,177,96,47,10,7,5
2022-02-26,161,86,51,12,5,6
2022-02-27,159,87,21,10,3,6
2022-02-28,119,53,29,10,2,3
2022-03-01,60,55,22,19,4,6
2022-03-02,90,64,31,19,4,6
2022-03-03,123,83,27,23,7,9
2022-03-04,135,91,29,25,8,13
2022-03-05,160,98,27,30,10,13
2022-03-06,169,116,28,28,9,14
2022-03-07,178,55,32,6,2,3
2022-03-08,66,74,29,16,5,10
2022-03-09,149,118,29,23,7,16
2022-03-10,187,128,8,27,9,21
2022-03-11,208,88,16,14,2,8
2022-03-12,175,44,25,11,4,4
2022-03-13,68,73,19,17,5,12
2022-03-14,145,86,26,21,4,11
2022-03-15,164,110,9,24,6,15
2022-03-16,181,81,22,20,5,7
2022-03-17,132,50,28,9,3,3
2022-03-18,62,68,23,18,4,8
2022-03-19,129,88,24,24,5,11
2022-03-20,159,86,27,21,4,12
2022-03-21,151,99,23,29,8,18
2022-03-22,175,122,24,30,9,19
2022-03-23,188,117,13,25,8,18
2022-03-24,191,91,18,13,3,11
2022-03-25,169,50,20,7,1,5
2022-03-26,115,52,24,11,4,5
2022-03-27,89,50,26,12,5,7
2022-03-28,85,67,27,15,8,8
2022-03-29,156,70,30,13,4,7
2022-03-30,148,69,26,20,6,8
2022-03-31,,102,28,21,10,13
2022-03-31,141,88,16,23,8,11
2022-04-01,182,119,30,23,7,13
2022-04-01,165,107,35,23,8,14
2022-04-02,195,89,34,12,3,11
2022-04-02,183,95,31,18,8,12
2022-04-03,185,64,25,13,2,8
2022-04-03,170,,,,,
2022-04-04,153,42,26,11,2,7
2022-04-05,111,84,14,14,2,10
2022-04-06,176,106,18,21,4,15
2022-04-07,194,107,29,15,3,10
2022-04-08,169,60,22,20,5,8
2022-04-09,121,74,30,15,4,7
2022-04-10,130,52,25,9,4,5
2022-04-11,71,74,27,13,7,10
2022-04-12,154,96,28,22,7,11
2022-04-13,166,110,28,27,14,16
2022-04-14,185,109,26,23,9,13
2022-04-15,178,106,27,23,10,15
2022-04-16,180,124,40,19,7,17
2022-04-17,197,99,26,6,2,9
2022-04-18,176,52,21,6,,6
2022-04-19,138,62,18,9,,6
2022-04-20,156,76,29,8,2,8
2022-04-21,173,74,19,9,2,9
2022-04-22,170,86,26,10,2,11
2022-04-23,179,88,39,10,3,14
2022-04-24,179,78,31,9,2,12
2022-04-25,174,65,22,10,3,11
2022-04-26,163,71,32,10,2,10
2022-04-27,162,81,22,10,2,11
2022-04-28,175,86,32,7,6,5
2022-04-29,91,69,35,7,7,9
2022-04-30,137,71,36,8,5,8
2022-05-01,155,82,37,12,6,16
2022-05-02,163,64,35,8,4,8
2022-05-03,125,43,30,12,8,10
2022-05-04,88,49,36,7,4,5
2022-05-05,107,44,34,5,2,3
2022-05-06,90,57,32,8,2,6
2022-05-07,147,73,38,15,2,8
2022-05-08,164,86,38,22,7,19
2022-05-09,170,93,42,18,5,12
2022-05-10,177,69,38,8,3,6
2022-05-11,154,61,34,8,2,6
2022-05-12,134,81,31,13,4,9
2022-05-13,160,74,31,10,2,7
2022-05-14,156,68,19,6,1,6
2022-05-15,142,63,29,5,,6
2022-05-16,144,64,23,5,3,8
2022-05-17,159,48,32,8,3,4
2022-05-18,94,61,34,14,4,5
2022-05-19,85,64,37,20,5,7
2022-05-20,118,66,34,18,6,9
2022-05-21,126,67,36,14,3,4
2022-05-22,126,76,42,17,5,5
2022-05-23,149,67,47,14,5,5
2022-05-24,140,79,40,12,5,3
2022-05-25,101,74,44,13,4,6
2022-05-26,106,97,38,12,6,4
2022-05-27,121,103,38,8,3,1
2022-05-28,71,98,39,20,5,4
2022-05-29,123,124,30,26,8,8
2022-05-30,157,113,41,23,4,6
2022-05-31,133,92,35,16,7,8
2022-06-01,106,106,40,7,3,5
2022-06-02,94,111,42,9,4,2
2022-06-03,104,107,50,8,3,4
2022-06-04,104,91,57,5,3,3
2022-06-05,94,90,67,11,4,4
2022-06-06,119,90,81,6,4,5
2022-06-07,108,76,63,6,4,6
2022-06-08,136,63,53,10,3,10
2022-06-09,135,412,38,11,2,7
2022-06-10,185,279,44,13,4,5
2022-06-11,161,114,19,23,5,16
2022-06-12,141,58,28,6,1,7
2022-06-13,106,51,33,8,1,6
2022-06-14,100,70,27,11,2,7
2022-06-15,118,56,25,8,3,5
2022-06-16,104,62,28,8,2,5
2022-06-17,124,58,33,7,2,4
2022-06-18,122,86,55,16,2,6
2022-06-19,162,78,31,13,2,7
2022-06-20,131,62,25,10,2,9
2022-06-21,111,69,38,12,4,3
2022-06-22,80,127,34,10,5,4
2022-06-23,107,79,42,5,3,2
2022-06-24,68,77,42,9,5,5
2022-06-25,99,102,35,19,8,8
2022-06-26,151,99,36,13,6,9
2022-06-27,154,65,53,6,3,4
2022-06-28,121,64,43,11,5,3
2022-06-29,83,69,61,6,3,4
2022-06-30,,65,53,6,3,4
2022-06-30,91,,,,,
2022-07-01,121,64,43,11,5,3
2022-07-02,83,69,61,6,3,4
2022-07-03,91,70,60,10,4,4
2022-07-04,110,83,64,16,4,5
2022-07-05,118,85,53,15,5,4
2022-07-06,109,88,75,10,9,12
2022-07-07,137,71,36,22,5,7
2022-07-08,107,75,63,12,4,4
2022-07-09,84,72,64,12,3,4
2022-07-10,87,157,57,9,4,3
2022-07-11,101,57,37,7,3,3
2022-07-12,70,63,48,8,2,2
2022-07-13,93,55,44,5,3,3
2022-07-14,75,57,41,8,3,3
2022-07-15,93,45,51,11,3,3
2022-07-16,69,62,41,7,3,4
2022-07-17,107,59,45,6,2,3
2022-07-18,66,69,66,14,3,4
2022-07-19,89,85,64,17,2,4
2022-07-20,105,65,68,14,3,3
2022-07-21,85,93,43,18,7,6
2022-07-22,96,95,69,13,6,7
2022-07-23,101,96,55,16,6,6
2022-07-24,113,67,68,10,3,3
2022-07-25,85,74,94,10,5,3
2022-07-26,97,103,52,3,2,4
2022-07-27,112,36,23,5,1,6
2022-07-28,72,51,45,6,1,7
2022-07-29,86,56,27,8,3,3
