time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,112,34,22,2,1,1
2021-01-01,95,47,33,8,2,3
2021-01-02,69,27,29,3,2,1
2021-01-02,112,34,22,2,1,1
2021-01-03,49,22,21,1,1,1
2021-01-03,69,27,29,3,2,1
2021-01-04,44,24,22,5,0,1
2021-01-04,49,22,21,1,1,1
2021-01-05,55,26,24,8,2,1
2021-01-05,44,,,,,
2021-01-06,63,36,29,11,3,1
2021-01-07,80,66,61,9,6,4
2021-01-08,137,67,60,7,5,5
2021-01-09,148,68,61,10,3,3
2021-01-10,135,43,34,5,1,3
2021-01-11,89,36,22,12,7,1
2021-01-12,70,47,24,8,2,1
2021-01-13,69,25,23,6,4,1
2021-01-14,59,36,30,12,6,1
2021-01-15,68,36,27,7,3,1
2021-01-16,75,28,25,7,2,1
2021-01-17,58,31,25,10,7,1
2021-01-18,70,36,27,8,6,1
2021-01-19,58,85,57,13,16,5
2021-01-20,139,233,41,5,3,2
2021-01-21,130,27,21,5,2,1
2021-01-22,57,35,26,9,2,2
2021-01-23,61,30,27,10,3,1
2021-01-24,66,44,28,10,2,2
2021-01-25,81,65,35,15,6,3
2021-01-26,116,33,26,6,1,1
2021-01-27,60,41,28,14,2,2
2021-01-28,67,41,23,11,3,1
2021-01-29,88,53,28,11,7,2
2021-01-30,91,150,25,12,11,4
2021-01-31,125,43,24,5,1,1
2021-02-01,62,32,20,4,1,1
2021-02-02,59,34,25,4,2,2
2021-02-03,59,44,18,13,19,2
2021-02-04,79,70,17,15,23,3
2021-02-05,117,100,22,10,6,3
2021-02-06,116,107,18,7,9,1
2021-02-07,106,37,16,5,2,1
2021-02-08,58,46,17,11,5,2
2021-02-09,86,45,15,13,15,2
2021-02-10,75,83,23,21,38,6
2021-02-11,144,84,29,12,16,7
2021-02-12,131,32,21,11,8,2
2021-02-13,66,64,20,18,24,5
2021-02-14,122,67,20,14,18,4
2021-02-15,128,51,19,13,5,3
2021-02-16,105,102,23,16,15,7
2021-02-17,184,50,16,7,2,2
2021-02-18,111,54,22,3,,1
2021-02-19,78,32,26,6,2,2
2021-02-20,80,32,21,7,2,3
2021-02-21,91,28,21,7,3,3
2021-02-22,79,28,26,7,3,2
2021-02-23,73,43,23,11,6,4
2021-02-24,114,37,22,8,4,2
2021-02-25,102,32,17,8,3,3
2021-02-26,84,23,22,5,3,2
2021-02-27,73,29,22,7,3,3
2021-02-28,80,29,22,7,3,3
2021-03-01,81,27,25,6,3,3
2021-03-02,79,41,20,10,4,4
2021-03-03,104,42,27,10,3,4
2021-03-04,107,33,28,5,3,2
2021-03-05,75,32,26,6,4,3
2021-03-06,81,36,24,8,13,3
2021-03-07,88,42,27,7,4,4
