time,pm25,pm10,O3,NO2,SO2,CO
2023-11-06,,55,24,3,1,8
2023-11-07,116,55,39,4,3,8
2023-11-08,131,57,32,6,6,9
2023-11-09,144,38,22,5,1,8
2023-11-10,90,24,18,4,1,7
2023-11-11,58,48,32,4,1,7
2023-11-12,103,32,19,4,1,5
2023-11-13,82,27,16,5,1,7
2023-11-14,73,26,18,5,1,7
2023-11-15,68,15,24,4,1,6
2023-11-16,44,39,30,6,2,7
2023-11-17,90,44,44,7,3,6
2023-11-18,97,61,43,7,2,7
2023-11-19,145,54,54,8,2,5
2023-11-20,135,54,60,12,3,6
2023-11-21,125,52,55,13,5,6
2023-11-22,122,53,61,14,6,6
2023-11-23,110,49,38,11,4,6
2023-11-24,100,45,27,6,5,7
2023-11-25,103,18,24,3,1,4
2023-11-26,45,34,36,6,4,5
2023-11-27,74,41,51,9,5,5
2023-11-28,86,44,52,12,3,5
2023-11-29,88,48,44,14,3,6
2023-11-30,92,49,41,12,2,7
2023-12-01,94,57,27,7,2,7
2023-12-02,130,23,21,3,1,5
2023-12-03,64,44,27,3,1,7
2023-12-04,98,51,42,7,2,7
2023-12-05,115,49,46,9,2,7
2023-12-06,105,47,51,12,2,7
2023-12-07,105,47,49,14,3,6
2023-12-08,95,45,51,11,3,5
2023-12-09,89,50,51,11,4,5
2023-12-10,100,49,36,9,5,5
2023-12-11,106,41,57,4,2,4
2023-12-12,82,20,26,5,2,6
2023-12-13,51,35,24,10,2,6
2023-12-14,71,41,21,9,2,7
2023-12-15,88,33,33,8,2,6
2023-12-16,80,,,,,
2023-12-20,,26,,5,1,4
2023-12-21,74,46,,10,1,5
2023-12-22,119,43,,7,1,6
2023-12-23,101,43,,10,1,5
2023-12-24,81,62,,11,3,6
2023-12-25,89,57,,11,3,6
2023-12-26,94,54,,15,2,6
2023-12-27,97,54,,15,3,7
2023-12-28,102,58,,18,5,7
2023-12-29,109,54,,18,3,7
2023-12-30,100,60,,12,3,6
2023-12-31,131,70,,9,4,6
