time,pm25,pm10,O3,NO2,SO2,CO
2021-09-30,,29,66,6,3,3
2021-10-01,47,45,49,6,4,3
2021-10-02,86,38,44,7,3,4
2021-10-03,65,30,80,8,4,4
2021-10-04,51,30,66,5,4,3
2021-10-05,56,20,74,6,3,3
2021-10-06,33,24,67,9,3,3
2021-10-07,33,20,68,7,3,3
2021-10-08,31,39,73,9,3,4
2021-10-09,48,29,79,7,3,4
2021-10-10,49,36,98,9,4,6
2021-10-11,61,20,66,7,3,5
2021-10-12,56,22,80,6,3,5
2021-10-13,60,33,87,9,5,5
2021-10-14,68,36,77,6,3,5
2021-10-15,58,34,67,7,4,7
2021-10-16,77,16,75,5,3,6
2021-10-17,47,34,87,7,4,7
2021-10-18,82,24,82,5,4,6
2021-10-19,52,18,50,5,3,5
2021-10-20,45,20,53,5,3,6
2021-10-21,52,33,51,5,3,6
2021-10-22,40,26,56,5,3,6
2021-10-23,55,29,48,7,4,6
2021-10-24,53,30,36,6,3,6
2021-10-25,63,36,55,4,2,4
2021-10-26,66,17,56,6,3,5
2021-10-27,37,23,60,8,2,5
2021-10-28,46,22,78,6,3,4
2021-10-29,44,26,70,8,3,5
2021-10-30,52,28,70,5,3,4
2021-10-31,49,30,55,6,5,5
2021-11-01,54,26,74,7,4,4
2021-11-02,51,31,53,5,5,6
2021-11-03,66,54,55,5,3,5
2021-11-04,95,29,53,6,3,5
2021-11-05,66,62,84,9,3,7
2021-11-06,139,53,93,10,4,6
2021-11-07,101,33,58,8,2,5
2021-11-08,49,32,64,4,3,5
2021-11-09,52,,,,,
2021-11-19,,36,64,6,3,5
2021-11-20,55,35,70,8,3,6
2021-11-21,56,64,49,6,3,4
2021-11-22,79,61,42,8,3,4
2021-11-23,68,50,34,3,2,5
2021-11-24,52,17,28,3,2,
2021-11-25,17,18,44,6,3,5
2021-11-26,26,22,41,8,4,6
2021-11-27,32,16,56,7,3,6
2021-11-28,36,32,76,10,4,7
2021-11-29,58,48,45,13,4,9
2021-11-30,88,33,80,7,3,7
2021-12-01,64,24,63,8,3,6
2021-12-02,43,28,62,8,3,6
2021-12-03,50,34,45,10,4,6
2021-12-04,56,28,57,8,3,6
2021-12-05,53,27,27,8,3,7
2021-12-06,56,13,39,6,2,5
2021-12-07,23,24,53,5,3,5
2021-12-08,49,21,53,6,3,5
