time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,53,20,3,15,6,4
2021-01-01,72,25,9,22,3,4
2021-01-02,41,14,4,15,6,4
2021-01-02,50,25,2,20,5,5
2021-01-03,39,20,11,16,6,3
2021-01-03,53,20,3,15,6,4
2021-01-04,49,25,8,14,4,3
2021-01-04,41,14,4,15,6,4
2021-01-05,65,34,4,18,2,4
2021-01-05,39,,,,,
2021-01-06,68,29,4,18,3,4
2021-01-07,62,32,3,16,2,4
2021-01-08,61,43,3,20,4,6
2021-01-09,70,60,,20,5,8
2021-01-10,100,39,1,19,3,5
2021-01-11,79,45,1,17,4,7
2021-01-12,77,39,2,12,4,7
2021-01-13,73,27,5,14,3,4
2021-01-14,41,15,2,15,3,5
2021-01-15,37,27,9,17,3,4
2021-01-16,61,33,5,22,3,5
2021-01-17,75,61,7,22,3,7
2021-01-18,121,37,7,22,2,5
2021-01-19,78,50,11,21,2,5
2021-01-20,100,65,16,30,3,8
2021-01-21,125,74,16,32,4,10
2021-01-22,132,83,17,30,5,7
2021-01-23,142,88,6,36,7,9
2021-01-24,143,97,4,29,5,8
2021-01-25,165,84,4,28,5,7
2021-01-26,157,32,3,18,1,5
2021-01-27,75,41,9,19,2,5
2021-01-28,94,52,2,24,3,6
2021-01-29,119,35,2,18,4,5
2021-01-30,86,32,5,18,4,5
2021-01-31,82,34,7,17,4,5
2021-02-01,80,47,5,22,4,8
2021-02-02,99,54,7,24,5,10
2021-02-03,92,65,9,28,8,10
2021-02-04,118,83,7,24,7,11
2021-02-05,153,74,18,29,6,14
2021-02-06,143,89,11,36,7,16
2021-02-07,157,88,18,32,5,11
2021-02-08,161,77,19,38,1,10
2021-02-09,142,64,21,36,1,9
2021-02-10,119,67,17,39,2,11
2021-02-11,119,71,20,38,3,11
2021-02-12,129,61,26,35,2,8
2021-02-13,109,68,24,39,2,9
2021-02-14,116,86,13,45,3,12
2021-02-15,152,100,24,37,4,8
2021-02-16,171,56,18,25,2,7
2021-02-17,120,70,32,31,3,9
2021-02-18,130,58,8,25,2,9
2021-02-19,118,33,7,17,0,8
2021-02-20,74,22,8,14,0,8
2021-02-21,61,24,6,14,0,7
2021-02-22,63,31,2,16,2,8
2021-02-23,77,26,2,13,3,7
2021-02-24,68,58,3,19,5,8
2021-02-25,124,61,2,21,4,8
2021-02-26,136,38,9,16,3,7
2021-02-27,77,45,7,19,4,8
2021-02-28,91,51,3,21,4,8
2021-03-01,103,47,7,19,3,7
2021-03-02,106,50,3,20,3,7
2021-03-03,102,36,8,18,2,7
2021-03-04,86,35,8,18,3,8
2021-03-05,80,41,12,20,3,7
2021-03-06,88,53,7,19,3,7
2021-03-07,102,65,1,20,4,9
2021-03-08,138,53,9,17,3,7
2021-03-09,123,42,9,18,4,8
2021-03-10,84,66,1,20,4,9
2021-03-11,145,66,2,21,3,9
2021-03-12,155,66,2,19,4,9
2021-03-13,154,51,4,20,2,8
2021-03-14,124,28,9,16,2,6
2021-03-15,77,42,6,18,3,5
2021-03-16,93,50,7,20,3,5
2021-03-17,99,44,11,20,2,5
2021-03-18,81,68,2,19,4,7
2021-03-19,143,70,2,21,3,8
2021-03-20,155,75,9,25,3,8
2021-03-21,159,78,12,30,3,9
2021-03-22,161,82,1,32,4,9
2021-03-23,166,84,7,27,7,6
2021-03-24,170,99,1,29,7,11
2021-03-25,177,109,1,29,7,13
2021-03-26,189,131,1,29,8,12
2021-03-27,212,110,7,28,6,11
2021-03-28,186,96,2,30,4,8
2021-03-29,181,59,8,21,3,6
2021-03-30,124,51,2,23,3,5
2021-03-31,120,54,3,20,3,7
2021-04-01,,69,3,23,5,9
2021-04-01,134,61,8,22,4,8
2021-04-02,162,82,2,26,5,10
2021-04-02,148,57,5,23,4,8
2021-04-03,166,65,2,22,3,6
2021-04-03,147,,,,,
2021-04-04,157,55,16,17,2,4
2021-04-05,139,53,12,21,2,5
2021-04-06,126,65,3,23,3,7
2021-04-07,152,71,2,26,3,7
2021-04-08,162,62,11,24,2,6
2021-04-09,151,61,15,26,3,7
2021-04-10,134,78,13,36,5,9
2021-04-11,148,82,23,39,6,8
2021-04-12,160,106,13,46,7,12
2021-04-13,182,113,2,41,6,12
2021-04-14,193,42,14,19,1,5
2021-04-15,98,46,6,24,1,7
2021-04-16,106,74,7,28,1,7
2021-04-17,159,88,3,30,3,8
2021-04-18,171,91,2,32,2,9
2021-04-19,176,80,16,29,1,8
2021-04-20,165,83,8,30,0,8
2021-04-21,171,81,2,24,1,7
2021-04-22,169,51,13,24,2,8
2021-04-23,121,58,2,26,3,9
2021-04-24,139,50,2,23,4,10
2021-04-25,124,53,9,26,5,11
2021-04-26,126,59,5,32,5,10
2021-04-27,124,76,11,27,6,9
2021-04-28,159,82,8,27,6,8
2021-04-29,167,85,21,27,5,8
2021-04-30,168,76,3,34,3,9
2021-05-01,165,75,4,28,3,9
2021-05-02,163,90,3,29,4,10
2021-05-03,173,89,4,24,2,8
2021-05-04,172,77,6,26,3,9
2021-05-05,167,76,10,29,3,9
2021-05-06,164,82,5,36,3,13
2021-05-07,170,57,16,28,3,8
2021-05-08,142,61,30,27,3,8
2021-05-09,145,51,28,23,2,5
2021-05-10,124,65,36,15,3,2
2021-05-11,146,64,9,25,3,4
2021-05-12,153,72,31,14,2,3
2021-05-13,160,47,15,16,2,1
2021-05-14,119,24,13,12,0,3
2021-05-15,64,32,19,17,0,6
2021-05-16,78,36,18,22,1,6
2021-05-17,86,38,22,22,2,6
2021-05-18,90,47,28,27,1,7
2021-05-19,101,60,30,37,1,9
2021-05-20,136,73,42,36,3,9
2021-05-21,157,75,30,33,3,7
2021-05-22,159,50,35,22,2,3
2021-05-23,114,43,21,16,2,3
2021-05-24,109,22,10,15,1,4
2021-05-25,67,26,8,17,2,5
2021-05-26,67,29,12,14,2,4
2021-05-27,60,34,21,14,2,5
2021-05-28,70,42,5,20,2,6
2021-05-29,86,43,9,19,3,6
2021-05-30,95,47,24,22,4,8
