time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,106,51,40,6,3,6
2021-01-01,89,47,46,6,3,6
2021-01-02,121,16,20,4,3,4
2021-01-02,106,51,40,6,3,6
2021-01-03,35,10,24,4,3,3
2021-01-03,121,16,20,4,3,4
2021-01-04,12,16,19,7,3,4
2021-01-04,35,10,24,4,3,3
2021-01-05,61,,16,7,3,3
2021-01-05,12,,,,,
2021-01-06,72,28,21,8,3,3
2021-01-07,75,,23,9,4,4
2021-01-08,154,51,42,6,4,5
2021-01-09,143,56,58,8,5,4
2021-01-10,139,58,66,8,5,5
2021-01-11,144,62,59,8,5,4
2021-01-12,156,,40,6,4,5
2021-01-13,174,,20,7,5,6
2021-01-14,163,19,13,6,3,6
2021-01-15,55,26,21,5,3,5
2021-01-16,43,39,21,6,4,6
2021-01-17,104,,25,7,4,5
2021-01-18,130,,33,7,5,4
2021-01-19,120,,35,9,5,5
2021-01-20,156,,33,6,3,3
2021-01-21,76,18,43,14,5,3
2021-01-22,96,51,53,15,5,4
2021-01-23,111,72,53,12,5,4
2021-01-24,101,72,48,18,5,5
2021-01-25,123,71,37,12,5,
2021-01-26,150,63,62,15,6,6
2021-01-27,147,66,42,8,6,7
2021-01-28,173,66,38,8,5,7
2021-01-29,171,,28,12,7,8
2021-01-30,185,,29,8,4,7
2021-01-31,186,,30,6,3,6
2021-02-01,107,,36,8,4,6
2021-02-02,130,32,35,14,7,6
2021-02-03,121,53,40,14,6,5
2021-02-04,108,63,48,18,6,5
2021-02-05,115,57,37,10,7,6
2021-02-06,147,57,53,10,8,6
2021-02-07,162,59,46,14,7,5
2021-02-08,133,58,49,13,6,5
2021-02-09,134,64,55,22,6,7
2021-02-10,150,65,48,21,5,6
2021-02-11,133,70,56,20,5,6
2021-02-12,139,64,49,16,6,6
2021-02-13,160,62,43,16,5,6
2021-02-14,152,62,48,24,5,6
2021-02-15,145,58,28,11,4,7
2021-02-16,148,58,24,7,5,7
2021-02-17,139,56,28,8,4,5
2021-02-18,100,51,23,7,3,7
2021-02-19,68,39,14,10,4,7
2021-02-20,116,34,11,7,3,6
2021-02-21,58,44,13,8,2,6
