time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,116,60,33,10,2,6
2021-01-02,132,55,16,11,9,8
2021-01-03,133,60,18,11,2,4
2021-01-04,104,60,13,17,9,7
2021-01-05,100,56,10,19,4,4
2021-01-06,139,55,27,15,3,4
2021-01-07,131,48,45,15,2,4
2021-01-08,112,45,43,12,2,4
2021-01-09,84,53,62,18,2,4
2021-01-10,102,49,65,13,3,4
2021-01-11,101,74,34,12,3,6
2021-01-12,148,65,37,6,2,4
2021-01-13,126,46,21,11,5,5
2021-01-14,119,56,15,15,2,5
2021-01-15,135,34,30,12,2,3
2021-01-16,90,84,44,20,3,8
2021-01-17,173,74,49,27,3,8
2021-01-18,167,69,60,26,2,7
2021-01-19,163,67,48,20,4,6
2021-01-20,161,77,42,19,3,6
2021-01-21,155,139,40,26,3,5
2021-01-22,167,93,33,23,4,4
2021-01-23,129,66,40,20,5,4
2021-01-24,132,69,47,22,3,5
2021-01-25,143,85,74,30,7,8
2021-01-26,170,85,68,17,5,7
2021-01-27,177,100,28,23,4,9
2021-01-28,173,79,41,21,2,7
2021-01-29,163,63,46,18,4,5
2021-01-30,140,66,36,15,2,6
2021-01-31,153,76,49,17,2,7
2021-02-01,160,119,39,20,6,7
2021-02-02,175,66,22,15,3,3
2021-02-03,102,58,28,20,3,4
2021-02-04,98,67,14,29,4,6
2021-02-05,132,80,50,25,2,8
2021-02-06,164,85,36,22,2,7
2021-02-07,141,97,36,25,4,9
2021-02-08,158,111,42,26,5,6
2021-02-09,168,101,53,24,7,6
2021-02-10,163,81,46,19,5,6
2021-02-11,149,66,43,21,2,5
2021-02-12,146,70,54,19,2,5
2021-02-13,158,62,41,14,3,5
2021-02-14,139,77,50,15,3,6
2021-02-15,165,74,36,14,2,6
2021-02-16,163,51,14,14,2,5
2021-02-17,110,26,12,13,2,7
2021-02-18,53,47,18,14,3,5
2021-02-19,101,47,28,9,3,4
2021-02-20,105,39,16,10,2,3
2021-02-21,104,50,10,14,2,5
2021-02-22,136,54,11,16,2,5
2021-02-23,136,55,16,11,2,4
2021-02-24,150,60,11,14,1,5
2021-02-25,158,90,9,18,2,7
2021-02-26,186,112,5,30,4,11
2021-02-27,203,88,8,21,4,8
2021-02-28,177,81,23,22,3,7
2021-03-01,170,89,35,16,4,7
2021-03-02,178,82,17,17,3,7
2021-03-03,171,88,19,15,4,7
2021-03-04,178,90,18,15,2,8
2021-03-05,180,75,27,19,4,6
2021-03-06,163,75,26,27,4,6
2021-03-07,162,88,25,29,5,8
2021-03-08,170,93,18,19,3,7
2021-03-09,182,97,19,19,7,8
2021-03-10,180,80,9,18,3,6
2021-03-11,167,100,16,18,1,9
2021-03-12,189,99,26,23,3,10
2021-03-13,187,111,35,25,3,9
2021-03-14,200,87,23,13,2,4
2021-03-15,131,41,18,10,4,2
2021-03-16,76,59,20,22,6,3
2021-03-17,121,74,21,20,7,4
2021-03-18,155,81,20,25,7,5
2021-03-19,162,94,23,26,7,7
2021-03-20,174,72,21,24,5,5
2021-03-21,155,86,28,31,5,8
2021-03-22,168,88,29,30,5,9
2021-03-23,169,75,33,23,4,5
2021-03-24,161,102,17,36,6,10
2021-03-25,180,114,24,30,7,10
2021-03-26,192,146,45,35,8,12
2021-03-27,241,134,7,41,9,11
