time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,34,21,17,7,0,3
2021-01-01,23,17,12,5,0,6
2021-01-02,36,22,21,7,0,4
2021-01-02,34,21,17,7,0,3
2021-01-03,39,20,26,7,0,6
2021-01-03,36,22,21,7,0,4
2021-01-04,32,19,31,6,0,5
2021-01-04,39,20,26,7,0,6
2021-01-05,29,19,28,7,0,7
2021-01-05,32,,,,,
2021-01-06,33,8,38,3,0,7
2021-01-07,24,18,20,7,1,7
2021-01-08,37,13,19,5,0,2
2021-01-09,30,13,18,6,0,4
2021-01-10,31,22,16,8,1,4
2021-01-11,36,8,21,5,0,4
2021-01-12,25,8,17,7,1,4
2021-01-13,46,11,16,7,0,6
2021-01-14,34,11,22,6,0,6
2021-01-15,22,14,25,6,0,1
2021-01-16,30,14,30,5,0,2
2021-01-17,26,16,30,5,0,4
2021-01-18,26,23,24,4,0,4
2021-01-19,37,30,19,10,1,6
2021-01-20,52,21,24,9,0,6
2021-01-21,38,18,28,5,0,4
2021-01-22,30,26,29,11,1,4
2021-01-23,44,25,23,8,0,3
2021-01-24,47,12,22,5,0,3
2021-01-25,22,17,19,8,0,4
2021-01-26,32,18,23,9,0,5
2021-01-27,33,22,24,7,0,1
2021-01-28,38,13,14,3,0,2
2021-01-29,29,9,11,4,0,2
2021-01-30,26,13,19,4,0,2
2021-01-31,26,13,14,7,0,2
2021-02-01,35,15,19,6,1,2
2021-02-02,29,20,21,8,1,3
2021-02-03,31,16,12,6,0,4
2021-02-04,39,10,9,3,0,5
2021-02-05,25,14,11,6,1,3
2021-02-06,32,15,12,10,1,3
2021-02-07,37,18,20,8,1,4
2021-02-08,40,15,24,4,0,2
2021-02-09,26,15,16,7,1,4
2021-02-10,31,15,21,6,0,5
2021-02-11,21,21,18,10,2,7
2021-02-12,31,13,19,7,1,8
2021-02-13,32,12,14,9,1,6
2021-02-14,48,8,9,6,0,1
2021-02-15,36,13,8,9,1,2
2021-02-16,47,6,20,3,0,1
2021-02-17,22,8,17,6,1,2
2021-02-18,23,13,7,12,1,4
2021-02-19,46,12,7,11,1,4
2021-02-20,52,14,3,10,3,3
2021-02-21,41,12,15,10,1,4
2021-02-22,28,16,10,11,3,4
2021-02-23,28,18,7,11,1,5
2021-02-24,31,18,7,12,3,4
2021-02-25,43,14,13,10,1,2
2021-02-26,35,12,19,7,1,2
2021-02-27,29,13,17,6,0,2
2021-02-28,32,23,12,8,1,3
2021-03-01,70,22,10,9,0,3
2021-03-02,85,22,7,11,0,4
2021-03-03,72,22,6,13,1,5
2021-03-04,63,15,11,13,1,5
2021-03-05,32,13,20,10,2,4
2021-03-06,38,17,15,11,1,2
2021-03-07,39,17,8,11,1,4
2021-03-08,43,13,16,4,1,4
2021-03-09,29,18,10,7,2,7
2021-03-10,48,19,12,6,3,8
2021-03-11,59,19,16,7,2,7
2021-03-12,85,21,9,6,1,7
2021-03-13,107,24,1,11,2,2
2021-03-14,95,11,16,7,1,1
2021-03-15,51,12,28,9,2,2
2021-03-16,54,11,2,10,3,3
2021-03-17,50,11,0,9,2,3
2021-03-18,44,16,10,10,3,4
2021-03-19,47,16,22,11,2,3
2021-03-20,46,18,25,9,1,3
2021-03-21,39,17,30,11,4,3
2021-03-22,34,17,22,15,2,6
2021-03-23,81,34,19,15,3,8
2021-03-24,136,26,23,8,2,6
2021-03-25,84,24,15,18,4,6
2021-03-26,87,31,13,22,3,7
2021-03-27,83,20,13,16,3,5
2021-03-28,67,19,20,13,2,3
2021-03-29,89,15,19,10,5,5
2021-03-30,73,10,25,6,1,3
2021-03-31,42,9,28,7,2,3
2021-04-01,,26,15,14,2,7
2021-04-01,30,14,20,9,3,3
2021-04-02,86,16,20,14,3,6
2021-04-02,46,27,14,16,2,5
2021-04-03,72,7,26,5,1,5
2021-04-03,75,31,13,18,2,5
2021-04-04,38,12,26,7,1,6
2021-04-04,99,25,13,14,2,7
2021-04-05,35,19,22,13,3,5
2021-04-05,86,,,,,
2021-04-06,58,19,21,11,2,4
2021-04-07,122,,16,9,,8
2021-04-08,131,13,21,12,2,5
2021-04-09,57,12,22,12,1,6
2021-04-10,44,12,21,15,4,4
2021-04-11,56,13,20,10,0,7
2021-04-12,118,59,15,10,4,6
2021-04-13,91,18,23,6,2,3
2021-04-14,59,10,27,9,1,3
2021-04-15,40,19,18,15,2,5
2021-04-16,58,24,23,11,2,4
2021-04-17,64,15,21,11,5,5
2021-04-18,46,14,27,10,2,5
2021-04-19,46,8,31,5,3,2
2021-04-20,28,9,27,4,1,1
2021-04-21,36,9,27,5,1,2
2021-04-22,45,11,25,7,1,1
2021-04-23,43,9,24,5,1,1
2021-04-24,41,7,22,6,2,2
2021-04-25,46,10,20,6,1,3
2021-04-26,49,12,19,6,4,4
2021-04-27,48,13,19,7,3,4
2021-04-28,55,6,22,5,4,4
2021-04-29,45,9,25,7,1,6
2021-04-30,39,11,21,11,2,7
2021-05-01,44,12,23,10,7,7
2021-05-02,59,15,20,12,5,7
2021-05-03,67,12,23,11,2,8
2021-05-04,53,14,21,11,4,8
2021-05-05,64,12,28,12,2,4
2021-05-06,50,8,32,5,1,3
2021-05-07,35,11,30,5,1,3
2021-05-08,45,8,29,8,1,3
2021-05-09,47,10,29,5,3,4
2021-05-10,48,14,30,8,7,4
2021-05-11,77,9,31,5,1,4
2021-05-12,39,9,25,7,3,5
2021-05-13,45,7,24,6,3,2
2021-05-14,44,11,22,7,3,3
2021-05-15,48,10,21,8,3,4
2021-05-16,47,9,19,10,2,3
2021-05-17,40,6,27,4,1,3
2021-05-18,29,17,23,7,2,3
2021-05-19,50,24,28,5,1,3
2021-05-20,61,11,26,5,1,4
2021-05-21,40,7,26,7,0,4
2021-05-22,33,8,31,7,1,4
2021-05-23,31,8,33,3,1,3
2021-05-24,25,9,26,2,2,2
2021-05-25,31,11,23,2,1,1
2021-05-26,32,11,23,3,0,1
2021-05-27,32,9,25,3,1,1
2021-05-28,28,12,30,6,2,2
2021-05-29,34,19,28,8,4,3
2021-05-30,61,13,23,6,1,4
2021-05-31,45,6,26,3,0,3
2021-06-01,24,5,26,4,1,2
2021-06-02,31,8,29,2,0,1
2021-06-03,28,9,33,8,1,2
2021-06-04,35,19,19,9,1,4
2021-06-05,63,7,30,3,1,2
2021-06-06,30,10,32,5,1,3
2021-06-07,35,14,21,7,1,5
2021-06-08,50,14,29,4,0,4
2021-06-09,34,22,23,5,2,4
2021-06-10,53,12,21,7,1,5
2021-06-11,51,14,28,10,2,6
2021-06-12,65,18,24,7,1,6
2021-06-13,68,16,26,5,1,6
2021-06-14,58,12,23,5,1,3
2021-06-15,54,7,25,2,0,1
2021-06-16,31,8,31,4,1,1
2021-06-17,30,47,20,6,2,2
2021-06-18,52,16,31,4,1,2
2021-06-19,35,8,31,2,0,2
2021-06-20,33,10,29,2,0,2
2021-06-21,29,7,27,3,0,3
2021-06-22,21,10,26,6,1,4
2021-06-23,44,9,29,3,0,5
