time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,62,,,,,
2021-01-01,57,,,,,
2021-01-02,63,,,,,
2021-01-02,62,,,,,
2021-01-03,45,,,,,
2021-01-03,63,,,,,
2021-01-04,56,,,,,
2021-01-04,45,,,,,
2021-01-05,62,,,,,
2021-01-05,56,,,,,
2021-01-06,52,,,,,
2021-01-07,66,,,,,
2021-01-08,60,,,,,
2021-01-09,64,,,,,
2021-01-10,51,,,,,
2021-01-11,50,,,,,
2021-01-12,56,,,,,
2021-01-13,64,,,,,
2021-01-14,65,,,,,
2021-01-27,57,,,,,
2021-01-28,65,,,,,
2021-01-29,67,,,,,
2021-01-30,61,,,,,
2021-01-31,76,,,,,
2021-02-01,82,,,,,
2021-02-02,115,,,,,
2021-02-03,83,,,,,
2021-02-04,84,,,,,
2021-02-05,69,,,,,
2021-02-06,89,,,,,
2021-02-07,98,,,,,
2021-02-08,82,,,,,
2021-02-09,82,,,,,
2021-02-10,63,,,,,
2021-02-11,59,,,,,
2021-02-18,56,,,,,
2021-02-19,61,,,,,
2021-02-20,57,,,,,
2021-02-21,52,,,,,
2021-02-22,52,,,,,
2021-02-23,64,,,,,
2021-02-24,66,,,,,
2021-02-25,68,,,,,
2021-02-26,52,,,,,
2021-02-27,51,,,,,
2021-02-28,47,,,,,
2021-02-28,52,,,,,
2021-03-01,52,,,,,
2021-03-01,54,,,,,
2021-03-02,73,,,,,
2021-03-02,63,,,,,
2021-03-03,83,,,,,
2021-03-03,87,,,,,
2021-03-04,71,,,,,
2021-03-04,53,,,,,
2021-03-05,51,,,,,
2021-03-05,63,,,,,
2021-03-06,50,,,,,
2021-03-06,54,,,,,
2021-03-07,51,,,,,
2021-03-07,43,,,,,
2021-03-08,52,,,,,
2021-03-08,47,,,,,
2021-03-09,55,,,,,
2021-03-09,50,,,,,
2021-03-10,50,,,,,
2021-03-11,59,,,,,
2021-03-11,47,,,,,
2021-03-12,49,,,,,
2021-03-12,49,,,,,
2021-03-13,58,,,,,
2021-03-13,61,,,,,
2021-03-14,65,,,,,
2021-03-14,63,,,,,
2021-03-15,99,,,,,
2021-03-15,66,,,,,
2021-03-16,62,,,,,
2021-03-16,72,,,,,
2021-03-17,84,,,,,
2021-03-17,59,,,,,
2021-03-18,52,,,,,
2021-03-18,62,,,,,
2021-03-19,58,,,,,
2021-03-19,72,,,,,
2021-03-20,52,,,,,
2021-03-20,71,,,,,
2021-03-21,55,,,,,
2021-03-21,64,,,,,
2021-03-22,57,,,,,
2021-03-22,72,,,,,
2021-03-23,58,,,,,
2021-03-23,62,,,,,
2021-03-24,56,,,,,
2021-03-24,76,,,,,
2021-03-25,53,,,,,
2021-03-25,76,,,,,
2021-03-26,54,,,,,
2021-03-26,69,,,,,
2021-03-27,63,,,,,
2021-03-27,62,,,,,
2021-03-28,62,,,,,
2021-03-28,40,,,,,
2021-03-29,63,,,,,
2021-03-29,48,,,,,
2021-03-30,75,,,,,
2021-03-30,54,,,,,
2021-03-31,92,,,,,
2021-03-31,53,,,,,
2021-04-01,113,,,,,
2021-04-01,47,,,,,
2021-04-02,118,,,,,
2021-04-02,56,,,,,
2021-04-03,51,,,,,
2021-04-03,45,,,,,
2021-04-04,48,,,,,
2021-04-04,44,,,,,
2021-04-05,55,,,,,
2021-04-05,45,,,,,
2021-04-06,54,,,,,
2021-04-07,60,,,,,
2021-04-08,57,,,,,
2021-04-09,54,,,,,
2021-04-10,56,,,,,
2021-04-11,56,,,,,
2021-04-12,77,,,,,
2021-04-13,79,,,,,
2021-04-14,71,,,,,
2021-04-15,69,,,,,
2021-04-16,107,,,,,
2021-04-17,162,,,,,
2021-04-18,65,,,,,
2021-04-19,60,,,,,
2021-04-20,76,,,,,
2021-04-21,79,,,,,
2021-04-22,74,,,,,
2021-04-23,83,,,,,
2021-04-24,84,,,,,
2021-04-25,88,,,,,
2021-04-26,88,,,,,
2021-07-02,72,,,,,
2021-07-03,75,,,,,
2021-07-04,55,,,,,
2021-07-07,91,,,,,
2021-07-08,112,,,,,
2021-07-09,58,,,,,
2021-07-10,63,,,,,
2021-07-11,56,,,,,
2021-07-12,50,,,,,
2021-07-13,54,,,,,
2021-07-15,73,,,,,
2021-07-17,67,,,,,
2021-07-18,69,,,,,
2021-07-19,68,,,,,
2021-07-20,59,,,,,
2021-07-21,68,,,,,
2021-07-22,84,,,,,
2021-07-23,67,,,,,
2021-07-24,63,,,,,
2021-07-25,57,,,,,
2021-07-26,62,,,,,
2021-07-27,58,,,,,
2021-07-28,62,,,,,
2021-07-29,64,,,,,
2021-07-30,63,,,,,
2021-07-31,58,,,,,
2021-08-01,57,,,,,
2021-08-02,63,,,,,
2021-08-03,67,,,,,
2021-08-04,66,,,,,
2021-08-05,57,,,,,
2021-08-06,52,,,,,
2021-08-07,55,,,,,
2021-08-08,60,,,,,
2021-08-09,61,,,,,
2021-08-10,59,,,,,
2021-08-11,62,,,,,
2021-08-12,79,,,,,
2021-08-13,66,,,,,
2021-08-14,66,,,,,
2021-08-15,56,,,,,
2021-08-16,66,,,,,
2021-08-17,65,,,,,
2021-08-18,64,,,,,
2021-08-19,56,,,,,
2021-08-20,60,,,,,
2021-08-21,59,,,,,
2021-08-22,59,,,,,
2021-08-23,66,,,,,
2021-08-24,62,,,,,
2021-08-25,64,,,,,
2021-08-26,97,,,,,
2021-08-27,92,,,,,
2021-08-28,67,,,,,
2021-08-29,76,,,,,
2021-08-30,71,,,,,
2021-08-31,72,,,,,
2021-09-01,64,,,,,
2021-09-02,69,,,,,
2021-09-03,64,,,,,
2021-09-04,63,,,,,
2021-09-05,66,,,,,
2021-09-06,61,,,,,
2021-09-07,66,,,,,
2021-09-08,65,,,,,
2021-09-09,80,,,,,
2021-09-10,69,,,,,
2021-09-11,74,,,,,
2021-09-12,73,,,,,
2021-09-13,68,,,,,
2021-09-14,67,,,,,
2021-09-15,60,,,,,
2021-09-16,64,,,,,
2021-09-17,63,,,,,
2021-09-18,59,,,,,
2021-09-19,62,,,,,
2021-09-20,52,,,,,
2021-09-21,56,,,,,
2021-09-22,62,,,,,
2021-09-23,78,,,,,
2021-09-24,70,,,,,
2021-09-25,59,,,,,
2021-09-26,64,,,,,
2021-09-27,74,,,,,
2021-09-28,85,,,,,
2021-09-29,69,,,,,
2021-10-01,64,,,,,
2021-10-02,74,,,,,
2021-10-03,85,,,,,
2021-10-04,69,,,,,
2021-10-05,80,,,,,
2021-10-06,69,,,,,
2021-10-07,62,,,,,
2021-10-08,62,,,,,
2021-10-09,56,,,,,
2021-10-10,55,,,,,
2021-10-11,97,,,,,
2021-10-12,122,,,,,
2021-10-13,79,,,,,
2021-10-14,53,,,,,
2021-10-15,56,,,,,
2021-10-16,50,,,,,
2021-10-17,58,,,,,
2021-10-18,57,,,,,
2021-10-19,63,,,,,
2021-10-20,59,,,,,
2021-10-21,68,,,,,
2021-10-22,67,,,,,
2021-10-23,90,,,,,
2021-10-24,86,,,,,
2021-10-25,66,,,,,
2021-10-26,62,,,,,
2021-10-27,66,,,,,
2021-10-28,66,,,,,
2021-10-29,70,,,,,
2021-10-30,93,,,,,
2021-10-31,78,,,,,
2021-11-01,62,,,,,
2021-11-02,58,,,,,
2021-11-03,56,,,,,
2021-11-04,64,,,,,
2021-11-05,65,,,,,
2021-11-06,70,,,,,
2021-11-07,64,,,,,
2021-11-08,63,,,,,
2021-11-11,102,,,,,
2021-11-12,96,,,,,
2021-11-13,103,,,,,
2021-11-14,108,,,,,
2021-11-15,110,,,,,
2021-11-16,105,,,,,
2021-11-17,71,,,,,
2021-11-18,59,,,,,
2021-11-19,64,,,,,
2021-11-20,63,,,,,
2021-11-21,77,,,,,
2021-11-22,82,,,,,
2021-11-23,73,,,,,
2021-11-24,62,,,,,
2021-11-25,71,,,,,
2021-11-26,63,,,,,
2021-11-27,85,,,,,
2021-11-28,77,,,,,
2021-11-29,68,,,,,
2021-11-30,68,,,,,
2021-12-01,64,,,,,
2021-12-02,87,,,,,
2021-12-03,76,,,,,
2021-12-04,64,,,,,
2021-12-05,56,,,,,
2021-12-06,59,,,,,
2021-12-07,51,,,,,
2021-12-08,59,,,,,
2021-12-09,72,,,,,
2021-12-10,56,,,,,
2021-12-11,51,,,,,
2021-12-12,62,,,,,
2021-12-13,55,,,,,
2021-12-14,58,,,,,
2021-12-15,130,,,,,
2021-12-16,138,,,,,
2021-12-17,68,,,,,
2021-12-18,65,,,,,
2021-12-19,61,,,,,
2021-12-20,74,,,,,
2021-12-21,66,,,,,
2021-12-22,52,,,,,
2021-12-23,63,,,,,
2021-12-24,88,,,,,
2021-12-25,117,,,,,
2021-12-26,109,,,,,
2021-12-27,82,,,,,
2021-12-28,81,,,,,
2021-12-29,98,,,,,
2021-12-30,71,,,,,
2021-12-31,64,,,,,
2021-12-31,54,,,,,
2022-01-01,58,,,,,
2022-01-01,64,,,,,
2022-01-02,79,,,,,
2022-01-02,58,,,,,
2022-01-03,56,,,,,
2022-01-03,79,,,,,
2022-01-04,51,,,,,
2022-01-05,59,,,,,
2022-01-06,57,,,,,
2022-01-07,57,,,,,
2022-01-08,55,,,,,
2022-01-09,56,,,,,
2022-01-10,67,,,,,
2022-01-11,55,,,,,
2022-01-12,62,,,,,
2022-01-13,53,,,,,
2022-01-14,65,,,,,
2022-01-15,68,,,,,
2022-01-16,73,,,,,
2022-01-17,63,,,,,
2022-01-18,61,,,,,
2022-01-19,74,,,,,
2022-01-20,69,,,,,
2022-01-21,86,,,,,
2022-01-22,68,,,,,
2022-01-23,59,,,,,
2022-01-24,60,,,,,
2022-01-25,70,,,,,
2022-01-26,56,,,,,
2022-01-27,55,,,,,
2022-01-28,67,,,,,
2022-01-29,68,,,,,
2022-01-30,54,,,,,
2022-01-31,44,,,,,
2022-02-01,49,,,,,
2022-02-02,36,,,,,
2022-02-03,32,,,,,
2022-03-07,52,,,,,
2022-03-08,66,,,,,
2022-03-09,53,,,,,
2022-03-10,51,,,,,
2022-03-11,60,,,,,
2022-03-12,67,,,,,
2022-03-14,70,,,,,
2022-03-15,75,,,,,
2022-03-16,69,,,,,
2022-03-17,77,,,,,
2022-03-18,71,,,,,
2022-03-19,85,,,,,
2022-03-20,77,,,,,
2022-03-21,93,,,,,
2022-03-22,103,,,,,
2022-03-28,68,,,,,
2022-03-29,60,,,,,
2022-03-30,65,,,,,
2022-03-31,87,,,,,
2022-04-01,138,,,,,
2022-04-01,92,,,,,
2022-04-02,94,,,,,
2022-04-02,101,,,,,
2022-04-03,66,,,,,
2022-04-03,110,,,,,
2022-04-04,55,,,,,
2022-04-05,55,,,,,
2022-04-06,60,,,,,
2022-04-07,63,,,,,
2022-04-08,64,,,,,
2022-04-09,59,,,,,
2022-04-10,60,,,,,
2022-04-11,65,,,,,
2022-04-12,64,,,,,
2022-04-13,66,,,,,
2022-04-14,71,,,,,
2022-04-15,64,,,,,
2022-04-16,78,,,,,
2022-04-17,81,,,,,
2022-04-18,77,,,,,
2022-04-19,75,,,,,
2022-04-20,61,,,,,
