time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,43,38,22,3,0,
2021-01-01,16,33,22,4,0,
2021-01-02,39,29,23,2,0,
2021-01-02,43,38,22,3,0,
2021-01-03,50,25,20,1,0,
2021-01-03,39,29,23,2,0,
2021-01-04,49,30,23,3,0,
2021-01-04,50,25,20,1,0,
2021-01-05,53,27,18,1,0,
2021-01-05,49,,,,,
2021-01-06,41,14,15,1,0,
2021-01-07,30,12,15,1,0,
2021-01-08,27,13,21,1,0,
2021-01-09,30,7,19,1,0,
2021-01-10,10,8,13,2,0,
2021-01-11,13,5,20,3,0,
2021-01-12,7,5,18,2,0,
2021-01-13,9,4,20,4,0,
2021-01-14,7,3,20,1,0,
2021-01-15,6,1,21,4,0,
2021-01-16,5,3,24,1,0,
2021-01-17,6,2,22,0,0,
2021-01-18,5,1,20,2,0,
2021-01-19,4,2,19,1,0,
2021-01-20,5,4,15,2,0,
2021-01-21,7,8,14,1,0,
2021-01-22,23,4,20,1,0,
2021-01-23,9,3,19,1,0,
2021-01-24,7,4,14,2,0,
2021-01-25,8,19,15,1,0,
2021-01-26,23,22,15,1,0,
2021-01-27,46,11,25,0,0,
2021-01-28,24,8,14,2,0,
2021-01-29,21,10,11,4,0,
2021-01-30,35,7,15,4,0,
2021-01-31,21,7,12,2,0,
2021-02-01,15,8,20,0,0,
2021-02-02,15,5,23,1,0,
2021-02-03,15,7,24,1,0,
2021-02-04,6,4,23,1,0,
2021-02-05,6,9,27,1,0,
2021-02-06,15,3,23,0,0,
2021-02-07,7,3,26,1,0,
2021-02-08,5,6,25,1,0,
2021-02-09,11,6,21,6,0,
2021-02-10,15,5,13,3,0,
2021-02-11,13,6,17,4,0,
2021-02-12,15,8,17,2,0,
2021-02-13,21,13,13,3,0,
2021-02-14,30,14,15,1,0,
2021-02-15,41,13,13,0,0,
2021-02-16,37,24,13,1,2,
2021-02-17,43,3,18,1,0,
2021-02-18,9,5,27,1,0,
2021-02-19,21,3,26,0,0,
2021-02-20,7,2,23,0,0,
2021-02-21,8,2,23,0,0,
2021-02-22,5,3,25,1,0,
2021-02-23,5,3,24,2,0,
2021-02-24,6,6,17,7,0,
2021-02-25,16,4,24,1,0,
2021-02-26,13,1,21,2,0,
2021-02-27,4,4,11,2,0,
2021-02-28,15,9,7,2,0,
2021-03-01,32,7,11,2,0,
2021-03-02,24,5,11,1,0,
2021-03-03,16,10,17,1,0,
2021-03-04,36,5,14,1,0,
2021-03-05,14,8,14,1,0,
2021-03-06,23,13,15,1,0,
2021-03-07,41,10,20,0,0,
2021-03-08,40,52,24,1,23,
2021-03-09,24,106,20,2,,
2021-03-10,32,15,19,2,0,
2021-03-11,21,19,18,3,0,
2021-03-12,50,12,13,4,0,
2021-03-13,30,11,21,1,0,
2021-03-14,34,12,20,4,0,
2021-03-15,36,11,10,3,0,
2021-03-16,42,15,7,2,0,
2021-03-17,54,10,12,2,0,
2021-03-18,32,4,16,3,0,
2021-03-19,7,2,9,3,0,
2021-03-20,4,3,12,3,0,
2021-03-21,8,6,17,0,0,
2021-03-22,23,7,15,0,0,
2021-03-23,23,7,12,1,0,
2021-03-24,27,7,14,1,0,
2021-03-25,21,3,19,0,0,
2021-03-26,8,4,14,3,0,
2021-03-27,13,5,14,1,0,
2021-03-28,20,4,20,1,0,
2021-03-29,16,6,19,0,0,
2021-03-30,12,2,18,2,0,
2021-03-31,9,6,17,1,0,
2021-04-01,,5,6,3,0,
2021-04-01,22,5,13,1,0,
2021-04-02,15,8,9,11,0,
2021-04-02,16,5,17,2,0,
2021-04-03,29,10,6,9,0,
2021-04-03,20,3,16,1,0,
2021-04-04,34,10,10,3,0,
2021-04-04,10,1,13,0,0,
2021-04-05,35,6,15,3,0,
2021-04-05,7,,,,,
2021-04-06,23,11,13,7,0,
2021-04-07,41,23,13,7,,
2021-04-08,60,11,17,2,0,
2021-04-09,35,10,16,1,0,
2021-04-10,38,15,12,4,0,
2021-04-11,45,14,25,6,0,
2021-04-12,46,17,23,1,1,
2021-04-13,30,14,23,5,1,
2021-04-14,45,11,28,3,2,
2021-04-15,32,8,23,3,1,
2021-04-16,29,10,20,2,1,
2021-04-17,41,14,26,3,0,
2021-04-18,54,12,23,3,0,
2021-04-19,33,28,21,4,0,
2021-04-20,74,15,20,3,0,
2021-04-21,51,22,19,1,0,
2021-04-22,52,6,16,2,0,
2021-04-23,21,7,20,4,0,
2021-04-24,25,16,17,7,0,
2021-04-25,54,9,9,4,0,
2021-04-26,27,3,10,4,0,
2021-04-27,13,5,11,7,0,
2021-04-28,18,6,15,2,0,
2021-04-29,20,3,23,1,0,
2021-04-30,11,5,23,2,0,
2021-05-01,20,8,22,3,0,
2021-05-02,25,7,26,2,0,
2021-05-03,16,10,24,3,0,
2021-05-04,24,6,29,4,,
2021-05-05,9,4,32,1,0,
2021-05-06,9,6,29,8,0,
2021-05-07,14,11,19,15,0,
2021-05-08,34,13,17,17,0,
2021-05-09,44,13,23,20,1,
2021-05-10,40,4,29,6,0,
2021-05-11,14,9,27,7,1,
2021-05-12,24,4,30,2,2,
2021-05-13,7,4,29,8,2,
2021-05-14,10,3,30,3,0,
2021-05-15,7,6,28,4,0,
2021-05-16,14,14,18,13,1,
2021-05-17,42,11,25,6,0,
2021-05-18,34,18,28,4,3,
2021-05-19,57,17,23,5,3,
2021-05-20,53,18,26,4,3,
2021-05-21,58,11,25,4,1,
2021-05-22,32,14,19,4,2,
2021-05-23,42,9,22,2,1,
2021-05-24,22,10,26,3,0,
2021-05-25,23,5,27,1,0,
2021-05-26,9,4,28,2,0,
