time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,26,36,23,3,0,
2021-01-01,11,32,20,4,0,
2021-01-02,39,29,26,1,0,
2021-01-02,26,36,23,3,0,
2021-01-03,42,29,26,0,0,
2021-01-03,39,29,26,1,0,
2021-01-04,49,24,27,3,0,
2021-01-04,42,29,26,0,0,
2021-01-05,42,19,25,2,0,
2021-01-05,49,,,,,
2021-01-06,32,13,26,3,0,
2021-01-07,23,15,19,5,0,
2021-01-08,31,16,25,4,0,
2021-01-09,29,7,21,1,0,
2021-01-10,11,7,19,3,0,
2021-01-11,14,9,25,4,0,
2021-01-12,17,12,18,9,0,
2021-01-13,29,10,29,3,0,
2021-01-14,24,5,24,2,0,
2021-01-15,9,4,21,4,0,
2021-01-16,9,13,21,5,0,
2021-01-17,32,8,23,3,0,
2021-01-18,25,4,21,2,0,
2021-01-19,23,4,17,5,0,
2021-01-20,7,4,8,5,0,
2021-01-21,36,14,15,3,0,
2021-01-22,42,5,23,2,0,
2021-01-23,10,7,20,3,0,
2021-01-24,19,7,19,3,0,
2021-01-25,19,10,15,3,0,
2021-01-26,23,19,16,2,0,
2021-01-27,41,12,21,6,0,
2021-01-28,27,16,15,8,0,
2021-01-29,41,10,11,4,0,
2021-01-30,27,18,17,6,0,
2021-01-31,35,12,10,3,0,
2021-02-01,24,11,20,2,0,
2021-02-02,18,9,22,3,0,
2021-02-03,22,12,21,4,0,
2021-02-04,19,7,24,1,0,
2021-02-05,13,9,22,3,0,
2021-02-06,8,6,21,2,0,
2021-02-07,11,6,22,4,0,
2021-02-08,13,11,17,5,0,
2021-02-09,29,22,19,8,0,
2021-02-10,21,25,7,10,0,
2021-02-11,49,17,10,7,0,
2021-02-12,32,16,11,3,0,
2021-02-13,29,18,11,2,0,
2021-02-14,39,14,10,1,0,
2021-02-15,41,13,14,2,0,
2021-02-16,30,9,12,2,0,
2021-02-17,21,7,19,2,0,
2021-02-18,16,8,27,1,0,
2021-02-19,25,5,27,3,0,
2021-02-20,16,7,22,4,0,
2021-02-21,17,7,23,2,0,
2021-02-22,26,11,27,3,0,
2021-02-23,19,8,24,6,0,
2021-02-24,34,12,14,6,0,
2021-02-25,14,12,21,2,0,
2021-02-26,32,4,22,3,0,
2021-02-27,16,4,13,2,0,
2021-02-28,11,11,8,1,0,
2021-03-01,28,7,6,3,0,
2021-03-02,23,10,9,4,0,
2021-03-03,34,21,15,4,0,
2021-03-04,47,14,12,2,0,
2021-03-05,21,17,14,1,0,
2021-03-06,27,14,14,1,0,
2021-03-07,36,13,22,1,0,
2021-03-08,37,14,22,2,0,
2021-03-09,21,20,21,2,0,
2021-03-10,26,21,19,3,0,
2021-03-11,27,25,18,5,0,
2021-03-12,32,14,17,4,0,
2021-03-13,36,12,23,2,0,
2021-03-14,39,13,21,3,0,
2021-03-15,46,15,13,4,0,
2021-03-16,43,18,15,7,0,
2021-03-17,53,11,13,5,0,
2021-03-18,43,9,18,8,0,
2021-03-19,22,11,17,7,0,
2021-03-20,31,15,13,5,0,
2021-03-21,44,17,15,3,0,
2021-03-22,53,12,14,2,0,
2021-03-23,36,10,15,3,0,
2021-03-24,34,10,19,5,0,
2021-03-25,27,9,20,4,0,
2021-03-26,22,5,16,2,0,
2021-03-27,15,7,12,5,0,
2021-03-28,21,7,21,2,0,
2021-03-29,25,6,20,1,0,
2021-03-30,19,5,19,1,0,
2021-03-31,15,7,17,3,0,
2021-04-01,,6,11,3,0,
2021-04-01,21,15,15,4,0,
2021-04-02,20,7,17,2,0,
2021-04-02,39,15,16,3,0,
2021-04-03,19,7,12,2,0,
2021-04-03,37,7,18,2,0,
2021-04-04,22,7,16,4,0,
2021-04-04,26,14,14,4,0,
2021-04-05,22,6,16,3,0,
2021-04-05,42,,,,,
2021-04-06,21,9,17,3,0,
2021-04-07,30,25,18,8,0,
2021-04-08,68,10,16,4,0,
2021-04-09,35,11,16,2,0,
2021-04-10,33,11,18,3,0,
2021-04-11,39,12,22,6,0,
2021-04-12,41,13,14,9,0,
2021-04-13,40,20,10,7,1,
2021-04-14,60,17,15,7,1,
2021-04-15,56,17,15,7,0,
2021-04-16,56,20,9,14,0,
2021-04-17,62,12,23,6,0,
2021-04-18,40,16,23,3,0,
2021-04-19,51,26,24,12,0,
2021-04-20,70,19,20,5,0,
2021-04-21,56,16,20,3,0,
2021-04-22,51,8,19,6,0,
2021-04-23,32,5,22,3,0,
2021-04-24,15,19,12,10,0,
2021-04-25,48,10,11,4,0,
2021-04-26,32,6,14,5,0,
2021-04-27,18,8,17,2,0,
2021-04-28,26,9,18,3,0,
2021-04-29,30,11,21,7,0,
2021-04-30,37,11,26,3,0,
2021-05-01,36,12,21,5,0,
2021-05-02,43,8,21,5,0,
2021-05-03,25,15,21,5,0,
