time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,,24,30,1,,0
2021-01-01,,22,41,4,3,1
2021-01-02,,15,31,1,,1
2021-01-02,,23,30,1,,0
2021-01-03,,14,33,1,3,0
2021-01-03,,24,31,1,,1
2021-01-04,,15,31,1,3,0
2021-01-04,,15,33,1,3,0
2021-01-05,,15,34,6,3,0
2021-01-05,,14,,,,
2021-01-06,,25,36,9,3,5
2021-01-06,,15,,,,
2021-01-07,,28,37,6,3,1
2021-01-08,,23,29,6,3,0
2021-01-09,,22,30,5,3,1
2021-01-10,,26,34,3,3,0
2021-01-11,,27,34,3,3,0
2021-01-12,,20,37,6,3,0
2021-01-13,,22,36,3,3,0
2021-01-14,,25,32,3,3,1
2021-01-15,,20,35,6,3,1
2021-01-16,,26,41,5,3,1
2021-01-17,,27,43,4,3,1
2021-01-18,,27,38,6,3,0
2021-01-19,,24,40,5,3,1
2021-01-20,,32,26,8,1,0
2021-01-21,,20,17,10,2,1
2021-01-22,,19,31,5,2,0
2021-01-23,,17,33,3,2,0
2021-01-24,,14,33,2,2,0
2021-01-25,,13,31,1,4,0
2021-01-26,,20,31,2,2,1
2021-01-27,,11,29,8,4,1
2021-01-28,,19,33,8,3,2
2021-01-29,,22,34,7,3,1
2021-01-30,,23,35,6,3,0
2021-01-31,,21,36,5,3,1
2021-02-01,,25,30,6,3,1
2021-02-02,,28,27,9,2,1
2021-02-03,,33,34,7,3,1
2021-02-04,,36,35,4,3,1
2021-02-05,,36,25,4,3,1
2021-02-06,,93,36,2,3,1
2021-02-07,,17,33,4,3,1
2021-02-08,,19,28,5,3,1
2021-02-09,,18,30,5,3,1
2021-02-10,,20,34,5,3,1
2021-02-11,,24,30,5,3,1
2021-02-12,,23,30,7,3,1
2021-02-13,,29,23,6,3,1
2021-02-14,,31,22,4,0,1
2021-02-15,,20,28,4,2,1
2021-02-16,,22,27,6,5,1
2021-02-17,,26,24,5,5,1
2021-02-18,,29,28,5,2,1
2021-02-19,,27,30,5,2,1
2021-02-20,,27,34,2,3,1
2021-02-21,,28,36,2,2,1
2021-02-22,,21,34,5,5,1
2021-02-23,,22,35,5,2,1
2021-02-24,,24,32,7,3,1
2021-02-25,,28,28,9,2,1
2021-02-26,,10,28,4,3,1
2021-02-27,,12,25,3,3,1
2021-02-28,,17,30,3,3,1
2021-03-01,,17,31,4,3,1
2021-03-02,,21,29,6,3,1
2021-03-03,,23,31,3,3,1
2021-03-04,,19,32,6,3,2
2021-03-05,,23,34,2,3,2
2021-03-06,,11,31,0,3,2
2021-03-07,,10,32,0,3,2
2021-03-08,,13,37,1,3,2
2021-03-09,,12,37,0,3,1
2021-03-10,,13,32,1,3,1
2021-03-11,,12,28,2,3,2
2021-03-12,,12,29,2,3,1
2021-03-13,,10,29,0,3,1
2021-03-14,,9,31,5,3,1
2021-03-15,,17,20,6,3,2
2021-03-16,,25,35,4,3,1
2021-03-17,,17,24,6,3,1
2021-03-18,,18,29,6,3,2
2021-03-19,,15,26,7,3,2
2021-03-20,,21,23,6,3,2
2021-03-21,,30,28,2,,2
2021-03-22,,17,25,8,3,1
2021-03-23,,18,26,8,3,2
2021-03-24,,22,30,5,3,1
2021-03-25,,22,32,3,3,2
2021-03-26,,23,31,3,3,2
2021-03-27,,25,32,3,3,1
2021-03-28,,18,34,3,3,2
2021-03-29,,19,35,1,3,2
2021-03-30,,15,33,2,3,1
2021-03-31,,15,33,1,3,1
2021-04-01,,,34,4,3,2
2021-04-01,,14,35,2,3,2
2021-04-02,,15,31,5,3,2
2021-04-02,,15,36,1,3,2
2021-04-03,,18,33,3,3,2
2021-04-03,,14,30,2,3,1
2021-04-04,,15,29,5,3,2
2021-04-04,,12,31,1,3,2
2021-04-05,,11,32,3,3,3
2021-04-05,,14,,,,
2021-04-06,,10,34,2,3,3
2021-04-07,,9,25,2,3,2
2021-04-08,,13,27,5,3,2
2021-04-09,,13,31,3,3,2
2021-04-10,,18,29,6,3,3
2021-04-11,,20,37,3,3,2
2021-04-12,,18,34,4,3,1
2021-04-13,,22,36,4,3,2
2021-04-14,,17,34,5,3,2
2021-04-15,,25,31,8,3,2
2021-04-16,,31,35,5,3,1
2021-04-17,,24,26,10,3,1
2021-04-18,,28,29,5,3,1
2021-04-19,,20,38,2,3,0
2021-04-20,,18,37,1,3,2
2021-04-21,,13,36,1,3,2
2021-04-22,,13,34,3,3,2
2021-04-23,,14,34,0,3,2
2021-04-24,,9,25,1,3,2
2021-04-25,,9,19,10,3,2
2021-04-26,,20,28,3,3,2
2021-04-27,,21,37,0,3,2
2021-04-28,,13,37,0,3,2
2021-04-29,,17,31,0,3,2
2021-04-30,,11,30,1,3,2
2021-05-01,,18,26,3,3,2
2021-05-02,,17,21,7,3,2
2021-05-03,,16,39,5,2,2
2021-05-04,,48,33,3,3,2
2021-05-05,,18,35,1,,2
2021-05-06,,15,37,2,3,2
2021-05-07,,15,31,3,3,2
2021-05-08,,16,31,4,2,2
2021-05-09,,12,27,2,3,2
2021-05-10,,11,37,1,3,2
2021-05-11,,13,35,3,3,3
2021-05-12,,21,40,2,3,2
2021-05-13,,20,37,3,3,2
2021-05-14,,22,38,5,3,3
2021-05-15,,22,32,6,3,3
2021-05-16,,45,48,3,3,2
