time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,,16,32,1,3,
2021-01-02,,22,34,1,1,
2021-01-03,,11,38,2,1,
2021-01-04,,14,37,3,2,
2021-01-05,,15,39,2,1,
2021-01-06,,12,37,2,1,
2021-01-07,,13,39,3,1,
2021-01-08,,11,31,2,1,
2021-01-09,,13,30,2,1,
2021-01-10,,10,19,5,2,
2021-01-11,,11,33,3,1,
2021-01-12,,10,40,2,1,
2021-01-13,,10,39,2,0,
2021-01-14,,25,37,2,0,
2021-01-15,,14,35,3,7,
2021-01-16,,14,44,2,1,
2021-01-17,,15,44,3,1,
2021-01-18,,14,40,2,0,
2021-01-19,,13,45,3,1,
2021-01-20,,17,33,1,1,
2021-01-21,,18,29,1,1,
2021-01-22,,13,37,1,1,
2021-01-23,,9,38,1,1,
2021-01-24,,8,35,1,2,
2021-01-25,,12,33,1,0,
2021-01-26,,10,35,1,2,
2021-01-27,,9,34,2,1,
2021-01-28,,9,37,4,1,
2021-01-29,,14,29,3,4,
2021-01-30,,11,7,2,1,
2021-01-31,,9,4,3,1,
2021-02-01,,14,4,2,1,
2021-02-02,,12,37,2,1,
2021-02-03,,13,34,2,2,
2021-02-04,,14,33,3,0,
2021-02-05,,26,25,3,1,
2021-02-06,,110,38,1,0,
2021-02-07,,34,32,2,1,
2021-02-08,,11,34,2,1,
2021-02-09,,13,34,2,1,
2021-02-10,,12,36,2,1,
2021-02-11,,10,34,2,1,
2021-02-12,,10,45,2,6,
2021-02-13,,17,34,1,1,
2021-02-14,,19,29,1,1,
2021-02-15,,14,25,2,1,
2021-02-16,,13,29,3,1,
2021-02-17,,16,28,1,1,
2021-02-18,,16,31,3,1,
2021-02-19,,14,34,2,1,
2021-02-20,,17,34,3,1,
2021-02-21,,14,35,2,1,
2021-02-22,,15,36,2,1,
2021-02-23,,14,39,2,1,
2021-02-24,,13,40,2,1,
2021-02-25,,17,39,4,1,
2021-02-26,,41,31,3,12,
2021-02-27,,22,31,3,1,
2021-02-28,,9,29,6,1,
2021-03-01,,10,36,6,1,
2021-03-02,,14,38,4,1,
2021-03-03,,13,31,4,2,
2021-03-04,,14,34,5,1,
2021-03-05,,11,34,2,0,
2021-03-06,,15,31,3,1,
2021-03-07,,8,31,3,1,
2021-03-08,,8,34,2,1,
2021-03-09,,13,35,2,1,
2021-03-10,,17,33,3,1,
2021-03-11,,10,29,3,1,
2021-03-12,,15,27,2,1,
2021-03-13,,17,33,1,1,
2021-03-14,,15,23,5,1,
