time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,,8,50,1,2,
2021-01-01,,7,51,2,1,
2021-01-02,,13,37,7,1,
2021-01-02,,17,43,3,2,
2021-01-03,,12,47,8,1,
2021-01-03,,25,25,0,2,
2021-01-04,,16,33,9,1,
2021-01-04,,8,50,1,2,
2021-01-05,,21,31,3,1,
2021-01-05,,13,,,,
2021-01-06,,18,28,4,1,
2021-01-07,,15,26,4,1,
2021-01-08,,13,28,2,1,
2021-01-09,,13,32,1,1,
2021-01-10,,10,30,3,1,
2021-01-11,,12,27,5,1,
2021-01-12,,15,27,6,1,
2021-01-13,,11,29,6,1,
2021-01-14,,10,32,9,1,
2021-01-15,,14,35,6,1,
2021-01-16,,10,41,5,1,
2021-01-17,,10,39,4,1,
2021-01-18,,26,34,3,1,
2021-01-19,,66,23,8,2,
2021-01-20,,69,26,3,1,
2021-01-21,,18,30,3,1,
2021-01-22,,9,33,1,1,
2021-01-23,,11,28,5,1,
2021-01-24,,15,27,8,1,
2021-01-25,,10,26,11,1,
2021-01-26,,17,30,10,1,
2021-01-27,,14,20,4,1,
2021-01-28,,8,26,6,1,
2021-01-29,,11,29,2,1,
2021-01-30,,8,37,3,1,
2021-01-31,,13,30,6,1,
2021-02-01,,13,27,2,1,
2021-02-02,,14,31,1,1,
2021-02-03,,21,27,3,1,
2021-02-04,,35,27,2,1,
2021-02-05,,36,24,3,1,
2021-02-06,,12,22,10,1,
2021-02-07,,19,22,7,1,
2021-02-08,,16,24,9,1,
2021-02-09,,16,25,7,1,
2021-02-10,,16,23,4,2,
2021-02-11,,19,22,6,1,
2021-02-12,,22,22,1,2,
2021-02-13,,20,20,4,1,
2021-02-14,,19,23,9,1,
2021-02-15,,24,20,9,1,
2021-02-16,,18,23,6,1,
2021-02-17,,17,30,8,1,
2021-02-18,,21,36,3,1,
2021-02-19,,19,39,2,1,
2021-02-20,,13,34,9,1,
2021-02-21,,19,35,11,1,
2021-02-22,,22,39,14,1,
2021-02-23,,20,32,3,2,
2021-02-24,,21,31,5,2,
2021-02-25,,22,28,1,2,
2021-02-26,,14,29,2,1,
2021-02-27,,30,26,3,2,
2021-02-28,,21,19,12,2,
2021-03-01,,37,23,6,2,
2021-03-02,,23,34,9,2,
2021-03-03,,26,30,3,3,
2021-03-04,,24,22,4,2,
2021-03-05,,20,24,,2,
2021-03-06,,21,30,2,3,
2021-03-07,,20,32,,2,
2021-03-08,,21,25,3,2,
2021-03-09,,23,25,3,2,
2021-03-10,,20,17,3,2,
2021-03-11,,19,28,6,3,
2021-03-12,,24,25,5,2,
2021-03-13,,27,22,10,2,
2021-03-14,,30,19,6,3,
2021-03-15,,26,22,9,2,
2021-03-16,,28,19,5,,
2021-03-17,,31,21,8,2,
2021-03-18,,36,27,7,2,
2021-03-19,,33,21,2,2,
2021-03-20,,21,17,8,2,
2021-03-21,,27,18,8,2,
2021-03-22,,27,27,4,2,
2021-03-23,,23,19,4,2,
2021-03-24,,24,27,0,2,
2021-03-25,,24,24,1,2,
2021-03-26,,20,,,,
2021-03-30,,,32,1,2,
2021-03-31,,24,31,0,3,
2021-04-01,,,29,8,2,
2021-04-01,,20,,,,
2021-04-02,,23,33,4,2,
2021-04-03,,21,32,4,2,
2021-04-04,,18,33,4,2,
2021-04-05,,20,35,1,3,
2021-04-06,,18,34,0,2,
2021-04-07,,25,30,7,2,
2021-04-08,,28,26,12,2,
2021-04-09,,30,22,13,2,
2021-04-10,,27,19,15,2,
2021-04-11,,29,25,8,2,
2021-04-12,,24,26,1,2,
2021-04-13,,23,,,,
2021-04-14,,,22,5,2,
2021-04-15,,32,24,7,2,
2021-04-16,,28,22,3,2,
2021-04-17,,35,21,2,2,
2021-04-18,,28,22,1,3,
2021-04-19,,37,,,,
2021-04-20,,,22,0,3,
2021-04-21,,22,19,3,3,
2021-04-22,,29,20,5,2,
2021-04-23,,29,10,4,3,
2021-04-24,,24,12,7,2,
2021-04-25,,28,14,4,3,
2021-04-26,,24,21,2,3,
2021-04-27,,24,21,0,2,
2021-04-28,,24,22,1,3,
2021-04-29,,23,19,1,3,
2021-04-30,,29,15,3,3,
2021-05-01,,35,16,5,3,
2021-05-02,,30,17,8,3,
2021-05-03,,73,25,3,3,
2021-05-04,,85,18,2,3,
2021-05-05,,22,19,1,3,
2021-05-06,,25,20,2,3,
2021-05-07,,27,22,5,2,
2021-05-08,,27,22,7,2,
2021-05-09,,27,13,3,3,
2021-05-10,,361,24,3,2,
2021-05-11,,23,24,1,2,
2021-05-12,,24,23,1,2,
2021-05-13,,27,21,8,2,
2021-05-14,,27,26,8,2,
2021-05-15,,30,34,6,2,
2021-05-16,,29,31,5,2,
2021-05-17,,32,34,3,2,
2021-05-18,,32,23,3,3,
2021-05-19,,110,22,5,2,
2021-05-20,,33,21,5,2,
2021-05-21,,29,28,2,2,
2021-05-22,,40,27,3,2,
2021-05-23,,30,27,4,2,
2021-05-24,,42,27,2,3,
2021-05-25,,52,28,1,2,
2021-05-26,,44,34,0,3,
2021-05-27,,54,31,3,2,
2021-05-28,,59,27,2,1,
2021-05-29,,88,29,3,1,
2021-05-30,,47,29,2,1,
2021-05-31,,41,28,1,1,
2021-06-01,,37,25,0,1,
2021-06-02,,35,19,1,2,
2021-06-03,,31,17,4,1,
2021-06-04,,34,24,5,1,
2021-06-05,,31,29,1,1,
2021-06-06,,42,20,2,1,
2021-06-07,,35,20,2,1,
2021-06-08,,29,20,1,1,
2021-06-09,,26,25,3,1,
2021-06-10,,29,21,3,1,
2021-06-11,,28,23,3,1,
2021-06-12,,32,22,1,2,
2021-06-13,,73,20,3,3,
2021-06-14,,111,26,1,3,
2021-06-15,,36,29,1,3,
2021-06-16,,26,22,2,3,
2021-06-17,,28,30,2,3,
2021-06-18,,27,29,3,3,
2021-06-19,,31,27,4,3,
2021-06-20,,35,31,5,3,
2021-06-21,,32,20,2,4,
2021-06-22,,24,24,0,3,
2021-06-23,,24,19,2,3,
2021-06-24,,27,30,2,3,
2021-06-25,,32,29,2,3,
2021-06-26,,33,30,1,4,
2021-06-27,,31,25,1,4,
2021-06-28,,33,27,3,4,
2021-06-29,,34,23,1,3,
2021-06-30,,29,,,,
2021-07-01,,,30,1,4,
2021-07-02,,31,25,1,4,
2021-07-03,,33,27,3,4,
2021-07-04,,34,23,1,3,
2021-07-05,,29,32,2,4,
2021-07-06,,28,25,3,4,
2021-07-07,,34,27,2,2,
2021-07-08,,38,31,1,0,
2021-07-09,,23,23,2,1,
2021-07-10,,29,10,2,1,
2021-07-11,,22,25,1,1,
2021-07-12,,26,23,1,1,
2021-07-13,,33,21,1,1,
2021-07-14,,21,30,2,0,
2021-07-15,,25,19,5,1,
2021-07-16,,25,27,1,1,
2021-07-17,,24,27,3,0,
2021-07-18,,20,31,2,0,
2021-07-19,,22,34,1,3,
2021-07-20,,22,26,3,1,
2021-07-21,,28,20,3,0,
2021-07-22,,115,25,2,0,
2021-07-23,,121,32,2,0,
2021-07-24,,22,21,0,0,
2021-07-25,,25,27,0,0,
2021-07-26,,30,21,0,0,
2021-07-27,,32,24,3,0,
2021-07-28,,37,22,2,0,
2021-07-29,,25,20,1,0,
2021-07-30,,30,29,2,0,
2021-07-31,,34,30,1,0,
2021-08-01,,29,27,1,0,
2021-08-02,,30,30,2,0,
2021-08-03,,27,18,4,0,
2021-08-04,,23,24,2,0,
2021-08-05,,24,27,2,0,
2021-08-06,,23,18,0,0,
2021-08-07,,27,25,2,0,
2021-08-08,,30,29,1,0,
2021-08-09,,35,24,2,0,
2021-08-10,,26,28,1,0,
2021-08-11,,77,33,2,0,
2021-08-12,,31,29,1,0,
2021-08-13,,20,23,0,1,
2021-08-14,,26,30,0,0,
2021-08-15,,24,29,1,0,
2021-08-16,,26,25,1,0,
2021-08-17,,29,26,0,0,
2021-08-18,,171,30,1,0,
2021-08-19,,27,24,1,0,
2021-08-20,,28,30,1,0,
2021-08-21,,30,30,1,1,
2021-08-22,,32,18,0,0,
2021-08-23,,25,22,3,0,
2021-08-24,,19,29,3,0,
2021-08-25,,25,28,3,0,
2021-08-26,,33,29,4,0,
2021-08-27,,424,21,4,0,
2021-08-28,,40,29,5,0,
2021-08-29,,895,21,3,0,
2021-08-30,,,24,5,0,
2021-08-31,,333,17,11,0,
2021-09-01,,,1,11,0,
2021-09-02,,895,28,3,0,
2021-09-03,,34,12,4,0,
2021-09-04,,30,,,,
2021-09-06,,,17,4,0,
2021-09-07,,20,,4,0,
2021-09-08,,20,21,4,0,
2021-09-09,,12,15,12,0,
2021-09-10,,11,,,,
2021-09-12,,,39,,0,
2021-09-13,,16,35,,0,
2021-09-14,,22,29,,,
2021-09-15,,,22,6,0,
2021-09-16,,15,22,4,0,
2021-09-17,,37,20,4,0,
2021-09-18,,24,16,7,0,
2021-09-19,,29,23,2,0,
2021-09-20,,27,19,3,0,
2021-09-21,,28,21,5,0,
2021-09-22,,21,25,4,0,
2021-09-23,,18,24,3,0,
2021-09-24,,16,21,2,0,
2021-09-25,,12,23,2,0,
2021-09-26,,12,21,3,0,
2021-09-27,,18,21,3,0,
2021-09-28,,31,21,5,0,
2021-09-29,,24,22,2,0,
2021-09-30,,,20,3,0,
2021-09-30,,15,20,3,0,
2021-10-01,,27,20,6,0,
2021-10-01,,27,20,6,0,
2021-10-02,,32,28,2,0,
2021-10-02,,32,28,2,0,
2021-10-03,,28,32,3,0,
2021-10-03,,28,32,3,0,
2021-10-04,,24,25,7,0,
2021-10-04,,24,,,,
2021-10-05,,38,,,,
2021-10-06,,,27,4,0,
2021-10-07,,26,25,0,0,
2021-10-08,,12,28,4,0,
2021-10-09,,19,26,2,,
2021-10-10,,17,28,2,,
2021-10-11,,9,28,5,0,
2021-10-12,,44,20,3,,
2021-10-13,,29,23,5,,
2021-10-14,,20,24,8,,
2021-10-15,,19,23,6,,
2021-10-16,,26,25,5,1,
2021-10-17,,18,33,5,0,
2021-10-18,,16,28,7,0,
2021-10-19,,23,29,6,0,
2021-10-20,,32,18,3,0,
2021-10-21,,19,31,5,,
2021-10-22,,20,31,4,,
2021-10-23,,28,31,10,0,
2021-10-24,,34,34,2,0,
2021-10-25,,24,27,4,0,
2021-10-26,,24,32,6,0,
2021-10-27,,30,30,5,0,
2021-10-28,,20,30,4,0,
2021-10-29,,24,24,4,0,
2021-10-30,,47,32,3,0,
2021-10-31,,33,25,1,0,
2021-11-01,,14,30,4,0,
2021-11-02,,26,31,4,0,
2021-11-03,,16,30,5,0,
2021-11-04,,32,34,6,0,
2021-11-05,,25,40,4,0,
2021-11-06,,31,34,5,0,
2021-11-07,,24,29,4,0,
2021-11-08,,23,27,5,0,
2021-11-09,,23,23,5,0,
2021-11-10,,30,28,6,0,
2021-11-11,,51,28,8,0,
2021-11-12,,63,26,10,0,
2021-11-13,,56,26,9,0,
2021-11-14,,51,24,7,0,
2021-11-15,,55,27,5,0,
2021-11-16,,52,28,3,0,
2021-11-17,,37,29,6,0,
2021-11-18,,41,27,3,0,
2021-11-19,,20,29,3,1,
2021-11-20,,14,33,2,0,
2021-11-21,,14,35,4,0,
2021-11-22,,17,31,3,0,
2021-11-23,,24,33,4,0,
2021-11-24,,18,34,7,0,
2021-11-25,,17,33,8,1,
2021-11-26,,24,30,2,0,
2021-11-27,,24,32,4,1,
2021-11-28,,30,36,2,0,
2021-11-29,,19,,,0,
2021-12-01,,,35,6,,
2021-12-02,,20,44,3,1,
2021-12-03,,22,36,6,0,
2021-12-04,,27,36,6,1,
2021-12-05,,24,28,3,0,
2021-12-06,,20,32,3,0,
2021-12-07,,14,34,2,0,
2021-12-08,,13,37,4,0,
2021-12-09,,22,35,5,0,
2021-12-10,,24,39,5,0,
2021-12-11,,22,34,5,0,
2021-12-12,,23,31,3,0,
2021-12-13,,17,32,5,0,
2021-12-14,,19,31,8,0,
2021-12-15,,26,26,4,0,
2021-12-16,,41,35,4,0,
2021-12-17,,22,30,7,0,
2021-12-18,,31,30,4,0,
2021-12-19,,34,27,2,0,
2021-12-20,,23,28,4,0,
2021-12-21,,19,25,4,0,
2021-12-22,,12,32,4,0,
2021-12-23,,14,30,4,2,
2021-12-24,,22,28,3,0,
2021-12-25,,34,4,6,0,
2021-12-26,,46,6,5,0,
2021-12-27,,37,7,11,0,
2021-12-28,,36,7,10,0,
2021-12-29,,,6,9,0,
2021-12-29,,33,7,9,0,
2021-12-30,,23,7,6,0,
2021-12-30,,33,5,8,0,
2021-12-31,,18,7,1,0,
2021-12-31,,19,6,9,0,
2022-01-01,,19,6,4,0,
2022-01-01,,23,7,6,0,
2022-01-02,,14,25,10,0,
2022-01-02,,18,7,1,0,
2022-01-03,,17,24,8,0,
2022-01-03,,19,,,0,
2022-01-04,,26,28,8,0,
2022-01-05,,22,28,5,0,
2022-01-06,,17,23,9,0,
2022-01-07,,19,20,9,0,
2022-01-08,,14,25,10,0,
2022-01-09,,22,30,10,0,
2022-01-10,,16,29,10,0,
2022-01-11,,20,27,2,0,
2022-01-12,,17,30,10,0,
2022-01-13,,27,33,9,0,
2022-01-14,,21,29,6,0,
2022-01-15,,14,32,10,0,
2022-01-16,,18,33,8,0,
2022-01-17,,17,33,7,0,
2022-01-18,,20,29,7,0,
2022-01-19,,24,27,5,0,
2022-01-20,,13,19,1,1,
2022-01-21,,11,,,,
2022-01-22,,,31,11,0,
2022-01-23,,21,28,6,0,
2022-01-24,,21,28,7,0,
2022-01-25,,20,25,11,0,
2022-01-26,,19,34,6,0,
2022-01-27,,17,27,1,0,
2022-01-28,,23,20,1,0,
2022-01-29,,13,26,2,0,
2022-01-30,,10,26,4,0,
2022-01-31,,16,24,4,0,
2022-02-01,,16,24,6,0,
2022-02-02,,16,24,5,0,
2022-02-03,,10,27,1,0,
2022-02-04,,18,27,3,0,
2022-02-05,,15,23,8,0,
2022-02-06,,14,27,3,0,
2022-02-07,,17,26,1,0,
2022-02-08,,14,28,1,0,
2022-02-09,,14,29,2,0,
2022-02-10,,15,28,1,0,
2022-02-11,,15,25,3,0,
2022-02-12,,16,20,3,0,
2022-02-13,,11,22,2,0,
2022-02-14,,13,19,6,0,
2022-02-15,,20,19,6,0,
2022-02-16,,24,22,6,0,
2022-02-17,,19,27,4,0,
2022-02-18,,17,25,2,0,
2022-02-19,,17,26,8,0,
2022-02-20,,15,28,8,0,
2022-02-21,,12,22,5,0,
2022-02-22,,10,20,4,0,
2022-02-23,,11,15,9,0,
2022-02-24,,14,25,1,0,
2022-02-25,,10,26,0,0,
2022-02-26,,9,22,1,0,
2022-02-27,,14,19,11,0,
2022-02-28,,18,24,5,0,
2022-03-01,,13,25,3,0,
2022-03-02,,7,21,9,0,
2022-03-03,,10,23,2,0,
2022-03-04,,9,28,0,0,
2022-03-05,,10,27,2,0,
2022-03-06,,9,22,4,0,
2022-03-07,,14,26,0,0,
2022-03-08,,10,26,1,0,
2022-03-09,,10,22,1,0,
2022-03-10,,12,26,4,0,
2022-03-11,,15,19,8,0,
2022-03-12,,8,22,11,0,
2022-03-13,,14,18,12,0,
2022-03-14,,12,20,6,0,
2022-03-15,,14,19,6,0,
2022-03-16,,13,16,7,0,
2022-03-17,,12,14,0,0,
2022-03-18,,7,19,4,0,
2022-03-19,,10,23,8,0,
2022-03-20,,19,10,9,0,
2022-03-21,,28,10,7,0,
2022-03-22,,28,11,11,1,
2022-03-23,,28,13,2,2,
2022-03-24,,20,11,1,2,
2022-03-25,,,10,2,2,
2022-03-26,,,24,1,2,
2022-03-27,,,21,0,2,
2022-03-28,,,18,5,2,
2022-03-29,,4,4,12,1,
2022-03-30,,7,12,3,1,
2022-03-31,,,12,2,1,
2022-03-31,,11,8,0,1,
2022-04-01,,9,18,1,2,
2022-04-01,,5,,,,
2022-04-02,,14,18,2,2,
2022-04-02,,2,,,,
2022-04-03,,5,12,4,1,
2022-04-04,,5,13,11,1,
2022-04-05,,7,17,4,1,
2022-04-06,,3,17,0,1,
2022-04-07,,6,19,1,2,
2022-04-08,,3,17,7,1,
2022-04-09,,8,14,8,1,
2022-04-10,,11,16,4,1,
2022-04-11,,10,16,11,1,
2022-04-12,,10,13,13,1,
2022-04-13,,11,17,9,1,
2022-04-14,,7,15,14,1,
2022-04-15,,17,19,13,1,
2022-04-16,,11,20,11,1,
2022-04-17,,8,18,10,1,
2022-04-18,,12,18,9,1,
2022-04-19,,9,20,6,1,
2022-04-20,,10,21,3,1,
2022-04-21,,4,26,6,1,
2022-04-22,,7,26,5,1,
2022-04-23,,6,23,4,1,
2022-04-24,,6,22,8,1,
2022-04-25,,6,19,13,1,
2022-04-26,,10,7,16,2,
2022-04-27,,9,27,4,1,
2022-04-28,,7,19,11,1,
2022-04-29,,16,21,9,1,
2022-04-30,,13,20,12,1,
2022-05-01,,16,26,6,1,
2022-05-02,,12,17,12,2,
2022-05-03,,15,17,6,2,
2022-05-04,,12,17,6,1,
2022-05-05,,9,16,12,1,
2022-05-06,,16,27,11,1,
2022-05-07,,15,16,3,1,
2022-05-08,,12,30,9,2,
2022-05-09,,13,28,9,2,
2022-05-10,,14,28,4,1,
2022-05-11,,16,32,1,1,
2022-05-12,,15,29,7,4,
2022-05-13,,16,23,4,3,
2022-05-14,,9,26,4,0,
2022-05-15,,11,21,7,0,
2022-05-16,,10,29,5,0,
2022-05-17,,13,22,5,0,
2022-05-18,,20,25,4,0,
2022-05-19,,11,21,6,0,
2022-05-20,,16,24,6,0,
2022-05-21,,18,27,10,0,
2022-05-22,,17,27,6,0,
2022-05-23,,15,25,4,0,
2022-05-24,,14,26,2,0,
2022-05-25,,17,27,2,0,
2022-05-26,,10,28,7,1,
2022-05-27,,10,33,5,1,
2022-05-28,,14,34,4,1,
2022-05-29,,14,29,8,1,
2022-05-30,,14,32,7,2,
2022-05-31,,10,24,5,2,
2022-06-01,,5,34,3,2,
2022-06-02,,6,35,2,2,
2022-06-03,,11,31,6,2,
2022-06-04,,9,29,9,1,
2022-06-05,,7,38,5,2,
2022-06-06,,9,37,5,2,
2022-06-07,,14,32,2,2,
2022-06-08,,7,27,2,2,
2022-06-09,,15,30,4,2,
2022-06-10,,26,25,4,2,
2022-06-11,,50,23,4,2,
2022-06-12,,43,30,3,2,
2022-06-13,,28,29,3,1,
2022-06-14,,27,26,3,2,
2022-06-15,,23,28,1,1,
2022-06-16,,21,31,2,2,
2022-06-17,,25,32,4,2,
2022-06-18,,15,31,3,2,
2022-06-19,,15,30,5,2,
2022-06-20,,28,34,4,1,
2022-06-21,,29,33,3,2,
2022-06-22,,31,34,1,2,
2022-06-23,,29,31,5,2,
2022-06-24,,38,27,4,2,
2022-06-25,,47,27,4,3,
2022-06-26,,23,26,3,2,
2022-06-27,,10,30,2,2,
2022-06-28,,13,33,2,2,
2022-06-29,,5,30,3,2,
2022-06-30,,,30,2,2,
2022-06-30,,7,,,,
2022-07-01,,13,33,2,2,
2022-07-02,,5,30,3,2,
2022-07-03,,7,30,4,2,
2022-07-04,,10,29,5,2,
2022-07-05,,11,32,4,2,
2022-07-06,,4,31,2,2,
2022-07-07,,9,23,3,1,
2022-07-08,,11,30,3,2,
2022-07-09,,8,28,3,2,
2022-07-10,,14,32,5,3,
2022-07-11,,24,31,3,3,
2022-07-12,,35,28,6,3,
2022-07-13,,5,37,2,3,
2022-07-14,,16,43,1,2,
2022-07-15,,15,43,4,3,
2022-07-16,,18,39,7,2,
2022-07-17,,18,35,5,3,
2022-07-18,,15,39,5,3,
2022-07-19,,11,31,5,3,
2022-07-20,,15,28,3,3,
2022-07-21,,4,28,4,3,
2022-07-22,,12,29,1,3,
2022-07-23,,14,32,1,3,
2022-07-24,,7,30,5,3,
2022-07-25,,11,34,5,3,
2022-07-26,,9,36,5,3,
2022-07-27,,11,32,5,3,
2022-07-28,,13,38,5,2,
2022-07-29,,17,39,7,2,
2022-07-30,,17,38,5,2,
2022-07-31,,15,46,6,3,
2022-08-01,,19,33,4,3,
2022-08-02,,16,4,4,3,
2022-08-03,,16,22,4,2,
2022-08-04,,12,34,8,2,
2022-08-05,,11,34,10,3,
2022-08-06,,12,34,7,2,
2022-08-07,,9,35,10,3,
2022-08-08,,11,35,12,1,
2022-08-09,,13,32,5,0,
2022-08-10,,12,31,4,0,
2022-08-11,,16,30,7,0,
2022-08-12,,17,32,12,0,
2022-08-13,,17,36,3,0,
2022-08-14,,15,30,5,0,
2022-08-15,,19,26,5,0,
2022-08-16,,16,25,9,0,
2022-08-17,,16,34,5,0,
2022-08-18,,17,39,5,0,
2022-08-19,,13,39,6,0,
2022-08-20,,11,32,15,0,
