time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,17,12,36,3,5,0
2021-01-01,20,16,34,3,5,0
2021-01-02,13,9,29,2,3,0
2021-01-02,17,12,36,3,5,0
2021-01-03,11,13,34,2,3,0
2021-01-03,13,9,29,2,3,0
2021-01-04,16,17,30,3,3,0
2021-01-04,11,13,34,2,3,0
2021-01-05,15,25,31,3,3,0
2021-01-05,16,,,,,0
2021-01-06,25,25,38,3,4,
2021-01-07,23,16,33,3,3,0
2021-01-08,22,14,33,3,3,0
2021-01-09,15,20,38,3,4,0
2021-01-10,17,24,37,2,4,
2021-01-11,21,21,41,3,4,0
2021-01-12,25,20,43,3,4,0
2021-01-13,21,18,43,4,4,0
2021-01-14,13,14,34,3,4,
2021-01-15,15,10,33,3,5,0
2021-01-16,,7,34,3,4,0
2021-01-17,10,7,36,3,4,0
2021-01-18,9,9,32,6,4,0
2021-01-19,9,21,25,8,5,0
2021-01-20,19,17,30,5,3,0
2021-01-21,14,8,33,4,4,0
2021-01-22,9,8,33,3,3,0
2021-01-23,9,,32,,2,
2021-01-24,,10,33,2,3,0
2021-01-25,9,10,31,3,3,0
2021-01-26,10,11,37,3,4,0
2021-01-27,10,14,37,3,3,0
2021-01-28,13,27,40,2,2,0
2021-01-29,25,44,37,3,2,0
2021-01-30,39,,,,,
2021-01-31,,22,34,3,2,0
2021-02-01,18,19,31,3,2,0
2021-02-02,14,22,33,3,2,0
2021-02-03,20,18,33,4,2,
2021-02-04,16,13,35,6,2,0
2021-02-05,17,14,30,14,3,0
2021-02-06,30,12,31,3,,0
2021-02-07,23,10,33,3,,0
2021-02-08,24,8,27,3,,0
2021-02-09,18,16,41,3,,0
2021-02-10,34,25,37,5,1,0
2021-02-11,44,18,31,5,3,0
2021-02-12,29,13,28,3,2,0
2021-02-13,30,20,22,8,3,0
2021-02-14,34,28,16,9,2,0
2021-02-15,44,32,18,6,2,0
2021-02-16,50,28,21,4,2,0
2021-02-17,43,27,24,6,2,0
2021-02-18,42,28,27,2,2,
2021-02-19,42,80,30,3,2,0
2021-02-20,81,53,31,3,2,0
2021-02-21,59,24,30,2,2,0
2021-02-22,43,30,30,3,2,0
2021-02-23,43,42,30,4,4,0
