time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,47,10,27,3,0,0
2021-01-01,260,14,28,4,0,0
2021-01-02,43,7,23,5,1,0
2021-01-02,50,12,32,4,0,0
2021-01-03,37,8,18,5,1,0
2021-01-03,47,10,27,3,0,0
2021-01-04,39,16,22,6,1,0
2021-01-04,43,7,23,5,1,0
2021-01-05,45,30,22,4,1,0
2021-01-05,37,,,,,
2021-01-06,53,22,21,10,0,0
2021-01-07,49,16,20,7,1,0
2021-01-08,46,18,22,3,1,0
2021-01-09,45,28,27,3,1,0
2021-01-10,54,36,29,3,2,0
2021-01-11,66,34,30,9,2,0
2021-01-12,68,28,37,7,1,0
2021-01-13,61,22,31,6,0,0
2021-01-14,45,19,28,4,0,0
2021-01-15,44,16,26,3,0,0
2021-01-16,43,16,23,5,0,0
2021-01-17,47,18,18,5,2,0
2021-01-18,48,28,17,7,1,0
2021-01-19,51,14,29,6,1,0
2021-01-20,47,11,27,5,1,0
2021-01-21,42,8,24,4,2,0
2021-01-22,40,,,,,
2021-01-23,,11,30,3,1,0
2021-01-24,38,12,28,4,1,0
2021-01-25,44,10,27,4,0,0
2021-01-26,43,8,30,5,0,0
2021-01-27,42,10,29,4,1,0
2021-01-28,36,17,28,4,2,0
2021-01-29,34,,,,,
2021-01-31,,26,23,5,1,0
2021-02-01,41,27,22,4,0,0
2021-02-02,46,25,26,5,0,0
2021-02-03,47,19,28,5,1,0
2021-02-04,41,16,30,8,1,0
2021-02-05,39,21,28,3,2,0
2021-02-06,43,15,29,4,1,0
2021-02-07,39,16,24,5,1,0
2021-02-08,43,21,24,4,0,0
2021-02-09,42,24,27,4,1,0
2021-02-10,47,26,24,13,1,0
2021-02-11,51,31,21,15,1,0
2021-02-12,52,26,29,7,1,
2021-02-13,48,23,25,4,2,0
2021-02-14,43,24,20,6,2,0
2021-02-15,53,33,19,14,4,0
2021-02-16,62,32,14,14,3,0
2021-02-17,65,26,20,8,1,0
2021-02-18,48,35,24,5,1,0
2021-02-19,58,45,30,6,1,0
2021-02-20,68,44,28,2,1,0
2021-02-21,61,32,28,4,0,0
2021-02-22,58,51,29,6,1,0
2021-02-23,77,28,27,8,2,0
2021-02-24,46,19,32,6,1,0
2021-02-25,29,19,26,8,2,0
2021-02-26,31,16,30,5,1,0
2021-02-27,24,17,31,7,1,0
2021-02-28,26,17,28,8,1,0
2021-03-01,30,17,23,12,1,0
2021-03-02,32,17,33,7,1,0
2021-03-03,29,18,26,7,1,0
2021-03-04,30,17,26,4,0,0
2021-03-05,26,21,30,3,1,0
2021-03-06,33,17,29,2,0,0
2021-03-07,24,15,27,3,0,0
2021-03-08,15,15,29,2,1,0
2021-03-09,22,17,26,6,0,0
2021-03-10,23,18,25,4,0,0
2021-03-11,22,17,25,4,0,0
2021-03-12,19,19,27,3,1,0
2021-03-13,22,19,15,12,1,0
2021-03-14,19,17,19,7,1,0
2021-03-15,22,19,29,4,1,0
