time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,,9,35,1,1,0
2021-01-01,,14,35,1,0,0
2021-01-02,,11,27,1,1,0
2021-01-02,,13,36,1,,0
2021-01-03,,13,30,0,0,0
2021-01-03,,10,29,1,1,0
2021-01-04,,12,29,1,0,0
2021-01-04,,10,29,0,0,0
2021-01-05,,13,27,1,0,0
2021-01-05,,7,,,,
2021-01-06,,11,31,,1,0
2021-01-06,,7,,,,
2021-01-07,,10,30,,0,0
2021-01-08,,18,31,0,0,0
2021-01-09,,11,26,0,0,0
2021-01-10,,7,32,0,0,0
2021-01-11,,4,28,1,0,0
2021-01-12,,5,28,0,1,0
2021-01-13,,7,35,1,1,0
2021-01-14,,8,40,1,0,0
2021-01-15,,10,43,0,1,0
2021-01-16,,10,40,0,0,0
2021-01-17,,25,34,0,1,0
2021-01-18,,54,30,2,0,0
2021-01-19,,37,31,1,0,0
2021-01-20,,17,32,0,0,0
2021-01-21,,10,27,,0,0
2021-01-22,,11,29,2,0,0
2021-01-23,,8,27,1,0,0
2021-01-24,,12,30,,0,0
2021-01-25,,11,33,0,0,0
2021-01-26,,12,32,2,,0
2021-01-27,,16,29,1,0,0
2021-01-28,,16,25,2,0,0
2021-01-29,,14,32,1,0,0
2021-01-30,,13,30,1,1,0
2021-01-31,,8,23,1,0,0
2021-02-01,,10,27,1,0,0
2021-02-02,,9,27,0,0,0
2021-02-03,,10,29,1,0,0
2021-02-04,,15,26,3,0,0
2021-02-05,,8,27,1,0,0
2021-02-06,,10,30,1,0,0
2021-02-07,,10,27,1,0,0
2021-02-08,,11,29,1,0,0
2021-02-09,,10,30,0,0,0
2021-02-10,,10,29,1,,0
2021-02-11,,15,30,0,0,0
2021-02-12,,15,30,1,,0
2021-02-13,,13,31,1,,0
2021-02-14,,12,30,1,0,0
2021-02-15,,12,30,0,0,0
2021-02-16,,22,31,0,0,0
2021-02-17,,19,31,0,0,0
2021-02-18,,12,31,2,1,0
2021-02-19,,16,34,2,1,0
2021-02-20,,17,33,1,0,0
2021-02-21,,13,32,0,0,0
2021-02-22,,10,35,0,0,0
