time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,40,5,,11,,
2021-01-02,19,5,,11,,
2021-01-03,17,5,,10,,
2021-01-04,18,7,,13,,
2021-01-05,26,11,,22,,
2021-01-06,37,13,,27,,
2021-01-07,44,16,,30,,0
2021-01-08,53,17,,30,,0
2021-01-09,58,13,,20,,0
2021-01-10,47,4,,12,,0
2021-01-11,15,6,,16,,0
2021-01-12,22,13,,25,,0
2021-01-13,42,9,,18,,0
2021-01-14,25,14,,25,,0
2021-01-15,33,13,,27,,0
2021-01-16,34,21,,29,,0
2021-01-17,49,20,,28,,0
2021-01-18,51,29,,32,,0
2021-01-19,57,23,,24,,0
2021-01-20,51,9,,20,,0
2021-01-21,27,11,,20,,0
2021-01-22,36,10,,20,,0
2021-01-23,33,13,,18,,0
2021-01-24,43,7,,13,,0
2021-01-25,26,6,,15,,0
2021-01-26,23,8,,21,,0
2021-01-27,26,16,,25,,0
2021-01-28,48,22,,27,,0
2021-01-29,64,25,,29,,0
2021-01-30,71,26,,27,,0
2021-01-31,72,27,,25,,0
2021-02-01,76,22,,24,,0
2021-02-02,67,17,,23,,0
2021-02-03,52,5,,20,,0
2021-02-04,17,8,,24,,0
2021-02-05,28,36,,20,,0
2021-02-06,50,8,,18,,0
2021-02-07,24,13,,22,,0
2021-02-08,39,15,,24,,0
2021-02-09,49,16,,24,,0
2021-02-10,48,21,,27,,0
2021-02-11,58,23,,28,,0
2021-02-12,61,20,,28,,0
2021-02-13,55,22,,24,,0
2021-02-14,63,14,,16,,0
2021-02-15,45,16,,23,,0
2021-02-16,46,23,,22,,0
2021-02-17,62,20,,22,,0
2021-02-18,59,21,,22,,0
2021-02-19,53,14,,26,,0
2021-02-20,38,16,,22,,0
2021-02-21,47,18,,23,,0
2021-02-22,52,26,,29,,0
2021-02-23,66,29,,31,,0
2021-02-24,71,25,,25,,0
2021-02-25,63,17,,26,,0
2021-02-26,47,12,,27,,0
2021-02-27,38,14,,20,,0
2021-02-28,44,15,,19,,0
2021-03-01,50,20,,26,,0
2021-03-02,54,17,,26,,0
2021-03-03,48,11,,26,,0
2021-03-04,30,14,,22,,0
2021-03-05,36,5,,10,,0
2021-03-06,16,3,,8,,0
2021-03-07,11,5,,6,,0
2021-03-08,14,4,,5,,0
2021-03-09,14,3,,5,,0
2021-03-10,11,5,,13,,0
2021-03-11,15,6,,11,,0
2021-03-12,20,3,,7,,0
2021-03-13,9,8,,7,,0
2021-03-14,18,15,,18,,0
2021-03-15,40,15,,19,,0
2021-03-16,42,8,,14,,0
2021-03-17,21,13,,27,,0
2021-03-18,35,18,,27,,0
2021-03-19,49,21,,24,,0
2021-03-20,61,13,,15,,0
2021-03-21,44,13,,18,,0
2021-03-22,40,18,,21,,0
2021-03-23,51,18,,23,,0
2021-03-24,51,14,,20,,0
2021-03-25,45,13,,15,,0
2021-03-26,45,7,,13,,0
2021-03-27,22,13,,25,,0
2021-03-28,37,19,,27,,0
2021-03-29,58,,,,,
2021-04-01,,8,,17,,0
2021-04-02,25,17,,28,,0
2021-04-02,,8,,18,,0
2021-04-03,44,18,,24,,0
2021-04-03,19,3,,6,,0
2021-04-04,48,11,,22,,0
2021-04-04,12,6,,14,,0
2021-04-05,34,8,,17,,0
2021-04-05,19,9,,18,,0
2021-04-06,25,5,,9,,0
2021-04-06,29,,,,,
2021-04-07,20,6,,10,,0
2021-04-08,23,15,,22,,0
2021-04-09,53,26,,30,,0
2021-04-10,78,38,,44,,0
2021-04-11,107,43,,50,,0
2021-04-12,118,45,,55,,0
2021-04-13,123,45,,50,,0
2021-04-14,122,38,,42,,0
2021-04-15,104,34,,45,,0
2021-04-16,94,22,,37,,0
2021-04-17,68,21,,37,,0
2021-04-18,67,2,,9,,0
2021-04-19,9,5,,5,,0
2021-04-20,16,,,,,
2021-04-21,,8,,5,,0
2021-04-22,27,4,,9,,0
2021-04-23,14,6,,10,,0
2021-04-24,21,10,,17,,0
2021-04-25,30,8,,12,,0
2021-04-26,29,11,,12,,0
2021-04-27,38,4,,4,,0
2021-04-28,12,5,,4,,
2021-04-29,13,7,,8,,0
2021-04-30,18,5,,9,,0
2021-05-01,16,9,,16,,0
2021-05-02,29,14,,22,,0
2021-05-03,39,27,,20,,0
2021-05-04,51,10,,16,,0
2021-05-05,28,5,,7,,0
2021-05-06,16,4,,9,,0
2021-05-07,13,5,,11,,0
2021-05-08,14,7,,9,,0
2021-05-09,19,14,,21,,0
2021-05-10,35,5,,8,,0
2021-05-11,19,10,,22,,0
2021-05-12,28,11,,19,,0
2021-05-13,35,12,,20,,0
2021-05-14,40,18,,26,,0
2021-05-15,51,23,,28,,0
2021-05-16,59,42,,25,,0
2021-05-17,63,46,,23,,0
2021-05-18,58,30,,20,,0
2021-05-19,61,32,,8,,0
2021-05-20,50,5,,13,,0
2021-05-21,18,10,,23,,0
2021-05-22,29,20,,21,,0
2021-05-23,48,27,,20,,0
2021-05-24,43,29,,24,,0
2021-05-25,53,22,,26,,0
2021-05-26,52,19,,12,,0
2021-05-27,48,20,,23,,0
2021-05-28,48,26,,23,,0
2021-05-29,49,46,,27,,0
2021-05-30,64,42,,24,,0
2021-05-31,69,34,,22,,0
2021-06-01,67,23,,17,,0
2021-06-02,58,14,,14,,0
2021-06-03,44,14,,22,,0
2021-06-04,45,10,,14,,0
2021-06-05,33,14,,21,,0
2021-06-06,42,14,,17,,0
2021-06-07,40,5,,13,,0
2021-06-08,14,10,,13,,0
2021-06-09,30,9,,14,,0
2021-06-10,27,9,,17,,0
2021-06-11,20,9,,14,,0
2021-06-12,20,7,,11,,0
2021-06-13,13,9,,17,,0
2021-06-14,23,8,,10,,0
2021-06-15,18,5,,10,,0
2021-06-16,13,9,,13,,0
2021-06-17,25,14,,26,,0
