time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,,11,26,4,,
2021-01-01,,25,28,13,,
2021-01-02,,7,21,5,,
2021-01-02,,24,22,8,,
2021-01-03,,11,21,11,,
2021-01-03,,11,26,4,,
2021-01-04,,9,19,11,,
2021-01-04,,7,21,5,,
2021-01-05,,14,21,7,,
2021-01-05,,11,,,,
2021-01-06,,13,20,10,,
2021-01-07,,12,23,11,,
2021-01-08,,19,25,3,,
2021-01-09,,10,30,1,,
2021-01-10,,8,29,2,,
2021-01-11,,8,27,5,,
2021-01-12,,12,24,5,,
2021-01-13,,7,26,4,,
2021-01-14,,9,26,7,,
2021-01-15,,10,23,10,,
2021-01-16,,19,26,11,,
2021-01-17,,16,33,9,,
2021-01-18,,19,34,5,,
2021-01-19,,15,31,8,,
2021-01-20,,15,16,10,,
2021-01-21,,26,25,10,,
2021-01-22,,15,24,8,,
2021-01-23,,10,24,6,,
2021-01-24,,8,23,7,,
2021-01-25,,7,21,10,,
2021-01-26,,9,12,14,,
2021-01-27,,14,18,11,,
2021-01-28,,14,13,15,,
2021-01-29,,21,19,11,,
2021-01-30,,30,16,11,,
2021-01-31,,24,22,7,,
2021-02-01,,20,25,5,,
2021-02-02,,7,23,8,,
2021-02-03,,9,7,11,,
2021-02-04,,14,21,7,,
2021-02-05,,13,22,5,,
2021-02-06,,12,18,5,,
2021-02-07,,7,6,11,,
2021-02-08,,12,16,11,,
2021-02-09,,13,9,7,,
2021-02-10,,11,9,8,,
2021-02-11,,13,8,9,,
2021-02-12,,13,10,6,,
2021-02-13,,18,6,7,,
2021-02-14,,13,24,6,,
2021-02-15,,8,11,13,,
2021-02-16,,16,10,13,,
2021-02-17,,21,27,6,,
2021-02-18,,12,28,4,,
2021-02-19,,11,19,9,,
2021-02-20,,14,15,9,,
2021-02-21,,21,6,16,,
2021-02-22,,24,13,12,,
2021-02-23,,31,13,11,,
2021-02-24,,24,6,15,,
2021-02-25,,20,15,16,,
2021-02-26,,12,17,9,,
2021-02-27,,10,17,9,,
2021-02-28,,14,5,12,,
2021-03-01,,17,21,8,,
2021-03-02,,13,26,4,,
2021-03-03,,7,22,10,,
2021-03-04,,10,22,9,,
2021-03-05,,8,18,8,,
2021-03-06,,8,22,5,,
2021-03-07,,8,11,8,,
2021-03-08,,8,23,5,,
2021-03-09,,6,19,8,,
2021-03-10,,5,15,12,,
2021-03-11,,9,5,14,,
2021-03-12,,13,20,6,,
2021-03-13,,8,15,7,,
2021-03-14,,10,6,10,,
2021-03-15,,13,12,13,,
2021-03-16,,14,6,13,,
2021-03-17,,15,6,13,,
2021-03-18,,20,5,8,,
2021-03-19,,12,4,5,,
2021-03-20,,9,12,8,,
2021-03-21,,10,3,10,,
2021-03-22,,12,1,8,,
2021-03-23,,13,1,7,,
2021-03-24,,11,21,6,,
2021-03-25,,7,27,2,,
2021-03-26,,6,27,3,,
2021-03-27,,6,22,6,,
2021-03-28,,10,25,5,,
2021-03-29,,8,18,10,,
2021-03-30,,8,21,8,,
2021-03-31,,7,21,9,,
2021-04-01,,,14,11,,
2021-04-01,,8,26,3,,
2021-04-02,,9,16,9,,
2021-04-02,,7,21,3,,
2021-04-03,,8,16,10,,
2021-04-03,,9,,,,
2021-04-04,,11,6,10,,
2021-04-05,,15,11,14,,
2021-04-06,,15,18,7,,
2021-04-07,,13,20,5,,
2021-04-08,,7,23,7,,
2021-04-09,,7,24,7,,
2021-04-10,,7,24,6,,
2021-04-11,,6,25,5,,
2021-04-12,,7,26,4,,
2021-04-13,,7,27,4,,
2021-04-14,,7,24,4,,
2021-04-15,,9,19,11,,
2021-04-16,,11,9,10,,
2021-04-17,,15,8,9,,
2021-04-18,,13,25,9,,
2021-04-19,,16,25,6,,
2021-04-20,,7,25,0,,
2021-04-21,,7,28,0,,
2021-04-22,,6,19,9,,
2021-04-23,,8,17,8,,
2021-04-24,,10,14,7,,
2021-04-25,,10,8,9,,
2021-04-26,,17,15,6,,
2021-04-27,,10,28,3,,
2021-04-28,,7,25,4,,
2021-04-29,,9,21,7,,
2021-04-30,,19,18,6,,
2021-05-01,,14,15,8,,
2021-05-02,,13,16,6,,
2021-05-03,,23,18,6,,
2021-05-04,,22,24,4,,
2021-05-05,,17,27,3,,
2021-05-06,,8,23,6,,
2021-05-07,,8,24,9,,
2021-05-08,,11,25,7,,
2021-05-09,,9,14,10,,
2021-05-10,,25,27,6,,
2021-05-11,,10,25,3,,
2021-05-12,,9,24,3,,
2021-05-13,,9,23,4,,
2021-05-14,,9,21,6,,
2021-05-15,,14,15,7,,
2021-05-16,,23,15,6,,
2021-05-17,,20,17,7,,
2021-05-18,,43,30,4,,
2021-05-19,,30,31,3,,
2021-05-20,,25,24,4,,
2021-05-21,,16,25,6,,
2021-05-22,,11,21,6,,
2021-05-23,,34,21,7,,
2021-05-24,,29,21,7,,
2021-05-25,,37,28,4,,
2021-05-26,,24,24,3,,
2021-05-27,,14,22,5,,
2021-05-28,,25,22,6,,
2021-05-29,,33,19,9,,
2021-05-30,,34,24,7,,
2021-05-31,,39,23,6,,
2021-06-01,,44,26,3,,
2021-06-02,,23,28,3,,
2021-06-03,,21,23,3,,
2021-06-04,,12,30,3,,
2021-06-05,,12,31,9,,
2021-06-06,,19,21,7,,
2021-06-07,,24,27,4,,
2021-06-08,,10,30,5,,
2021-06-09,,13,32,2,,
2021-06-10,,12,34,3,,
2021-06-11,,11,34,3,,
2021-06-12,,10,33,,,
2021-06-13,,10,33,4,,
2021-06-14,,6,28,4,,
2021-06-15,,8,33,3,,
2021-06-16,,9,35,3,,
2021-06-17,,9,29,4,,
2021-06-18,,11,33,12,,
2021-06-19,,17,38,17,,
2021-06-20,,22,40,10,,
2021-06-21,,21,35,8,,
2021-06-22,,23,36,5,,
2021-06-23,,14,36,4,,
2021-06-24,,15,40,8,,
2021-06-25,,18,38,9,,
2021-06-26,,27,39,9,,
2021-06-27,,28,39,5,,
2021-06-28,,20,40,6,,
2021-06-29,,20,28,3,,
2021-06-30,,37,37,3,,
2021-07-01,,,39,5,,
2021-07-01,,15,,,,
2021-07-02,,20,40,6,,
2021-07-03,,20,28,3,,
2021-07-04,,37,37,3,,
2021-07-05,,15,37,5,,
2021-07-06,,12,38,3,,
2021-07-07,,20,37,5,,
2021-07-08,,15,33,7,,
2021-07-09,,15,25,7,,
2021-07-10,,12,32,5,,
2021-07-11,,11,32,3,,
2021-07-12,,8,37,5,,
2021-07-13,,8,34,8,,
2021-07-14,,10,35,7,,
2021-07-15,,18,34,6,,
2021-07-16,,12,40,5,,
2021-07-17,,11,38,3,,
2021-07-18,,11,39,3,,
2021-07-19,,10,39,10,,
2021-07-20,,16,40,9,,
2021-07-21,,16,39,5,,
2021-07-22,,12,36,5,,
2021-07-23,,8,43,4,,
2021-07-24,,10,39,4,,
2021-07-25,,9,39,3,,
2021-07-26,,9,35,8,,
2021-07-27,,9,31,7,,
2021-07-28,,10,37,8,,
2021-07-29,,11,31,6,,
2021-07-30,,8,33,5,,
2021-07-31,,7,42,2,,
2021-08-01,,8,42,3,,
2021-08-02,,12,36,6,,
2021-08-03,,12,41,9,,
2021-08-04,,12,31,5,,
2021-08-05,,10,36,7,,
2021-08-06,,13,33,7,,
2021-08-07,,14,43,4,,
2021-08-08,,14,34,4,,
2021-08-09,,11,36,5,,
2021-08-10,,8,36,5,,
2021-08-11,,8,33,6,,
2021-08-12,,10,29,6,,
2021-08-13,,9,35,4,,
2021-08-14,,8,22,5,,
2021-08-15,,10,28,2,,
2021-08-16,,7,35,4,,
2021-08-17,,11,33,5,,
2021-08-18,,12,35,3,,
2021-08-19,,8,40,6,,
2021-08-20,,11,37,5,,
2021-08-21,,20,34,3,,
2021-08-22,,12,28,3,,
2021-08-23,,9,32,6,,
2021-08-24,,9,36,3,,
2021-08-25,,11,34,7,,
2021-08-26,,15,42,8,,
2021-08-27,,11,42,5,,
2021-08-28,,16,40,4,,
2021-08-29,,19,38,3,,
2021-08-30,,16,37,4,,
2021-08-31,,12,29,6,,
2021-09-01,,13,44,5,,
2021-09-02,,11,38,3,,
2021-09-03,,12,25,4,,
2021-09-04,,12,35,3,,
2021-09-05,,8,37,2,,
2021-09-06,,10,42,5,,
2021-09-07,,11,48,10,,
2021-09-08,,13,45,5,,
2021-09-09,,15,49,5,,
2021-09-10,,13,40,5,,
2021-09-11,,17,49,5,,
2021-09-12,,11,45,5,,
2021-09-13,,14,50,7,,
2021-09-14,,23,45,6,,
2021-09-15,,19,40,8,,
2021-09-16,,23,39,5,,
2021-09-17,,13,41,5,,
2021-09-18,,12,32,3,,
2021-09-19,,16,33,3,,
2021-09-20,,12,37,5,,
2021-09-21,,8,30,4,,
2021-09-22,,11,34,3,,
2021-09-23,,10,36,4,,
2021-09-24,,9,45,5,,
2021-09-25,,12,38,3,,
2021-09-26,,14,42,3,,
2021-09-27,,11,36,4,,
2021-09-28,,9,34,3,,
2021-09-29,,11,43,4,,
2021-09-30,,,44,5,,
2021-09-30,,12,44,5,,
2021-10-01,,16,55,4,,
2021-10-01,,16,55,4,,
2021-10-02,,16,41,4,,
2021-10-02,,16,41,4,,
2021-10-03,,14,36,3,,
2021-10-03,,14,36,3,,
2021-10-04,,11,40,6,,
2021-10-04,,11,,,,
2021-10-05,,16,22,5,,
2021-10-06,,16,34,4,,
2021-10-07,,13,28,3,,
2021-10-08,,11,40,5,,
2021-10-09,,15,44,3,,
2021-10-10,,13,34,2,,
2021-10-11,,14,26,2,,
2021-10-12,,15,24,2,,
2021-10-13,,9,27,2,,
2021-10-14,,10,32,4,,
2021-10-15,,13,37,4,,
2021-10-16,,13,41,3,,
2021-10-17,,13,42,2,,
2021-10-18,,14,47,7,,
2021-10-19,,22,56,7,,
2021-10-20,,24,51,5,,
2021-10-21,,16,46,4,,
2021-10-22,,16,45,7,,
2021-10-23,,23,34,3,,
2021-10-24,,12,31,3,,
2021-10-25,,11,37,4,,
2021-10-26,,13,42,5,,
2021-10-27,,16,40,4,,
2021-10-28,,16,37,4,,
2021-10-29,,15,31,4,,
2021-10-30,,17,23,3,,
2021-10-31,,11,29,2,,
2021-11-01,,8,38,4,,
2021-11-02,,11,38,5,,
2021-11-03,,13,32,4,,
2021-11-04,,9,42,6,,
2021-11-05,,12,34,4,,
2021-11-06,,14,29,3,,
2021-11-07,,12,31,2,,
2021-11-08,,10,33,3,,
2021-11-09,,12,34,5,,
2021-11-10,,14,39,5,,
2021-11-11,,26,38,8,,
2021-11-12,,39,44,6,,
2021-11-13,,24,41,5,,
2021-11-14,,38,31,4,,
2021-11-15,,16,33,2,,
2021-11-16,,14,34,3,,
2021-11-17,,11,34,3,,
2021-11-18,,10,36,4,,
2021-11-19,,10,39,5,,
2021-11-20,,15,42,4,,
2021-11-21,,13,33,3,,
2021-11-22,,12,28,4,,
2021-11-23,,11,34,4,,
2021-11-24,,16,41,6,,
2021-11-25,,14,41,6,,
2021-11-26,,16,41,6,,
2021-11-27,,19,38,3,,
2021-11-28,,15,37,4,,
2021-11-29,,13,32,6,,
2021-11-30,,17,35,6,,
2021-12-01,,14,24,5,,
2021-12-02,,12,40,7,,
2021-12-03,,9,37,9,,
2021-12-04,,10,47,7,,
2021-12-05,,11,43,6,,
2021-12-06,,12,33,8,,
2021-12-07,,21,30,4,,
2021-12-08,,15,36,7,,
2021-12-09,,13,27,8,,
2021-12-10,,13,29,7,,
2021-12-11,,11,34,5,,
2021-12-12,,12,36,5,,
2021-12-13,,12,23,7,,
2021-12-14,,18,16,9,,
2021-12-15,,19,29,8,,
2021-12-16,,10,28,5,,
2021-12-17,,9,34,8,,
2021-12-18,,11,24,4,,
2021-12-19,,11,31,3,,
2021-12-20,,9,26,4,,
2021-12-21,,9,27,5,,
2021-12-22,,8,26,8,,
2021-12-23,,11,32,8,,
2021-12-24,,13,22,9,,
2021-12-25,,13,25,8,,
2021-12-26,,13,36,8,,
2021-12-27,,9,29,9,,
2021-12-28,,11,28,8,,
2021-12-29,,,26,10,,
2021-12-29,,13,29,5,,
2021-12-30,,21,32,5,,
