time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,,,19,,0,
2021-01-01,,,17,,0,
2021-01-02,,,21,,0,
2021-01-02,,,19,,0,
2021-01-03,,,22,,0,
2021-01-03,,,21,,0,
2021-01-04,,,22,,0,
2021-01-04,,,22,,0,
2021-01-05,,,19,,0,
2021-01-05,,,22,,,
2021-01-06,,,25,,0,
2021-01-07,,,26,,0,
2021-01-08,,,19,,0,
2021-01-09,,,22,,0,
2021-01-10,,,19,,0,
2021-01-11,,,21,,0,
2021-01-12,,,23,,0,
2021-01-13,,,24,,0,
2021-01-14,,,22,,0,
2021-01-15,,,26,,,
2021-01-16,,,27,,0,
2021-01-17,,,23,,2,
2021-01-18,,,24,,0,
2021-01-19,,,23,,0,
2021-01-20,,,25,,0,
2021-01-21,,,21,,1,
2021-01-22,,,22,,0,
2021-01-23,,,21,,1,
2021-01-24,,,18,,2,
2021-01-25,,,17,,0,
2021-01-26,,,18,,0,
2021-01-27,,,22,,0,
2021-01-28,,,22,,0,
2021-01-29,,,21,,0,
2021-01-30,,,29,,0,
2021-01-31,,,29,,0,
2021-02-01,,,19,,0,
2021-02-02,,,21,,0,
2021-02-03,,,25,,0,
2021-02-04,,,24,,0,
2021-02-05,,,28,,0,
2021-02-06,,,29,,0,
2021-02-07,,,30,,0,
2021-02-08,,,28,,0,
2021-02-09,,,30,,0,
2021-02-10,,,31,,0,
2021-02-11,,,28,,0,
2021-02-12,,,19,,0,
2021-02-13,,,20,,0,
2021-02-14,,,19,,0,
2021-02-15,,,15,,0,
2021-02-16,,,18,,0,
2021-02-17,,,14,,0,
2021-02-18,,,23,,0,
2021-02-19,,,25,,0,
2021-02-20,,,29,,0,
2021-02-21,,,26,,0,
2021-02-22,,,24,,0,
2021-02-23,,,26,,0,
2021-02-24,,,26,,0,
2021-02-25,,,24,,2,
2021-02-26,,,21,,1,
2021-02-27,,,20,,0,
2021-02-28,,,19,,0,
2021-03-01,,,21,,0,
2021-03-02,,,19,,0,
2021-03-03,,,26,,0,
2021-03-04,,,27,,0,
2021-03-05,,,25,,0,
2021-03-06,,,21,,0,
2021-03-07,,,14,,0,
2021-03-08,,,17,,0,
2021-03-09,,,22,,0,
2021-03-10,,,22,,0,
2021-03-11,,,25,,0,
2021-03-12,,,20,,0,
2021-03-13,,,21,,0,
2021-03-14,,,26,,0,
2021-03-15,,,21,,0,
2021-03-16,,,23,,0,
2021-03-17,,,28,,2,
2021-03-18,,,29,,0,
2021-03-19,,,27,,1,
2021-03-20,,,27,,0,
2021-03-21,,,22,,0,
2021-03-22,,,19,,0,
2021-03-23,,,24,,0,
2021-03-24,,,23,,0,
2021-03-25,,,22,,0,
2021-03-26,,,28,,0,
2021-03-27,,,29,,3,
2021-03-28,,,27,,3,
2021-03-29,,,26,,2,
2021-03-30,,,21,,0,
2021-03-31,,,20,,0,
2021-04-01,,,,,0,
2021-04-01,,,24,,0,
2021-04-02,,,20,,0,
2021-04-02,,,15,,1,
2021-04-03,,,19,,0,
2021-04-03,,,20,,0,
2021-04-04,,,18,,0,
2021-04-04,,,15,,0,
2021-04-05,,,19,,0,
2021-04-05,,,16,,,
2021-04-06,,,22,,0,
2021-04-07,,,24,,1,
2021-04-08,,,24,,1,
2021-04-09,,,22,,1,
2021-04-10,,,31,,1,
2021-04-11,,,31,,1,
2021-04-12,,,30,,0,
2021-04-13,,,29,,0,
2021-04-14,,,30,,0,
2021-04-15,,,28,,0,
2021-04-16,,,29,,0,
2021-04-17,,,29,,0,
2021-04-18,,,28,,0,
2021-04-19,,,25,,2,
2021-04-20,,,26,,1,
2021-04-21,,,23,,1,
2021-04-22,,,21,,3,
2021-04-23,,,16,,3,
2021-04-24,,,17,,2,
2021-04-25,,,33,,1,
2021-04-26,,,33,,1,
2021-04-27,,,32,,4,
2021-04-28,,,27,,1,
2021-04-29,,,21,,2,
2021-04-30,,,19,,0,
2021-05-01,,,23,,0,
2021-05-02,,,32,,0,
2021-05-03,,,31,,0,
2021-05-04,,,34,,0,
2021-05-05,,,35,,0,
2021-05-06,,,35,,0,
2021-05-07,,,35,,0,
2021-05-08,,,32,,0,
2021-05-09,,,34,,0,
2021-05-10,,,34,,0,
2021-05-11,,,33,,0,
2021-05-12,,,32,,0,
2021-05-13,,,32,,0,
2021-05-14,,,32,,0,
2021-05-15,,,31,,0,
2021-05-16,,,31,,1,
2021-05-17,,,29,,2,
2021-05-18,,,29,,1,
2021-05-19,,,29,,2,
2021-05-20,,,28,,1,
2021-05-21,,,28,,1,
2021-05-22,,,31,,0,
2021-05-23,,,26,,0,
2021-05-24,,,27,,0,
2021-05-25,,,32,,0,
2021-05-26,,,33,,0,
2021-05-27,,,35,,0,
2021-05-28,,,36,,0,
2021-05-29,,,35,,0,
2021-05-30,,,34,,0,
2021-05-31,,,35,,0,
2021-06-01,,,35,,0,
2021-06-02,,,33,,1,
2021-06-03,,,32,,1,
2021-06-04,,,31,,0,
2021-06-05,,,32,,0,
2021-06-06,,,34,,0,
2021-06-07,,,34,,0,
2021-06-08,,,35,,0,
2021-06-09,,,34,,0,
2021-06-10,,,32,,0,
2021-06-11,,,29,,0,
2021-06-12,,,31,,0,
2021-06-13,,,30,,0,
2021-06-14,,,25,,0,
2021-06-15,,,28,,0,
2021-06-16,,,36,,0,
2021-06-17,,,36,,0,
2021-06-18,,,37,,0,
2021-06-19,,,37,,0,
2021-06-20,,,38,,0,
2021-06-21,,,36,,0,
2021-06-22,,,36,,0,
2021-06-23,,,36,,,
2021-06-24,,,35,,0,
2021-06-25,,,34,,0,
2021-06-26,,,32,,0,
2021-06-27,,,34,,0,
2021-06-28,,,36,,0,
2021-06-29,,,35,,0,
2021-06-30,,,37,,0,
2021-07-01,,,,,0,
2021-07-01,,,35,,,
2021-07-02,,,36,,0,
2021-07-03,,,35,,0,
2021-07-04,,,37,,0,
2021-07-05,,,35,,0,
2021-07-06,,,34,,0,
2021-07-07,,,33,,0,
2021-07-08,,,33,,0,
2021-07-09,,,30,,0,
2021-07-10,,,35,,0,
2021-07-11,,,34,,0,
2021-07-12,,,33,,0,
2021-07-13,,,37,,0,
2021-07-14,,,37,,0,
2021-07-15,,,36,,0,
2021-07-16,,,35,,0,
2021-07-17,,,36,,0,
2021-07-18,,,36,,0,
2021-07-19,,,37,,0,
2021-07-20,,,38,,0,
2021-07-21,,,38,,0,
2021-07-22,,,41,,0,
2021-07-23,,,36,,0,
2021-07-24,,,27,,0,
2021-07-25,,,26,,0,
2021-07-26,,,34,,0,
2021-07-27,,,36,,0,
2021-07-28,,,34,,0,
2021-07-29,,,30,,0,
2021-07-30,,,31,,0,
2021-07-31,,,24,,0,
2021-08-01,,,23,,0,
2021-08-02,,,27,,0,
2021-08-03,,,29,,0,
2021-08-04,,,31,,0,
2021-08-05,,,34,,0,
2021-08-06,,,35,,0,
2021-08-07,,,34,,0,
2021-08-08,,,33,,0,
2021-08-09,,,35,,0,
2021-08-10,,,38,,0,
2021-08-11,,,33,,0,
2021-08-12,,,28,,0,
2021-08-13,,,31,,0,
2021-08-14,,,30,,0,
2021-08-15,,,28,,0,
2021-08-16,,,23,,0,
2021-08-17,,,25,,0,
2021-08-18,,,24,,0,
2021-08-19,,,34,,0,
2021-08-20,,,32,,0,
2021-08-21,,,27,,0,
2021-08-22,,,29,,0,
2021-08-23,,,28,,0,
2021-08-24,,,33,,0,
2021-08-25,,,31,,0,
2021-08-26,,,33,,0,
2021-08-27,,,33,,0,
2021-08-28,,,31,,0,
2021-08-29,,,25,,,
2021-08-30,,,36,,0,
2021-08-31,,,32,,0,
2021-09-01,,,31,,0,
2021-09-02,,,34,,0,
2021-09-03,,,33,,0,
2021-09-04,,,33,,0,
2021-09-05,,,36,,0,
2021-09-06,,,29,,0,
2021-09-07,,,31,,0,
2021-09-08,,,36,,0,
2021-09-09,,,33,,0,
2021-09-10,,,34,,0,
2021-09-11,,,39,,0,
2021-09-12,,,40,,0,
2021-09-13,,,33,,0,
2021-09-14,,,22,,0,
2021-09-15,,,23,,0,
2021-09-16,,,21,,0,
2021-09-17,,,23,,0,
2021-09-18,,,24,,0,
2021-09-19,,,23,,0,
2021-09-20,,,21,,0,
2021-09-21,,,19,,0,
2021-09-22,,,24,,0,
2021-09-23,,,20,,0,
2021-09-24,,,21,,0,
2021-09-25,,,21,,0,
2021-09-26,,,22,,0,
2021-09-27,,,17,,0,
2021-09-28,,,28,,0,
2021-09-29,,,24,,0,
2021-09-30,,,,,0,
2021-09-30,,,22,,0,
2021-10-01,,,25,,0,
2021-10-01,,,25,,0,
2021-10-02,,,28,,0,
2021-10-02,,,28,,0,
2021-10-03,,,24,,0,
2021-10-03,,,24,,0,
2021-10-04,,,29,,0,
2021-10-04,,,29,,,
2021-10-05,,,29,,0,
2021-10-06,,,31,,0,
2021-10-07,,,34,,0,
2021-10-08,,,30,,0,
2021-10-09,,,25,,0,
2021-10-10,,,29,,0,
2021-10-11,,,21,,0,
2021-10-12,,,28,,0,
2021-10-13,,,26,,0,
2021-10-14,,,20,,0,
2021-10-15,,,23,,0,
2021-10-16,,,21,,0,
2021-10-17,,,22,,0,
2021-10-18,,,23,,0,
2021-10-19,,,21,,0,
2021-10-20,,,16,,0,
2021-10-21,,,19,,0,
2021-10-22,,,17,,0,
2021-10-23,,,18,,0,
2021-10-24,,,19,,0,
2021-10-25,,,19,,0,
2021-10-26,,,20,,0,
2021-10-27,,,30,,0,
2021-10-28,,,20,,0,
2021-10-29,,,23,,0,
2021-10-30,,,17,,0,
2021-10-31,,,13,,0,
2021-11-01,,,32,,0,
2021-11-02,,,21,,0,
2021-11-03,,,20,,0,
2021-11-04,,,23,,0,
2021-11-05,,,25,,0,
2021-11-06,,,26,,0,
2021-11-07,,,28,,0,
2021-11-08,,,27,,0,
2021-11-09,,,28,,0,
2021-11-10,,,22,,0,
2021-11-11,,,26,,,
2021-11-12,,,23,,0,
2021-11-13,,,20,,0,
2021-11-14,,,23,,0,
2021-11-15,,,26,,0,
2021-11-16,,,26,,0,
2021-11-17,,,26,,0,
2021-11-18,,,17,,0,
2021-11-19,,,23,,0,
2021-11-20,,,19,,0,
2021-11-21,,,25,,0,
2021-11-22,,,30,,0,
2021-11-23,,,29,,0,
2021-11-24,,,22,,0,
2021-11-25,,,22,,0,
2021-11-26,,,22,,0,
2021-11-27,,,24,,0,
2021-11-28,,,28,,0,
2021-11-29,,,27,,0,
2021-11-30,,,22,,0,
2021-12-01,,,24,,0,
2021-12-02,,,23,,0,
2021-12-03,,,24,,0,
2021-12-04,,,26,,0,
2021-12-05,,,27,,0,
2021-12-06,,,25,,0,
2021-12-07,,,24,,0,
2021-12-08,,,23,,0,
2021-12-09,,,21,,0,
2021-12-10,,,23,,0,
2021-12-11,,,24,,0,
2021-12-12,,,24,,0,
2021-12-13,,,24,,0,
2021-12-14,,,23,,0,
2021-12-15,,,27,,0,
2021-12-16,,,23,,0,
2021-12-17,,,20,,0,
2021-12-18,,,20,,0,
2021-12-19,,,22,,0,
2021-12-20,,,22,,0,
2021-12-21,,,24,,0,
2021-12-22,,,25,,0,
2021-12-23,,,24,,0,
2021-12-24,,,21,,0,
2021-12-25,,,21,,0,
2021-12-26,,,15,,0,
2021-12-27,,,18,,0,
2021-12-28,,,16,,0,
2021-12-29,,,23,,0,
2021-12-30,,,,,0,
2021-12-30,,,25,,0,
2021-12-31,,,22,,0,
2021-12-31,,,24,,0,
2022-01-01,,,24,,0,
2022-01-01,,,22,,0,
2022-01-02,,,27,,0,
2022-01-02,,,24,,0,
2022-01-03,,,28,,0,
2022-01-03,,,27,,,
2022-01-04,,,26,,0,
2022-01-05,,,23,,0,
2022-01-06,,,25,,0,
2022-01-07,,,23,,0,
2022-01-08,,,20,,0,
2022-01-09,,,15,,0,
2022-01-10,,,19,,0,
2022-01-11,,,23,,0,
2022-01-12,,,22,,0,
2022-01-13,,,23,,0,
2022-01-14,,,21,,0,
2022-01-15,,,17,,0,
2022-01-16,,,25,,0,
2022-01-17,,,27,,0,
2022-01-18,,,27,,0,
2022-01-19,,,26,,0,
2022-01-20,,,25,,0,
2022-01-21,,,30,,0,
2022-01-22,,,30,,0,
2022-01-23,,,28,,0,
2022-01-24,,,24,,0,
2022-01-25,,,23,,1,
2022-01-26,,,25,,1,
2022-01-27,,,27,,0,
2022-01-28,,,25,,0,
2022-01-29,,,25,,0,
2022-01-30,,,22,,0,
2022-01-31,,,23,,0,
2022-02-01,,,24,,0,
2022-02-02,,,23,,0,
2022-02-03,,,27,,0,
2022-02-04,,,24,,0,
2022-02-05,,,30,,0,
2022-02-06,,,30,,0,
2022-02-07,,,28,,0,
2022-02-08,,,26,,0,
2022-02-09,,,25,,0,
2022-02-10,,,26,,0,
2022-02-11,,,27,,0,
2022-02-12,,,24,,0,
2022-02-13,,,27,,0,
2022-02-14,,,27,,0,
2022-02-15,,,29,,0,
2022-02-16,,,22,,0,
2022-02-17,,,18,,0,
2022-02-18,,,26,,0,
2022-02-19,,,26,,0,
2022-02-20,,,28,,0,
2022-02-21,,,28,,,
2022-02-22,,,28,,0,
2022-02-23,,,26,,0,
2022-02-24,,,26,,1,
2022-02-25,,,23,,1,
2022-02-26,,,22,,1,
2022-02-27,,,24,,1,
2022-02-28,,,26,,1,
2022-03-01,,,22,,2,
2022-03-02,,,29,,1,
2022-03-03,,,28,,0,
2022-03-04,,,27,,0,
2022-03-05,,,26,,1,
2022-03-06,,,26,,1,
2022-03-07,,,26,,1,
2022-03-08,,,26,,1,
2022-03-09,,,26,,1,
2022-03-10,,,27,,1,
2022-03-11,,,25,,1,
2022-03-12,,,23,,1,
2022-03-13,,,19,,1,
2022-03-14,,,12,,0,
