time,pm25,pm10,O3,NO2,SO2,CO
2022-09-29,,6,,2,1,
2022-09-30,11,4,,2,1,
2022-10-01,5,5,,2,1,
2022-10-02,13,16,,6,1,
2022-10-03,17,11,,3,1,
2022-10-04,10,8,,3,1,
2022-10-05,9,19,,6,1,
2022-10-06,20,10,,5,1,
2022-10-07,10,7,,2,1,
2022-10-08,17,6,,3,1,
2022-10-09,14,85,,7,1,
2022-10-10,52,11,,5,1,
2022-10-11,22,10,,4,0,
2022-10-12,20,7,,2,0,
2022-10-13,20,5,,1,0,
2022-10-14,11,3,,1,0,
2022-10-15,7,4,,1,0,
2022-10-16,9,7,,1,0,
2022-10-17,8,13,,1,1,
2022-10-18,11,24,,5,1,
2022-10-19,21,12,,4,1,
2022-10-20,14,9,,3,1,
2022-10-21,17,7,,2,1,
2022-10-22,17,6,,1,1,
2022-10-23,14,11,,2,1,
2022-10-24,15,8,,1,1,
2022-10-25,15,7,,1,1,
2022-10-26,14,9,,1,1,
2022-10-27,15,9,,1,1,
2022-10-28,17,5,,2,1,
2022-10-29,15,6,,2,1,
2022-10-30,21,,,,,
2022-12-28,,5,,2,1,
2022-12-29,15,6,,2,1,
2022-12-30,21,16,,8,1,
2022-12-31,44,13,,4,1,
2023-01-01,23,8,,4,1,
2023-01-02,12,12,,8,1,
2023-01-03,18,15,,5,0,
2023-01-04,14,7,,6,0,
2023-01-05,11,10,,4,0,
2023-01-06,8,7,,6,1,
2023-01-07,11,7,,5,1,
2023-01-08,18,14,,8,1,
2023-01-09,13,4,,5,1,
2023-01-10,9,9,,6,1,
2023-01-11,18,9,,3,1,
2023-01-12,32,7,,3,1,
2023-01-13,25,11,,7,1,
2023-01-14,10,31,,5,1,
2023-01-15,21,37,,10,1,
2023-01-16,28,55,,13,1,
2023-01-17,48,15,,4,1,
2023-01-18,16,6,,6,1,
2023-01-19,11,14,,3,1,
2023-01-20,12,88,,11,1,
2023-01-21,72,17,,6,1,
2023-01-22,21,5,,5,1,
2023-01-23,11,4,,5,1,
2023-01-24,13,2,,3,1,
2023-01-25,8,2,,3,1,
2023-01-26,7,16,,3,1,
2023-01-27,17,13,,10,1,
2023-01-28,25,3,,5,1,
2023-01-29,11,2,,5,1,
2023-01-30,8,2,,4,1,
2023-01-31,6,5,,3,1,
2023-02-01,15,4,,2,1,
2023-02-02,9,4,,2,1,
2023-02-03,14,3,,4,1,
2023-02-04,11,7,,7,1,
2023-02-05,20,4,,4,1,
2023-02-06,14,5,,5,1,
2023-02-07,17,3,,6,1,
2023-02-08,11,3,,6,1,
2023-02-09,9,2,,3,1,
2023-02-10,6,2,,6,1,
2023-02-11,9,7,,5,1,
2023-02-12,10,85,,10,1,
2023-02-13,79,16,,7,1,
2023-02-14,29,6,,3,1,
2023-02-15,18,4,,3,1,
2023-02-16,17,6,,3,1,
2023-02-17,16,8,,4,1,
2023-02-18,22,8,,3,1,
2023-02-19,23,4,,4,1,
2023-02-20,14,2,,5,1,
2023-02-21,8,5,,4,1,
2023-02-22,12,5,,2,1,
2023-02-23,16,6,,1,1,
2023-02-24,24,9,,2,1,
2023-02-25,33,10,,3,1,
2023-02-26,36,10,,4,1,
2023-02-27,39,11,,5,1,
2023-02-28,43,9,,3,1,
2023-03-01,38,6,,1,1,
2023-03-02,28,6,,2,1,
2023-03-03,23,3,,5,1,
2023-03-04,9,3,,5,1,
2023-03-05,7,3,,7,1,
2023-03-06,8,3,,3,1,
2023-03-07,10,3,,3,1,
2023-03-08,11,4,,2,1,
2023-03-09,18,5,,3,1,
2023-03-10,19,8,,6,1,
2023-03-11,27,6,,2,1,
2023-03-12,16,9,,11,1,
2023-03-13,32,8,,13,1,
2023-03-14,26,14,,21,1,
2023-03-15,34,2,,6,1,
2023-03-16,8,3,,4,1,
2023-03-17,11,5,,11,1,
2023-03-18,18,4,,4,1,
2023-03-19,13,9,,6,1,
2023-03-20,31,8,,5,1,
2023-03-21,31,8,,11,1,
2023-03-22,24,11,,8,1,
2023-03-23,25,3,,3,1,
2023-03-24,6,,,,,
2023-03-25,,,,4,1,
2023-03-26,12,9,,8,1,
