time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,,6,22,0,0,
2021-01-02,,7,22,0,0,
2021-01-03,,13,19,0,0,
2021-01-04,,7,18,0,0,
2021-01-05,,3,20,0,0,
2021-01-06,,1,24,0,0,
2021-01-07,,1,22,0,,
2021-01-08,,3,24,0,0,
2021-01-09,,2,21,0,0,
2021-01-10,,1,24,2,0,
2021-01-11,,1,23,0,0,
2021-01-12,,1,26,0,0,
2021-01-13,,1,25,0,0,
2021-01-14,,1,27,0,0,
2021-01-15,,1,27,0,0,
2021-01-16,,1,25,0,0,
2021-01-17,,2,25,,0,
2021-01-18,,1,24,0,0,
2021-01-19,,1,25,0,0,
2021-01-20,,1,25,0,0,
2021-01-21,,1,24,0,0,
2021-01-22,,1,22,0,0,
2021-01-23,,1,26,0,0,
2021-01-24,,1,19,0,0,
2021-01-25,,1,23,0,0,
2021-01-26,,1,22,0,,
2021-01-27,,1,20,0,0,
2021-01-28,,1,29,0,0,
2021-01-29,,1,34,0,0,
2021-01-30,,2,31,0,0,
2021-01-31,,1,22,0,0,
2021-02-01,,1,21,0,0,
2021-02-02,,1,27,0,0,
2021-02-03,,1,24,0,0,
2021-02-04,,1,29,0,0,
2021-02-05,,1,31,0,0,
2021-02-06,,2,31,0,0,
2021-02-07,,3,29,0,0,
2021-02-08,,1,34,0,0,
2021-02-09,,2,32,0,0,
2021-02-10,,4,29,0,0,
2021-02-11,,4,20,0,0,
2021-02-12,,1,14,0,0,
2021-02-13,,1,18,0,0,
2021-02-14,,1,25,0,0,
2021-02-15,,1,15,0,0,
2021-02-16,,1,19,0,0,
2021-02-17,,1,27,0,0,
2021-02-18,,1,29,0,0,
2021-02-19,,2,28,0,0,
2021-02-20,,1,27,0,0,
2021-02-21,,2,23,0,0,
2021-02-22,,1,27,0,0,
2021-02-23,,1,28,,0,
2021-02-24,,3,27,0,0,
2021-02-25,,1,27,0,0,
2021-02-26,,1,28,0,0,
2021-02-27,,1,24,0,0,
2021-02-28,,1,24,0,0,
2021-03-01,,1,24,0,0,
2021-03-02,,1,31,0,0,
2021-03-03,,1,29,0,0,
2021-03-04,,2,22,0,0,
2021-03-05,,1,19,0,0,
2021-03-06,,1,11,0,0,
2021-03-07,,1,27,0,0,
2021-03-08,,2,22,0,0,
2021-03-09,,1,21,0,0,
2021-03-10,,1,24,0,0,
2021-03-11,,2,18,0,,
2021-03-12,,1,25,0,0,
2021-03-13,,1,25,0,,
