time,pm25,pm10,O3,NO2,SO2,CO
2022-09-30,10,,,,,
2022-10-01,8,,,,,
2022-10-02,16,,,,,
2022-10-03,10,,,,,
2022-10-04,8,,,,,
2022-10-05,11,,,,,
2022-10-06,13,,,,,
2022-10-07,13,,,,,
2022-10-08,16,,,,,
2022-10-09,13,,,,,
2022-10-10,18,,,,,
2022-10-11,15,,,,,
2022-10-12,16,,,,,
2022-10-13,16,,,,,
2022-10-14,12,,,,,
2022-10-15,9,,,,,
2022-10-16,13,,,,,
2022-10-17,10,,,,,
2022-10-18,9,,,,,
2022-10-19,10,,,,,
2022-10-20,12,,,,,
2022-10-21,13,,,,,
2022-10-22,16,,,,,
2022-10-23,13,,,,,
2022-10-24,13,,,,,
2022-10-25,15,,,,,
2022-10-26,12,,,,,
2022-10-27,11,,,,,
2022-10-28,14,,,,,
2022-10-29,15,,,,,
2022-10-30,18,,,,,
2022-12-30,15,,,,,
2022-12-31,18,,,,,
2023-01-01,21,,,,,
2023-01-02,17,,,,,
2023-01-03,5,,,,,
2023-01-04,12,,,,,
2023-01-05,10,,,,,
2023-01-06,10,,,,,
2023-01-07,11,,,,,
2023-01-08,13,,,,,
2023-01-09,15,,,,,
2023-01-10,12,,,,,
2023-01-11,12,,,,,
2023-01-12,19,,,,,
2023-01-13,25,,,,,
2023-01-14,27,,,,,
2023-01-15,10,,,,,
2023-01-16,11,,,,,
2023-01-17,13,,,,,
2023-01-18,23,,,,,
2023-01-19,13,,,,,
2023-01-20,7,,,,,
2023-01-21,11,,,,,
2023-01-22,24,,,,,
2023-01-23,14,,,,,
2023-01-24,13,,,,,
2023-01-25,12,,,,,
2023-01-26,7,,,,,
2023-01-27,12,,,,,
2023-01-28,18,,,,,
2023-01-29,15,,,,,
2023-01-30,12,,,,,
2023-01-31,7,,,,,
2023-02-01,8,,,,,
2023-02-02,13,,,,,
2023-02-03,9,,,,,
2023-02-04,7,,,,,
2023-02-05,9,,,,,
2023-02-06,17,,,,,
2023-02-07,12,,,,,
2023-02-08,11,,,,,
2023-02-09,12,,,,,
2023-02-10,15,,,,,
2023-02-11,15,,,,,
2023-02-12,6,,,,,
2023-02-13,10,,,,,
2023-02-14,14,,,,,
2023-02-15,12,,,,,
2023-02-16,14,,,,,
2023-02-17,12,,,,,
2023-02-18,13,,,,,
2023-02-19,17,,,,,
2023-02-20,16,,,,,
2023-02-21,14,,,,,
2023-02-22,11,,,,,
2023-02-23,17,,,,,
2023-02-24,20,,,,,
2023-02-25,32,,,,,
2023-02-26,40,,,,,
2023-02-27,31,,,,,
2023-02-28,29,,,,,
2023-03-01,24,,,,,
2023-03-02,22,,,,,
2023-03-03,18,,,,,
2023-03-04,22,,,,,
2023-03-05,9,,,,,
2023-03-06,9,,,,,
2023-03-07,14,,,,,
2023-03-08,17,,,,,
2023-03-09,27,,,,,
2023-03-10,25,,,,,
2023-03-11,27,,,,,
2023-03-12,21,,,,,
2023-03-13,12,,,,,
2023-03-14,24,,,,,
2023-03-15,20,,,,,
2023-03-16,16,,,,,
2023-03-17,12,,,,,
2023-03-18,12,,,,,
2023-03-19,13,,,,,
2023-03-20,10,,,,,
2023-03-21,24,,,,,
2023-03-22,17,,,,,
2023-03-23,12,,,,,
2023-03-24,42,,,,,
2023-03-25,28,,,,,
2023-03-26,9,,,,,
2023-03-27,13,,,,,
2023-03-28,20,,,,,
2023-03-29,10,,,,,
2023-03-30,10,,,,,
2023-03-31,22,,,,,
2023-03-31,12,,,,,
2023-04-01,21,,,,,
2023-04-01,18,,,,,
2023-04-02,16,,,,,
2023-04-03,18,,,,,
2023-04-04,39,,,,,
2023-04-05,18,,,,,
2023-04-06,10,,,,,
2023-04-07,15,,,,,
2023-04-08,27,,,,,
2023-04-09,26,,,,,
2023-04-10,8,,,,,
2023-04-11,11,,,,,
2023-04-12,11,,,,,
2023-04-13,4,,,,,
2023-04-14,10,,,,,
2023-04-15,17,,,,,
2023-04-16,13,,,,,
2023-04-17,17,,,,,
2023-04-18,19,,,,,
2023-04-19,20,,,,,
2023-04-20,9,,,,,
2023-04-21,9,,,,,
2023-04-22,11,,,,,
2023-04-23,10,,,,,
2023-04-24,15,,,,,
2023-04-25,7,,,,,
2023-04-26,6,,,,,
2023-04-27,6,,,,,
2023-04-28,12,,,,,
2023-04-29,12,,,,,
2023-04-30,16,,,,,
2023-05-01,15,,,,,
2023-05-02,18,,,,,
2023-05-03,23,,,,,
2023-05-04,12,,,,,
2023-05-05,21,,,,,
2023-05-06,11,,,,,
2023-05-07,10,,,,,
2023-05-08,23,,,,,
2023-05-09,16,,,,,
2023-05-10,16,,,,,
2023-05-11,10,,,,,
2023-05-12,19,,,,,
2023-05-13,17,,,,,
2023-05-14,17,,,,,
2023-05-15,6,,,,,
2023-05-16,13,,,,,
2023-05-17,17,,,,,
2023-05-18,34,,,,,
2023-05-19,27,,,,,
2023-05-20,57,,,,,
2023-05-21,59,,,,,
2023-05-22,29,,,,,
2023-05-23,14,,,,,
2023-05-24,34,,,,,
2023-05-25,42,,,,,
2023-05-26,16,,,,,
2023-05-27,12,,,,,
2023-05-28,8,,,,,
2023-05-29,13,,,,,
2023-05-30,12,,,,,
2023-05-31,16,,,,,
2023-06-01,14,,,,,
2023-06-02,29,,,,,
2023-06-03,53,,,,,
2023-06-04,32,,,,,
2023-06-05,26,,,,,
2023-06-06,13,,,,,
2023-06-07,13,,,,,
2023-06-08,15,,,,,
2023-06-09,14,,,,,
2023-06-10,17,,,,,
2023-06-11,17,,,,,
2023-06-12,22,,,,,
2023-06-13,24,,,,,
2023-06-14,12,,,,,
2023-06-15,19,,,,,
2023-06-16,9,,,,,
2023-06-17,10,,,,,
2023-06-18,12,,,,,
2023-06-19,12,,,,,
2023-06-20,11,,,,,
2023-06-21,18,,,,,
2023-06-22,26,,,,,
2023-06-23,13,,,,,
2023-06-24,14,,,,,
2023-06-25,9,,,,,
2023-06-26,9,,,,,
2023-06-27,12,,,,,
2023-06-28,18,,,,,
2023-06-29,19,,,,,
2023-06-30,18,,,,,
2023-07-01,19,,,,,
2023-07-02,20,,,,,
2023-07-03,26,,,,,
2023-07-04,34,,,,,
2023-07-05,17,,,,,
2023-07-06,15,,,,,
2023-07-07,19,,,,,
2023-07-08,22,,,,,
2023-07-09,15,,,,,
2023-07-10,30,,,,,
2023-07-11,20,,,,,
2023-07-12,17,,,,,
2023-07-13,18,,,,,
2023-07-14,22,,,,,
2023-07-15,30,,,,,
2023-07-16,39,,,,,
2023-07-17,28,,,,,
2023-07-18,21,,,,,
2023-07-19,17,,,,,
2023-07-20,17,,,,,
2023-07-21,16,,,,,
2023-07-22,25,,,,,
2023-07-23,17,,,,,
2023-07-24,16,,,,,
2023-07-25,28,,,,,
2023-07-26,28,,,,,
2023-07-27,15,,,,,
2023-07-28,14,,,,,
2023-07-29,9,,,,,
2023-07-30,16,,,,,
2023-07-31,13,,,,,
2023-08-01,12,,,,,
2023-08-02,11,,,,,
2023-08-03,10,,,,,
2023-08-04,10,,,,,
2023-08-05,16,,,,,
2023-08-06,19,,,,,
2023-08-07,26,,,,,
2023-08-08,32,,,,,
2023-08-09,37,,,,,
2023-08-10,36,,,,,
2023-08-11,20,,,,,
2023-08-12,40,,,,,
2023-08-13,42,,,,,
2023-08-14,31,,,,,
2023-08-15,16,,,,,
2023-08-16,12,,,,,
2023-08-17,14,,,,,
2023-08-18,20,,,,,
2023-08-19,27,,,,,
2023-08-20,25,,,,,
2023-08-21,32,,,,,
2023-08-22,25,,,,,
2023-08-23,12,,,,,
2023-08-24,10,,,,,
2023-08-25,10,,,,,
2023-08-26,15,,,,,
2023-08-27,9,,,,,
2023-08-28,10,,,,,
2023-08-29,8,,,,,
2023-08-30,10,,,,,
2023-08-31,10,,,,,
2023-09-01,11,,,,,
2023-09-02,13,,,,,
2023-09-03,11,,,,,
2023-09-04,10,,,,,
2023-09-05,11,,,,,
2023-09-06,11,,,,,
2023-09-07,12,,,,,
2023-09-08,12,,,,,
2023-09-09,20,,,,,
2023-09-10,22,,,,,
2023-09-11,25,,,,,
2023-09-12,29,,,,,
2023-09-13,35,,,,,
2023-09-14,24,,,,,
2023-09-15,23,,,,,
2023-09-16,20,,,,,
2023-09-17,38,,,,,
2023-09-18,24,,,,,
2023-09-19,34,,,,,
2023-09-20,48,,,,,
2023-09-21,26,,,,,
2023-09-22,23,,,,,
2023-09-23,23,,,,,
2023-09-24,32,,,,,
2023-09-25,27,,,,,
2023-09-26,30,,,,,
2023-09-27,32,,,,,
2023-09-28,23,,,,,
2023-09-29,5,,,,,
2023-09-29,5,,,,,
2023-09-30,10,,,,,
2023-09-30,10,,,,,
2023-10-01,9,,,,,
2023-10-02,13,,,,,
2023-10-03,15,,,,,
2023-10-04,17,,,,,
2023-10-05,17,,,,,
2023-10-06,16,,,,,
2023-10-07,16,,,,,
2023-10-08,16,,,,,
2023-10-09,17,,,,,
2023-10-10,24,,,,,
2023-10-11,19,,,,,
2023-10-12,20,,,,,
2023-10-13,24,,,,,
2023-10-14,12,,,,,
2023-10-15,18,,,,,
2023-10-16,13,,,,,
2023-10-17,12,,,,,
2023-10-18,17,,,,,
2023-10-19,8,,,,,
2023-10-20,13,,,,,
2023-10-21,8,,,,,
2023-10-22,16,,,,,
2023-10-23,10,,,,,
2023-10-24,14,,,,,
2023-10-25,22,,,,,
2023-10-26,20,,,,,
2023-10-27,8,,,,,
2023-10-28,12,,,,,
2023-10-29,13,,,,,
2023-10-30,22,,,,,
2023-10-31,27,,,,,
2023-11-01,17,,,,,
2023-11-02,13,,,,,
2023-11-03,19,,,,,
2023-11-04,13,,,,,
2023-11-05,31,,,,,
2023-11-06,39,,,,,
2023-11-07,15,,,,,
2023-11-08,19,,,,,
2023-11-09,16,,,,,
2023-11-10,19,,,,,
2023-11-11,17,,,,,
2023-11-12,23,,,,,
2023-11-13,22,,,,,
2023-11-14,19,,,,,
2023-11-15,17,,,,,
2023-11-16,11,,,,,
2023-11-17,13,,,,,
2023-11-18,20,,,,,
2023-11-19,17,,,,,
2023-11-20,21,,,,,
2023-11-21,15,,,,,
2023-11-22,15,,,,,
2023-11-23,16,,,,,
2023-11-24,18,,,,,
2023-11-25,25,,,,,
2023-11-26,16,,,,,
2023-11-27,15,,,,,
2023-11-28,15,,,,,
2023-11-29,9,,,,,
2023-11-30,14,,,,,
2023-12-01,22,,,,,
2023-12-02,13,,,,,
2023-12-03,10,,,,,
2023-12-04,10,,,,,
2023-12-05,14,,,,,
2023-12-06,12,,,,,
2023-12-07,17,,,,,
2023-12-08,26,,,,,
2023-12-09,29,,,,,
2023-12-10,28,,,,,
2023-12-11,40,,,,,
2023-12-12,12,,,,,
2023-12-13,11,,,,,
2023-12-14,13,,,,,
2023-12-15,12,,,,,
2023-12-16,10,,,,,
2023-12-17,9,,,,,
2023-12-18,4,,,,,
2023-12-19,14,,,,,
2023-12-20,8,,,,,
2023-12-21,27,,,,,
2023-12-22,29,,,,,
2023-12-23,14,,,,,
2023-12-24,10,,,,,
2023-12-25,23,,,,,
2023-12-26,16,,,,,
2023-12-27,19,,,,,
2023-12-28,24,,,,,
2023-12-29,14,,,,,
2023-12-29,14,,,,,
2023-12-29,26,,,,,
2023-12-30,11,,,,,
2023-12-30,11,,,,,
2023-12-30,14,,,,,
2023-12-31,8,,,,,
2023-12-31,8,,,,,
