time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,,14,15,1,,
2021-01-02,,12,16,1,,
2021-01-03,,7,17,2,,
2021-01-04,,8,14,1,,
2021-01-05,,10,16,3,,
2021-01-06,,7,19,1,,
2021-01-07,,5,15,1,,
2021-01-08,,6,12,6,,
2021-01-09,,8,15,2,,
2021-01-10,,7,18,4,,
2021-01-11,,7,21,2,,
2021-01-12,,5,22,2,,
2021-01-13,,5,21,1,,
2021-01-14,,3,20,0,,
2021-01-15,,3,20,0,,
2021-01-16,,5,16,1,,
2021-01-17,,5,16,1,,
2021-01-18,,3,14,5,,
2021-01-19,,3,25,1,,
2021-01-20,,3,24,0,,
2021-01-21,,4,17,3,,
2021-01-22,,7,19,4,,
2021-01-23,,4,21,2,,
2021-01-24,,4,18,3,,
2021-01-25,,6,20,1,,
2021-01-26,,7,18,2,,
2021-01-27,,7,18,2,,
2021-01-28,,6,19,1,,
2021-01-29,,4,19,0,,
2021-01-30,,4,20,2,,
2021-01-31,,5,21,3,,
2021-02-01,,5,24,0,,
2021-02-02,,5,32,0,,
2021-02-03,,8,30,0,,
2021-02-04,,5,26,4,,
2021-02-05,,15,27,1,,
2021-02-06,,9,24,16,,
2021-02-07,,50,13,5,,
2021-02-08,,11,13,4,,
2021-02-09,,5,13,3,,
2021-02-10,,7,15,1,,
2021-02-11,,8,13,1,,
2021-02-12,,8,14,1,,
2021-02-13,,7,9,2,,
2021-02-14,,3,21,2,,
2021-02-15,,2,27,0,,
2021-02-16,,3,26,0,,
2021-02-17,,5,22,3,,
2021-02-18,,3,21,1,,
2021-02-19,,3,19,3,,
2021-02-20,,4,22,1,,
2021-02-21,,4,17,4,,
2021-02-22,,3,18,1,,
2021-02-23,,3,17,4,,
2021-02-24,,6,8,10,,
2021-02-25,,9,13,3,,
2021-02-26,,4,12,2,,
2021-02-27,,4,16,4,,
2021-02-28,,5,19,7,,
2021-03-01,,4,18,3,,
2021-03-02,,7,16,2,,
2021-03-03,,5,9,3,,
2021-03-04,,6,8,2,,
2021-03-05,,5,17,5,,
2021-03-06,,6,21,3,,
2021-03-07,,8,21,2,,
2021-03-08,,10,18,4,,
2021-03-09,,10,20,3,,
2021-03-10,,13,20,3,,
2021-03-11,,11,17,3,,
2021-03-12,,8,20,4,,
2021-03-13,,6,20,3,,
2021-03-14,,7,12,5,,
2021-03-15,,4,24,5,,
