time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,29,,,2,,
2021-01-02,47,,,2,,
2021-01-03,45,,,2,,
2021-01-04,52,,,4,,
2021-01-05,33,,,2,,
2021-01-06,27,,,3,,
2021-01-07,23,,,3,,
2021-01-08,18,,,3,,
2021-01-09,9,,,5,,
2021-01-10,15,,,5,,
2021-01-11,15,,,5,,
2021-01-12,11,,,5,,
2021-01-13,11,,,3,,
2021-01-14,8,,,4,,
2021-01-15,7,,,6,,
2021-01-16,9,,,5,,
2021-01-17,6,,,5,,
2021-01-18,6,,,4,,
2021-01-19,11,,,6,,
2021-01-20,17,,,5,,
2021-01-21,8,,,5,,
2021-01-22,10,,,5,,
2021-01-23,9,,,6,,
2021-01-24,16,,,5,,
2021-01-25,26,,,3,,
2021-01-26,27,,,4,,
2021-01-27,19,,,5,,
2021-01-28,15,,,5,,
2021-01-29,18,,,9,,
2021-01-30,33,,,6,,
2021-01-31,21,,,3,,
2021-02-01,15,,,3,,
2021-02-02,8,,,6,,
2021-02-03,16,,,6,,
2021-02-04,10,,,6,,
2021-02-05,10,,,6,,
2021-02-06,18,,,5,,
2021-02-07,8,,,6,,
2021-02-08,13,,,7,,
2021-02-09,10,,,11,,
2021-02-10,20,,,6,,
2021-02-11,13,,,5,,
2021-02-12,13,,,6,,
2021-02-13,27,,,4,,
2021-02-14,23,,,3,,
2021-02-15,26,,,4,,
2021-02-16,23,,,3,,
2021-02-17,9,,,5,,
2021-02-18,7,,,6,,
2021-02-19,9,,,8,,
2021-02-20,14,,,4,,
2021-02-21,6,,,4,,
2021-02-22,8,,,6,,
2021-02-23,10,,,8,,
2021-02-24,14,,,6,,
2021-02-25,7,,,7,,
2021-02-26,8,,,3,,
2021-02-27,12,,,3,,
2021-02-28,15,,,3,,
2021-03-01,17,,,5,,
2021-03-02,16,,,5,,
2021-03-03,12,,,6,,
2021-03-04,18,,,4,,
2021-03-05,18,,,4,,
2021-03-06,19,,,4,,
2021-03-07,25,,,3,,
2021-03-08,21,,,7,,
2021-03-09,24,,,6,,
2021-03-10,20,,,6,,
2021-03-11,25,,,6,,
2021-03-12,29,,,4,,
2021-03-13,35,,,4,,
2021-03-14,30,,,5,,
2021-03-15,29,,,8,,
2021-03-16,29,,,5,,
2021-03-17,23,,,5,,
2021-03-18,4,,,6,,
2021-03-19,7,,,4,,
2021-03-20,3,,,4,,
2021-03-21,6,,,4,,
2021-03-22,16,,,4,,
2021-03-23,11,,,6,,
2021-03-24,9,,,5,,
2021-03-25,8,,,4,,
2021-03-26,7,,,2,,
2021-03-27,9,,,3,,
2021-03-28,13,,,3,,
2021-03-29,10,,,3,,
2021-03-30,19,,,3,,
2021-03-31,10,,,5,,
2021-04-01,,,,3,,
2021-04-01,13,,,5,,
2021-04-02,16,,,4,,
2021-04-02,28,,,5,,
2021-04-03,11,,,3,,
2021-04-03,38,,,3,,
2021-04-04,14,,,3,,
2021-04-04,9,,,3,,
2021-04-05,11,,,2,,
2021-04-05,15,,,,,
2021-04-06,16,,,3,,
2021-04-07,20,,,4,,
2021-04-08,15,,,6,,
2021-04-09,12,,,4,,
2021-04-10,21,,,3,,
2021-04-11,26,,,5,,
2021-04-12,21,,,9,,
2021-04-13,23,,,8,,
2021-04-14,24,,,6,,
2021-04-15,18,,,9,,
2021-04-16,12,,,8,,
2021-04-17,13,,,7,,
2021-04-18,22,,,6,,
2021-04-19,27,,,6,,
2021-04-20,44,,,4,,
2021-04-21,18,,,5,,
2021-04-22,13,,,5,,
2021-04-23,11,,,6,,
2021-04-24,11,,,5,,
2021-04-25,12,,,6,,
2021-04-26,21,,,4,,
2021-04-27,17,,,3,,
2021-04-28,13,,,4,,
2021-04-29,17,,,10,,
2021-04-30,27,,,13,,
2021-05-01,30,,,4,,
2021-05-02,19,,,4,,
2021-05-03,18,,,5,,
2021-05-04,25,,,6,,
2021-05-05,13,,,3,,
2021-05-06,13,,,8,,
2021-05-07,8,,,19,,
2021-05-08,25,,,14,,
2021-05-09,22,,,10,,
2021-05-10,16,,,19,,
2021-05-11,23,,,6,,
2021-05-12,8,,,4,,
2021-05-13,9,,,10,,
2021-05-14,7,,,9,,
2021-05-15,11,,,12,,
2021-05-16,28,,,15,,
2021-05-17,30,,,6,,
2021-05-18,21,,,7,,
2021-05-19,37,,,6,,
2021-05-20,23,,,5,,
2021-05-21,38,,,6,,
2021-05-22,31,,,8,,
2021-05-23,32,,,10,,
2021-05-24,7,,,8,,
2021-05-25,9,,,7,,
2021-05-26,7,,,9,,
2021-05-27,8,,,10,,
2021-05-28,8,,,11,,
2021-05-29,26,,,10,,
2021-05-30,8,,,8,,
2021-05-31,6,,,8,,
2021-06-01,11,,,7,,
2021-06-02,6,,,4,,
2021-06-03,15,,,9,,
2021-06-04,20,,,6,,
2021-06-05,23,,,7,,
2021-06-06,18,,,9,,
2021-06-07,18,,,6,,
2021-06-08,37,,,8,,
2021-06-09,31,,,6,,
2021-06-10,14,,,9,,
2021-06-11,13,,,12,,
2021-06-12,16,,,8,,
2021-06-13,17,,,8,,
2021-06-14,12,,,7,,
2021-06-15,12,,,7,,
2021-06-16,5,,,8,,
2021-06-17,8,,,16,,
2021-06-18,20,,,14,,
2021-06-19,16,,,10,,
2021-06-20,12,,,12,,
2021-06-21,23,,,12,,
2021-06-22,23,,,8,,
2021-06-23,22,,,7,,
2021-06-24,31,,,7,,
2021-06-25,7,,,11,,
2021-06-26,11,,,12,,
2021-06-27,11,,,11,,
2021-06-28,8,,,9,,
2021-06-29,7,,,8,,
2021-06-30,8,,,8,,
2021-07-01,,,,11,,
2021-07-01,7,,,,,
2021-07-02,8,,,9,,
2021-07-03,7,,,8,,
2021-07-04,8,,,8,,
2021-07-05,7,,,7,,
2021-07-06,9,,,7,,
2021-07-07,10,,,9,,
2021-07-08,13,,,11,,
2021-07-09,10,,,7,,
2021-07-10,9,,,8,,
2021-07-11,12,,,8,,
2021-07-12,15,,,6,,
2021-07-13,34,,,9,,
2021-07-14,17,,,11,,
2021-07-15,19,,,12,,
2021-07-16,21,,,6,,
2021-07-17,16,,,5,,
2021-07-18,16,,,6,,
2021-07-19,22,,,8,,
2021-07-20,24,,,6,,
2021-07-21,12,,,8,,
2021-07-22,30,,,10,,
2021-07-23,33,,,8,,
2021-07-24,6,,,6,,
2021-07-25,7,,,5,,
2021-07-26,7,,,6,,
2021-07-27,8,,,7,,
2021-07-28,10,,,8,,
2021-07-29,10,,,11,,
2021-07-30,14,,,11,,
2021-07-31,10,,,6,,
2021-08-01,11,,,8,,
2021-08-02,13,,,7,,
2021-08-03,11,,,5,,
2021-08-04,12,,,3,,
2021-08-05,11,,,4,,
2021-08-06,8,,,8,,
2021-08-07,14,,,7,,
2021-08-08,18,,,8,,
2021-08-09,18,,,6,,
2021-08-10,26,,,6,,
2021-08-11,33,,,7,,
2021-08-12,30,,,4,,
2021-08-13,55,,,7,,
2021-08-14,41,,,4,,
2021-08-15,22,,,8,,
2021-08-16,15,,,6,,
2021-08-17,20,,,8,,
2021-08-18,14,,,8,,
2021-08-19,8,,,9,,
2021-08-20,7,,,7,,
2021-08-21,4,,,7,,
2021-08-22,10,,,6,,
2021-08-23,13,,,7,,
2021-08-24,10,,,3,,
2021-08-25,13,,,1,,
2021-08-26,19,,,4,,
2021-08-27,10,,,7,,
2021-08-28,12,,,5,,
2021-08-29,15,,,5,,
2021-08-30,12,,,6,,
2021-08-31,15,,,3,,
2021-09-01,21,,,10,,
2021-09-02,29,,,7,,
2021-09-03,25,,,5,,
2021-09-04,19,,,5,,
2021-09-05,24,,,4,,
2021-09-06,21,,,4,,
2021-09-07,29,,,2,,
2021-09-08,26,,,5,,
2021-09-09,28,,,7,,
2021-09-10,42,,,6,,
2021-09-11,66,,,4,,
2021-09-12,32,,,4,,
2021-09-13,13,,,5,,
2021-09-14,13,,,6,,
2021-09-15,13,,,5,,
2021-09-16,13,,,5,,
2021-09-17,21,,,6,,
2021-09-18,28,,,4,,
2021-09-19,42,,,4,,
2021-09-20,52,,,4,,
2021-09-21,55,,,3,,
2021-09-22,76,,,4,,
2021-09-23,52,,,4,,
2021-09-24,10,,,2,,
2021-09-25,22,,,1,,
2021-09-26,27,,,3,,
2021-09-27,14,,,3,,
2021-09-28,18,,,3,,
2021-09-29,31,,,2,,
2021-09-30,,,,1,,
2021-09-30,36,,,1,,
2021-10-01,29,,,2,,
2021-10-01,29,,,2,,
2021-10-02,25,,,5,,
2021-10-02,25,,,5,,
2021-10-03,34,,,2,,
2021-10-03,34,,,2,,
2021-10-04,28,,,3,,
2021-10-04,28,,,,,
2021-10-05,37,,,3,,
2021-10-06,40,,,4,,
2021-10-07,28,,,5,,
2021-10-08,20,,,4,,
2021-10-09,23,,,1,,
2021-10-10,36,,,4,,
2021-10-11,27,,,4,,
2021-10-12,20,,,4,,
2021-10-13,29,,,3,,
2021-10-14,36,,,6,,
2021-10-15,48,,,3,,
2021-10-16,26,,,3,,
2021-10-17,29,,,4,,
2021-10-18,27,,,3,,
2021-10-19,15,,,4,,
2021-10-20,16,,,3,,
2021-10-21,17,,,4,,
2021-10-22,24,,,2,,
2021-10-23,17,,,3,,
2021-10-24,21,,,3,,
2021-10-25,34,,,4,,
2021-10-26,42,,,4,,
