time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,,9,20,2,,
2021-01-01,,11,22,4,,
2021-01-02,,4,25,1,,
2021-01-02,,9,20,2,,
2021-01-03,,6,23,0,,
2021-01-03,,4,25,1,,
2021-01-04,,10,19,2,,
2021-01-04,,6,23,0,,
2021-01-05,,9,24,2,,
2021-01-05,,10,,,,
2021-01-06,,10,21,2,,
2021-01-07,,15,20,3,,
2021-01-08,,12,20,3,,
2021-01-09,,11,21,3,,
2021-01-10,,12,20,2,,
2021-01-11,,8,18,4,,
2021-01-12,,11,16,4,,
2021-01-13,,11,19,3,,
2021-01-14,,7,13,3,,
2021-01-15,,12,10,3,,
2021-01-16,,12,16,2,,
2021-01-17,,10,24,3,,
2021-01-18,,11,23,3,,
2021-01-19,,13,27,1,,
2021-01-20,,9,32,1,,
2021-01-21,,26,15,5,,
2021-01-22,,18,17,4,,
2021-01-23,,15,20,1,,
2021-01-24,,6,19,1,,
2021-01-25,,5,23,3,,
2021-01-26,,8,19,2,,
2021-01-27,,7,25,3,,
2021-01-28,,9,21,3,,
2021-01-29,,8,23,4,,
2021-01-30,,12,20,3,,
2021-01-31,,17,18,1,,
2021-02-01,,12,23,2,,
2021-02-02,,7,22,4,,
2021-02-03,,9,22,2,,
2021-02-04,,,13,4,,
2021-02-05,,,14,2,,
2021-02-06,,9,21,1,,
2021-02-07,,12,20,2,,
2021-02-08,,9,19,4,,
2021-02-09,,10,14,5,,
2021-02-10,,16,16,1,,
2021-02-11,,9,17,3,,
2021-02-12,,10,15,4,,
2021-02-13,,14,17,4,,
2021-02-14,,15,27,1,,
2021-02-15,,9,24,4,,
2021-02-16,,18,17,5,,
2021-02-17,,14,13,5,,
2021-02-18,,10,24,4,,
2021-02-19,,16,21,5,,
2021-02-20,,14,17,6,,
2021-02-21,,16,16,5,,
2021-02-22,,20,9,7,,
2021-02-23,,28,16,6,,
2021-02-24,,22,16,9,,
2021-02-25,,25,18,10,,
2021-02-26,,21,13,7,,
2021-02-27,,20,15,5,,
2021-02-28,,17,15,4,,
2021-03-01,,15,13,6,,
2021-03-02,,19,19,4,,
2021-03-03,,14,15,6,,
2021-03-04,,9,21,5,,
2021-03-05,,8,25,4,,
2021-03-06,,4,22,2,,
2021-03-07,,4,14,4,,
2021-03-08,,7,19,3,,
2021-03-09,,4,13,5,,
2021-03-10,,10,13,6,,
2021-03-11,,15,14,4,,
2021-03-12,,9,25,3,,
2021-03-13,,7,20,2,,
2021-03-14,,6,19,2,,
2021-03-15,,7,12,6,,
2021-03-16,,10,16,5,,
2021-03-17,,6,14,4,,
2021-03-18,,10,15,9,,
2021-03-19,,14,8,4,,
2021-03-20,,10,10,8,,
2021-03-21,,12,15,5,,
2021-03-22,,12,17,3,,
2021-03-23,,6,17,3,,
2021-03-24,,5,27,3,,
2021-03-25,,7,26,2,,
2021-03-26,,7,24,1,,
2021-03-27,,6,19,4,,
2021-03-28,,11,23,1,,
2021-03-29,,4,,,,
2021-04-01,,,14,3,,
2021-04-02,,14,9,5,,
2021-04-02,,,19,2,,
2021-04-03,,16,4,6,,
2021-04-03,,6,16,2,,
2021-04-04,,21,10,8,,
2021-04-04,,11,19,1,,
2021-04-05,,19,10,7,,
2021-04-05,,11,11,4,,
2021-04-06,,18,16,2,,
2021-04-06,,22,,,,
2021-04-07,,11,16,2,,
2021-04-08,,9,14,8,,
2021-04-09,,21,23,3,,
2021-04-10,,7,25,6,,
2021-04-11,,4,25,2,,
2021-04-12,,5,19,4,,
2021-04-13,,9,17,5,,
2021-04-14,,13,23,5,,
2021-04-15,,13,14,9,,
2021-04-16,,22,17,5,,
2021-04-17,,13,32,3,,
2021-04-18,,7,31,2,,
2021-04-19,,4,29,2,,
2021-04-20,,8,,,,
2021-04-21,,,21,3,,
2021-04-22,,7,18,9,,
2021-04-23,,18,18,7,,
2021-04-24,,21,17,6,,
2021-04-25,,8,18,2,,
2021-04-26,,3,27,2,,
2021-04-27,,11,26,2,,
2021-04-28,,11,24,2,,
2021-04-29,,3,27,3,,
2021-04-30,,5,23,2,,
2021-05-01,,3,31,2,,
2021-05-02,,5,13,7,,
2021-05-03,,10,19,5,,
2021-05-04,,12,7,4,,
2021-05-05,,14,23,2,,
2021-05-06,,5,22,3,,
2021-05-07,,6,19,2,,
2021-05-08,,9,22,4,,
2021-05-09,,13,23,3,,
2021-05-10,,18,21,6,,
2021-05-11,,19,25,3,,
2021-05-12,,13,25,4,,
2021-05-13,,19,24,4,,
2021-05-14,,11,30,4,,
2021-05-15,,9,30,4,,
2021-05-16,,9,30,3,,
2021-05-17,,10,21,4,,
2021-05-18,,9,33,1,,
2021-05-19,,11,36,1,,
2021-05-20,,11,28,3,,
2021-05-21,,30,25,4,,
2021-05-22,,31,22,4,,
2021-05-23,,44,25,7,,
2021-05-24,,52,25,5,,
2021-05-25,,30,31,2,,
2021-05-26,,13,26,2,,
2021-05-27,,11,34,4,,
2021-05-28,,22,31,7,,
2021-05-29,,26,27,8,,
2021-05-30,,29,30,6,,
2021-05-31,,28,24,4,,
2021-06-01,,19,26,1,,
2021-06-02,,10,25,3,,
2021-06-03,,19,31,4,,
2021-06-04,,20,31,8,,
2021-06-05,,26,31,5,,
2021-06-06,,23,28,2,,
2021-06-07,,5,29,3,,
2021-06-08,,10,33,1,,
2021-06-09,,8,29,1,,
2021-06-10,,8,34,3,,
2021-06-11,,9,26,6,,
2021-06-12,,11,28,2,,
2021-06-13,,7,27,4,,
2021-06-14,,11,27,2,,
2021-06-15,,5,33,2,,
2021-06-16,,9,27,4,,
2021-06-17,,19,33,3,,
2021-06-18,,16,33,3,,
2021-06-19,,10,35,5,,
2021-06-20,,14,32,7,,
2021-06-21,,16,35,4,,
2021-06-22,,16,34,3,,
2021-06-23,,13,33,3,,
2021-06-24,,10,26,6,,
2021-06-25,,13,42,7,,
2021-06-26,,16,45,4,,
2021-06-27,,16,37,4,,
2021-06-28,,16,35,2,,
2021-06-29,,35,36,1,,
2021-06-30,,12,36,0,,
2021-07-01,,,37,4,,
2021-07-01,,10,,,,
2021-07-02,,16,35,2,,
2021-07-03,,35,36,1,,
2021-07-04,,12,36,0,,
2021-07-05,,10,35,1,,
2021-07-06,,14,32,2,,
2021-07-07,,8,37,1,,
2021-07-08,,10,40,2,,
2021-07-09,,7,38,3,,
2021-07-10,,15,27,1,,
2021-07-11,,9,25,1,,
2021-07-12,,5,35,1,,
2021-07-13,,9,,,,
2021-07-14,,,37,1,,
2021-07-15,,9,38,1,,
2021-07-16,,11,28,1,,
2021-07-17,,10,35,1,,
2021-07-18,,14,36,2,,
2021-07-19,,19,39,3,,
2021-07-20,,21,41,2,,
2021-07-21,,17,42,3,,
2021-07-22,,11,44,2,,
2021-07-23,,10,44,2,,
2021-07-24,,11,50,1,,
2021-07-25,,9,46,1,,
2021-07-26,,9,43,1,,
2021-07-27,,9,47,1,,
2021-07-28,,13,29,2,,
2021-07-29,,13,40,1,,
2021-07-30,,10,39,1,,
2021-07-31,,10,30,2,,
2021-08-01,,15,39,1,,
2021-08-02,,13,42,1,,
2021-08-03,,9,27,3,,
2021-08-04,,18,34,1,,
2021-08-05,,13,30,1,,
2021-08-06,,8,,,,
2021-08-07,,,25,1,,
2021-08-08,,11,36,0,,
2021-08-09,,11,30,1,,
2021-08-10,,6,32,2,,
2021-08-11,,5,30,2,,
2021-08-12,,11,29,1,,
2021-08-13,,6,33,2,,
2021-08-14,,7,27,1,,
2021-08-15,,8,31,0,,
2021-08-16,,5,31,1,,
2021-08-17,,8,29,2,,
2021-08-18,,12,29,2,,
2021-08-19,,6,31,2,,
2021-08-20,,7,32,2,,
2021-08-21,,6,30,1,,
2021-08-22,,5,30,1,,
2021-08-23,,6,32,1,,
2021-08-24,,6,33,2,,
2021-08-25,,13,29,2,,
2021-08-26,,11,27,1,,
2021-08-27,,6,38,2,,
2021-08-28,,6,38,1,,
2021-08-29,,5,39,1,,
2021-08-30,,5,43,2,,
2021-08-31,,7,,,,
2021-09-02,,,36,2,,
2021-09-03,,8,40,2,,
2021-09-04,,5,,,,
2021-09-06,,,35,1,,
2021-09-07,,6,20,3,,
2021-09-08,,9,46,2,,
2021-09-09,,11,41,4,,
2021-09-10,,16,,,,
2021-09-11,,,28,1,,
2021-09-12,,6,33,0,,
2021-09-13,,6,44,2,,
2021-09-14,,10,,,,
2021-09-15,,,44,3,,
2021-09-16,,16,39,1,,
2021-09-17,,12,39,2,,
2021-09-18,,11,34,1,,
2021-09-19,,20,25,0,,
2021-09-20,,6,29,2,,
2021-09-21,,7,27,1,,
2021-09-22,,5,23,1,,
2021-09-23,,6,28,2,,
2021-09-24,,14,42,2,,
2021-09-25,,11,39,0,,
2021-09-26,,8,27,0,,
2021-09-27,,5,27,1,,
2021-09-28,,2,29,1,,
2021-09-29,,6,23,2,,
2021-09-30,,,33,1,,
2021-09-30,,8,33,1,,
2021-10-01,,11,36,1,,
2021-10-01,,11,36,1,,
2021-10-02,,10,26,1,,
2021-10-02,,10,26,1,,
2021-10-03,,7,20,0,,
2021-10-03,,7,20,0,,
2021-10-04,,5,22,1,,
2021-10-04,,5,,,,
2021-10-05,,5,22,1,,
2021-10-06,,9,23,1,,
2021-10-07,,7,23,2,,
2021-10-08,,10,27,1,,
2021-10-09,,9,24,1,,
2021-10-10,,10,23,0,,
2021-10-11,,4,23,2,,
2021-10-12,,5,20,2,,
2021-10-13,,4,21,2,,
2021-10-14,,14,28,3,,
2021-10-15,,11,16,1,,
2021-10-16,,6,27,1,,
2021-10-17,,14,32,1,,
2021-10-18,,15,28,1,,
2021-10-19,,13,38,1,,
2021-10-20,,19,42,1,,
2021-10-21,,17,46,2,,
2021-10-22,,18,48,2,,
2021-10-23,,18,28,1,,
2021-10-24,,5,34,0,,
2021-10-25,,6,35,1,,
2021-10-26,,8,26,2,,
2021-10-27,,10,29,1,,
2021-10-28,,6,29,1,,
2021-10-29,,4,25,2,,
2021-10-30,,7,27,1,,
2021-10-31,,9,26,1,,
2021-11-01,,6,27,1,,
2021-11-02,,3,26,2,,
2021-11-03,,4,22,1,,
2021-11-04,,3,28,1,,
2021-11-05,,4,26,1,,
2021-11-06,,5,24,1,,
2021-11-07,,4,23,0,,
2021-11-08,,5,27,1,,
2021-11-09,,3,29,1,,
2021-11-10,,5,38,1,,
2021-11-11,,8,38,2,,
2021-11-12,,12,37,1,,
2021-11-13,,15,36,1,,
2021-11-14,,15,38,,,
2021-11-15,,15,27,,,
2021-11-16,,5,32,,,
2021-11-17,,16,24,,,
2021-11-18,,8,23,0,,
2021-11-19,,6,27,0,,
2021-11-20,,4,29,0,,
2021-11-21,,7,24,0,,
2021-11-22,,5,30,1,,
2021-11-23,,5,31,0,,
2021-11-24,,8,32,0,,
2021-11-25,,4,34,0,,
2021-11-26,,9,28,0,,
2021-11-27,,8,27,0,,
2021-11-28,,6,27,0,,
2021-11-29,,5,27,0,,
2021-11-30,,22,33,0,,
2021-12-01,,11,35,0,,
2021-12-02,,7,41,2,,
2021-12-03,,9,38,0,,
2021-12-04,,6,35,1,,
2021-12-05,,5,39,0,,
2021-12-06,,5,45,1,,
2021-12-07,,9,46,2,,
2021-12-08,,11,35,1,,
2021-12-09,,11,33,2,,
2021-12-10,,7,26,1,,
2021-12-11,,5,25,2,,
2021-12-12,,8,32,1,,
2021-12-13,,4,37,2,,
2021-12-14,,6,31,2,,
2021-12-15,,9,23,1,,
2021-12-16,,3,28,1,,
2021-12-17,,7,33,2,,
2021-12-18,,6,31,1,,
2021-12-19,,6,25,1,,
2021-12-20,,4,24,2,,
2021-12-21,,4,26,2,,
2021-12-22,,13,32,2,,
2021-12-23,,11,36,2,,
2021-12-24,,8,36,2,,
2021-12-25,,8,17,3,,
2021-12-26,,10,33,1,,
2021-12-27,,7,29,2,,
2021-12-28,,7,28,2,,
2021-12-29,,6,30,2,,
2021-12-30,,,27,2,,
2021-12-30,,6,20,2,,
2021-12-31,,7,32,1,,
2021-12-31,,5,27,2,,
2022-01-01,,5,35,0,,
2022-01-01,,7,32,1,,
2022-01-02,,9,27,2,,
2022-01-02,,5,35,0,,
2022-01-03,,6,26,2,,
2022-01-03,,9,,,,
2022-01-04,,6,27,3,,
2022-01-05,,9,28,2,,
2022-01-06,,8,28,1,,
2022-01-07,,5,13,2,,
2022-01-08,,18,28,2,,
2022-01-09,,14,24,3,,
2022-01-10,,19,23,4,,
2022-01-11,,14,28,3,,
2022-01-12,,12,27,3,,
2022-01-13,,6,23,4,,
2022-01-14,,13,5,5,,
2022-01-15,,12,27,2,,
2022-01-16,,9,2,1,,
2022-01-17,,9,27,2,,
2022-01-18,,6,27,3,,
2022-01-19,,11,32,3,,
2022-01-20,,12,24,3,,
2022-01-21,,7,31,3,,
2022-01-22,,8,22,3,,
2022-01-23,,9,18,5,,
2022-01-24,,13,25,5,,
2022-01-25,,9,18,3,,
2022-01-26,,8,23,4,,
2022-01-27,,12,26,7,,
2022-01-28,,11,5,5,,
2022-01-29,,13,26,2,,
2022-01-30,,5,30,1,,
2022-01-31,,9,26,3,,
2022-02-01,,5,29,3,,
2022-02-02,,3,13,9,,
2022-02-03,,15,21,4,,
2022-02-04,,8,3,8,,
2022-02-05,,20,18,4,,
2022-02-06,,11,24,4,,
2022-02-07,,11,19,5,,
2022-02-08,,12,11,6,,
2022-02-09,,21,13,5,,
2022-02-10,,21,10,5,,
2022-02-11,,19,22,4,,
2022-02-12,,13,16,2,,
2022-02-13,,6,16,3,,
2022-02-14,,10,11,5,,
2022-02-15,,9,8,6,,
2022-02-16,,,19,5,,
2022-02-17,,,15,3,,
2022-02-18,,7,10,3,,
2022-02-19,,8,9,4,,
2022-02-20,,7,21,2,,
2022-02-21,,5,18,2,,
2022-02-22,,4,10,8,,
2022-02-23,,14,11,6,,
2022-02-24,,24,19,8,,
2022-02-25,,29,26,4,,
2022-02-26,,9,23,3,,
2022-02-27,,6,,,,
2022-02-28,,,24,7,,
2022-03-01,,9,24,4,,
2022-03-02,,7,25,8,,
2022-03-03,,12,21,5,,
2022-03-04,,10,29,3,,
2022-03-05,,5,27,3,,
2022-03-06,,6,22,5,,
2022-03-07,,7,29,4,,
2022-03-08,,8,27,6,,
2022-03-09,,9,26,5,,
2022-03-10,,12,28,4,,
2022-03-11,,6,20,5,,
2022-03-12,,13,14,4,,
2022-03-13,,11,21,2,,
2022-03-14,,4,8,4,,
2022-03-15,,5,9,2,,
2022-03-16,,3,10,8,,
2022-03-17,,12,10,7,,
2022-03-18,,17,6,7,,
2022-03-19,,23,13,3,,
2022-03-20,,13,12,3,,
2022-03-21,,5,15,4,,
2022-03-22,,12,14,5,,
2022-03-23,,22,13,11,,
2022-03-24,,20,7,7,,
2022-03-25,,10,5,5,,
2022-03-26,,14,15,5,,
2022-03-27,,10,28,3,,
2022-03-28,,9,29,2,,
2022-03-29,,9,24,2,,
2022-03-30,,4,17,6,,
2022-03-31,,,21,3,,
2022-03-31,,11,10,6,,
2022-04-01,,8,24,4,,
2022-04-01,,10,9,4,,
2022-04-02,,6,20,7,,
2022-04-02,,13,24,3,,
2022-04-03,,11,14,7,,
2022-04-03,,13,,,,
2022-04-04,,17,20,6,,
2022-04-05,,9,34,3,,
2022-04-06,,7,30,2,,
2022-04-07,,13,25,5,,
2022-04-08,,7,19,4,,
2022-04-09,,10,16,4,,
2022-04-10,,13,7,8,,
2022-04-11,,25,12,8,,
2022-04-12,,25,9,12,,
2022-04-13,,53,16,4,,
2022-04-14,,17,9,6,,
2022-04-15,,19,18,4,,
2022-04-16,,10,15,5,,
2022-04-17,,12,25,4,,
2022-04-18,,13,28,3,,
2022-04-19,,10,22,6,,
2022-04-20,,17,23,4,,
2022-04-21,,14,16,5,,
2022-04-22,,21,7,7,,
2022-04-23,,19,15,3,,
2022-04-24,,11,14,3,,
2022-04-25,,12,15,5,,
2022-04-26,,14,,,,
2022-04-27,,,20,6,,
2022-04-28,,14,28,4,,
2022-04-29,,10,23,7,,
2022-04-30,,10,21,5,,
2022-05-01,,4,19,4,,
2022-05-02,,6,18,5,,
2022-05-03,,5,7,14,,
2022-05-04,,20,30,3,,
2022-05-05,,8,28,5,,
2022-05-06,,12,22,8,,
2022-05-07,,17,21,9,,
2022-05-08,,18,22,8,,
2022-05-09,,19,27,5,,
2022-05-10,,9,22,8,,
2022-05-11,,15,28,5,,
2022-05-12,,17,29,4,,
2022-05-13,,9,26,3,,
2022-05-14,,9,25,2,,
2022-05-15,,3,29,3,,
