time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,23,,,,,
2021-01-02,,10,32,2,0,
2021-01-03,,13,29,2,0,
2021-01-04,24,14,26,5,0,
2021-01-05,21,12,24,4,0,
2021-01-06,23,19,29,3,0,
2021-01-07,37,19,25,7,0,
2021-01-08,38,13,28,6,0,
2021-01-09,30,13,29,4,0,
2021-01-10,37,21,30,2,0,
2021-01-11,40,9,29,3,0,
2021-01-12,17,14,29,6,0,
2021-01-13,32,11,18,7,0,
2021-01-14,24,9,24,6,0,
2021-01-15,19,10,17,5,0,
2021-01-16,24,11,15,6,0,
2021-01-17,25,10,28,4,0,
2021-01-18,22,6,27,6,0,
2021-01-19,17,13,30,7,0,
2021-01-20,34,14,22,9,0,
2021-01-21,34,24,26,11,0,
2021-01-22,48,37,21,13,0,
2021-01-23,62,21,28,2,0,
2021-01-24,42,11,30,2,0,
2021-01-25,25,15,32,3,0,
2021-01-26,32,17,28,3,0,
2021-01-27,29,11,27,6,0,
2021-01-28,25,17,25,6,0,
2021-01-29,35,14,23,6,0,
2021-01-30,35,16,24,4,0,
2021-01-31,46,13,28,3,0,
2021-02-01,42,13,26,5,0,
2021-02-02,39,15,19,7,0,
2021-02-03,41,14,18,6,0,
2021-02-04,44,15,17,7,0,
2021-02-05,45,13,19,7,0,
2021-02-06,40,14,21,4,0,
2021-02-07,44,15,22,4,0,
2021-02-08,45,22,20,8,0,
2021-02-09,53,32,17,8,0,
2021-02-10,57,25,23,4,0,
2021-02-11,60,21,11,2,0,
2021-02-12,60,,,,,
2021-02-16,,17,18,7,0,
2021-02-17,43,13,20,7,0,
2021-02-18,34,13,19,8,0,
2021-02-19,33,11,25,7,0,
2021-02-20,31,15,25,5,0,
2021-02-21,29,12,33,4,0,
2021-02-22,27,13,27,6,0,
2021-02-23,38,11,23,7,0,
2021-02-24,30,14,22,11,0,
2021-02-25,41,12,24,8,0,
2021-02-26,36,14,46,10,0,
2021-02-27,40,11,25,11,0,
2021-02-28,30,7,25,7,0,
2021-03-01,20,13,9,6,0,
2021-03-02,38,14,22,8,0,
2021-03-03,40,19,10,7,0,
2021-03-04,45,12,18,6,0,
2021-03-05,30,9,19,7,0,
2021-03-06,28,13,25,3,0,
2021-03-07,28,8,29,3,0,
2021-03-08,16,6,22,4,0,
2021-03-09,17,8,18,7,0,
2021-03-10,20,7,21,6,0,
2021-03-11,18,10,17,8,0,
2021-03-12,28,11,13,9,0,
2021-03-13,29,10,14,9,0,
2021-03-14,33,7,19,6,0,
2021-03-15,21,9,15,6,0,
2021-03-16,28,12,21,9,0,
2021-03-17,,9,17,8,0,
2021-03-17,32,10,16,10,0,
2021-03-18,27,5,18,8,0,
2021-03-18,28,11,18,10,0,
2021-03-19,17,9,17,9,0,
2021-03-19,34,13,11,10,0,
2021-03-20,29,14,13,10,0,
2021-03-20,39,13,11,11,0,
2021-03-21,44,10,14,10,0,
2021-03-21,39,16,,7,0,
2021-03-22,32,10,14,9,0,
2021-03-22,43,12,,7,0,
2021-03-23,34,8,19,5,0,
2021-03-23,37,14,17,8,0,
2021-03-24,23,6,26,9,0,
2021-03-24,45,13,16,9,0,
2021-03-25,22,12,21,10,0,
2021-03-25,42,10,17,8,0,
2021-03-26,38,20,17,10,0,
2021-03-26,31,13,20,8,0,
2021-03-27,47,26,18,8,0,
2021-03-27,38,15,26,1,0,
2021-03-28,52,15,19,7,0,
2021-03-28,26,5,20,5,0,
2021-03-29,40,11,20,6,0,
2021-03-29,17,7,23,4,0,
2021-03-30,34,14,17,6,0,
2021-03-30,23,18,29,1,0,
2021-03-31,38,13,18,9,0,
2021-03-31,37,10,21,7,0,
2021-04-01,34,13,21,8,0,
2021-04-01,29,6,21,5,0,
2021-04-02,36,12,23,9,0,
2021-04-02,18,8,17,6,0,
2021-04-03,30,21,28,9,0,
2021-04-03,27,5,24,4,0,
2021-04-04,42,27,30,2,0,
2021-04-04,16,9,24,3,0,
2021-04-05,55,21,30,0,0,
2021-04-05,17,6,19,4,0,
2021-04-06,40,15,28,1,0,
2021-04-06,19,,,,,
2021-04-07,32,13,30,1,0,
2021-04-08,24,10,25,7,0,
2021-04-09,25,14,23,9,0,
2021-04-10,34,18,15,11,0,
2021-04-11,42,18,31,5,0,
2021-04-12,43,16,29,4,0,
