time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,22,,,,,
2021-01-02,,,36,0,,
2021-01-03,,,33,0,,
2021-01-04,7,,29,0,,
2021-01-05,67,,29,1,,
2021-01-06,14,,33,0,,
2021-01-07,15,,31,2,,
2021-01-08,28,,35,2,,
2021-01-09,22,,33,2,,
2021-01-10,30,,33,0,,
2021-01-11,18,,27,0,,
2021-01-12,7,,28,0,,
2021-01-13,10,,26,0,,
2021-01-14,17,,31,0,,
2021-01-15,10,,26,0,,
2021-01-16,16,,28,0,,
2021-01-17,22,,30,0,,
2021-01-18,16,,31,0,,
2021-01-19,19,,34,0,,
2021-01-20,16,,36,0,,
2021-01-21,18,,34,0,,
2021-01-22,35,,29,0,,
2021-01-23,43,,32,0,,
2021-01-24,26,,28,0,,
2021-01-25,22,,32,0,,
2021-01-26,21,,30,0,,
2021-01-27,16,,30,0,,
2021-01-28,16,,28,0,,
2021-01-29,19,,26,0,,
2021-01-30,24,,29,0,,
2021-01-31,28,,28,0,,
2021-02-01,36,,26,0,,
2021-02-02,33,,26,1,,
2021-02-03,32,,24,0,,
2021-02-04,32,,24,0,,
2021-02-05,40,,25,0,,
2021-02-06,33,,25,0,,
2021-02-07,36,,27,0,,
2021-02-08,44,,25,0,,
2021-02-09,44,,26,0,,
2021-02-10,50,,29,0,,
2021-02-11,51,,22,0,,
2021-02-12,41,,,,,
2021-02-16,,,28,0,,
2021-02-17,34,,28,0,,
2021-02-18,26,,27,0,,
2021-02-19,17,,29,0,,
2021-02-20,17,,29,0,,
2021-02-21,17,,30,0,,
2021-02-22,25,,30,0,,
2021-02-23,29,,29,0,,
2021-02-24,25,,28,0,,
2021-02-25,30,,26,0,,
2021-02-26,51,,28,0,,
2021-02-27,36,,27,0,,
2021-02-28,33,,31,0,,
2021-03-01,32,,26,0,,
2021-03-02,36,,25,0,,
2021-03-03,25,,24,0,,
2021-03-04,40,,24,0,,
2021-03-05,13,,25,0,,
2021-03-06,23,,22,0,,
2021-03-07,19,,33,0,,
2021-03-08,25,,32,0,,
2021-03-09,16,,25,0,,
2021-03-10,19,,27,0,,
2021-03-11,9,,25,0,,
2021-03-12,9,,23,0,,
2021-03-13,16,,23,0,,
2021-03-14,23,,24,0,,
2021-03-15,13,,25,0,,
2021-03-16,21,,24,0,,
2021-03-17,28,,23,0,,
2021-03-18,27,,22,0,,
2021-03-19,31,,24,0,,
2021-03-20,37,,26,0,,
2021-03-21,39,,28,0,,
2021-03-22,35,,27,0,,
2021-03-23,40,,20,0,,
2021-03-24,42,,25,0,,
2021-03-25,32,,21,0,,
2021-03-26,34,,30,0,,
2021-03-27,22,,29,0,,
2021-03-28,17,,32,0,,
2021-03-29,17,,29,0,,
2021-03-30,19,,31,0,,
2021-03-31,19,,31,0,,
2021-04-01,,,27,0,,
2021-04-01,27,,29,0,,
2021-04-02,21,,29,0,,
2021-04-02,13,,26,0,,
2021-04-03,11,,27,0,,
2021-04-03,22,,27,0,,
2021-04-04,17,,24,0,,
2021-04-04,28,,27,0,,
2021-04-05,25,,26,0,,
2021-04-05,19,,23,0,,
2021-04-06,30,,27,0,,
2021-04-06,21,,,,,
2021-04-07,24,,26,0,,
2021-04-08,27,,22,0,,
2021-04-09,29,,27,0,,
2021-04-10,25,,26,0,,
2021-04-11,30,,28,0,,
2021-04-12,32,,22,0,,
2021-04-13,34,,26,0,,
2021-04-14,34,,27,0,,
2021-04-15,28,,24,0,,
2021-04-16,32,,24,0,,
2021-04-17,33,,30,0,,
2021-04-18,26,,26,0,,
2021-04-19,252,,32,0,,
2021-04-20,252,,33,0,,
2021-04-21,26,,31,0,,
2021-04-22,31,,34,0,,
2021-04-23,17,,33,0,,
2021-04-24,15,,28,0,,
2021-04-25,26,,25,0,,
2021-04-26,18,,32,0,,
2021-04-27,15,,32,0,,
2021-04-28,24,,30,0,,
2021-04-29,9,,30,0,,
2021-04-30,15,,23,0,,
2021-05-01,20,,25,0,,
2021-05-02,20,,29,0,,
2021-05-03,26,,28,0,,
2021-05-04,34,,32,0,,
2021-05-05,43,,30,0,,
2021-05-06,35,,29,0,,
2021-05-07,11,,28,0,,
