time,pm25,pm10,O3,NO2,SO2,CO
2022-09-29,,8,25,3,,
2022-09-30,17,6,30,2,,
2022-10-01,13,4,35,3,,
2022-10-02,9,10,35,10,,
2022-10-03,17,15,28,4,,
2022-10-04,28,9,23,6,,
2022-10-05,19,8,25,3,,
2022-10-06,16,10,30,2,,
2022-10-07,26,6,29,1,,
2022-10-08,12,5,32,2,,
2022-10-09,11,5,31,3,,
2022-10-10,11,7,31,1,,
2022-10-11,12,6,34,1,,
2022-10-12,11,9,34,6,,
2022-10-13,17,14,28,10,,
2022-10-14,26,11,29,5,,
2022-10-15,29,6,25,1,,
2022-10-16,21,8,29,5,,
2022-10-17,24,11,26,2,,
2022-10-18,25,3,24,2,,
2022-10-19,9,5,22,3,,
2022-10-20,12,44,21,6,,
2022-10-21,55,3,21,3,,
2022-10-22,11,7,25,2,,
2022-10-23,15,,,,,
2022-12-29,,3,21,3,,
2022-12-30,11,7,25,2,,
2022-12-31,15,9,27,4,,
2023-01-01,21,9,23,6,,
2023-01-02,19,16,32,6,,
2023-01-03,26,8,23,2,,
2023-01-04,16,19,23,5,,
2023-01-05,35,12,28,2,,
2023-01-06,30,19,28,4,,
2023-01-07,38,21,19,9,,
2023-01-08,42,18,12,7,,
2023-01-09,44,14,17,5,,
2023-01-10,39,15,16,5,,
2023-01-11,42,4,17,3,,
2023-01-12,11,8,14,4,,
2023-01-13,22,13,30,2,,
2023-01-14,30,14,27,7,,
2023-01-15,31,21,24,5,,
2023-01-16,39,27,22,4,,
2023-01-17,45,22,20,3,,
2023-01-18,39,16,23,5,,
2023-01-19,28,10,25,6,,
2023-01-20,18,16,28,1,,
2023-01-21,27,11,25,8,,
2023-01-22,28,11,22,7,,
2023-01-23,22,14,20,7,,
2023-01-24,28,22,20,7,,
2023-01-25,42,32,24,5,,
2023-01-26,53,24,29,9,,
2023-01-27,45,22,27,7,,
2023-01-28,49,21,26,4,,
2023-01-29,44,12,26,2,,
2023-01-30,25,13,24,7,,
2023-01-31,36,9,23,5,,
2023-02-01,51,7,25,3,,
2023-02-02,19,14,13,8,,
2023-02-03,45,10,17,5,,
2023-02-04,37,11,25,7,,
2023-02-05,32,8,22,5,,
2023-02-06,19,11,18,9,,
2023-02-07,29,13,23,8,,
2023-02-08,37,13,18,8,,
2023-02-09,36,15,17,8,,
2023-02-10,42,19,8,9,,
2023-02-11,49,11,18,7,,
2023-02-12,31,7,24,5,,
2023-02-13,19,8,25,3,,
2023-02-14,17,11,25,4,,
2023-02-15,26,10,18,10,,
2023-02-16,30,14,21,7,,
2023-02-17,45,13,14,7,,
2023-02-18,44,11,25,4,,
2023-02-19,33,7,23,5,,
2023-02-20,20,10,24,7,,
2023-02-21,25,16,21,5,,
2023-02-22,40,15,18,11,,
2023-02-23,42,15,11,6,,
2023-02-24,47,13,19,5,,
2023-02-25,41,8,22,7,,
2023-02-26,26,12,19,7,,
2023-02-27,38,13,23,6,,
2023-02-28,44,11,15,4,,
2023-03-01,45,10,13,5,,
2023-03-02,39,11,11,3,,
2023-03-03,47,13,12,7,,
2023-03-04,52,16,11,9,,
2023-03-05,56,18,13,10,,
2023-03-06,61,9,17,3,,
2023-03-07,35,16,11,10,,
2023-03-08,55,20,11,7,,
2023-03-09,65,15,22,9,,
2023-03-10,54,32,8,15,,
2023-03-11,95,34,22,10,,
2023-03-12,103,14,18,8,,
2023-03-13,49,13,13,14,,
2023-03-14,42,9,13,7,,
2023-03-15,27,10,24,4,,
2023-03-16,37,16,18,11,,
2023-03-17,51,22,20,9,,
2023-03-18,71,6,25,5,,
2023-03-19,17,5,26,4,,
2023-03-20,17,6,26,5,,
2023-03-21,17,14,27,4,,
2023-03-22,37,8,25,4,,
2023-03-23,22,9,22,6,,
2023-03-24,26,9,17,6,,
2023-03-25,28,9,20,7,,
2023-03-26,31,11,17,9,,
2023-03-27,37,10,25,5,,
2023-03-28,35,9,18,5,,
2023-03-29,28,5,26,3,,
2023-03-30,,13,26,8,,
2023-03-30,18,7,16,5,,
2023-03-31,29,14,21,11,,
2023-03-31,21,13,27,2,,
2023-04-01,45,9,16,7,,
2023-04-01,32,,,,,
2023-04-02,25,7,15,9,,
2023-04-03,25,13,16,12,,
2023-04-04,43,9,23,6,,
2023-04-05,31,3,28,3,,
2023-04-06,11,9,28,5,,
2023-04-07,20,9,22,9,,
2023-04-08,26,11,22,8,,
2023-04-09,31,15,25,5,,
2023-04-10,40,10,26,6,,
2023-04-11,27,9,24,3,,
2023-04-12,24,5,30,2,,
2023-04-13,15,5,28,4,,
2023-04-14,14,3,29,4,,
2023-04-15,10,7,24,4,,
2023-04-16,26,8,21,5,,
2023-04-17,29,11,20,6,,
2023-04-18,38,10,21,3,,
2023-04-19,41,16,19,3,,
2023-04-20,61,13,15,4,,
2023-04-21,52,13,14,4,,
2023-04-22,53,14,15,5,,
2023-04-23,55,6,18,5,,
2023-04-24,27,6,20,5,,
2023-04-25,22,7,19,3,,
2023-04-26,26,12,21,4,,
2023-04-27,45,25,19,12,,
2023-04-28,75,15,17,11,,
2023-04-29,55,14,21,10,,
2023-04-30,49,21,26,12,,
2023-05-01,60,14,26,10,,
2023-05-02,47,9,29,6,,
2023-05-03,28,6,30,2,,
2023-05-04,24,8,26,2,,
2023-05-05,28,9,25,3,,
2023-05-06,31,21,24,12,,
2023-05-07,63,24,26,17,,
2023-05-08,69,25,26,12,,
2023-05-09,75,22,25,13,,
2023-05-10,68,23,27,16,,
2023-05-11,70,25,24,20,,
2023-05-12,71,25,23,22,,
2023-05-13,63,24,28,17,,
2023-05-14,61,26,27,16,,
2023-05-15,70,24,23,15,,
2023-05-16,65,18,17,12,,
2023-05-17,58,13,18,9,,
2023-05-18,47,15,21,13,,
2023-05-19,44,19,22,12,,
2023-05-20,51,19,18,8,,
2023-05-21,52,17,15,6,,
2023-05-22,46,7,24,4,,
2023-05-23,24,9,29,5,,
2023-05-24,35,7,30,1,,
2023-05-25,26,7,26,2,,
2023-05-26,26,11,25,5,,
2023-05-27,39,22,26,7,,
2023-05-28,69,40,18,16,,
2023-05-29,106,47,23,14,,
2023-05-30,129,42,28,12,,
2023-05-31,116,28,27,6,,
2023-06-01,84,28,27,11,,
2023-06-02,84,18,26,7,,
2023-06-03,61,7,30,5,,
2023-06-04,27,15,35,4,,
2023-06-05,36,14,33,3,,
2023-06-06,37,2,23,2,,
2023-06-07,11,6,28,1,,
2023-06-08,20,5,34,1,,
2023-06-09,12,11,34,3,,
2023-06-10,26,13,30,8,,
2023-06-11,37,9,37,6,,
2023-06-12,23,7,36,1,,
2023-06-13,16,6,32,2,,
2023-06-14,19,4,28,2,,
2023-06-15,12,9,33,8,,
2023-06-16,29,12,26,11,,
2023-06-17,37,12,26,7,,
2023-06-18,40,12,32,7,,
2023-06-19,36,8,32,2,,
2023-06-20,24,11,33,2,,
2023-06-21,28,8,35,1,,
2023-06-22,22,5,31,2,,
2023-06-23,16,8,33,7,,
2023-06-24,27,15,31,11,,
2023-06-25,34,14,33,3,,
2023-06-26,33,16,32,1,,
2023-06-27,41,9,31,2,,
2023-06-28,26,7,26,1,,
2023-06-29,,9,31,2,,
2023-06-29,22,,,,,
2023-06-30,26,7,26,1,,
2023-07-01,22,8,25,2,,
2023-07-02,29,7,35,3,,
2023-07-03,25,9,35,8,,
2023-07-04,32,11,34,8,,
2023-07-05,37,7,38,5,,
2023-07-06,26,4,37,1,,
2023-07-07,14,5,40,4,,
2023-07-08,16,8,31,5,,
2023-07-09,22,8,32,2,,
2023-07-10,21,7,35,2,,
2023-07-11,18,4,31,3,,
2023-07-12,12,6,31,4,,
2023-07-13,17,7,34,1,,
2023-07-14,17,7,37,3,,
2023-07-15,25,10,32,1,,
2023-07-16,37,8,33,1,,
2023-07-17,32,7,40,5,,
2023-07-18,20,8,43,3,,
2023-07-19,24,12,39,2,,
2023-07-20,33,8,35,2,,
2023-07-21,25,6,33,1,,
2023-07-22,18,11,38,3,,
2023-07-23,30,9,35,5,,
2023-07-24,26,6,24,3,,
2023-07-25,19,6,23,5,,
2023-07-26,21,7,25,5,,
2023-07-27,20,4,26,1,,
2023-07-28,13,6,29,1,,
2023-07-29,20,6,30,1,,
2023-07-30,21,6,35,4,,
2023-07-31,15,7,42,1,,
2023-08-01,19,8,36,2,,
2023-08-02,18,5,32,5,,
2023-08-03,12,6,36,3,,
2023-08-04,16,6,29,0,,
2023-08-05,17,6,25,1,,
2023-08-06,20,5,27,3,,
2023-08-07,12,10,29,2,,
2023-08-08,22,6,30,2,,
2023-08-09,14,5,26,3,,
2023-08-10,16,5,32,2,,
2023-08-11,16,12,34,1,,
2023-08-12,41,14,37,4,,
2023-08-13,45,7,33,1,,
2023-08-14,20,8,35,1,,
2023-08-15,23,9,38,1,,
2023-08-16,25,10,40,4,,
2023-08-17,30,11,33,1,,
2023-08-18,33,11,27,2,,
2023-08-19,38,11,33,2,,
2023-08-20,37,17,30,1,,
2023-08-21,54,12,36,0,,
2023-08-22,38,11,35,1,,
2023-08-23,31,10,41,5,,
2023-08-24,26,,,,,
2023-08-25,,15,39,4,,
2023-08-26,43,11,46,2,,
2023-08-27,33,12,46,1,,
2023-08-28,31,13,48,1,,
2023-08-29,32,9,38,5,,
2023-08-30,27,12,33,3,,
2023-08-31,33,13,30,1,,
2023-09-01,38,9,27,1,,
2023-09-02,27,11,33,3,,
2023-09-03,31,13,36,5,,
2023-09-04,38,12,50,4,,
2023-09-05,38,11,36,4,,
2023-09-06,32,9,26,3,,
2023-09-07,21,8,30,3,,
2023-09-08,21,7,29,3,,
2023-09-09,21,8,37,3,,
2023-09-10,24,9,30,5,,
2023-09-11,26,13,56,6,,
2023-09-12,34,19,40,7,,
2023-09-13,54,12,36,4,,
2023-09-14,36,10,39,4,,
2023-09-15,30,10,37,2,,
2023-09-16,33,11,40,2,,
2023-09-17,31,10,36,3,,
2023-09-18,29,9,29,4,,
2023-09-19,31,6,29,3,,
2023-09-20,19,8,37,4,,
2023-09-21,21,10,43,3,,
2023-09-22,24,11,46,2,,
2023-09-23,31,11,34,1,,
2023-09-24,32,10,35,4,,
2023-09-25,21,13,38,4,,
2023-09-26,34,20,38,5,,
2023-09-27,53,10,32,2,,
2023-09-28,,11,38,1,,
2023-09-28,27,11,38,1,,
2023-09-29,36,16,30,1,,
2023-09-29,36,16,30,1,,
2023-09-30,53,11,23,2,,
2023-09-30,53,,,,,
2023-10-01,36,4,20,1,,
2023-10-02,15,7,21,2,,
2023-10-03,15,8,30,3,,
2023-10-04,20,10,33,3,,
2023-10-05,26,10,33,2,,
2023-10-06,23,12,30,3,,
2023-10-07,34,11,33,2,,
2023-10-08,29,16,34,4,,
2023-10-09,41,6,20,2,,
2023-10-10,14,6,29,2,,
2023-10-11,14,5,33,4,,
2023-10-12,15,4,27,2,,
2023-10-13,12,8,29,1,,
2023-10-14,28,7,29,2,,
2023-10-15,23,9,34,4,,
2023-10-16,28,6,29,2,,
2023-10-17,17,5,27,2,,
2023-10-18,12,8,30,2,,
2023-10-19,21,5,28,2,,
2023-10-20,16,4,24,2,,
2023-10-21,15,5,25,1,,
2023-10-22,16,5,28,2,,
2023-10-23,15,5,22,3,,
2023-10-24,16,2,17,1,,
2023-10-25,8,3,16,1,,
2023-10-26,11,3,17,2,,
2023-10-27,10,6,29,1,,
2023-10-28,18,6,28,3,,
2023-10-29,20,4,28,1,,
2023-10-30,14,6,29,1,,
2023-10-31,19,6,23,1,,
2023-11-01,17,5,26,2,,
2023-11-02,15,6,26,1,,
2023-11-03,19,7,28,1,,
2023-11-04,20,4,29,3,,
2023-11-05,12,4,34,4,,
2023-11-06,12,5,40,4,,
2023-11-07,14,8,30,3,,
2023-11-08,24,9,30,1,,
2023-11-09,28,6,19,3,,
2023-11-10,18,5,27,1,,
2023-11-11,14,5,35,2,,
2023-11-12,17,6,26,1,,
2023-11-13,19,8,30,4,,
2023-11-14,22,10,34,3,,
2023-11-15,29,11,33,6,,
2023-11-16,32,10,23,5,,
2023-11-17,31,7,26,2,,
2023-11-18,19,7,35,4,,
2023-11-19,19,11,34,5,,
2023-11-20,31,12,38,5,,
2023-11-21,39,14,37,6,,
2023-11-22,40,12,28,2,,
2023-11-23,34,4,29,3,,
2023-11-24,9,3,28,1,,
2023-11-25,9,2,25,2,,
2023-11-26,6,4,28,4,,
2023-11-27,11,6,28,4,,
2023-11-28,18,6,27,3,,
2023-11-29,16,4,25,3,,
2023-11-30,12,4,29,3,,
2023-12-01,13,6,38,2,,
2023-12-02,17,14,38,7,,
2023-12-03,30,19,40,9,,
2023-12-04,35,18,42,8,,
2023-12-05,37,11,47,10,,
2023-12-06,30,10,53,10,,
2023-12-07,31,10,54,7,,
2023-12-08,36,13,45,7,,
2023-12-09,43,9,39,9,,
2023-12-10,27,5,35,5,,
2023-12-11,13,7,25,5,,
2023-12-12,15,5,34,5,,
2023-12-13,16,6,37,5,,
2023-12-14,17,4,36,2,,
2023-12-15,12,12,33,1,,
2023-12-16,31,5,27,4,,
2023-12-17,11,6,28,3,,
2023-12-18,14,6,33,6,,
2023-12-19,16,3,27,3,,
2023-12-20,9,4,26,3,,
2023-12-21,10,4,28,6,,
2023-12-22,12,6,31,6,,
2023-12-23,23,7,30,7,,
2023-12-24,20,7,35,9,,
2023-12-25,19,8,28,11,,
2023-12-26,21,10,37,9,,
2023-12-27,27,12,28,7,,
2023-12-28,,8,32,8,,
2023-12-28,39,8,31,6,,
2023-12-29,25,10,40,8,,
2023-12-29,28,8,32,8,,
2023-12-30,29,9,30,5,,
2023-12-30,25,,,,,
2023-12-31,26,4,30,6,,
