time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,14,7,29,2,,
2021-01-01,28,7,29,1,,
2021-01-02,12,7,27,2,,
2021-01-02,14,7,29,2,,
2021-01-03,13,10,24,0,,
2021-01-03,12,7,27,2,,
2021-01-04,12,14,27,1,,
2021-01-04,13,10,24,0,,
2021-01-05,18,16,27,1,,
2021-01-05,12,,,,,
2021-01-06,20,20,27,1,,
2021-01-07,21,12,25,2,,
2021-01-08,23,10,21,4,,
2021-01-09,22,11,27,4,,
2021-01-10,21,9,24,2,,
2021-01-11,14,10,25,4,,
2021-01-12,18,9,22,3,,
2021-01-13,12,11,16,5,,
2021-01-14,27,15,20,5,,
2021-01-15,49,14,20,6,,
2021-01-16,32,17,18,5,,
2021-01-17,49,15,25,7,,
2021-01-18,37,13,26,4,,
2021-01-19,29,16,27,1,,
2021-01-20,31,12,29,3,,
2021-01-21,18,15,22,10,,
2021-01-22,24,11,28,6,,
2021-01-23,24,12,28,1,,
2021-01-24,12,8,27,2,,
2021-01-25,13,11,26,3,,
2021-01-26,14,7,25,2,,
2021-01-27,10,17,27,1,,
2021-01-28,13,14,27,2,,
2021-01-29,12,14,26,5,,
2021-01-30,18,12,25,1,,
2021-01-31,34,5,20,0,,
2021-02-01,13,13,27,2,,
2021-02-02,11,17,27,5,,
2021-02-03,15,14,25,5,,
2021-02-04,23,13,22,4,,
2021-02-05,39,14,12,4,,
2021-02-06,40,19,19,2,,
2021-02-07,38,12,20,2,,
2021-02-08,28,16,17,4,,
2021-02-09,25,12,20,7,,
2021-02-10,22,9,23,2,,
2021-02-11,24,13,24,9,,
2021-02-12,19,16,23,3,,
2021-02-13,47,16,25,1,,
2021-02-14,44,17,30,0,,
2021-02-15,30,15,26,4,,
2021-02-16,16,14,22,9,,
2021-02-17,29,,19,6,,
2021-02-18,30,27,25,7,,
2021-02-19,18,28,18,11,,
2021-02-20,21,21,21,6,,
2021-02-21,35,24,22,6,,
2021-02-22,48,25,19,9,,
2021-02-23,50,24,15,9,,
2021-02-24,57,28,20,8,,
2021-02-25,62,28,17,9,,
2021-02-26,44,24,11,7,,
2021-02-27,43,17,18,4,,
2021-02-28,42,17,19,4,,
2021-03-01,61,30,11,6,,
2021-03-02,73,24,21,5,,
2021-03-03,50,24,14,8,,
2021-03-04,44,9,27,3,,
2021-03-05,28,10,26,7,,
2021-03-06,16,12,23,3,,
2021-03-07,20,12,19,2,,
2021-03-08,16,14,17,7,,
2021-03-09,31,21,12,8,,
2021-03-10,39,31,18,12,,
2021-03-11,63,11,21,4,,
2021-03-12,18,13,27,1,,
2021-03-13,14,20,25,6,,
2021-03-14,18,11,23,3,,
2021-03-15,24,10,25,2,,
2021-03-16,25,9,26,3,,
2021-03-17,17,7,23,2,,
2021-03-18,24,15,22,4,,
2021-03-19,22,10,18,3,,
2021-03-20,33,16,25,2,,
2021-03-21,26,15,25,2,,
2021-03-22,16,8,25,1,,
2021-03-23,12,9,24,3,,
2021-03-24,20,15,30,1,,
2021-03-25,22,10,25,2,,
2021-03-26,13,13,25,3,,
2021-03-27,17,20,27,8,,
2021-03-28,33,8,32,0,,
2021-03-29,13,10,29,1,,
2021-03-30,13,12,22,4,,
2021-03-31,16,10,26,4,,
2021-04-01,,20,7,5,,
2021-04-01,17,13,23,5,,
2021-04-02,61,18,6,4,,
2021-04-02,14,24,14,5,,
2021-04-03,61,26,4,6,,
2021-04-03,45,32,15,9,,
2021-04-04,77,27,14,7,,
2021-04-04,56,17,14,2,,
2021-04-05,70,33,21,7,,
2021-04-05,56,,,,,
2021-04-06,70,18,17,4,,
2021-04-07,52,14,25,2,,
2021-04-08,45,38,13,13,,
2021-04-09,67,9,27,2,,
2021-04-10,28,10,26,2,,
2021-04-11,11,8,26,2,,
2021-04-12,8,15,21,6,,
2021-04-13,26,17,28,4,,
2021-04-14,59,20,24,5,,
2021-04-15,18,24,24,6,,
2021-04-16,45,18,21,4,,
2021-04-17,42,14,33,1,,
2021-04-18,35,13,34,1,,
2021-04-19,15,8,28,3,,
2021-04-20,13,13,30,3,,
2021-04-21,16,19,30,2,,
2021-04-22,23,19,22,11,,
2021-04-23,22,19,22,7,,
2021-04-24,39,7,20,3,,
2021-04-25,25,6,23,0,,
2021-04-26,9,22,30,0,,
2021-04-27,25,14,30,0,,
2021-04-28,18,7,31,0,,
2021-04-29,10,9,32,1,,
2021-04-30,10,9,26,0,,
2021-05-01,9,10,34,1,,
2021-05-02,17,15,20,7,,
2021-05-03,24,12,26,4,,
2021-05-04,27,6,24,1,,
2021-05-05,14,10,25,2,,
2021-05-06,23,10,22,5,,
2021-05-07,25,14,17,4,,
2021-05-08,43,18,26,4,,
2021-05-09,50,25,21,4,,
2021-05-10,70,19,25,4,,
2021-05-11,64,21,22,4,,
2021-05-12,64,20,26,2,,
2021-05-13,59,12,28,2,,
2021-05-14,23,12,31,2,,
2021-05-15,26,15,31,3,,
2021-05-16,21,12,29,3,,
2021-05-17,24,31,30,2,,
2021-05-18,39,21,33,0,,
2021-05-19,38,21,34,3,,
2021-05-20,38,19,29,3,,
2021-05-21,43,10,30,2,,
2021-05-22,24,27,28,2,,
2021-05-23,54,34,27,3,,
2021-05-24,56,18,32,2,,
2021-05-25,30,17,32,2,,
2021-05-26,49,17,26,1,,
2021-05-27,52,26,31,6,,
2021-05-28,59,33,28,7,,
2021-05-29,56,31,26,5,,
2021-05-30,64,20,28,3,,
2021-05-31,43,17,28,3,,
2021-06-01,45,16,27,2,,
2021-06-02,57,20,30,3,,
2021-06-03,61,28,30,4,,
2021-06-04,79,42,32,10,,
2021-06-05,103,32,30,5,,
2021-06-06,89,11,29,0,,
2021-06-07,15,16,31,1,,
2021-06-08,12,15,34,0,,
2021-06-09,18,16,31,2,,
2021-06-10,16,18,31,2,,
2021-06-11,23,11,28,2,,
2021-06-12,22,15,28,1,,
2021-06-13,25,15,27,2,,
2021-06-14,28,11,31,2,,
2021-06-15,30,15,32,2,,
2021-06-16,46,18,20,3,,
2021-06-17,52,17,31,3,,
2021-06-18,45,19,32,5,,
2021-06-19,49,21,36,5,,
2021-06-20,48,14,35,2,,
2021-06-21,30,10,32,4,,
2021-06-22,22,16,32,3,,
2021-06-23,27,13,37,3,,
2021-06-24,28,14,40,5,,
2021-06-25,31,20,40,6,,
2021-06-26,41,25,36,6,,
2021-06-27,41,24,43,5,,
2021-06-28,36,40,30,3,,
2021-06-29,81,19,34,1,,
2021-06-30,52,20,36,1,,
2021-07-01,,24,43,5,,
2021-07-01,51,,,,,
2021-07-02,36,40,30,3,,
2021-07-03,81,19,34,1,,
2021-07-04,52,20,36,1,,
2021-07-05,51,18,34,1,,
2021-07-06,46,12,32,2,,
2021-07-07,24,14,35,3,,
2021-07-08,27,15,39,5,,
2021-07-09,36,19,36,5,,
2021-07-10,42,13,30,1,,
2021-07-11,41,10,32,0,,
2021-07-12,32,12,37,4,,
2021-07-13,30,11,36,4,,
2021-07-14,34,14,38,3,,
2021-07-15,47,18,37,2,,
2021-07-16,60,17,37,3,,
2021-07-17,50,19,38,1,,
2021-07-18,63,17,40,2,,
2021-07-19,58,16,42,4,,
2021-07-20,50,18,41,4,,
2021-07-21,44,14,46,4,,
2021-07-22,38,21,43,2,,
2021-07-23,39,18,45,1,,
2021-07-24,44,15,50,1,,
2021-07-25,31,20,44,1,,
2021-07-26,39,20,42,1,,
2021-07-27,37,22,46,2,,
2021-07-28,45,26,42,2,,
2021-07-29,54,24,42,3,,
2021-07-30,45,22,39,2,,
2021-07-31,50,15,41,1,,
2021-08-01,46,14,41,2,,
2021-08-02,39,14,42,4,,
2021-08-03,23,10,37,1,,
2021-08-04,14,11,34,2,,
2021-08-05,18,14,33,0,,
2021-08-06,20,9,35,1,,
2021-08-07,20,12,35,1,,
2021-08-08,26,14,37,1,,
2021-08-09,32,14,36,1,,
2021-08-10,16,13,36,2,,
2021-08-11,14,11,35,1,,
2021-08-12,14,10,31,0,,
2021-08-13,11,11,34,0,,
2021-08-14,17,18,32,0,,
2021-08-15,26,11,32,0,,
2021-08-16,18,14,35,0,,
2021-08-17,16,12,32,1,,
2021-08-18,92,9,32,0,,
2021-08-19,82,11,32,1,,
2021-08-20,24,18,32,0,,
2021-08-21,26,14,34,0,,
2021-08-22,12,9,35,0,,
2021-08-23,14,11,35,0,,
2021-08-24,16,13,36,1,,
2021-08-25,17,15,29,0,,
2021-08-26,30,8,28,1,,
2021-08-27,,7,37,2,,
2021-08-28,33,9,40,1,,
2021-08-29,30,9,45,0,,
