time,pm25,pm10,O3,NO2,SO2,CO
2023-03-30,,,,5,,0
2023-03-31,,10,,6,,0
2023-04-01,,8,,6,,0
2023-04-02,,18,,5,,0
2023-04-03,,16,,4,,0
2023-04-04,,13,,2,,0
2023-04-05,,9,,6,,0
2023-04-06,,,,3,,2
2023-04-07,,10,,5,,6
2023-04-08,,10,,5,,6
2023-04-09,,10,,5,,7
2023-04-10,,14,,4,,4
2023-04-11,,13,,4,,2
2023-04-12,,15,,3,,1
2023-04-13,,11,,2,,1
2023-04-14,,12,,4,,3
2023-04-15,,17,,5,,4
2023-04-16,,68,,5,,3
2023-04-17,,44,,4,,2
2023-04-18,,33,,4,,2
2023-04-19,,22,,0,,1
2023-04-20,,16,,0,,2
2023-04-21,,17,,4,,5
2023-04-22,,35,,4,,5
2023-04-23,,30,,4,,5
2023-04-24,,32,,4,,5
2023-04-25,,35,,,,
2023-04-28,,38,,,,
2023-04-29,,42,,,,
2023-04-30,,42,,7,,3
2023-05-01,,37,,5,,2
2023-05-02,,37,,5,,3
2023-05-03,,35,,4,,3
2023-05-04,,33,,2,,2
2023-05-05,,24,,4,,3
2023-05-06,,31,,5,,4
2023-05-07,,32,,6,,4
2023-05-08,,26,,6,,4
2023-05-09,,34,,6,,4
2023-05-10,,26,,3,,4
2023-05-11,,27,,3,,4
2023-05-12,,17,,3,,4
2023-05-13,,17,,3,,5
2023-05-14,,18,,8,,7
2023-05-15,,33,,4,,6
2023-05-16,,32,,3,,6
2023-05-17,,38,,2,,6
2023-05-18,,26,,2,,7
2023-05-19,,24,,4,,8
2023-05-20,,29,,4,,8
2023-05-21,,30,,4,,8
2023-05-22,,28,,5,,8
2023-05-23,,33,,4,,9
2023-05-24,,30,,2,,8
2023-05-25,,14,,2,,8
2023-05-26,,22,,,,
2023-06-27,,,,2,,8
2023-06-28,,14,,2,,8
2023-06-29,,22,,4,,6
2023-06-30,,24,,5,,2
2023-07-01,,30,,6,,2
2023-07-02,,32,,4,,2
2023-07-03,,30,,3,,1
2023-07-04,,28,,2,,1
2023-07-05,,22,,2,,1
2023-07-06,,17,,2,,1
2023-07-07,,18,,4,,2
2023-07-08,,19,,3,,2
2023-07-09,,23,,4,,2
2023-07-10,,25,,3,,2
2023-07-11,,25,,3,,3
2023-07-12,,24,,2,,3
2023-07-13,,13,,3,,3
2023-07-14,,14,,2,,2
2023-07-15,,13,,6,,2
2023-07-16,,24,,4,,0
2023-07-17,,21,,4,,
2023-07-18,,26,,2,,
2023-07-19,,26,,2,,
2023-07-20,,22,,3,,
2023-07-21,,24,,2,,1
2023-07-22,,20,,2,,0
2023-07-23,,30,,1,,0
2023-07-24,,24,,3,,0
2023-07-25,,27,,1,,1
2023-07-26,,19,,1,,0
2023-07-27,,15,,1,,0
2023-07-28,,19,,2,,0
2023-07-29,,22,,2,,0
2023-07-30,,25,,4,,1
2023-07-31,,42,,4,,2
2023-08-01,,35,,2,,2
2023-08-02,,28,,1,,1
2023-08-03,,21,,1,,1
2023-08-04,,18,,2,,1
2023-08-05,,18,,3,,1
2023-08-06,,22,,3,,1
2023-08-07,,27,,4,,1
2023-08-08,,32,,5,,1
2023-08-09,,30,,2,,1
2023-08-10,,14,,3,,0
2023-08-11,,25,,3,,0
2023-08-12,,25,,3,,0
2023-08-13,,24,,4,,1
2023-08-14,,29,,4,,1
2023-08-15,,31,,,,1
2023-08-18,,27,,,,
2023-08-19,,39,,,,
2023-08-20,,29,,,,
2023-08-21,,34,,,,
2023-08-22,,28,,,,
2023-08-23,,29,,1,,
2023-08-24,,20,,1,,2
2023-08-25,,18,,3,,2
2023-08-26,,19,,5,,2
2023-08-27,,17,,4,,3
2023-08-28,,21,,5,,0
2023-08-29,,32,,5,,1
2023-08-30,,16,,2,,0
2023-08-31,,11,,5,,0
2023-09-01,,33,,4,,2
2023-09-02,,26,,3,,0
2023-09-03,,23,,8,,0
2023-09-04,,41,,,,1
2023-09-06,,,,2,,
2023-09-07,,19,,5,,0
2023-09-08,,24,,7,,0
2023-09-09,,43,,7,,1
2023-09-10,,31,,6,,1
2023-09-11,,35,,5,,1
2023-09-12,,33,,5,,0
2023-09-13,,31,,3,,1
2023-09-14,,27,,4,,0
2023-09-15,,24,,4,,0
2023-09-16,,33,,3,,1
2023-09-17,,20,,3,,
2023-09-18,,21,,4,,0
2023-09-19,,31,,3,,0
2023-09-20,,30,,2,,0
2023-09-21,,27,,2,,
2023-09-22,,20,,4,,
2023-09-23,,21,,3,,1
2023-09-24,,,,2,,
2023-09-24,,23,,2,,
2023-09-25,,14,,1,,
2023-09-25,,25,,6,,
2023-09-26,,18,,4,,
2023-09-26,,25,,2,,0
2023-09-27,,11,,3,,
2023-09-27,,14,,1,,
2023-09-28,,8,,4,,
2023-09-28,,18,,,,
2023-09-29,,24,,2,,1
2023-09-30,,25,,2,,
2023-10-01,,11,,3,,
2023-10-02,,23,,2,,
2023-10-03,,19,,3,,
2023-10-04,,49,,3,,
2023-10-05,,15,,2,,
2023-10-06,,28,,2,,
2023-10-07,,29,,1,,
2023-10-08,,22,,2,,
2023-10-09,,19,,1,,
2023-10-10,,19,,2,,
2023-10-11,,19,,3,,
2023-10-12,,24,,3,,
2023-10-13,,27,,2,,
2023-10-14,,23,,1,,
2023-10-15,,20,,3,,
2023-10-16,,25,,1,,
2023-10-17,,26,,3,,
2023-10-18,,27,,4,,
2023-10-19,,26,,5,,
2023-10-20,,35,,3,,
2023-10-21,,33,,3,,
2023-10-22,,33,,3,,
2023-10-23,,37,,2,,
2023-10-24,,,,3,,
2023-10-24,,21,,4,,
2023-10-25,,30,,4,,
2023-10-25,,28,,3,,
2023-10-26,,32,,4,,2
2023-10-26,,29,,5,,
2023-10-27,,45,,7,,2
2023-10-27,,43,,2,,
2023-10-28,,43,,5,,1
2023-10-28,,30,,2,,
2023-10-29,,35,,6,,2
2023-10-29,,25,,2,,
2023-10-30,,46,,3,,1
2023-10-30,,26,,2,,
2023-10-31,,30,,2,,1
2023-10-31,,26,,3,,
2023-11-01,,25,,6,,2
2023-11-01,,20,,3,,
2023-11-02,,31,,8,,3
2023-11-02,,23,,2,,
2023-11-03,,36,,7,,2
2023-11-03,,23,,3,,
2023-11-04,,29,,6,,2
2023-11-04,,19,,3,,
2023-11-05,,46,,4,,2
2023-11-05,,29,,5,,
2023-11-06,,40,,1,,1
2023-11-06,,36,,2,,
2023-11-07,,24,,1,,1
2023-11-07,,27,,4,,
2023-11-08,,24,,4,,2
2023-11-08,,28,,3,,
2023-11-09,,28,,4,,2
2023-11-09,,37,,4,,
2023-11-10,,37,,2,,1
2023-11-10,,30,,6,,
2023-11-11,,31,,3,,2
2023-11-11,,55,,5,,
2023-11-12,,29,,3,,3
2023-11-12,,65,,,,
2023-11-13,,35,,3,,
2023-11-14,,27,,1,,
2023-11-15,,29,,,,
2023-11-16,,34,,,,
2023-11-17,,32,,2,,4
2023-11-17,,50,,,,
2023-11-18,,34,,4,,4
2023-11-18,,44,,,,
2023-11-19,,37,,4,,5
2023-11-19,,50,,,,
2023-11-20,,36,,,,4
2023-11-20,,34,,,,
2023-11-21,,28,,,,4
2023-11-21,,20,,,,
2023-11-22,,24,,,,4
2023-11-22,,26,,,,
2023-11-23,,30,,,,5
2023-11-23,,27,,,,
2023-11-24,,44,,,,5
2023-11-24,,23,,,,
2023-11-25,,43,,,,5
2023-11-25,,35,,,,
2023-11-26,,35,,,,5
2023-11-26,,29,,,,
2023-11-27,,38,,,,4
2023-11-27,,25,,,,
2023-11-28,,25,,,,4
2023-11-28,,26,,,,
2023-11-29,,27,,,,4
2023-11-29,,31,,,,
2023-11-30,,29,,,,2
2023-11-30,,35,,,,
2023-12-01,,41,,,,0
2023-12-01,,47,,,,
2023-12-02,,43,,,,0
2023-12-02,,45,,,,
2023-12-03,,50,,,,1
2023-12-03,,55,,,,
2023-12-04,,40,,,,1
2023-12-04,,44,,,,
2023-12-05,,32,,,,0
2023-12-05,,17,,,,
2023-12-06,,40,,,,1
2023-12-06,,28,,,,
2023-12-07,,48,,,,1
2023-12-07,,43,,,,
2023-12-08,,39,,,,0
2023-12-08,,32,,6,,
2023-12-09,,35,,,,1
2023-12-09,,40,,2,,3
2023-12-10,,36,,,,1
2023-12-10,,47,,,,3
2023-12-11,,37,,,,0
2023-12-12,,32,,,,1
2023-12-12,,21,,,,
2023-12-13,,26,,,,1
2023-12-13,,32,,,,
2023-12-14,,39,,,,0
2023-12-14,,32,,,,
2023-12-15,,42,,,,0
2023-12-15,,41,,,,
2023-12-16,,39,,,,4
2023-12-16,,37,,,,
2023-12-17,,49,,,,2
2023-12-17,,48,,,,
2023-12-18,,43,,,,3
2023-12-18,,28,,,,
2023-12-19,,30,,,,2
2023-12-19,,24,,,,
2023-12-20,,23,,,,2
2023-12-20,,38,,4,,
2023-12-21,,33,,,,3
2023-12-21,,41,,4,,1
2023-12-22,,39,,,,3
2023-12-22,,40,,2,,1
2023-12-23,,34,,,,4
2023-12-23,,29,,4,,
2023-12-24,,36,,,,3
2023-12-24,,38,,5,,
2023-12-25,,35,,,,3
2023-12-25,,41,,3,,
2023-12-26,,31,,,,2
2023-12-26,,30,,,,
2023-12-27,,27,,,,3
2023-12-28,,27,,,,3
2023-12-29,,41,,,,4
2023-12-30,,19,,,,3
2023-12-31,,26,,,,4
