time,pm25,pm10,O3,NO2,SO2,CO
2021-03-29,,21,7,7,,
2021-03-30,73,21,6,8,,
2021-03-31,76,27,2,8,,
2021-04-01,90,25,12,8,,
2021-04-02,83,21,19,8,,
2021-04-03,69,13,17,4,,
2021-04-04,60,12,19,7,,
2021-04-05,48,22,14,10,,
2021-04-06,74,10,25,4,,
2021-04-07,37,7,26,3,,
2021-04-08,16,6,27,3,,
2021-04-09,12,11,23,5,,
2021-04-10,37,24,20,7,,
2021-04-11,81,16,25,3,,
2021-04-12,42,24,19,9,,
2021-04-13,63,14,22,3,,
2021-04-14,50,9,26,1,,
2021-04-15,29,8,35,1,,
2021-04-16,23,11,31,4,,
2021-04-17,24,10,28,2,,
2021-04-18,27,15,28,5,,
2021-04-19,46,15,24,9,,
2021-04-20,45,23,21,10,,
2021-04-21,77,8,18,5,,
2021-04-22,25,4,22,1,,
2021-04-23,11,17,28,1,,
2021-04-24,44,15,29,0,,
2021-04-25,38,5,30,0,,
2021-04-26,13,6,29,1,,
2021-04-27,15,5,26,1,,
2021-04-28,17,9,32,1,,
2021-04-29,24,11,20,3,,
2021-04-30,38,9,22,5,,
2021-05-01,26,7,23,3,,
2021-05-02,28,8,22,1,,
2021-05-03,23,9,23,3,,
2021-05-04,28,12,16,5,,
2021-05-05,50,17,18,6,,
2021-05-06,61,21,20,3,,
2021-05-07,75,19,21,5,,
2021-05-08,74,19,20,4,,
2021-05-09,66,19,24,4,,
2021-05-10,77,9,27,1,,
2021-05-11,25,9,30,1,,
2021-05-12,23,11,29,3,,
2021-05-13,36,10,27,2,,
2021-05-14,27,22,30,2,,
2021-05-15,47,17,33,0,,
2021-05-16,39,17,34,1,,
2021-05-17,41,32,27,6,,
2021-05-18,64,13,26,1,,
2021-05-19,40,40,24,3,,
2021-05-20,74,40,25,3,,
2021-05-21,69,18,27,4,,
2021-05-22,48,19,28,6,,
2021-05-23,59,14,26,2,,
2021-05-24,53,25,30,5,,
2021-05-25,73,29,31,9,,
2021-05-26,74,34,30,7,,
2021-05-27,76,25,26,5,,
2021-05-28,67,18,28,7,,
