time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,33,22,21,2,0,0
2021-01-01,33,17,22,4,,0
2021-01-02,32,20,20,3,0,
2021-01-02,27,19,21,5,0,0
2021-01-03,30,22,17,2,0,
2021-01-03,38,19,25,2,,0
2021-01-04,27,20,16,3,0,
2021-01-04,40,,,,,0
2021-01-05,29,21,22,2,,
2021-01-06,35,20,21,1,0,
2021-01-07,33,18,19,3,,0
2021-01-08,32,17,20,5,0,0
2021-01-09,28,18,19,4,0,0
2021-01-10,31,20,20,4,,0
2021-01-11,35,23,21,1,,0
2021-01-12,37,19,23,3,0,0
2021-01-13,29,18,21,2,0,0
2021-01-14,35,18,23,3,0,0
2021-01-15,30,18,20,3,0,0
2021-01-16,30,16,22,2,0,0
2021-01-17,24,18,22,4,,0
2021-01-18,25,18,19,2,,0
2021-01-19,25,16,19,2,0,
2021-01-20,22,16,17,1,,
2021-01-21,27,15,13,1,,
2021-01-22,19,16,18,2,0,
2021-01-23,14,15,16,0,,0
2021-01-24,24,18,17,2,0,0
2021-01-25,29,17,17,1,,0
2021-01-26,25,16,17,2,,0
2021-01-27,22,23,21,1,0,0
2021-01-28,35,24,21,2,0,0
2021-01-29,39,17,18,3,0,0
2021-01-30,26,15,19,2,0,
2021-01-31,22,16,21,2,0,
2021-02-01,24,16,21,3,0,
2021-02-02,25,18,22,1,0,
2021-02-03,28,17,19,0,0,
2021-02-04,23,22,21,2,,
2021-02-05,32,19,15,2,0,
2021-02-06,25,19,14,3,,
2021-02-07,25,21,13,2,,
2021-02-08,32,21,16,2,,
2021-02-09,32,15,15,1,,0
2021-02-10,25,20,17,1,0,0
2021-02-11,25,21,14,2,0,0
2021-02-12,30,19,16,2,0,0
2021-02-13,27,16,14,2,,0
2021-02-14,31,18,19,2,0,0
2021-02-15,32,18,14,1,,0
2021-02-16,27,17,11,2,,
2021-02-17,30,15,11,1,,
2021-02-18,22,19,11,4,,
2021-02-19,27,21,15,6,0,
2021-02-20,27,19,14,2,0,0
2021-02-21,26,15,15,2,,0
2021-02-22,22,19,16,1,,0
2021-02-23,28,17,16,1,,0
2021-02-24,31,18,14,1,,0
2021-02-25,29,20,17,2,,0
2021-02-26,29,16,12,2,0,0
2021-02-27,20,17,11,1,,0
2021-02-28,28,16,10,3,,0
2021-03-01,30,15,10,2,,
2021-03-02,21,18,11,1,,
2021-03-03,15,18,11,1,,
2021-03-04,21,17,10,2,,
2021-03-05,23,20,12,1,0,
2021-03-06,26,124,11,1,0,
2021-03-07,127,17,12,1,,
2021-03-08,33,23,11,0,,
2021-03-09,42,21,12,0,0,
2021-03-10,38,19,11,0,,
2021-03-11,21,16,14,1,0,
2021-03-12,21,15,15,1,0,
2021-03-13,19,16,13,1,0,
2021-03-14,21,14,11,0,,
2021-03-15,19,,,,,
2021-04-01,,15,13,1,,
2021-04-02,18,14,12,1,,
2021-04-03,22,16,13,1,0,
2021-04-04,25,17,15,1,0,
2021-04-05,30,19,16,2,0,
2021-04-06,38,16,12,1,0,
2021-04-07,22,14,15,2,0,
2021-04-08,22,13,13,3,0,
2021-04-09,17,10,9,1,,
2021-04-10,18,17,12,1,,
2021-04-11,21,15,10,2,,
2021-04-12,15,12,10,2,,
2021-04-13,16,28,4,3,,
2021-04-14,17,14,7,0,0,
2021-04-15,22,23,10,2,0,
2021-04-16,30,29,10,1,0,
2021-04-17,27,15,15,1,,
2021-04-18,26,17,13,2,,
2021-04-19,17,16,11,1,0,
2021-04-20,17,13,9,2,0,
2021-04-21,15,13,12,2,0,
2021-04-22,19,15,7,4,0,
2021-04-23,21,14,12,3,0,
2021-04-24,20,16,17,4,0,
2021-04-25,25,12,13,3,0,
2021-04-26,20,15,10,2,0,
2021-04-27,26,13,9,2,0,
2021-04-28,24,13,14,0,,
2021-04-29,19,16,11,1,0,
2021-04-30,25,14,18,1,,
2021-05-01,20,14,21,1,0,
2021-05-02,20,15,13,2,0,
2021-05-03,16,15,11,3,0,
