time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,51,12,,0,,
2021-01-02,34,22,,0,,
2021-01-03,54,7,,0,,
2021-01-04,15,7,,0,,
2021-01-05,14,8,,2,,
2021-01-06,15,6,,0,,
2021-01-07,12,6,,1,,
2021-01-08,10,22,,3,,
2021-01-09,42,27,,2,,
2021-01-10,73,8,,0,,
2021-01-11,23,4,,0,,
2021-01-12,6,12,,1,,
2021-01-13,26,6,,0,,
2021-01-14,14,5,,0,,
2021-01-15,12,4,,0,,
2021-01-16,9,5,,0,,
2021-01-17,13,6,,0,,
2021-01-18,18,11,,2,,
2021-01-19,34,11,,1,,
2021-01-20,36,13,,0,,
2021-01-21,44,20,,1,,
2021-01-22,62,17,,0,,
2021-01-23,53,15,,0,,
2021-01-24,45,12,,1,,
2021-01-25,34,11,,0,,
2021-01-26,30,13,,1,,
2021-01-27,31,14,,2,,
2021-01-28,37,28,,5,,
2021-01-29,76,20,,4,,
2021-01-30,56,28,,4,,
2021-01-31,81,45,,3,,
2021-02-01,126,38,,2,,
2021-02-02,109,32,,4,,
2021-02-03,87,31,,5,,
2021-02-04,82,8,,0,,
2021-02-05,15,11,,2,,
2021-02-06,28,11,,2,,
2021-02-07,33,37,,4,,
2021-02-08,104,30,,5,,
2021-02-09,88,20,,2,,
2021-02-10,59,11,,1,,
2021-02-11,33,14,,1,,
2021-02-12,47,39,,3,,
2021-02-13,89,21,,1,,
2021-02-14,66,20,,2,,
2021-02-15,64,13,,0,,
2021-02-16,41,5,,0,,
2021-02-17,11,10,,2,,
2021-02-18,29,27,,6,,
2021-02-19,74,10,,0,,
2021-02-20,23,8,,0,,
2021-02-21,19,9,,1,,
2021-02-22,29,19,,5,,
2021-02-23,54,17,,1,,
2021-02-24,41,25,,2,,
2021-02-25,61,34,,4,,
2021-02-26,84,42,,4,,
2021-02-27,107,26,,1,,
2021-02-28,79,7,,0,,
2021-03-01,25,10,,0,,
2021-03-02,28,13,,1,,
2021-03-03,40,11,,0,,
2021-03-04,42,13,,2,,
2021-03-05,44,11,,0,,
2021-03-06,35,15,,0,,
2021-03-07,42,19,,1,,
2021-03-08,52,7,,0,,
2021-03-09,18,9,,0,,
2021-03-10,25,7,,1,,
2021-03-11,19,6,,1,,
2021-03-12,20,8,,1,,
2021-03-13,29,12,,3,,
2021-03-14,41,9,,1,,
2021-03-15,34,15,,4,,
2021-03-16,37,21,,8,,
2021-03-17,54,28,,9,,
2021-03-18,84,40,,7,,
2021-03-19,116,30,,6,,
2021-03-20,91,45,,9,,
2021-03-21,126,37,,4,,
2021-03-22,108,46,,5,,
2021-03-23,126,39,,3,,
2021-03-24,115,36,,3,,
2021-03-25,102,20,,2,,
2021-03-26,61,11,,1,,
2021-03-27,31,5,,0,,
2021-03-28,12,9,,1,,
2021-03-29,32,9,,0,,
2021-03-30,30,8,,0,,
2021-03-31,22,15,,4,,
2021-04-01,,5,,1,,
2021-04-01,45,15,,4,,
2021-04-02,16,5,,0,,
2021-04-02,51,6,,0,,
2021-04-03,14,4,,0,,
2021-04-03,18,11,,0,,
2021-04-04,11,21,,3,,
2021-04-04,27,5,,0,,
2021-04-05,55,10,,1,,
2021-04-05,14,,,,,
2021-04-06,32,8,,0,,
2021-04-07,26,6,,0,,
2021-04-08,21,12,,0,,
2021-04-09,33,23,,3,,
2021-04-10,50,37,,6,,
2021-04-11,94,,,,,
2021-04-15,,21,,2,,
2021-04-16,64,34,,3,,
2021-04-17,94,30,,4,,
2021-04-18,86,15,,1,,
2021-04-19,43,23,,0,,
2021-04-20,46,10,,1,,
2021-04-21,25,4,,0,,
2021-04-22,13,6,,0,,
2021-04-23,21,10,,3,,
2021-04-24,35,18,,5,,
2021-04-25,54,14,,3,,
2021-04-26,48,21,,5,,
2021-04-27,64,37,,6,,
2021-04-28,106,9,,0,,
2021-04-29,28,7,,1,,
2021-04-30,25,11,,2,,
2021-05-01,38,21,,1,,
2021-05-02,66,29,,4,,
2021-05-03,85,26,,2,,
2021-05-04,80,31,,1,,
2021-05-05,80,27,,0,,
2021-05-06,59,13,,0,,
2021-05-07,30,8,,0,,
2021-05-08,21,10,,0,,
2021-05-09,26,13,,2,,
2021-05-10,42,13,,0,,
2021-05-11,36,8,,0,,
2021-05-12,24,6,,0,,
2021-05-13,22,13,,3,,
