time,pm25,pm10,O3,NO2,SO2,CO
2022-09-30,24,,,,,
2022-10-01,24,,,,,
2022-10-02,28,,,,,
2022-10-03,26,,,,,
2022-10-04,26,,,,,
2022-10-05,25,,,,,
2022-10-06,48,,,,,
2022-10-07,57,,,,,
2022-10-08,50,,,,,
2022-10-09,55,,,,,
2022-10-10,65,,,,,
2022-10-11,68,,,,,
2022-10-12,69,,,,,
2022-10-13,68,,,,,
2022-10-14,60,,,,,
2022-10-15,60,,,,,
2022-10-16,68,,,,,
2022-10-17,64,,,,,
2022-10-18,70,,,,,
2022-10-19,59,,,,,
2022-10-20,53,,,,,
2022-10-21,48,,,,,
2022-10-22,51,,,,,
2022-10-23,49,,,,,
2022-10-24,55,,,,,
2022-10-25,70,,,,,
2022-10-26,88,,,,,
2022-10-27,76,,,,,
2022-10-28,75,,,,,
2022-10-29,67,,,,,
2022-10-30,61,,,,,
2022-10-31,67,,,,,
2022-11-01,54,,,,,
2022-12-30,67,,,,,
2022-12-31,54,,,,,
2023-01-01,45,,,,,
2023-01-02,54,,,,,
2023-01-03,61,,,,,
2023-01-04,50,,,,,
2023-01-05,55,,,,,
2023-01-06,65,,,,,
2023-01-07,62,,,,,
2023-01-08,56,,,,,
2023-01-09,52,,,,,
2023-01-10,55,,,,,
2023-01-11,57,,,,,
2023-01-12,66,,,,,
2023-01-13,65,,,,,
2023-01-14,59,,,,,
2023-01-15,50,,,,,
2023-01-16,55,,,,,
2023-01-17,52,,,,,
2023-01-18,59,,,,,
2023-01-19,67,,,,,
2023-01-20,68,,,,,
2023-01-21,62,,,,,
2023-01-22,53,,,,,
2023-01-23,58,,,,,
2023-01-24,59,,,,,
2023-01-25,52,,,,,
2023-01-26,76,,,,,
2023-01-27,68,,,,,
2023-01-28,70,,,,,
2023-01-29,73,,,,,
2023-01-30,76,,,,,
2023-01-31,71,,,,,
2023-02-01,76,,,,,
2023-02-02,68,,,,,
2023-02-03,60,,,,,
2023-02-04,51,,,,,
2023-02-05,59,,,,,
2023-02-06,58,,,,,
2023-02-07,58,,,,,
2023-02-08,61,,,,,
2023-02-09,58,,,,,
2023-02-10,60,,,,,
2023-02-11,47,,,,,
2023-02-14,53,,,,,
2023-02-15,55,,,,,
2023-02-16,56,,,,,
2023-02-17,52,,,,,
2023-02-18,72,,,,,
2023-02-19,60,,,,,
2023-02-20,68,,,,,
2023-02-21,54,,,,,
2023-02-22,62,,,,,
2023-02-23,61,,,,,
2023-02-24,58,,,,,
2023-02-25,57,,,,,
2023-02-26,51,,,,,
2023-02-27,57,,,,,
2023-02-28,57,,,,,
2023-03-01,57,,,,,
2023-03-02,55,,,,,
2023-03-03,67,,,,,
2023-03-04,67,,,,,
2023-03-05,58,,,,,
2023-03-06,56,,,,,
2023-03-07,67,,,,,
2023-03-08,69,,,,,
2023-03-09,72,,,,,
2023-03-10,70,,,,,
2023-03-11,77,,,,,
2023-03-12,66,,,,,
2023-03-13,60,,,,,
2023-03-14,55,,,,,
2023-03-15,55,,,,,
2023-03-16,55,,,,,
2023-03-17,56,,,,,
2023-03-18,54,,,,,
2023-03-19,58,,,,,
2023-03-20,60,,,,,
2023-03-21,64,,,,,
2023-03-22,62,,,,,
2023-03-23,57,,,,,
2023-03-24,59,,,,,
2023-03-25,58,,,,,
2023-03-26,57,,,,,
2023-03-27,55,,,,,
2023-03-28,59,,,,,
2023-03-29,62,,,,,
2023-03-30,59,,,,,
2023-03-31,62,,,,,
2023-03-31,64,,,,,
2023-04-01,62,,,,,
2023-04-01,63,,,,,
2023-04-02,60,,,,,
2023-04-03,65,,,,,
2023-04-04,65,,,,,
2023-04-05,67,,,,,
2023-04-06,68,,,,,
2023-04-07,58,,,,,
2023-04-08,54,,,,,
2023-04-09,68,,,,,
2023-04-10,64,,,,,
2023-04-11,67,,,,,
2023-04-12,66,,,,,
2023-04-13,73,,,,,
2023-04-14,71,,,,,
2023-04-15,84,,,,,
2023-04-16,59,,,,,
2023-04-17,53,,,,,
2023-04-18,59,,,,,
2023-04-19,61,,,,,
2023-04-20,64,,,,,
2023-04-21,62,,,,,
2023-04-22,60,,,,,
2023-04-23,60,,,,,
2023-04-24,57,,,,,
2023-04-29,63,,,,,
2023-04-30,64,,,,,
2023-05-01,57,,,,,
2023-05-02,60,,,,,
2023-05-03,57,,,,,
2023-05-04,55,,,,,
2023-05-05,56,,,,,
2023-05-06,55,,,,,
2023-05-07,63,,,,,
2023-05-08,58,,,,,
2023-05-09,56,,,,,
2023-05-10,52,,,,,
2023-05-11,53,,,,,
2023-05-12,45,,,,,
2023-05-13,52,,,,,
2023-05-14,58,,,,,
2023-05-15,54,,,,,
2023-05-16,51,,,,,
2023-05-17,57,,,,,
2023-05-18,63,,,,,
2023-05-19,65,,,,,
2023-05-20,60,,,,,
2023-05-21,60,,,,,
2023-05-22,62,,,,,
