time,pm25,pm10,O3,NO2,SO2,CO
2021-12-31,56,,,,,
2022-01-01,71,,,,,
2022-01-02,77,,,,,
2022-01-03,60,,,,,
2022-01-04,50,,,,,
2022-01-05,66,,,,,
2022-03-20,73,,,,,
2022-03-21,92,,,,,
2022-03-22,90,,,,,
2022-03-23,79,,,,,
2022-03-24,83,,,,,
2022-03-25,69,,,,,
2022-03-26,72,,,,,
2022-03-27,78,,,,,
2022-03-28,67,,,,,
2022-03-29,41,,,,,
2022-03-30,68,,,,,
2022-03-31,68,,,,,
2022-04-01,69,,,,,
2022-04-02,66,,,,,
2022-04-03,65,,,,,
2022-04-04,69,,,,,
2022-04-05,49,,,,,
2022-04-06,68,,,,,
2022-04-07,89,,,,,
2022-04-08,68,,,,,
2022-04-09,105,,,,,
2022-04-10,74,,,,,
2022-04-11,109,,,,,
2022-04-12,62,,,,,
2022-04-13,69,,,,,
2022-04-15,119,,,,,
2022-04-17,113,,,,,
2022-04-18,127,,,,,
2022-04-19,60,,,,,
2022-04-20,65,,,,,
2022-04-21,84,,,,,
2022-04-22,78,,,,,
2022-04-23,61,,,,,
2022-04-24,47,,,,,
2022-04-25,62,,,,,
2022-04-26,79,,,,,
2022-04-27,63,,,,,
2022-04-28,75,,,,,
2022-04-29,55,,,,,
2022-04-30,37,,,,,
2022-05-01,55,,,,,
2022-05-02,77,,,,,
2022-05-03,86,,,,,
2022-05-04,65,,,,,
2022-05-05,53,,,,,
2022-05-06,51,,,,,
2022-05-07,63,,,,,
2022-05-09,84,,,,,
2022-05-10,89,,,,,
2022-05-11,90,,,,,
2022-05-12,73,,,,,
2022-05-13,77,,,,,
2022-05-14,66,,,,,
2022-05-15,55,,,,,
2022-05-16,68,,,,,
2022-05-17,79,,,,,
2022-05-18,84,,,,,
2022-05-19,76,,,,,
2022-05-20,89,,,,,
2022-05-21,57,,,,,
2022-05-22,64,,,,,
2022-05-23,65,,,,,
2022-05-24,83,,,,,
2022-05-25,65,,,,,
2022-05-26,68,,,,,
2022-05-27,75,,,,,
2022-05-28,57,,,,,
2022-05-29,68,,,,,
2022-05-30,74,,,,,
2022-05-31,77,,,,,
2022-06-01,80,,,,,
2022-06-02,93,,,,,
2022-06-03,92,,,,,
2022-06-04,64,,,,,
2022-06-05,64,,,,,
2022-06-06,73,,,,,
2022-09-30,120,,,,,
2022-10-01,111,,,,,
2022-10-02,70,,,,,
2022-10-03,70,,,,,
2022-10-04,78,,,,,
2022-10-05,92,,,,,
2022-10-06,91,,,,,
2022-10-07,92,,,,,
2022-10-08,79,,,,,
2022-10-09,94,,,,,
2022-10-10,137,,,,,
2022-10-11,80,,,,,
2022-10-12,91,,,,,
2022-10-13,67,,,,,
2022-10-14,83,,,,,
2022-10-15,77,,,,,
2022-10-16,82,,,,,
2022-10-17,94,,,,,
2022-10-18,133,,,,,
2022-10-19,120,,,,,
2022-10-20,119,,,,,
2022-10-21,115,,,,,
2022-10-22,121,,,,,
2022-10-23,98,,,,,
2022-10-24,88,,,,,
2022-10-25,116,,,,,
2022-10-26,115,,,,,
2022-10-27,105,,,,,
2022-10-28,96,,,,,
2022-10-29,132,,,,,
2022-10-30,131,,,,,
2022-10-31,105,,,,,
2022-11-01,148,,,,,
2022-11-02,92,,,,,
2022-11-03,112,,,,,
