time,pm25,pm10,O3,NO2,SO2,CO
2021-12-31,64,,,,,
2022-01-01,40,,,,,
2022-01-02,46,,,,,
2022-01-03,59,,,,,
2022-01-04,53,,,,,
2022-01-05,41,,,,,
2022-04-01,59,,,,,
2022-04-02,63,,,,,
2022-04-03,67,,,,,
2022-04-04,66,,,,,
2022-04-05,72,,,,,
2022-04-06,42,,,,,
2022-04-07,58,,,,,
2022-04-08,38,,,,,
2022-04-09,54,,,,,
2022-04-10,65,,,,,
2022-04-11,76,,,,,
2022-04-12,80,,,,,
2022-04-13,92,,,,,
2022-04-14,89,,,,,
2022-04-15,99,,,,,
2022-04-16,66,,,,,
2022-04-17,78,,,,,
2022-04-18,44,,,,,
2022-04-19,37,,,,,
2022-04-20,37,,,,,
2022-04-21,44,,,,,
2022-04-22,35,,,,,
2022-04-23,44,,,,,
2022-04-24,60,,,,,
2022-04-25,54,,,,,
2022-04-26,50,,,,,
2022-04-27,83,,,,,
2022-04-28,76,,,,,
2022-04-29,73,,,,,
2022-04-30,102,,,,,
2022-05-01,110,,,,,
2022-05-02,92,,,,,
2022-05-03,73,,,,,
2022-05-04,46,,,,,
2022-05-05,50,,,,,
2022-05-06,74,,,,,
2022-05-07,66,,,,,
2022-05-08,78,,,,,
2022-05-09,68,,,,,
2022-05-10,67,,,,,
2022-05-11,81,,,,,
2022-05-12,67,,,,,
2022-05-13,43,,,,,
2022-05-14,31,,,,,
2022-05-15,43,,,,,
2022-05-20,81,,,,,
2022-05-21,77,,,,,
2022-05-22,67,,,,,
2022-05-23,53,,,,,
2022-05-24,44,,,,,
2022-05-25,45,,,,,
2022-05-26,58,,,,,
2022-05-27,67,,,,,
2022-05-28,49,,,,,
2022-05-29,26,,,,,
2022-05-30,32,,,,,
2022-05-31,44,,,,,
2022-06-01,57,,,,,
2022-06-02,33,,,,,
2022-06-03,33,,,,,
2022-06-04,49,,,,,
2022-06-05,36,,,,,
2022-06-06,34,,,,,
2022-06-07,53,,,,,
2022-06-08,58,,,,,
2022-06-09,74,,,,,
2022-06-10,58,,,,,
2022-06-11,35,,,,,
2022-06-12,63,,,,,
2022-06-13,65,,,,,
2022-06-14,70,,,,,
2022-06-15,57,,,,,
2022-06-16,41,,,,,
2022-06-17,47,,,,,
2022-06-18,61,,,,,
2022-06-19,78,,,,,
2022-06-20,74,,,,,
2022-06-21,104,,,,,
2022-06-22,68,,,,,
2022-06-23,79,,,,,
2022-06-24,88,,,,,
2022-06-25,90,,,,,
2022-06-26,100,,,,,
2022-06-27,64,,,,,
2022-06-28,60,,,,,
2022-06-29,65,,,,,
2022-06-30,63,,,,,
2022-07-01,60,,,,,
2022-07-02,65,,,,,
2022-07-03,63,,,,,
2022-07-04,50,,,,,
2022-07-05,42,,,,,
2022-07-06,41,,,,,
2022-07-07,44,,,,,
2022-07-08,65,,,,,
2022-07-09,62,,,,,
2022-07-10,62,,,,,
2022-07-11,69,,,,,
2022-07-12,74,,,,,
2022-07-13,75,,,,,
2022-07-14,89,,,,,
2022-07-15,105,,,,,
2022-07-16,101,,,,,
2022-07-17,75,,,,,
2022-07-18,89,,,,,
2022-07-19,71,,,,,
2022-07-20,71,,,,,
2022-07-21,78,,,,,
2022-07-22,83,,,,,
2022-07-23,94,,,,,
2022-07-24,76,,,,,
2022-07-25,57,,,,,
2022-07-26,90,,,,,
2022-07-27,101,,,,,
2022-07-28,101,,,,,
2022-07-29,91,,,,,
2022-07-30,113,,,,,
2022-07-31,77,,,,,
2022-08-01,93,,,,,
2022-08-02,73,,,,,
2022-08-03,76,,,,,
2022-08-04,82,,,,,
2022-08-05,74,,,,,
2022-08-06,67,,,,,
2022-08-07,64,,,,,
2022-08-08,67,,,,,
2022-08-09,86,,,,,
2022-08-10,97,,,,,
2022-08-11,64,,,,,
2022-08-12,52,,,,,
2022-08-13,49,,,,,
2022-08-14,61,,,,,
2022-08-15,67,,,,,
2022-08-16,64,,,,,
2022-08-17,74,,,,,
2022-08-18,58,,,,,
2022-08-19,51,,,,,
2022-08-20,60,,,,,
2022-08-21,60,,,,,
2022-08-22,84,,,,,
2022-08-23,95,,,,,
2022-08-24,74,,,,,
2022-08-25,69,,,,,
2022-08-26,54,,,,,
2022-08-27,88,,,,,
2022-08-28,89,,,,,
2022-08-29,91,,,,,
2022-08-30,82,,,,,
2022-08-31,51,,,,,
2022-09-01,51,,,,,
2022-09-02,49,,,,,
2022-09-03,63,,,,,
2022-09-04,59,,,,,
2022-09-05,74,,,,,
2022-09-06,94,,,,,
2022-09-07,85,,,,,
2022-09-08,69,,,,,
2022-09-09,94,,,,,
2022-09-10,97,,,,,
2022-09-11,70,,,,,
2022-09-12,69,,,,,
2022-09-13,79,,,,,
2022-09-14,82,,,,,
2022-09-15,89,,,,,
2022-09-16,77,,,,,
2022-09-17,61,,,,,
2022-09-18,80,,,,,
2022-09-19,76,,,,,
2022-09-20,84,,,,,
2022-09-21,89,,,,,
2022-09-22,95,,,,,
2022-09-23,70,,,,,
2022-09-24,85,,,,,
2022-09-25,70,,,,,
2022-09-26,53,,,,,
2022-09-27,70,,,,,
2022-09-28,77,,,,,
2022-09-29,81,,,,,
2022-09-30,76,,,,,
2022-09-30,76,,,,,
2022-10-01,72,,,,,
2022-10-01,72,,,,,
2022-10-02,67,,,,,
2022-10-02,67,,,,,
2022-10-03,87,,,,,
2022-10-04,120,,,,,
2022-10-05,93,,,,,
2022-10-06,68,,,,,
2022-10-07,69,,,,,
2022-10-08,67,,,,,
2022-10-09,78,,,,,
2022-10-11,87,,,,,
2022-10-12,92,,,,,
2022-10-13,80,,,,,
2022-10-14,75,,,,,
2022-10-15,75,,,,,
2022-10-16,92,,,,,
2022-10-17,92,,,,,
2022-10-18,90,,,,,
2022-10-19,97,,,,,
2022-10-20,71,,,,,
2022-10-21,76,,,,,
2022-10-22,73,,,,,
2022-10-23,55,,,,,
2022-10-24,74,,,,,
2022-10-25,103,,,,,
2022-10-26,109,,,,,
2022-10-27,118,,,,,
2022-10-28,133,,,,,
2022-10-29,119,,,,,
2022-10-30,117,,,,,
2022-10-31,140,,,,,
2022-11-01,121,,,,,
2022-11-02,114,,,,,
