time,pm25,pm10,O3,NO2,SO2,CO
2021-12-30,,65,2,3,82,2
2021-12-31,131,75,2,4,2,9
2022-01-01,144,88,2,4,2,12
2022-01-02,158,77,2,4,2,12
2022-01-03,149,78,3,4,13,12
2022-01-04,144,94,4,4,2,13
2022-01-05,164,,,,,
2022-03-31,,92,5,4,2,12
2022-04-01,162,90,4,4,3,12
2022-04-02,160,106,4,4,2,11
2022-04-03,171,56,1,4,2,8
2022-04-04,111,64,2,4,3,9
2022-04-05,119,37,5,4,2,6
2022-04-06,72,35,6,4,3,6
2022-04-07,70,53,6,4,2,7
2022-04-08,103,59,6,4,2,8
2022-04-09,110,64,6,4,2,7
2022-04-10,123,65,6,4,2,7
2022-04-11,125,62,6,4,2,7
2022-04-12,116,67,7,4,2,7
2022-04-13,129,76,9,4,2,7
2022-04-14,150,84,14,4,3,7
2022-04-15,157,86,10,4,2,7
2022-04-16,157,99,11,4,2,7
2022-04-17,166,77,6,4,2,5
2022-04-18,146,63,7,4,2,3
2022-04-19,125,71,7,4,2,1
2022-04-20,131,129,7,4,2,1
2022-04-21,186,115,6,4,2,2
2022-04-22,178,95,7,4,2,2
2022-04-23,165,80,6,4,2,1
2022-04-24,149,77,6,4,2,2
2022-04-25,144,77,9,4,2,1
2022-04-26,147,85,13,4,2,1
2022-04-27,156,113,15,4,3,5
2022-04-28,178,89,7,4,3,3
2022-04-29,159,76,7,4,3,
2022-04-30,153,86,6,4,2,8
2022-05-01,159,93,10,4,2,7
2022-05-02,157,142,10,4,3,8
2022-05-03,197,162,10,4,2,9
2022-05-04,210,157,10,4,3,11
2022-05-05,209,78,7,4,2,6
2022-05-06,150,87,6,4,2,4
2022-05-07,158,67,7,4,3,3
2022-05-08,133,66,7,4,2,2
2022-05-09,128,82,9,4,2,2
2022-05-10,151,79,13,4,2,3
2022-05-11,148,79,14,4,2,3
2022-05-12,152,77,26,4,2,2
2022-05-13,151,80,14,4,2,1
2022-05-14,150,83,16,4,2,2
2022-05-15,153,89,17,4,2,3
2022-05-16,156,71,24,4,2,1
2022-05-17,142,62,32,4,2,0
2022-05-18,119,67,18,4,2,0
2022-05-19,128,76,8,4,2,0
2022-05-20,144,72,7,4,2,0
2022-05-21,142,69,6,4,2,0
2022-05-22,137,111,10,4,2,0
2022-05-23,175,133,11,3,19,4
2022-05-24,192,96,7,3,2,8
2022-05-25,167,87,12,4,2,7
2022-05-26,157,80,20,3,10,6
2022-05-27,151,89,32,4,2,9
2022-05-28,160,94,27,3,2,9
2022-05-29,163,75,18,4,2,6
2022-05-30,136,61,22,4,2,5
2022-05-31,110,106,22,4,2,7
2022-06-01,160,170,38,4,2,13
2022-06-02,211,96,61,4,2,8
2022-06-03,164,109,27,3,2,5
2022-06-04,170,94,22,4,3,4
2022-06-05,163,87,26,4,2,4
2022-06-06,158,84,27,4,2,3
2022-06-07,153,111,31,4,2,5
2022-06-08,173,118,44,4,3,5
2022-06-09,177,93,29,4,29,
2022-06-10,159,86,29,4,2,
2022-06-11,149,73,33,4,2,8
2022-06-12,133,68,27,4,2,8
2022-06-13,129,68,30,4,2,7
2022-06-14,125,67,20,4,2,7
2022-06-15,130,92,18,4,3,5
2022-06-16,163,74,18,4,2,6
2022-06-17,140,63,23,4,2,4
2022-06-18,121,87,20,4,2,5
2022-06-19,155,72,19,4,2,5
2022-06-20,133,81,27,4,3,5
2022-06-21,156,97,31,4,2,5
2022-06-22,166,95,19,4,2,6
2022-06-23,164,89,16,4,2,5
2022-06-24,157,90,14,4,2,3
