time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,107,39,10,,1,3
2021-01-01,113,59,9,,0,3
2021-01-02,75,50,28,9,1,4
2021-01-02,107,39,10,,1,3
2021-01-03,87,56,9,7,1,3
2021-01-03,75,50,28,9,1,4
2021-01-04,106,59,10,7,1,4
2021-01-04,87,56,9,7,1,3
2021-01-05,115,20,32,8,3,3
2021-01-05,106,,,,,
2021-01-06,54,44,8,8,1,3
2021-01-07,89,62,25,11,3,5
2021-01-08,120,71,9,11,1,4
2021-01-09,133,68,9,11,1,4
2021-01-10,130,75,15,11,1,4
2021-01-11,140,81,45,12,3,5
2021-01-12,139,78,15,11,1,4
2021-01-13,136,78,11,12,1,4
2021-01-14,141,68,32,11,2,4
2021-01-15,119,59,25,12,3,4
2021-01-16,88,76,13,11,1,4
2021-01-17,144,83,13,12,1,4
2021-01-18,149,87,43,11,3,4
2021-01-19,149,97,20,10,1,4
2021-01-20,161,92,46,10,4,6
2021-01-21,157,32,8,8,2,2
2021-01-22,60,29,7,8,1,2
2021-01-23,53,49,9,10,1,3
2021-01-24,84,74,19,12,2,5
2021-01-25,126,88,19,13,3,6
2021-01-26,153,84,36,13,4,6
2021-01-27,139,95,22,13,2,5
2021-01-28,161,87,17,11,2,4
2021-01-29,148,86,19,9,2,3
2021-01-30,144,81,19,10,2,3
2021-01-31,139,76,20,10,2,3
2021-02-01,135,90,35,11,3,5
2021-02-02,153,125,20,13,2,5
2021-02-03,175,119,15,14,5,7
2021-02-04,167,120,17,16,4,9
2021-02-05,171,131,37,18,5,7
2021-02-06,175,122,18,13,2,6
2021-02-07,175,96,10,12,2,5
2021-02-08,153,71,23,12,3,4
2021-02-09,130,79,21,13,2,5
2021-02-10,136,68,17,12,2,3
2021-02-11,105,64,38,12,3,4
2021-02-12,93,76,19,11,4,3
2021-02-13,103,85,22,11,1,4
2021-02-14,147,111,25,11,5,4
2021-02-15,179,86,22,10,2,4
2021-02-16,155,90,26,11,2,6
2021-02-17,143,98,24,12,2,6
2021-02-18,159,119,28,15,4,6
2021-02-19,174,101,18,11,2,6
2021-02-20,168,99,19,11,1,5
2021-02-21,170,90,25,12,2,4
2021-02-22,153,96,32,15,2,6
2021-02-23,153,102,24,12,1,6
2021-02-24,166,96,24,15,2,5
2021-02-25,164,90,15,5,1,5
2021-02-26,152,82,15,3,1,4
2021-02-27,151,90,21,3,1,4
2021-02-28,159,107,22,8,1,5
2021-03-01,154,94,44,12,3,6
2021-03-02,152,105,26,17,2,6
2021-03-03,166,126,36,18,1,8
2021-03-04,175,148,29,17,2,8
2021-03-05,194,155,32,22,3,9
2021-03-06,208,200,26,20,2,11
2021-03-07,239,200,24,18,2,11
2021-03-08,242,207,42,20,2,10
2021-03-09,247,163,20,17,2,10
2021-03-10,211,145,26,18,2,9
2021-03-11,199,147,22,16,2,9
2021-03-12,201,141,26,16,2,7
2021-03-13,189,132,18,14,2,8
2021-03-14,188,143,18,14,2,8
2021-03-15,194,96,35,15,2,5
2021-03-16,162,98,19,13,2,5
2021-03-17,161,92,42,13,1,5
2021-03-18,158,103,19,12,2,5
