time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,75,54,24,9,1,7
2021-01-01,,55,26,8,4,5
2021-01-02,71,54,28,8,3,5
2021-01-02,,59,18,8,5,11
2021-01-03,78,55,26,8,4,4
2021-01-03,,54,24,9,1,7
2021-01-04,74,56,32,8,6,7
2021-01-04,75,54,28,8,3,5
2021-01-05,81,59,31,7,2,7
2021-01-05,71,,,,,
2021-01-06,80,57,33,8,6,11
2021-01-07,77,52,23,8,13,9
2021-01-08,112,56,17,8,4,8
2021-01-09,112,56,11,8,3,7
2021-01-10,99,53,19,8,5,6
2021-01-11,118,54,14,8,2,7
2021-01-12,82,50,15,8,4,3
2021-01-13,66,46,11,8,3,3
2021-01-14,68,48,15,8,6,5
2021-01-15,73,52,15,9,3,5
2021-01-16,76,48,13,8,8,4
2021-01-17,94,49,15,8,4,6
2021-01-18,100,52,20,8,5,5
2021-01-19,95,48,22,8,6,8
2021-01-20,105,53,20,9,4,6
2021-01-21,86,53,23,8,3,5
2021-01-22,92,57,22,8,3,8
2021-01-23,89,57,18,8,3,7
2021-01-24,99,62,29,8,6,10
2021-01-25,91,63,29,8,4,7
2021-01-26,87,61,30,8,2,7
2021-01-27,93,62,32,8,9,10
2021-01-28,96,62,36,8,10,8
2021-01-29,98,60,39,11,10,6
2021-01-30,111,64,44,11,8,8
2021-01-31,109,66,41,10,10,6
2021-02-01,113,66,39,11,14,11
2021-02-02,107,67,39,11,13,10
2021-02-03,115,70,40,11,19,10
2021-02-04,94,65,37,10,12,9
2021-02-05,97,63,38,11,8,6
2021-02-06,212,65,45,10,9,7
2021-02-07,333,67,45,11,15,9
2021-02-08,120,60,45,11,14,9
2021-02-09,114,59,42,11,13,10
2021-02-10,118,80,31,11,12,9
2021-02-11,123,98,20,11,11,10
2021-02-12,149,111,20,11,11,8
2021-02-13,156,92,28,10,15,6
2021-02-14,164,77,27,11,11,8
2021-02-15,159,147,24,11,8,6
2021-02-16,168,71,27,11,8,7
2021-02-17,135,49,13,10,6,12
2021-02-18,132,57,25,11,7,5
2021-02-19,136,60,34,11,7,5
2021-02-20,140,59,31,9,7,7
2021-02-21,144,79,15,10,6,19
2021-02-22,136,70,35,11,7,7
2021-02-23,115,65,33,11,7,7
2021-02-24,114,59,39,11,7,5
2021-02-25,96,57,49,11,7,3
2021-02-26,98,62,26,11,6,3
2021-02-27,106,61,30,11,7,6
2021-02-28,118,60,30,11,7,8
2021-03-01,125,65,41,13,7,4
2021-03-02,118,65,41,13,7,6
2021-03-03,116,73,30,12,7,9
2021-03-04,121,73,34,13,7,10
2021-03-05,121,71,30,13,7,9
2021-03-06,119,69,34,13,7,8
2021-03-07,128,71,35,13,7,7
2021-03-08,118,69,26,13,7,5
2021-03-09,113,67,32,13,7,7
2021-03-10,120,67,32,13,7,4
2021-03-11,109,65,35,13,7,4
2021-03-12,,,,,6,
2021-03-13,,,,,7,
2021-03-14,145,72,23,12,7,11
2021-03-15,144,75,27,13,7,9
2021-03-16,127,69,30,13,6,7
2021-03-17,141,69,29,13,6,7
2021-03-18,151,73,30,12,7,8
2021-03-19,139,70,30,13,6,5
2021-03-20,124,68,34,13,7,5
2021-03-21,117,69,31,13,7,8
2021-03-22,130,75,33,33,7,9
2021-03-23,125,73,38,13,7,9
2021-03-24,135,74,40,11,7,7
2021-03-25,130,71,42,12,6,7
2021-03-26,149,78,45,11,6,9
2021-03-27,146,78,39,12,7,11
2021-03-28,143,75,35,11,6,7
2021-03-29,130,79,36,11,6,8
2021-03-30,145,76,34,12,7,8
2021-03-31,175,72,38,12,6,5
2021-04-01,149,70,32,11,7,5
2021-04-02,152,74,34,12,7,6
2021-04-03,149,71,37,12,7,5
2021-06-30,,74,26,20,7,9
2021-07-01,127,69,36,20,6,11
2021-07-02,114,74,38,20,7,12
2021-07-03,141,66,32,20,7,10
2021-07-04,111,64,36,20,7,11
2021-07-05,123,69,44,19,7,13
2021-07-06,134,73,43,20,7,13
2021-07-07,134,69,39,20,6,11
2021-07-08,132,67,36,20,6,12
2021-07-09,122,73,39,20,7,12
2021-07-10,142,62,36,19,7,11
2021-07-11,113,56,37,20,7,10
2021-07-12,105,62,34,20,7,12
2021-07-13,228,55,34,20,7,10
2021-07-14,125,58,33,20,7,11
2021-07-15,106,69,31,20,7,12
2021-07-16,136,67,32,20,7,11
2021-07-17,114,67,27,20,7,13
2021-07-18,115,67,31,20,7,9
2021-07-19,124,66,26,19,6,9
2021-07-20,105,65,20,19,6,9
2021-07-21,113,66,28,19,7,11
2021-07-22,124,67,39,20,7,12
2021-07-23,135,67,33,20,7,11
2021-07-24,115,66,34,20,6,10
2021-07-25,196,62,37,20,6,13
2021-07-26,153,65,40,20,7,10
2021-07-27,120,65,35,20,7,11
2021-07-28,123,64,39,20,7,10
2021-07-29,133,,,,,
2021-08-02,,56,30,20,7,11
2021-08-03,92,60,31,18,7,11
2021-08-04,105,66,32,19,7,13
2021-08-05,120,62,32,20,6,11
2021-08-06,115,54,30,20,15,10
2021-08-07,113,69,34,20,11,14
2021-08-08,126,57,30,20,11,10
2021-08-09,107,55,22,20,6,9
2021-08-10,80,57,19,20,14,6
2021-08-11,76,54,18,20,10,8
2021-08-12,70,53,15,20,10,9
2021-08-13,70,60,33,20,17,10
2021-08-14,90,47,20,19,6,8
2021-08-15,79,48,7,18,8,9
2021-08-16,69,33,9,19,11,9
2021-08-17,59,32,6,20,5,9
2021-08-18,69,33,11,19,7,9
2021-08-19,72,56,19,20,12,11
2021-08-20,87,57,29,20,10,9
2021-08-21,100,60,23,20,11,9
2021-08-22,97,54,21,20,12,9
2021-08-23,92,49,22,19,8,9
2021-08-24,93,46,22,20,9,8
2021-08-25,97,41,17,20,7,9
2021-08-26,90,46,16,20,9,9
2021-08-27,83,39,18,20,6,8
2021-08-28,81,35,8,20,10,8
2021-08-29,81,,,,,
2021-08-31,,33,13,19,1,8
2021-09-01,56,21,18,20,5,9
2021-09-02,58,40,26,12,8,12
2021-09-03,96,32,33,7,19,10
2021-09-04,94,38,26,12,4,10
2021-09-05,86,50,26,12,6,10
2021-09-06,93,49,15,12,6,10
2021-09-07,72,55,19,12,6,8
2021-09-08,63,59,15,12,7,9
2021-09-09,90,54,14,11,7,9
2021-09-10,73,53,12,12,8,8
2021-09-11,86,44,16,12,9,9
2021-09-12,92,41,20,12,10,9
2021-09-13,89,50,14,12,11,10
2021-09-14,118,53,16,12,13,9
2021-09-15,106,50,13,12,14,9
2021-09-16,100,50,11,11,16,9
2021-09-17,99,53,14,12,15,9
2021-09-18,103,54,17,12,15,8
2021-09-19,100,53,19,12,16,8
2021-09-20,105,69,16,11,18,9
2021-09-21,140,76,15,11,19,9
2021-09-22,139,56,15,12,20,9
2021-09-23,135,33,22,11,18,10
2021-09-24,87,53,11,12,13,9
2021-09-25,103,,,,,
2021-09-27,,,11,12,,10
2021-09-28,115,,21,12,,10
2021-09-29,,,13,11,9,8
2021-09-29,103,,18,12,4,9
2021-09-30,83,,16,11,9,8
2021-09-30,90,,13,11,9,8
2021-10-01,104,38,20,12,9,9
2021-10-01,83,,16,11,9,8
2021-10-02,106,,,,,
2021-10-02,104,38,20,12,9,9
2021-10-03,,,18,12,10,11
2021-10-03,106,,,,,
2021-10-04,,61,21,12,10,9
2021-10-05,106,62,22,12,10,9
2021-10-06,125,48,12,12,6,9
2021-10-07,100,46,9,11,5,9
2021-10-08,96,,,,,
2021-10-09,,37,15,12,3,10
2021-10-10,90,40,13,12,5,9
2021-10-11,102,36,9,11,4,9
2021-10-12,87,37,6,12,5,10
2021-10-13,72,41,7,12,4,11
2021-10-14,113,46,6,11,2,9
2021-10-15,73,37,6,11,5,9
2021-10-16,57,40,8,11,4,9
2021-10-17,59,37,6,12,4,8
2021-10-18,52,39,4,12,11,10
2021-10-19,69,38,4,11,5,8
2021-10-20,66,36,5,12,5,9
2021-10-21,70,,,,,
2021-10-24,,30,14,1,18,10
2021-10-25,41,,,,,
2021-10-25,,,7,4,0,8
2021-10-26,,70,1,4,3,9
2021-10-26,,,8,1,4,8
2021-10-27,102,,,,,
2021-10-27,,,6,1,5,9
2021-10-28,,,3,1,6,9
2021-10-29,,44,3,1,4,9
2021-10-30,67,36,5,1,6,8
2021-10-31,58,26,7,1,5,8
2021-11-01,61,29,5,1,5,8
2021-11-02,,61,13,3,6,9
2021-11-02,38,48,5,1,5,8
2021-11-03,85,63,17,2,6,8
2021-11-03,70,52,6,1,4,9
2021-11-04,67,51,4,3,9,7
2021-11-04,60,57,8,1,4,9
2021-11-05,80,72,17,4,6,9
2021-11-05,72,58,7,1,3,8
2021-11-06,65,,,,,
2021-11-06,95,56,11,1,5,9
2021-11-07,,81,6,5,4,13
2021-11-07,86,55,11,1,5,9
2021-11-08,89,43,7,,13,10
2021-11-08,108,61,10,1,5,9
2021-11-09,30,,,,,
2021-11-09,97,56,12,1,5,9
2021-11-10,,72,17,,9,7
2021-11-10,81,51,11,1,3,8
2021-11-11,85,61,29,,8,10
2021-11-11,100,54,11,1,2,8
2021-11-12,46,65,26,3,9,10
2021-11-12,74,49,12,1,4,9
2021-11-13,65,68,27,3,8,11
2021-11-13,22,,11,1,5,9
2021-11-14,64,68,29,4,8,10
2021-11-14,,24,10,1,5,9
2021-11-15,62,58,19,3,9,9
2021-11-15,102,18,11,1,5,9
2021-11-16,65,59,29,3,5,9
2021-11-16,99,,5,1,4,9
2021-11-17,65,61,28,3,8,9
2021-11-17,77,,7,1,8,9
2021-11-18,63,62,28,3,4,10
2021-11-18,67,5,7,1,8,9
2021-11-19,46,39,24,3,32,8
2021-11-19,72,,6,1,8,10
2021-11-20,,62,33,2,8,7
2021-11-20,97,,5,2,7,11
2021-11-21,,,,2,,
2021-11-21,59,47,9,2,3,10
2021-11-22,,71,47,,11,9
2021-11-22,85,64,11,1,12,9
2021-11-23,,77,40,7,9,11
2021-11-23,71,61,10,1,8,10
2021-11-24,,78,37,8,5,10
2021-11-24,71,59,10,1,5,9
2021-11-25,,83,38,8,6,10
2021-11-25,68,52,8,1,5,9
2021-11-26,,104,32,7,7,9
2021-11-26,79,,9,2,4,8
2021-11-27,,96,25,7,9,8
2021-11-27,,58,,,,
2021-11-28,,86,28,7,4,7
2021-11-28,83,53,12,1,8,9
2021-11-29,,86,35,7,5,8
2021-11-29,101,44,9,1,7,9
2021-11-30,,68,40,7,13,8
2021-11-30,95,44,5,1,6,10
2021-12-01,,63,41,7,15,10
2021-12-01,81,51,6,2,10,12
2021-12-02,,64,42,7,12,11
2021-12-02,62,49,5,2,10,10
2021-12-03,,63,46,7,6,11
2021-12-03,84,45,5,2,10,11
2021-12-04,,62,47,8,11,10
2021-12-04,63,46,10,1,5,9
2021-12-05,,62,33,8,10,10
2021-12-05,80,,7,1,8,11
2021-12-06,,53,25,8,14,9
2021-12-06,,38,,,10,
2021-12-07,,55,23,8,7,8
2021-12-07,82,42,7,1,,11
2021-12-08,,61,33,8,5,9
2021-12-08,43,46,5,1,6,10
2021-12-09,,56,27,7,8,8
2021-12-09,55,46,3,1,5,9
2021-12-10,,47,12,7,11,10
2021-12-10,58,44,4,1,7,9
2021-12-11,,47,17,8,10,7
2021-12-11,73,141,3,1,6,10
2021-12-12,,52,2,8,4,7
2021-12-12,70,519,4,1,5,10
2021-12-13,,36,3,7,5,6
2021-12-13,63,233,6,1,7,9
2021-12-14,,40,7,7,12,10
2021-12-14,73,58,5,1,7,10
2021-12-15,,53,9,8,13,7
2021-12-15,88,57,3,1,8,10
2021-12-16,,63,15,7,18,9
2021-12-16,106,52,5,1,6,10
2021-12-17,,65,24,7,9,9
2021-12-17,79,44,6,1,9,9
2021-12-18,,63,26,7,14,9
2021-12-18,81,38,6,1,9,10
2021-12-19,,68,28,7,2,9
2021-12-19,78,39,4,2,6,10
2021-12-20,,65,32,7,5,7
2021-12-20,67,40,4,1,6,9
