time,pm25,pm10,O3,NO2,SO2,CO
2021-03-30,,,,7,4,11
2021-03-31,,123,,7,3,16
2021-04-01,,106,,7,3,20
2021-04-02,,101,,7,4,16
2021-04-03,,42,,7,4,15
2021-04-04,,55,,7,1,
2021-04-05,,61,,8,1,
2021-04-06,,61,,7,2,
2021-04-07,,77,,7,2,
2021-04-08,,76,,6,3,6
2021-04-09,,74,,6,2,
2021-04-10,,68,,6,2,
2021-04-11,,79,,6,3,7
2021-04-12,,77,,6,3,5
2021-04-13,,66,,6,3,
2021-04-14,,71,,6,2,
2021-04-15,,72,,6,3,
2021-04-16,,86,,6,2,
2021-04-17,,83,,6,3,
2021-04-18,,77,,7,3,
2021-04-19,,82,,7,2,
2021-04-20,,83,,7,2,
2021-04-21,,75,,7,3,
2021-04-22,,71,,7,3,
2021-04-23,,77,,7,2,9
2021-04-24,,82,,7,2,11
2021-04-25,,86,,7,3,10
2021-04-26,,84,,7,3,10
2021-04-27,,79,,7,3,9
2021-04-28,,127,,7,3,11
2021-04-29,,134,,7,3,18
2021-04-30,,117,,7,2,
2021-05-01,,89,,7,2,11
2021-05-02,,34,,7,4,
2021-05-03,,30,,7,3,
2021-05-04,,,,7,3,
2021-05-05,,31,,7,3,
2021-05-06,,32,,11,3,12
2021-05-07,,96,,14,4,11
2021-05-08,,107,,14,4,13
2021-05-09,,109,,14,5,
2021-05-10,,104,,15,5,
2021-05-11,,103,,14,4,
2021-05-12,,110,,10,2,
2021-05-13,,40,,12,4,
2021-05-14,,49,,12,3,
2021-05-15,,53,,12,3,9
2021-05-16,,50,,12,3,11
2021-05-17,,18,,12,4,
2021-05-18,,,,12,3,
2021-05-19,,20,,11,3,
2021-05-20,,43,,12,3,
2021-05-21,,66,,12,3,15
2021-05-22,,53,,12,2,
2021-05-23,,99,,12,3,
2021-05-24,,61,,,,23
2021-05-25,,,,11,4,
2021-05-26,,,,11,3,
2021-05-27,,,,11,3,
2021-05-28,,,,11,3,
2021-05-29,,,,12,3,
2021-05-30,,58,,13,4,
2021-05-31,,58,,16,3,4
2021-06-01,,,,14,3,5
2021-06-02,,,,,,33
2021-06-03,,,,,,40
2021-06-15,,,,10,3,
2021-06-16,,71,,10,3,
2021-06-17,,69,,9,4,31
2021-06-18,,67,,9,4,10
2021-06-19,,67,,9,4,20
2021-06-20,,67,,10,3,19
2021-06-21,,68,,10,4,
2021-06-22,,68,,16,4,
2021-06-23,,66,,9,3,
2021-06-24,,62,,9,4,
2021-06-25,,63,,9,4,12
2021-06-26,,64,,10,3,9
2021-06-27,,64,,,,12
2021-06-28,,,,,,9
2021-06-29,,,,,,2
2021-09-30,,,,9,2,12
2021-10-01,,44,,9,3,10
2021-10-02,,40,,10,2,11
2021-10-03,,48,,8,2,13
2021-10-04,,20,,9,2,9
2021-10-05,,23,,10,3,12
2021-10-06,,43,,9,2,9
2021-10-07,,49,,9,3,12
2021-10-08,,52,,10,3,11
2021-10-09,,64,,10,3,14
2021-10-10,,53,,10,3,13
2021-10-11,,52,,9,3,13
2021-10-12,,60,,9,2,12
2021-10-13,,49,,9,2,12
2021-10-14,,34,,28,3,9
2021-10-15,,35,,47,2,12
2021-10-16,,38,,107,3,12
2021-10-17,,35,,,3,14
2021-10-18,,26,,114,3,7
2021-10-19,,36,,0,1,8
2021-10-20,,50,,,2,11
2021-10-21,,49,,10,2,9
2021-10-22,,30,,2,2,14
2021-10-23,,45,,2,3,33
2021-10-24,,51,,3,3,29
2021-10-25,,7,,3,3,11
2021-10-26,,38,,8,2,10
2021-10-27,,51,,3,3,25
2021-10-28,,53,,4,3,15
2021-10-29,,49,,7,3,7
2021-10-30,,39,,7,3,15
2021-10-31,,34,,,,
2021-11-01,,,,7,3,12
2021-11-02,,,,7,3,9
2021-11-03,,9,,7,2,14
2021-11-04,,,,7,3,20
2021-11-05,,41,,6,2,13
2021-11-06,,50,,6,4,18
2021-11-07,,58,,,,
2021-11-08,,,,6,3,12
2021-11-09,,52,,6,1,6
2021-11-10,,56,,5,3,6
2021-11-11,,51,,6,2,20
2021-11-12,,39,,6,3,9
2021-11-13,,46,,8,2,9
2021-11-14,,54,,8,2,8
2021-11-15,,54,,8,3,11
2021-11-16,,53,,8,3,9
