time,pm25,pm10,O3,NO2,SO2,CO
2022-09-29,,55,8,9,3,4
2022-09-30,78,58,13,6,3,4
2022-10-01,88,55,6,8,4,5
2022-10-02,83,58,7,6,4,4
2022-10-03,80,55,9,4,3,3
2022-10-04,85,43,7,5,4,3
2022-10-05,73,43,6,5,4,3
2022-10-06,75,53,7,6,4,4
2022-10-07,88,82,5,6,4,6
2022-10-08,127,83,6,7,4,6
2022-10-09,136,130,6,11,4,8
2022-10-10,173,101,12,12,4,9
2022-10-11,159,100,14,17,4,8
2022-10-12,160,103,14,12,4,7
2022-10-13,162,,,,,
2023-06-29,,44,9,10,8,6
2023-06-30,67,44,8,13,8,6
2023-07-01,72,46,10,11,8,6
2023-07-02,64,39,10,9,8,4
2023-07-03,49,48,11,9,8,5
2023-07-04,61,54,12,11,8,6
2023-07-05,66,58,14,16,8,8
2023-07-06,74,66,16,15,8,8
2023-07-07,81,68,15,13,8,7
2023-07-08,79,70,17,10,8,6
2023-07-09,73,78,24,15,9,7
2023-07-10,75,78,21,19,9,8
2023-07-11,83,84,30,31,11,11
2023-07-12,86,73,30,24,10,9
2023-07-13,77,89,21,25,11,11
2023-07-14,97,80,19,21,10,9
2023-07-15,94,95,12,17,9,7
2023-07-16,83,74,10,15,9,6
2023-07-17,74,38,10,11,8,5
2023-07-18,54,47,12,15,8,6
2023-07-19,65,67,11,12,8,7
2023-07-20,68,56,9,11,8,6
2023-07-21,63,54,13,12,8,7
2023-07-22,78,62,15,15,9,9
2023-07-23,76,68,22,15,9,9
2023-07-24,79,53,12,13,8,7
2023-07-25,61,65,16,13,8,9
2023-07-26,76,37,6,11,8,6
2023-07-27,65,28,7,9,8,5
2023-07-28,56,25,5,7,8,5
2023-07-29,50,19,5,9,8,5
2023-07-30,39,22,8,8,8,5
2023-07-31,45,45,16,9,8,7
2023-08-01,76,56,11,8,8,7
2023-08-02,79,58,13,14,9,7
2023-08-03,76,48,16,17,9,7
2023-08-04,69,45,15,11,9,5
2023-08-05,59,53,19,18,9,7
2023-08-06,69,58,31,27,9,10
2023-08-07,76,78,35,35,10,14
2023-08-08,98,67,37,27,11,12
