time,pm25,pm10,O3,NO2,SO2,CO
2023-03-28,,,,3,16,8
2023-03-29,132,98,7,14,15,8
2023-03-30,138,128,6,18,15,8
2023-03-31,163,120,6,19,16,7
2023-04-01,169,133,6,20,15,7
2023-04-02,166,101,7,21,15,7
2023-04-03,165,57,6,14,15,8
2023-04-04,151,43,7,18,15,8
2023-04-05,96,38,7,18,16,7
2023-04-06,80,32,6,21,15,8
2023-04-07,69,31,6,17,9,8
2023-04-08,66,32,7,20,9,8
2023-04-09,65,26,7,20,9,8
2023-04-10,69,28,7,17,9,8
2023-04-11,72,28,8,17,9,8
2023-04-12,62,69,7,17,9,7
2023-04-13,84,123,7,19,9,8
2023-04-14,103,116,6,17,9,8
2023-04-15,96,113,7,17,9,8
2023-04-16,82,118,7,20,9,8
2023-04-17,86,102,7,13,9,8
2023-04-18,83,110,7,16,9,8
2023-04-19,97,119,7,19,9,8
2023-04-20,95,92,7,13,9,8
2023-04-21,94,107,7,16,9,8
2023-04-22,94,108,7,16,8,8
2023-04-23,89,119,6,16,9,8
2023-04-24,98,117,6,16,8,8
2023-04-25,95,109,6,15,8,8
2023-04-26,86,102,6,10,8,8
2023-04-27,86,90,6,13,8,8
2023-04-28,77,100,6,16,8,8
2023-04-29,79,94,6,16,8,8
2023-04-30,85,101,6,14,8,8
2023-05-01,85,92,6,9,8,8
2023-05-02,81,89,7,13,8,8
2023-05-03,87,103,7,15,8,8
2023-05-04,95,62,7,15,9,8
2023-05-05,67,58,8,8,8,8
2023-05-06,64,59,7,11,8,8
2023-05-07,86,58,7,8,9,8
2023-05-08,108,47,7,5,8,8
2023-05-09,89,47,7,5,9,8
2023-05-10,76,49,7,6,8,8
2023-05-11,85,41,7,6,8,8
2023-05-12,69,45,7,7,8,8
2023-05-13,67,47,7,8,9,8
2023-05-14,71,55,7,16,9,8
2023-05-15,86,50,7,8,8,8
2023-05-16,80,55,7,10,9,8
2023-05-17,85,58,7,10,9,8
2023-05-18,94,60,8,9,9,8
2023-05-19,86,51,7,7,9,8
2023-05-20,77,44,7,4,9,8
2023-05-21,73,,,,,
2023-06-29,,49,7,13,9,8
2023-06-30,113,56,7,10,9,8
2023-07-01,91,55,8,9,9,8
2023-07-02,90,44,7,10,9,8
2023-07-03,86,48,8,12,9,8
2023-07-04,92,38,8,9,9,8
2023-07-05,88,52,8,10,9,8
2023-07-06,99,48,8,9,10,8
2023-07-07,89,45,7,10,9,8
2023-07-08,95,57,8,13,9,8
2023-07-09,99,47,8,10,9,8
2023-07-10,85,45,8,14,9,8
2023-07-11,93,43,8,7,9,8
2023-07-12,84,46,8,8,9,8
2023-07-13,83,54,8,8,9,8
2023-07-14,93,47,8,8,9,8
2023-07-15,88,53,8,6,9,8
2023-07-16,87,44,8,7,9,8
2023-07-17,84,32,8,7,9,8
2023-07-18,63,27,8,6,9,8
