time,pm25,pm10,O3,NO2,SO2,CO
2023-03-28,,276,3,24,6,40
2023-03-29,199,120,30,17,3,17
2023-03-30,133,85,28,12,5,8
2023-03-31,95,104,32,18,4,16
2023-04-01,114,144,37,20,4,17
2023-04-02,141,105,31,14,2,13
2023-04-03,113,79,30,9,5,10
2023-04-04,94,109,30,15,3,12
2023-04-05,116,91,35,14,5,12
2023-04-06,100,105,35,15,4,11
2023-04-07,122,,,,,
2023-04-08,,97,27,18,4,18
2023-04-09,100,95,37,17,4,11
2023-04-10,123,112,36,19,5,18
2023-04-11,146,122,44,19,5,16
2023-04-12,152,107,42,18,3,17
2023-04-13,128,87,41,15,5,11
2023-04-14,106,87,36,11,4,11
2023-04-15,102,100,35,17,6,13
2023-04-16,117,110,34,18,7,16
2023-04-17,115,110,39,19,7,15
2023-04-18,131,109,39,19,7,15
2023-04-19,139,97,36,20,6,12
2023-04-20,128,117,38,21,8,18
2023-04-21,139,121,38,22,7,16
2023-04-22,160,118,37,21,7,15
2023-04-23,160,118,37,20,7,19
2023-04-24,150,106,30,18,8,10
2023-04-25,134,83,34,13,7,15
2023-04-26,115,73,43,10,6,9
2023-04-27,116,48,31,11,7,14
2023-04-28,82,129,34,10,4,19
2023-04-29,174,41,35,9,7,13
2023-04-30,67,62,34,12,6,14
2023-05-01,87,67,35,15,7,14
2023-05-02,95,84,43,17,6,14
2023-05-03,117,88,40,20,7,16
2023-05-04,122,80,41,14,6,10
2023-05-05,119,75,41,13,9,9
2023-05-06,118,61,38,9,8,10
2023-05-07,100,50,37,8,6,9
2023-05-08,83,37,36,6,6,8
2023-05-09,69,28,31,6,5,8
2023-05-10,50,31,31,8,6,9
2023-05-11,52,65,32,11,6,11
2023-05-12,90,65,34,13,7,13
2023-05-13,90,85,34,15,7,12
2023-05-14,121,65,34,8,7,9
2023-05-15,89,63,37,5,7,8
2023-05-16,77,66,40,5,7,8
2023-05-17,77,78,48,6,7,9
2023-05-18,79,96,42,16,8,14
2023-05-19,103,104,49,16,7,10
2023-05-20,125,88,50,6,8,9
2023-05-21,99,70,42,5,8,8
2023-05-22,81,,,,,
2023-06-29,,68,41,7,8,7
2023-06-30,93,73,36,7,8,8
2023-07-01,83,73,36,9,8,8
2023-07-02,77,75,33,10,7,10
2023-07-03,87,89,44,13,8,9
2023-07-04,113,64,41,9,7,9
2023-07-05,88,69,39,12,8,12
2023-07-06,113,110,45,21,7,14
2023-07-07,155,103,41,26,7,16
2023-07-08,123,101,50,20,7,8
2023-07-09,140,61,37,8,6,9
2023-07-10,81,74,34,10,7,8
2023-07-11,99,79,42,14,8,10
2023-07-12,115,63,46,11,6,9
2023-07-13,92,68,43,10,7,4
2023-07-14,104,72,44,14,8,11
2023-07-15,106,71,41,7,10,8
2023-07-16,111,75,31,11,7,11
2023-07-17,101,60,34,7,8,8
2023-07-18,76,75,47,11,8,11
2023-07-19,105,68,45,6,9,9
2023-07-20,82,71,46,11,7,11
2023-07-21,103,76,46,14,9,13
2023-07-22,107,70,37,9,9,10
2023-07-23,114,34,35,8,6,8
2023-07-24,61,33,32,8,7,8
2023-07-25,64,60,27,8,23,10
2023-07-26,80,63,21,8,28,8
2023-07-27,84,,30,9,28,9
2023-07-28,90,,33,12,28,6
2023-07-29,113,,24,8,26,5
2023-07-30,86,,33,8,23,5
2023-07-31,97,,36,11,23,11
2023-08-01,131,,41,10,25,7
2023-08-02,118,,43,6,25,8
2023-08-03,108,74,40,18,25,13
2023-08-04,130,65,43,11,25,7
2023-08-05,119,71,26,16,25,12
2023-08-06,126,82,28,22,19,14
2023-08-07,134,77,26,21,9,13
2023-08-08,132,67,27,18,9,10
2023-08-09,116,59,26,9,8,7
2023-08-10,103,47,22,7,9,7
2023-08-11,84,51,22,5,8,7
2023-08-12,88,48,20,7,8,8
2023-08-13,87,50,21,8,10,9
2023-08-14,88,52,23,5,10,7
2023-08-15,91,,,,,
2023-08-17,,45,26,6,10,8
2023-08-18,81,50,27,4,10,7
2023-08-19,87,48,23,5,10,8
2023-08-20,84,46,21,5,9,7
2023-08-21,82,43,21,5,10,7
2023-08-22,79,53,18,6,10,8
2023-08-23,93,52,20,6,10,6
2023-08-24,91,44,27,8,11,8
2023-08-25,82,53,9,12,10,9
2023-08-26,93,,,,,
2023-09-01,,56,25,7,10,4
2023-09-02,102,86,28,11,10,8
2023-09-03,101,64,25,8,10,2
2023-09-04,88,52,28,7,11,5
2023-09-05,59,56,24,6,11,3
2023-09-06,57,42,23,5,13,4
2023-09-07,36,49,22,5,12,4
2023-09-08,50,56,22,6,15,4
2023-09-09,59,61,17,5,12,4
2023-09-10,53,59,17,5,9,4
2023-09-11,50,65,16,5,10,4
2023-09-12,59,63,17,4,21,4
2023-09-13,51,80,19,5,17,4
2023-09-14,68,76,17,5,18,4
2023-09-15,66,74,18,5,16,5
2023-09-16,59,77,18,6,16,4
2023-09-17,65,110,17,7,17,5
2023-09-18,76,133,14,7,15,4
2023-09-19,72,37,14,5,16,8
2023-09-20,62,77,20,6,17,5
2023-09-21,70,171,14,6,17,5
2023-09-22,66,150,13,5,19,4
2023-09-23,58,69,15,5,21,5
2023-09-24,64,58,16,4,16,4
2023-09-25,58,45,16,4,18,4
2023-09-26,40,52,16,4,20,4
2023-09-27,46,47,16,4,16,4
2023-09-28,,52,16,4,20,4
2023-09-28,35,,,,,
2023-09-29,46,47,16,4,16,4
2023-09-30,35,68,17,6,18,6
2023-10-01,60,71,22,7,18,5
2023-10-02,69,60,15,7,16,5
2023-10-03,57,56,18,7,17,4
2023-10-04,54,44,12,7,18,5
2023-10-05,41,45,15,5,16,4
2023-10-06,36,50,11,4,16,4
2023-10-07,40,49,15,3,12,8
2023-10-08,33,49,25,3,7,9
2023-10-09,47,83,19,6,7,7
2023-10-10,79,66,18,5,6,7
2023-10-11,84,61,16,4,8,6
2023-10-12,70,77,15,4,14,4
2023-10-13,77,61,15,4,12,4
2023-10-14,69,60,16,4,8,4
2023-10-15,62,151,15,6,7,6
2023-10-16,65,94,16,7,8,6
2023-10-17,67,233,17,9,9,7
2023-10-18,135,73,20,7,7,4
2023-10-19,103,57,14,9,8,6
2023-10-20,89,62,13,7,8,6
2023-10-21,112,50,13,7,8,5
2023-10-22,78,37,12,5,14,3
2023-10-23,64,50,16,5,10,3
2023-10-24,78,55,14,3,0,2
2023-10-25,88,42,13,2,0,1
2023-10-26,70,48,10,2,0,1
2023-10-27,76,31,9,2,1,1
2023-10-28,53,37,11,2,2,1
2023-10-29,45,39,10,2,3,1
2023-10-30,50,30,9,2,6,1
2023-10-31,59,37,10,2,6,1
2023-11-01,67,40,8,2,5,1
2023-11-02,71,42,9,2,7,1
2023-11-03,73,44,10,2,7,1
2023-11-04,77,49,10,2,7,1
2023-11-05,83,44,10,2,5,1
2023-11-06,75,74,9,2,5,1
2023-11-07,79,62,10,2,4,1
2023-11-08,75,56,10,2,5,1
2023-11-09,73,71,10,2,4,1
2023-11-10,77,45,8,2,3,1
2023-11-11,77,42,8,2,4,1
2023-11-12,73,50,8,2,4,1
2023-11-13,86,51,11,2,4,1
2023-11-14,89,64,11,3,5,1
2023-11-15,108,62,10,3,4,1
2023-11-16,109,64,11,2,4,1
2023-11-17,109,53,11,2,5,1
2023-11-18,87,38,9,2,6,1
2023-11-19,67,47,11,2,7,1
2023-11-20,74,55,9,2,7,1
2023-11-21,74,45,10,2,6,1
2023-11-22,62,70,11,3,5,1
2023-11-23,94,72,12,3,5,1
2023-11-24,91,65,13,3,6,1
2023-11-25,80,95,13,3,4,1
2023-11-26,127,77,14,3,2,1
2023-11-27,97,80,15,4,3,2
2023-11-28,102,85,16,7,2,5
2023-11-29,108,81,16,6,3,4
2023-11-30,103,75,17,5,3,3
2023-12-01,95,75,17,5,1,2
2023-12-02,95,69,15,4,1,1
2023-12-03,86,59,17,5,2,1
2023-12-04,73,32,13,6,1,4
2023-12-05,39,48,12,6,11,6
2023-12-06,59,342,11,7,10,9
2023-12-07,266,35,10,7,14,16
2023-12-08,69,19,14,3,15,4
2023-12-09,51,46,13,3,15,6
2023-12-10,89,47,13,3,12,9
2023-12-11,84,28,12,3,11,4
2023-12-12,58,41,11,3,7,6
2023-12-13,81,43,13,4,1,8
2023-12-14,81,19,11,3,1,3
2023-12-15,40,28,10,2,0,3
2023-12-16,58,40,9,4,4,7
2023-12-17,75,47,10,5,3,4
2023-12-18,84,33,8,5,2,9
