time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,112,65,13,8,11,3
2021-01-01,113,62,11,6,9,3
2021-01-02,109,76,18,9,11,3
2021-01-02,112,65,13,8,11,3
2021-01-03,128,59,18,8,14,3
2021-01-03,109,76,18,9,11,3
2021-01-04,102,63,19,7,9,3
2021-01-04,128,59,18,8,14,3
2021-01-05,100,64,18,7,12,3
2021-01-05,102,,,,,
2021-01-06,122,51,7,11,4,3
2021-01-07,109,41,6,13,9,3
2021-01-08,102,35,19,12,4,3
2021-01-09,75,54,8,8,14,3
2021-01-10,114,34,7,6,12,3
2021-01-11,86,49,6,6,17,3
2021-01-12,100,47,14,4,4,3
2021-01-13,77,26,7,3,11,3
2021-01-14,46,16,10,2,2,3
2021-01-15,26,24,10,,5,3
2021-01-16,54,23,8,8,3,3
2021-01-17,47,49,9,7,5,3
2021-01-18,75,56,10,8,12,3
2021-01-19,86,84,21,9,13,3
2021-01-20,119,75,22,10,12,3
2021-01-21,114,65,22,9,9,3
2021-01-22,100,67,27,10,11,3
2021-01-23,87,72,36,10,11,3
2021-01-24,108,60,23,6,10,2
2021-01-25,99,69,27,7,12,2
2021-01-26,66,68,27,7,13,3
2021-01-27,53,71,35,6,14,2
2021-01-28,55,76,24,8,17,3
2021-01-29,80,72,25,8,9,3
2021-01-30,119,70,30,8,9,2
2021-01-31,143,81,38,9,10,2
2021-02-01,133,76,34,9,13,3
2021-02-02,141,74,32,8,9,2
2021-02-03,139,72,33,11,11,2
2021-02-04,136,84,31,12,13,2
2021-02-05,143,88,29,12,23,2
2021-02-06,140,94,30,11,17,2
2021-02-07,146,99,30,11,17,3
2021-02-08,156,118,31,13,20,3
2021-02-09,169,111,31,7,27,3
2021-02-10,165,87,20,6,24,2
2021-02-11,142,74,13,6,9,2
2021-02-12,147,51,8,6,11,2
2021-02-13,80,55,16,7,7,4
2021-02-14,89,65,22,5,4,4
2021-02-15,122,57,15,5,3,6
2021-02-16,101,59,13,8,16,5
2021-02-17,112,54,25,4,3,4
2021-02-18,95,61,24,3,1,4
2021-02-19,78,50,17,4,2,4
2021-02-20,90,63,23,6,6,5
2021-02-21,114,78,28,10,15,5
2021-02-22,148,85,29,11,13,6
2021-02-23,147,88,31,10,10,6
2021-02-24,156,86,27,10,19,5
2021-02-25,155,87,22,7,20,5
2021-02-26,157,67,13,11,32,4
2021-02-27,112,57,17,8,22,4
2021-02-28,89,67,18,9,18,6
2021-03-01,117,77,19,12,22,6
2021-03-02,121,82,25,11,16,6
2021-03-03,138,91,26,11,15,6
2021-03-04,153,90,24,12,18,6
2021-03-05,150,95,26,13,17,8
2021-03-06,143,105,26,14,18,8
2021-03-07,159,98,23,14,24,6
2021-03-08,145,106,26,13,18,8
2021-03-09,161,102,26,11,12,9
2021-03-10,159,97,27,10,11,7
2021-03-11,154,97,28,11,8,8
2021-03-12,142,113,27,9,7,7
2021-03-13,153,104,22,13,16,9
2021-03-14,160,99,27,10,20,6
2021-03-15,158,87,24,6,8,6
2021-03-16,156,97,27,7,7,8
2021-03-17,160,92,13,7,4,8
2021-03-18,161,,,,,
2021-03-19,,106,18,12,25,7
2021-03-20,167,95,19,9,21,5
2021-03-21,147,86,20,11,25,6
2021-03-22,133,97,14,15,32,6
2021-03-23,134,114,14,17,37,8
2021-03-24,148,105,24,14,24,8
2021-03-25,154,130,23,16,26,7
2021-03-26,155,110,31,15,29,8
2021-03-27,157,114,28,17,31,8
2021-03-28,191,128,31,16,23,9
2021-03-29,176,109,30,13,17,8
2021-03-30,164,103,27,9,8,7
2021-03-31,159,89,26,10,5,8
2021-04-01,156,108,28,12,7,9
2021-04-02,163,109,27,12,5,9
2021-04-03,167,106,27,10,9,7
2021-04-04,167,112,27,10,7,8
2021-04-05,169,,,,,
2021-07-01,,139,44,7,5,5
2021-07-02,173,141,59,10,5,7
2021-07-03,178,144,66,16,5,12
2021-07-04,196,118,39,14,5,11
2021-07-05,167,91,42,13,5,9
2021-07-06,154,86,41,9,5,8
2021-07-07,140,74,38,6,5,7
2021-07-08,119,101,39,5,5,5
2021-07-09,153,95,35,5,5,5
2021-07-10,145,79,34,6,5,5
2021-07-11,124,52,28,7,6,6
2021-07-12,105,82,37,12,7,5
2021-07-13,142,72,35,8,7,5
2021-07-14,123,64,38,6,7,4
2021-07-15,103,61,37,7,7,4
2021-07-16,93,82,49,11,7,6
2021-07-17,134,87,40,9,7,6
2021-07-18,135,196,39,12,7,7
2021-07-19,183,90,40,7,7,5
2021-07-20,133,110,38,5,7,4
2021-07-21,137,237,35,3,6,4
2021-07-22,103,69,35,5,7,4
2021-07-23,106,102,35,7,7,6
2021-07-24,152,86,39,7,6,6
2021-07-25,126,98,40,7,7,5
2021-07-26,2,109,38,5,7,4
2021-07-27,63,64,41,5,7,4
2021-07-28,117,82,39,8,7,5
2021-07-29,143,103,41,8,7,6
2021-07-30,162,65,41,5,7,4
2021-07-31,124,75,42,5,7,5
2021-08-01,144,66,39,4,6,4
2021-08-02,113,51,36,4,7,3
2021-08-03,114,52,31,7,8,4
2021-08-04,82,47,26,4,8,3
2021-08-05,81,45,25,4,8,3
2021-08-06,71,44,23,3,8,3
2021-08-07,63,46,25,4,4,2
2021-08-08,86,52,21,5,2,4
2021-08-09,90,45,22,5,2,3
2021-08-10,76,57,31,5,5,3
2021-08-11,80,45,30,5,4,3
2021-08-12,71,60,32,5,8,3
2021-08-13,95,47,32,4,4,3
2021-08-14,85,31,16,3,1,2
2021-08-15,44,30,12,4,1,3
2021-08-16,38,27,17,3,0,2
2021-08-17,47,34,17,5,0,3
2021-08-18,66,40,20,4,3,3
2021-08-19,62,50,21,4,3,3
2021-08-20,63,69,38,5,11,4
2021-08-21,98,78,38,7,27,4
2021-08-22,118,87,29,9,34,4
2021-08-23,121,100,33,8,21,4
2021-08-24,129,113,31,9,13,5
2021-08-25,143,130,29,10,25,4
2021-08-26,141,82,28,5,9,3
2021-08-27,108,66,31,3,5,3
2021-08-28,101,71,30,6,17,3
2021-08-29,271,56,31,5,10,3
2021-08-30,84,46,18,3,6,3
2021-08-31,106,61,24,2,6,4
2021-09-01,101,41,21,3,1,4
2021-09-02,74,53,23,5,2,4
2021-09-03,85,30,16,3,1,3
2021-09-04,48,33,18,3,0,3
2021-09-05,56,51,21,4,0,4
2021-09-06,76,42,17,3,0,3
2021-09-07,57,47,18,3,0,3
2021-09-08,62,27,20,2,0,4
2021-09-09,38,29,8,2,0,4
2021-09-10,40,21,12,2,0,3
2021-09-11,27,23,11,2,0,4
2021-09-12,38,28,16,1,0,3
2021-09-13,41,35,11,1,0,3
2021-09-14,46,29,11,2,0,2
2021-09-15,49,23,10,2,0,2
2021-09-16,37,26,10,1,0,2
2021-09-17,41,37,9,2,0,2
2021-09-18,51,40,9,1,0,2
2021-09-19,50,46,10,1,0,2
2021-09-20,57,82,12,1,0,3
2021-09-21,119,82,13,1,1,2
2021-09-22,112,65,7,1,0,3
2021-09-23,85,56,10,1,0,3
2021-09-24,77,39,11,1,0,2
2021-09-25,55,50,14,1,0,3
2021-09-26,66,49,12,1,1,4
2021-09-27,78,32,16,1,0,3
2021-09-28,55,32,19,1,4,4
2021-09-29,59,34,11,1,0,1
2021-09-30,,12,6,1,0,1
2021-09-30,58,12,6,1,0,1
