time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,60,22,3,2,1,5
2021-01-02,39,26,3,2,1,6
2021-01-03,27,26,3,2,1,6
2021-01-04,27,24,3,2,0,6
2021-01-05,31,,,,,
2021-01-06,31,,,,,
2021-04-01,,64,9,3,0,8
2021-04-02,111,67,10,3,0,10
2021-04-03,104,72,7,3,0,7
2021-04-04,88,47,7,2,0,8
2021-04-05,88,55,8,2,0,8
2021-04-06,88,57,6,2,0,8
2021-04-07,117,63,6,2,0,8
2021-04-08,136,61,6,2,1,8
2021-04-09,136,45,7,2,0,8
2021-04-10,136,52,4,2,0,7
2021-04-11,134,61,6,2,0,7
2021-04-12,135,66,6,2,0,8
2021-04-13,137,68,8,2,1,8
2021-04-14,136,59,7,2,0,8
2021-04-15,136,77,10,2,1,8
2021-04-16,97,96,14,2,1,8
2021-04-17,104,100,14,2,1,8
2021-04-18,118,128,9,2,1,8
2021-04-19,99,98,9,2,1,8
2021-04-20,92,73,5,2,1,8
2021-04-21,78,34,10,4,0,8
2021-04-22,74,38,14,4,0,8
2021-04-23,61,38,16,4,0,7
2021-04-24,49,40,18,4,1,8
2021-04-25,44,40,18,4,0,7
2021-04-26,47,48,18,4,1,8
2021-04-27,50,52,14,4,1,7
2021-04-28,50,50,13,4,1,8
2021-04-29,48,40,13,4,1,8
2021-04-30,49,32,11,3,0,5
2021-05-01,36,,,,,
2021-05-03,,25,,,,
2021-05-04,,47,,,,
2021-05-05,,43,19,4,2,8
2021-05-06,86,49,19,4,1,8
2021-05-07,88,56,25,4,0,8
2021-05-08,88,58,19,4,1,7
2021-05-09,88,60,22,4,1,8
2021-05-10,88,58,22,4,0,8
2021-05-11,88,62,21,4,1,8
2021-05-12,88,61,21,4,1,8
2021-05-13,88,58,17,4,1,8
2021-05-14,88,60,15,3,0,7
2021-05-15,86,65,12,4,2,8
2021-05-16,88,45,14,4,2,8
2021-05-17,107,34,7,4,0,7
2021-05-18,101,29,10,4,2,7
2021-05-19,93,20,11,4,3,7
2021-05-20,91,20,11,4,0,6
2021-05-21,86,29,14,4,2,7
2021-05-22,93,29,17,4,3,8
2021-05-23,92,31,14,4,5,8
2021-05-24,93,29,16,4,2,8
2021-05-25,93,41,12,4,2,7
2021-05-26,92,34,9,4,5,8
2021-05-27,92,26,11,4,3,8
2021-05-28,91,30,9,4,1,7
2021-05-29,77,43,14,4,3,8
2021-05-30,78,27,18,4,15,8
2021-05-31,78,32,17,4,8,8
2021-06-01,78,35,19,4,2,8
2021-06-02,78,33,17,4,1,8
2021-06-03,78,31,15,4,3,8
2021-06-04,78,25,15,4,9,8
2021-06-05,78,32,13,4,19,8
2021-06-06,78,27,10,4,21,7
2021-06-07,77,51,11,4,13,7
2021-06-08,76,36,18,4,7,8
2021-06-09,78,19,18,4,3,8
2021-06-10,78,34,16,4,9,8
2021-06-11,78,51,20,4,15,7
2021-06-12,77,55,19,4,2,7
2021-06-13,76,57,40,4,7,8
2021-06-14,78,54,29,4,11,8
2021-06-15,78,47,48,4,2,7
2021-06-16,77,51,35,4,9,8
2021-06-17,78,46,36,4,10,7
2021-06-18,77,52,35,4,3,7
2021-06-19,78,53,24,4,6,8
2021-06-20,78,49,37,4,15,8
2021-06-21,78,51,79,4,2,8
2021-06-22,78,54,36,4,5,8
2021-06-23,77,47,33,4,8,8
2021-06-24,78,41,32,4,7,8
2021-06-25,,45,21,4,4,8
2021-06-25,78,39,32,4,6,8
2021-06-26,78,51,21,4,2,8
2021-06-26,78,40,30,4,1,8
2021-06-27,78,60,20,4,3,8
2021-06-27,78,45,25,4,1,8
2021-06-28,78,38,20,4,4,8
2021-06-28,78,51,21,4,4,8
2021-06-29,78,36,20,4,3,8
2021-06-29,78,60,21,4,2,8
2021-06-30,78,38,20,5,3,8
2021-06-30,78,38,20,4,3,8
2021-07-01,78,39,20,5,5,8
2021-07-01,78,,20,4,4,8
2021-07-02,78,34,20,5,4,8
2021-07-02,78,,,,,
2021-07-03,78,39,18,5,3,8
2021-07-04,72,38,18,6,3,8
2021-07-05,67,34,18,6,6,8
2021-07-06,67,29,18,6,4,8
2021-07-07,67,32,18,5,3,7
2021-07-08,66,37,18,6,3,8
2021-07-09,67,30,18,5,3,7
2021-07-10,66,33,18,5,2,7
2021-07-11,66,34,18,6,2,8
2021-07-12,67,35,18,6,3,8
2021-07-13,67,32,18,6,2,8
2021-07-14,67,33,18,6,3,8
2021-07-15,67,37,18,6,5,8
2021-07-16,67,32,18,6,4,8
2021-07-17,67,37,18,6,3,8
2021-07-18,67,37,18,6,2,8
2021-07-19,67,35,18,6,2,8
2021-07-20,67,33,18,6,4,8
2021-07-21,67,33,18,6,3,8
2021-07-22,67,35,18,6,2,8
2021-07-23,67,36,18,6,1,8
2021-07-24,67,38,18,6,4,7
2021-07-25,67,36,18,6,5,8
2021-07-26,67,32,18,6,3,8
2021-07-27,67,29,18,6,3,7
2021-07-28,67,31,18,6,4,8
2021-07-29,67,35,18,6,4,8
2021-07-30,67,31,18,6,3,8
2021-07-31,67,30,18,6,2,8
2021-08-01,67,35,18,6,4,8
2021-08-02,67,27,18,6,2,7
2021-08-03,67,24,18,5,4,8
2021-08-04,67,24,18,5,3,8
2021-08-05,67,24,18,5,3,7
2021-08-06,67,25,18,5,4,8
