time,pm25,pm10,O3,NO2,SO2,CO
2021-12-30,,33,3,7,0,2
2021-12-31,93,40,3,7,0,2
2022-01-01,99,37,6,7,0,2
2022-01-02,89,70,2,7,0,2
2022-01-03,129,33,3,6,0,2
2022-01-04,91,27,2,6,0,2
2022-01-05,79,,,,,
2022-03-31,,43,9,6,0,3
2022-04-01,112,47,9,7,0,2
2022-04-02,121,145,5,6,1,2
2022-04-03,209,42,5,7,0,2
2022-04-04,109,43,2,7,0,2
2022-04-05,106,66,,6,1,2
2022-04-06,144,26,,4,0,1
2022-04-07,71,33,1,5,0,2
2022-04-08,80,29,6,5,0,2
2022-04-09,74,159,11,6,0,1
2022-04-10,62,87,17,6,0,2
2022-04-11,801,26,7,6,0,1
2022-04-12,,24,5,6,0,1
2022-04-13,78,28,14,6,0,2
2022-04-14,82,23,15,5,1,2
2022-04-15,69,31,19,5,0,2
2022-04-16,80,40,21,6,0,2
2022-04-17,100,52,24,7,0,3
2022-04-18,123,46,18,6,0,3
2022-04-19,108,31,10,6,0,2
2022-04-20,73,28,6,5,0,2
2022-04-21,62,93,13,5,0,1
2022-04-22,140,80,12,6,0,3
2022-04-23,133,76,22,6,0,3
2022-04-24,148,70,24,6,0,3
2022-04-25,151,67,28,6,0,3
2022-04-26,145,47,25,6,0,2
2022-04-27,103,50,25,6,0,3
2022-04-28,108,49,26,6,0,3
2022-04-29,109,54,33,7,0,4
2022-04-30,131,53,37,7,0,4
2022-05-01,131,44,21,7,0,3
2022-05-02,114,37,13,6,0,2
2022-05-03,90,41,20,8,0,4
2022-05-04,99,44,24,8,0,3
2022-05-05,109,58,18,6,0,3
2022-05-06,112,48,16,6,0,2
2022-05-07,120,50,22,7,0,3
2022-05-08,130,43,22,7,0,2
2022-05-09,114,40,27,7,0,2
2022-05-10,107,38,25,7,0,2
2022-05-11,105,40,26,8,0,3
2022-05-12,107,35,20,7,0,2
2022-05-13,103,38,18,7,0,3
2022-05-14,110,43,24,7,0,4
2022-05-15,125,71,21,7,0,3
2022-05-16,135,37,27,7,0,3
2022-05-17,103,58,26,7,0,2
2022-05-18,127,35,24,7,0,3
2022-05-19,107,39,28,7,0,4
2022-05-20,118,37,30,7,0,3
2022-05-21,109,39,30,8,0,3
2022-05-22,114,29,21,7,0,2
2022-05-23,83,24,21,8,0,3
2022-05-24,69,25,18,8,1,2
2022-05-25,81,53,19,7,0,2
2022-05-26,102,21,18,7,0,2
2022-05-27,65,17,20,7,0,2
2022-05-28,57,92,25,7,0,1
2022-05-29,122,25,24,8,0,1
2022-05-30,62,23,22,7,0,2
2022-05-31,63,35,25,7,0,2
2022-06-01,83,102,33,8,0,2
2022-06-02,83,,,,,
2022-06-03,,30,,8,0,
2022-06-04,87,35,29,7,0,2
2022-06-05,84,88,45,8,0,3
2022-06-06,152,55,51,8,0,3
2022-06-07,138,53,52,9,0,3
2022-06-08,142,55,50,9,0,3
2022-06-09,142,68,53,8,0,4
2022-06-10,140,98,38,8,0,3
2022-06-11,191,61,15,8,0,3
2022-06-12,157,,,,,
2022-06-13,,154,2,8,1,3
2022-06-14,209,99,5,8,0,3
2022-06-15,133,46,7,7,0,3
2022-06-16,98,48,23,6,0,2
2022-06-17,103,82,6,6,0,2
2022-06-18,132,49,19,6,0,3
2022-06-19,114,44,9,6,0,3
2022-06-20,112,39,15,6,0,3
2022-06-21,113,39,12,6,0,2
2022-06-22,107,40,11,6,0,3
2022-06-23,114,77,13,7,0,3
2022-06-24,152,46,15,6,0,2
2022-06-25,109,50,17,5,1,2
2022-06-26,116,49,15,6,0,2
2022-06-27,106,42,16,6,0,2
2022-06-28,93,37,15,6,0,2
2022-06-29,91,47,17,6,0,2
2022-06-30,111,,,,,
2022-09-29,,242,1,3,19,3
2022-09-30,165,12,5,0,9,2
2022-10-01,24,10,6,0,11,2
2022-10-02,18,19,5,0,9,1
2022-10-03,38,36,7,0,10,2
2022-10-04,100,18,8,0,9,1
2022-10-05,31,16,7,0,10,1
2022-10-06,30,16,7,0,10,1
2022-10-07,26,17,7,0,9,1
2022-10-08,25,15,6,0,9,1
2022-10-09,55,6,6,0,9,1
2022-10-10,11,78,5,0,10,1
2022-10-11,117,9,6,0,9,2
2022-10-12,27,119,7,0,11,1
2022-10-13,65,59,7,0,10,2
2022-10-14,55,11,7,0,9,1
2022-10-15,35,78,5,0,10,1
2022-10-16,61,10,8,0,9,2
2022-10-17,37,10,6,0,9,2
2022-10-18,27,51,7,0,9,1
2022-10-19,58,21,6,0,10,2
2022-10-20,70,64,8,0,10,2
2022-10-21,92,13,13,0,10,2
2022-10-22,67,50,16,1,9,3
2022-10-23,213,5,18,0,10,1
2022-10-24,11,5,15,0,9,1
2022-10-25,15,116,12,0,10,3
2022-10-26,175,42,9,0,10,2
2022-10-27,70,44,8,0,9,3
2022-10-28,96,31,8,0,9,2
2022-10-29,73,29,8,9,9,2
2022-10-30,72,19,9,10,9,1
2022-10-31,52,9,7,10,9,1
2022-11-01,27,16,8,11,9,2
2022-11-02,47,14,8,7,9,2
