time,pm25,pm10,O3,NO2,SO2,CO
2021-03-31,,,57,2,6,21
2021-04-01,169,,67,2,10,30
2021-04-02,156,,58,2,8,17
2021-04-03,165,,43,2,7,21
2021-04-04,147,,45,2,7,27
2021-04-05,153,,39,2,6,26
2021-04-06,140,,38,2,6,26
2021-04-07,101,,38,2,5,15
2021-04-08,102,,27,2,5,23
2021-04-09,120,,17,2,6,27
2021-04-10,124,,20,2,6,26
2021-04-11,160,,21,2,6,27
2021-04-12,132,,25,2,6,15
2021-04-13,151,,24,2,6,16
2021-04-14,162,,32,2,7,16
2021-04-15,141,,47,2,7,16
2021-04-16,190,,56,2,8,17
2021-04-17,198,,30,2,6,17
2021-04-18,223,,29,2,6,16
2021-04-19,163,,33,2,6,16
2021-04-20,162,,32,2,6,16
2021-04-21,155,,32,2,5,17
2021-04-22,169,,24,2,5,16
2021-04-23,201,,25,2,5,16
2021-04-24,144,,24,2,5,16
2021-04-25,153,,58,2,6,17
2021-04-26,165,,27,2,6,17
2021-04-27,149,,28,2,7,17
2021-04-28,,,28,2,6,16
2021-04-29,215,,22,2,5,16
2021-04-30,197,,37,2,6,15
2021-05-01,215,,29,2,8,16
2021-05-02,192,,29,2,5,16
2021-05-03,166,,29,2,,16
2021-05-04,153,,23,2,,16
2021-05-05,148,,24,2,,16
2021-05-06,163,,29,2,,16
2021-05-07,171,,35,2,,16
2021-05-08,182,,42,2,,16
2021-05-09,190,,38,2,,16
2021-05-10,179,,39,2,,16
2021-05-11,185,,31,2,,16
2021-05-12,177,,29,2,,16
2021-05-13,164,,39,2,,16
2021-05-14,140,,47,2,,16
2021-05-15,125,,48,2,9,15
2021-05-16,171,,48,2,,16
2021-05-17,173,,47,2,,16
2021-05-18,166,,32,2,,16
2021-05-19,163,,27,2,,15
2021-05-20,146,,45,2,,14
2021-05-21,154,,41,2,9,15
2021-05-22,136,,24,2,,15
2021-05-23,107,,24,2,3,12
2021-05-24,110,,22,2,7,17
2021-05-25,97,,20,2,,14
2021-05-26,,,31,2,8,7
2021-05-27,99,,25,2,8,10
2021-05-28,102,,25,2,,13
2021-05-29,127,,26,2,3,13
2021-05-30,134,,20,2,8,9
2021-05-31,117,,20,2,7,10
2021-06-01,113,,,,,
2021-06-02,,,47,2,8,8
2021-06-03,167,,45,2,8,13
2021-06-04,174,,48,2,6,13
2021-06-05,165,,,,,
2021-06-06,,,50,2,6,10
2021-06-07,163,,46,1,6,11
2021-06-08,120,,42,2,6,
2021-06-09,113,,40,2,,11
2021-06-10,111,,27,2,,
2021-06-11,117,,,,,
2021-06-21,,,19,2,8,13
2021-06-22,123,,20,2,,
2021-06-23,152,,,,,
2021-06-24,,,23,2,8,10
2021-06-25,135,,51,2,5,12
2021-06-26,61,,12,2,9,8
2021-06-27,93,,15,2,8,10
2021-06-28,121,,15,2,8,10
2021-06-29,117,,13,2,,
2021-06-30,137,,,,,
2021-07-01,,,12,2,9,8
2021-07-02,93,,15,2,8,10
2021-07-03,121,,15,2,8,10
2021-07-04,117,,13,2,,
2021-07-05,137,,41,2,7,10
2021-07-06,148,,73,2,9,10
2021-07-07,155,,125,1,25,10
2021-07-08,164,,146,2,7,9
2021-07-09,156,,39,2,6,11
2021-07-10,138,,35,2,9,10
2021-07-11,133,,27,2,,
2021-07-12,170,,28,2,,12
2021-07-13,162,,18,2,6,11
2021-07-14,146,,24,2,6,13
2021-07-15,166,,15,2,6,13
2021-07-16,147,,24,2,,11
2021-07-17,150,,80,2,,12
2021-07-18,162,,72,2,,
2021-07-19,142,,16,2,,11
2021-07-20,150,,20,2,7,12
2021-07-21,144,,52,2,,13
2021-07-22,157,,52,2,,13
2021-07-23,119,,53,2,,13
2021-07-24,156,,21,2,,10
2021-07-25,139,,25,2,9,
2021-07-26,158,,16,2,8,10
2021-07-27,145,,20,2,7,14
2021-07-28,152,,26,2,9,14
2021-07-29,152,,96,2,4,13
2021-07-30,152,,41,2,7,14
2021-07-31,161,,50,2,7,12
2021-08-01,163,,96,2,7,13
2021-08-02,147,,78,2,,13
2021-08-03,134,,80,2,,13
2021-08-04,106,,86,2,7,13
2021-08-05,133,,72,2,7,13
2021-08-06,,,78,2,7,13
2021-08-07,142,,101,2,7,13
2021-08-08,110,,64,2,7,13
2021-08-09,103,,67,2,6,13
2021-08-10,127,,75,2,7,13
2021-08-11,122,,65,2,7,13
2021-08-12,117,,73,2,7,13
2021-08-13,111,,74,2,6,13
2021-08-14,171,,131,2,6,13
2021-08-15,,,60,2,6,13
2021-08-16,173,,58,2,7,13
2021-08-17,152,,,2,8,13
2021-08-18,95,,,2,6,13
2021-08-19,89,,,2,,13
2021-08-20,53,,,2,,11
2021-08-21,72,,,2,,12
2021-08-22,,,,2,,
2021-08-23,,,22,1,,11
2021-08-24,86,,22,2,,
2021-08-25,97,,22,1,,11
2021-08-26,55,,16,2,,12
2021-08-27,55,,10,2,,13
2021-08-28,89,,19,2,,11
2021-08-29,102,,,2,,
2021-08-30,117,,25,2,,13
2021-08-31,147,,23,2,,12
2021-09-01,110,,35,2,0,13
2021-09-02,130,,27,2,7,12
2021-09-03,133,,31,2,7,14
2021-09-04,141,,31,2,7,12
2021-09-05,108,,21,2,6,11
2021-09-06,126,,24,1,7,12
2021-09-07,91,,26,2,,10
2021-09-08,85,,22,1,,12
2021-09-09,79,,19,2,,12
2021-09-10,95,,35,1,,
2021-09-11,82,,35,2,7,10
2021-09-12,61,,23,2,4,9
2021-09-13,73,,12,2,4,11
2021-09-14,70,,4,2,5,12
2021-09-15,57,,4,2,5,12
2021-09-16,58,,4,2,4,12
2021-09-17,54,,4,2,4,11
2021-09-18,60,,4,2,4,12
2021-09-19,60,,4,2,4,13
2021-09-20,69,,4,2,5,12
2021-09-21,77,,4,2,5,10
2021-09-22,78,,4,2,4,3
2021-09-23,92,,4,2,4,3
2021-09-24,100,,5,2,5,3
2021-09-25,81,,4,2,4,4
2021-09-26,68,,4,2,5,
2021-09-27,84,,4,2,4,3
2021-09-28,96,,4,2,5,3
2021-09-29,125,,4,2,4,8
2021-09-30,,,4,2,5,10
2021-09-30,116,,4,2,4,10
2021-10-01,201,,4,2,5,9
2021-10-01,201,,4,2,5,9
2021-10-02,114,,4,2,5,9
2021-10-02,114,,4,2,5,9
2021-10-03,93,,4,2,5,9
2021-10-03,93,,4,2,5,9
2021-10-04,83,,4,2,5,9
2021-10-04,83,,,,5,
2021-10-05,164,,4,2,5,9
2021-10-06,138,,4,2,5,9
2021-10-07,119,,4,2,5,9
2021-10-08,78,,4,2,4,9
2021-10-09,89,,4,2,5,9
2021-10-10,111,,4,2,5,9
2021-10-11,103,,4,2,5,9
2021-10-12,83,,4,2,5,9
2021-10-13,93,,4,2,5,9
2021-10-14,82,,4,1,5,9
2021-10-15,70,,4,2,5,9
2021-10-16,73,,4,2,5,9
2021-10-17,97,,4,2,4,9
2021-10-18,84,,4,2,5,9
2021-10-19,144,,4,2,5,9
2021-10-20,100,,4,2,5,10
2021-10-21,80,,4,2,5,10
2021-10-22,66,,4,2,5,10
2021-10-23,86,,4,2,5,10
2021-10-24,65,,4,2,5,9
2021-10-25,85,,4,2,5,9
2021-10-26,101,,4,2,5,9
2021-10-27,65,,18,2,5,9
2021-10-28,67,,4,2,4,10
2021-10-29,78,,4,2,5,9
2021-10-30,63,,4,1,5,10
2021-10-31,54,,4,2,5,10
2021-11-01,80,,4,2,5,10
2021-11-02,76,,4,2,5,10
2021-11-03,82,,4,1,5,7
2021-11-04,90,,4,2,5,6
2021-11-05,105,,38,1,6,7
2021-11-06,92,,39,1,5,8
2021-11-07,79,,38,1,6,8
2021-11-08,75,,39,2,5,9
2021-11-09,70,,40,1,6,11
2021-11-10,80,,39,2,5,11
2021-11-11,78,,24,2,6,11
2021-11-12,91,,25,2,6,12
2021-11-13,102,,25,2,6,13
2021-11-14,93,,25,2,5,13
2021-11-15,98,,25,1,6,13
2021-11-16,99,,24,1,6,11
2021-11-17,101,,25,2,6,12
2021-11-18,88,,42,1,5,14
2021-11-19,94,,54,1,5,12
2021-11-20,102,,50,1,6,10
2021-11-21,84,,42,2,5,10
2021-11-22,97,,43,1,6,10
2021-11-23,90,,41,1,6,11
2021-11-24,82,,42,2,5,13
2021-11-25,61,,41,1,6,
2021-11-26,91,,29,1,6,12
2021-11-27,92,,33,1,6,11
2021-11-28,93,,33,1,5,11
2021-11-29,69,,32,1,6,12
2021-11-30,81,,32,1,5,11
2021-12-01,88,,23,2,5,11
2021-12-02,76,,38,1,5,13
2021-12-03,100,,39,1,6,12
2021-12-04,84,,30,1,6,10
2021-12-05,112,,56,1,5,10
2021-12-06,97,,31,1,6,10
2021-12-07,153,,31,1,5,10
2021-12-08,71,,31,1,6,10
2021-12-09,79,,33,2,6,10
2021-12-10,86,,24,2,6,10
2021-12-11,87,,26,1,10,10
2021-12-12,80,,26,1,5,10
2021-12-13,57,,24,1,5,10
2021-12-14,55,,27,1,6,10
2021-12-15,57,,29,1,5,10
2021-12-16,53,,28,1,6,10
2021-12-17,93,,25,1,6,10
2021-12-18,72,,27,1,6,10
2021-12-19,112,,29,1,6,10
2021-12-20,112,,21,2,5,10
2021-12-21,93,,21,2,5,10
