time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,296,219,,,12,12
2021-01-02,269,,,,,
2021-02-01,,98,,,9,5
2021-02-02,190,104,,,10,4
2021-02-03,182,84,,,6,3
2021-02-04,166,,,,,
2021-03-15,,67,,,7,5
2021-03-16,127,88,,,1,5
2021-03-17,159,127,,,2,7
2021-03-18,195,106,,,2,12
2021-03-19,159,128,,,1,9
2021-03-20,176,127,,,2,13
2021-03-21,178,132,,,0,13
2021-03-22,183,145,,,0,14
2021-03-23,201,122,,,0,14
2021-03-24,188,112,,,0,10
2021-03-25,164,85,,,0,11
2021-03-26,134,75,,,0,8
2021-03-27,134,102,,,0,7
2021-03-28,182,,,,0,11
2021-04-06,,,,,0,1
2021-04-08,,,,,0,0
2021-04-09,,,,,0,0
2021-04-10,,55,,,,
2021-04-11,57,17,,,0,1
2021-04-12,78,8,,,0,1
2021-04-13,65,,,,0,1
2021-04-14,,29,,,,
2021-04-15,109,40,,,0,2
2021-04-16,176,39,,,0,11
2021-04-17,173,42,,,0,14
2021-04-18,185,36,,,0,13
2021-04-19,117,49,,,0,6
2021-04-20,83,84,,,0,6
2021-04-21,149,133,,,0,9
2021-04-22,149,133,,,0,12
2021-04-23,149,133,,,0,15
2021-04-24,149,133,,22,0,12
2021-04-25,149,,,10,0,11
2021-04-26,,,,,0,6
2021-04-27,,,,,0,8
2021-04-28,,,,,0,13
2021-04-29,,,,,0,9
2021-04-30,,,,,0,5
2021-05-01,,,,,0,8
2021-05-02,,,,,0,6
2021-05-03,,,,,0,8
2021-05-04,,,,,0,15
2021-05-05,,,,,0,14
2021-05-06,,,,,0,28
2022-06-30,,65,,,4,4
2022-07-01,85,55,,,,5
2022-07-02,101,51,,,,5
2022-07-03,93,52,,,6,5
2022-07-04,108,36,,,6,5
2022-07-05,90,100,,,7,6
2022-07-06,120,,,,6,5
2022-07-07,57,49,,,5,5
2022-07-08,70,36,,,5,5
2022-07-09,46,32,,,5,5
2022-07-10,33,33,,,6,5
2022-07-11,50,,,,5,5
2022-09-12,,36,,,5,5
2022-09-13,46,32,,,6,5
2022-09-14,33,33,,,5,5
2022-09-15,50,52,,,5,5
2022-09-16,65,58,,,6,5
2022-09-17,91,52,,,6,5
2022-09-18,,7,,,5,5
2022-09-20,,39,,,5,5
2022-09-21,,,,,6,5
2022-09-22,46,35,,,6,5
2022-09-23,30,7,,,6,5
2022-09-24,40,8,,,6,5
2022-09-25,27,40,,,6,5
2022-09-26,30,8,,,6,5
2022-09-27,39,,,,,
2022-09-28,31,,,,,
2022-10-04,,,,,6,5
2022-10-05,,,,,5,5
2022-10-06,87,,,,5,5
2022-10-07,73,,,,5,5
2022-10-08,54,8,,,6,5
2022-10-09,35,,,,6,5
2022-10-10,41,35,,,6,5
2022-10-11,26,6,,,5,5
