time,pm25,pm10,O3,NO2,SO2,CO
2022-09-28,,15,0,3,6,10
2022-09-29,41,18,0,2,6,10
2022-09-30,34,19,0,2,6,10
2022-10-01,38,23,0,2,6,10
2022-10-02,39,23,0,2,6,10
2022-10-03,45,32,0,2,6,10
2022-10-04,51,30,0,2,6,10
2022-10-05,50,28,0,2,6,10
2022-10-06,54,34,5,2,6,7
2022-10-07,60,23,5,3,6,4
2022-10-08,44,18,5,2,6,5
2022-10-09,39,18,5,2,6,5
2022-10-10,41,20,5,2,6,5
2022-10-11,47,19,5,2,6,5
2022-10-12,41,18,6,2,6,5
2022-10-13,43,19,31,3,6,5
2022-10-14,42,18,5,3,6,5
2022-10-15,46,17,16,3,6,5
2022-10-16,40,,,,,
2022-12-29,,17,16,3,6,5
2022-12-30,40,,,,,
2023-01-03,,32,5,2,6,5
2023-01-04,73,32,5,2,6,5
2023-01-05,76,20,5,2,6,5
2023-01-06,55,19,11,2,6,5
2023-01-07,47,18,5,2,6,5
2023-01-08,45,18,6,3,6,7
2023-01-09,46,18,,2,6,5
2023-01-10,36,17,5,2,6,5
2023-01-11,48,21,7,2,6,6
2023-01-12,48,17,6,2,6,5
2023-01-13,40,27,6,2,6,6
2023-01-14,56,27,6,2,6,5
2023-01-15,64,,,,,
2023-01-22,,61,6,0,9,4
2023-01-23,112,57,6,8,9,3
2023-01-24,95,71,6,8,9,3
2023-01-25,128,67,7,6,7,3
2023-01-26,112,63,7,0,4,3
2023-01-27,114,66,6,0,5,3
2023-01-28,126,68,6,,5,3
2023-01-29,114,79,6,1,5,3
2023-01-30,128,83,6,3,4,3
2023-01-31,152,46,6,3,5,3
2023-02-01,80,49,6,3,4,2
2023-02-02,96,49,7,3,4,3
2023-02-03,82,46,6,3,5,3
2023-02-04,63,54,6,3,4,3
2023-02-05,93,74,6,3,5,3
2023-02-06,132,77,6,3,4,3
2023-02-07,139,81,6,3,5,3
2023-02-08,142,83,5,3,4,3
2023-02-09,156,80,6,3,5,3
2023-02-10,156,85,6,3,5,3
2023-02-11,159,60,6,3,5,3
2023-02-12,110,42,6,3,5,3
2023-02-13,63,62,6,2,5,3
2023-02-14,105,87,6,0,5,4
2023-02-15,161,82,6,0,5,4
2023-02-16,146,84,6,1,5,4
2023-02-17,152,83,7,4,4,3
2023-02-18,152,93,6,0,5,4
2023-02-19,164,87,5,1,5,4
2023-02-20,165,74,6,0,5,4
2023-02-21,,53,6,1,4,3
2023-02-22,84,46,6,0,5,4
2023-02-23,75,48,6,0,4,3
2023-02-24,81,57,6,,5,4
2023-02-25,104,49,6,0,5,4
2023-02-26,95,48,6,,5,4
2023-02-27,99,78,6,4,4,4
2023-02-28,142,93,6,6,5,4
2023-03-01,164,89,6,6,5,4
2023-03-02,159,73,5,7,5,4
2023-03-03,134,60,6,8,5,4
2023-03-04,94,50,6,7,5,4
2023-03-05,77,,,,,
2023-03-06,,122,6,10,5,5
2023-03-07,180,100,6,6,5,4
2023-03-08,168,93,6,7,4,7
2023-03-09,166,73,6,6,5,4
2023-03-10,135,75,6,6,5,4
2023-03-11,144,50,6,6,5,4
2023-03-12,121,37,6,6,5,4
2023-03-13,71,38,6,7,5,4
2023-03-14,68,43,6,7,5,4
2023-03-15,73,46,6,7,5,4
2023-03-16,66,57,6,6,5,4
2023-03-17,79,67,6,6,5,4
2023-03-18,130,85,6,7,4,7
2023-03-19,162,74,6,7,5,4
2023-03-20,153,75,20,6,5,4
2023-03-21,137,72,19,7,5,4
2023-03-22,130,78,6,6,5,4
2023-03-23,133,82,6,6,5,5
2023-03-24,149,74,6,6,5,4
2023-03-25,137,77,6,6,5,5
2023-03-26,141,45,6,8,5,4
2023-03-27,76,44,6,6,5,4
2023-03-28,,76,6,7,5,5
2023-03-28,56,45,6,7,5,4
2023-03-29,140,67,6,6,5,5
2023-03-29,67,58,6,8,5,4
2023-03-30,122,61,6,7,5,4
2023-03-30,88,58,6,6,5,5
2023-03-31,107,64,7,7,4,4
2023-03-31,100,54,6,6,5,4
2023-04-01,109,65,6,7,5,4
2023-04-01,91,60,6,7,5,5
2023-04-02,133,70,6,7,5,5
2023-04-02,110,,,,,
2023-04-03,159,,6,6,5,5
2023-04-04,169,82,6,6,5,5
2023-04-05,140,88,6,6,5,5
2023-04-06,148,75,6,6,5,5
2023-04-07,131,82,6,6,5,5
2023-04-08,139,84,6,6,5,5
2023-04-09,149,91,6,7,5,5
