time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,46,43,12,7,3,2
2021-01-01,69,39,12,6,3,1
2021-01-02,56,41,11,7,3,1
2021-01-02,49,35,12,6,3,1
2021-01-03,53,42,11,8,3,1
2021-01-03,46,43,12,7,3,2
2021-01-04,42,40,14,7,3,1
2021-01-04,56,41,11,7,3,1
2021-01-05,58,41,19,8,5,2
2021-01-05,53,,,,,
2021-01-06,50,60,5,13,5,3
2021-01-07,93,94,3,17,3,9
2021-01-08,128,69,3,15,3,3
2021-01-09,104,66,5,13,3,2
2021-01-10,93,75,4,15,4,5
2021-01-11,107,61,10,10,3,2
2021-01-12,89,39,1,5,3,1
2021-01-13,47,40,0,7,3,2
2021-01-14,47,66,26,16,4,5
2021-01-15,96,86,17,18,3,5
2021-01-16,127,84,16,13,3,2
2021-01-17,125,78,7,18,4,8
2021-01-18,101,77,28,10,4,1
2021-01-19,128,27,7,5,3,0
2021-01-20,34,19,7,4,3,1
2021-01-21,26,29,4,6,4,1
2021-01-22,33,42,9,7,5,1
2021-01-23,59,59,11,9,4,4
2021-01-24,91,83,23,10,7,6
2021-01-25,141,94,30,12,7,4
2021-01-26,143,111,21,11,9,4
2021-01-27,162,86,22,8,8,3
2021-01-28,137,83,15,6,8,2
2021-01-29,129,83,17,5,6,2
2021-01-30,144,32,9,2,3,0
2021-01-31,44,40,12,4,3,2
2021-02-01,65,107,31,8,8,5
2021-02-02,150,132,26,11,10,5
2021-02-03,170,130,40,10,7,8
2021-02-04,163,129,30,11,6,5
2021-02-05,170,124,35,11,12,6
2021-02-06,169,106,23,10,9,5
2021-02-07,161,86,25,9,7,4
2021-02-08,132,78,23,7,6,3
2021-02-09,126,61,27,5,5,3
2021-02-10,105,78,19,7,9,2
2021-02-11,124,71,28,7,13,5
2021-02-12,110,94,26,6,7,4
2021-02-13,152,101,25,7,8,4
2021-02-14,162,102,22,9,7,5
2021-02-15,158,113,34,10,11,8
2021-02-16,170,130,30,9,9,4
2021-02-17,180,90,22,9,12,6
2021-02-18,155,95,16,8,10,5
2021-02-19,159,114,9,7,7,6
2021-02-20,177,105,25,8,5,5
2021-02-21,160,101,35,9,10,7
2021-02-22,148,113,22,10,6,5
2021-02-23,167,102,25,9,9,6
2021-02-24,153,111,17,9,7,6
2021-02-25,167,83,31,7,8,3
2021-02-26,133,93,24,8,6,5
2021-02-27,159,117,27,9,6,5
2021-02-28,171,126,27,12,8,7
2021-03-01,167,141,41,12,13,8
2021-03-02,176,142,25,13,9,8
2021-03-03,186,183,33,14,15,14
2021-03-04,203,255,27,15,14,16
2021-03-05,247,170,20,13,13,9
2021-03-06,204,142,24,10,10,7
2021-03-07,187,125,20,8,10,8
2021-03-08,176,136,24,6,8,9
2021-03-09,185,132,14,6,5,8
2021-03-10,182,112,30,6,7,8
2021-03-11,169,109,16,4,4,6
2021-03-12,172,124,22,6,5,6
2021-03-13,179,142,22,,7,10
2021-03-14,191,121,24,7,4,6
2021-03-15,181,110,31,12,8,8
2021-03-16,165,122,23,9,8,6
2021-03-17,171,140,26,12,9,8
2021-03-18,175,133,24,8,9,4
2021-03-19,177,119,24,9,7,4
2021-03-20,174,143,25,11,7,7
2021-03-21,194,223,32,7,13,11
2021-03-22,228,182,20,0,11,8
2021-03-23,225,178,35,1,11,10
2021-03-24,200,149,22,1,7,9
2021-03-25,186,141,24,1,8,7
2021-03-26,189,154,40,1,9,10
2021-03-27,194,182,26,1,8,9
2021-03-28,206,197,26,1,8,10
2021-03-29,224,248,39,1,11,15
2021-03-30,248,180,20,1,6,10
2021-03-31,284,135,29,1,11,7
2021-04-01,,94,32,1,9,11
2021-04-01,184,138,22,1,8,8
2021-04-02,149,127,24,1,8,9
2021-04-02,155,138,25,1,9,4
2021-04-03,171,173,40,17,10,18
2021-04-03,136,,,,,
2021-04-04,194,181,22,40,15,11
2021-04-05,210,130,32,33,11,9
2021-04-06,178,107,28,23,8,6
2021-04-07,166,117,20,26,10,7
2021-04-08,174,115,21,23,9,4
2021-04-09,173,98,46,18,8,4
2021-04-10,155,113,27,15,6,4
2021-04-11,171,116,41,19,7,5
2021-04-12,173,128,30,20,6,6
2021-04-13,180,143,37,22,7,7
2021-04-14,191,159,27,18,5,6
2021-04-15,201,297,25,22,7,11
2021-04-16,212,200,25,26,9,9
2021-04-17,234,109,23,24,12,7
2021-04-18,167,120,26,22,8,5
2021-04-19,178,120,26,22,6,5
2021-04-20,174,215,18,20,7,6
2021-04-21,184,163,30,20,6,6
2021-04-22,13,126,29,18,10,6
2021-04-23,100,118,16,17,7,7
2021-04-24,178,263,20,21,8,5
