time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,120,82,19,5,3,9
2021-01-01,123,71,15,5,4,5
2021-01-02,139,71,16,9,3,6
2021-01-02,120,82,19,5,3,9
2021-01-03,114,66,18,8,2,4
2021-01-03,139,71,16,9,3,6
2021-01-04,98,65,21,9,3,4
2021-01-04,114,66,18,8,2,4
2021-01-05,104,82,22,16,5,7
2021-01-05,98,,,,,
2021-01-06,120,91,22,11,4,7
2021-01-07,130,97,19,4,5,11
2021-01-08,143,124,24,7,5,10
2021-01-09,150,107,26,28,4,9
2021-01-10,150,111,4,16,2,5
2021-01-11,164,109,27,23,5,11
2021-01-12,148,128,31,15,5,10
2021-01-13,171,94,17,8,3,5
2021-01-14,141,110,27,8,4,4
2021-01-15,166,111,18,6,4,4
2021-01-16,164,108,30,5,4,3
2021-01-17,162,101,24,6,5,6
2021-01-18,153,82,19,8,5,7
2021-01-19,150,65,20,17,4,10
2021-01-20,138,65,24,6,4,6
2021-01-21,129,87,32,8,5,12
2021-01-22,148,118,34,6,5,14
2021-01-23,169,119,33,19,5,18
2021-01-24,172,80,29,12,4,8
2021-01-25,128,107,24,13,4,13
2021-01-26,162,178,31,22,7,16
2021-01-27,178,163,30,27,5,22
2021-01-28,177,172,30,25,6,18
2021-01-29,194,150,33,23,5,13
2021-01-30,185,147,20,20,5,12
2021-01-31,179,140,38,22,5,14
2021-02-01,181,153,24,25,6,20
2021-02-02,181,157,21,27,8,23
2021-02-03,184,158,26,31,4,16
2021-02-04,182,125,27,27,4,11
2021-02-05,174,144,21,29,6,16
2021-02-06,174,155,21,32,5,15
2021-02-07,176,188,41,34,5,17
2021-02-08,200,196,30,36,7,13
2021-02-09,203,197,22,30,7,13
2021-02-10,203,192,30,19,5,10
2021-02-11,209,153,20,24,4,7
2021-02-12,196,122,33,21,4,7
2021-02-13,178,161,30,28,6,16
2021-02-14,189,179,28,27,5,12
2021-02-15,212,155,22,14,5,9
2021-02-16,183,94,12,14,4,5
2021-02-17,161,73,21,9,5,3
2021-02-18,142,78,16,14,5,6
2021-02-19,141,82,16,20,3,4
2021-02-20,145,112,19,25,3,9
2021-02-21,164,140,21,23,4,11
2021-02-22,168,148,14,21,4,13
2021-02-23,178,184,23,19,4,9
2021-02-24,206,110,31,11,2,5
2021-02-25,148,156,26,10,2,7
2021-02-26,199,85,26,10,3,5
2021-02-27,131,83,8,13,3,8
2021-02-28,121,118,21,19,4,13
2021-03-01,168,121,22,21,4,11
2021-03-02,171,114,19,21,4,9
2021-03-03,163,109,19,22,5,11
2021-03-04,166,158,14,24,8,19
2021-03-05,190,144,12,22,5,16
2021-03-06,183,120,13,16,5,9
2021-03-07,164,107,14,14,4,4
2021-03-08,159,136,16,14,5,6
2021-03-09,174,122,14,18,6,9
2021-03-10,171,118,14,14,5,6
2021-03-11,164,111,10,11,4,4
2021-03-12,164,101,14,11,5,3
2021-03-13,142,105,16,8,5,3
2021-03-14,122,68,13,7,5,2
2021-03-15,128,79,8,9,5,3
2021-03-16,144,90,13,8,5,3
2021-03-17,159,100,10,8,5,6
2021-03-18,159,83,15,9,5,5
2021-03-19,130,94,16,12,6,5
2021-03-20,135,89,12,12,4,5
2021-03-21,153,103,10,16,7,5
2021-03-22,147,120,12,17,5,13
2021-03-23,157,116,10,16,4,8
2021-03-24,161,121,9,17,6,9
2021-03-25,159,96,14,13,5,8
2021-03-26,154,100,19,12,4,6
2021-03-27,163,123,25,16,5,14
2021-03-28,175,137,11,9,6,4
2021-03-29,173,181,9,14,5,14
2021-03-30,205,100,13,11,4,10
2021-03-31,152,93,17,9,3,7
2021-04-01,,135,12,12,5,10
2021-04-01,159,89,15,9,4,7
2021-04-02,178,117,10,6,4,6
2021-04-02,157,99,15,11,4,7
2021-04-03,167,103,11,8,4,10
2021-04-03,165,143,23,9,4,8
2021-04-04,152,76,9,12,3,6
2021-04-04,181,166,15,8,3,8
2021-04-05,135,92,14,11,2,8
2021-04-05,188,,,,,
2021-04-06,156,89,11,8,3,6
2021-04-07,159,80,13,9,2,5
2021-04-08,139,87,13,15,3,7
2021-04-09,143,110,15,21,3,10
2021-04-10,152,166,16,27,5,16
2021-04-11,166,104,16,22,3,12
2021-04-12,144,87,19,17,4,7
2021-04-13,144,85,18,13,3,7
2021-04-14,138,107,29,15,4,9
2021-04-15,147,118,18,9,3,7
2021-04-16,172,148,14,17,3,9
2021-04-17,190,105,14,14,5,10
2021-04-18,158,126,20,17,4,13
2021-04-19,167,139,22,15,3,11
2021-04-20,170,122,23,6,4,3
2021-04-21,167,147,15,8,4,5
2021-04-22,174,122,13,11,5,6
2021-04-23,166,124,13,10,4,5
2021-04-24,170,108,13,12,5,5
2021-04-25,156,102,17,13,4,5
2021-04-26,161,107,14,19,7,7
2021-04-27,163,154,16,17,8,12
2021-04-28,166,124,19,13,12,16
2021-04-29,156,128,17,16,4,15
2021-04-30,165,98,18,12,3,10
2021-05-01,151,121,20,13,4,10
2021-05-02,158,123,22,8,3,5
2021-05-03,164,102,14,8,4,6
2021-05-04,153,89,14,5,3,5
2021-05-05,144,115,18,4,4,11
2021-05-06,156,129,19,7,4,10
2021-05-07,156,128,21,11,4,8
2021-05-08,158,124,15,14,5,9
2021-05-09,158,92,25,10,3,5
2021-05-10,140,124,22,12,5,11
2021-05-11,173,113,30,12,4,9
2021-05-12,154,137,29,13,4,11
2021-05-13,162,140,22,17,5,11
2021-05-14,168,113,27,13,4,5
2021-05-15,156,92,24,15,4,9
2021-05-16,132,98,21,13,4,6
2021-05-17,146,96,22,15,3,7
2021-05-18,138,110,25,18,4,8
2021-05-19,164,122,33,18,4,9
2021-05-20,157,150,34,20,6,14
2021-05-21,167,127,30,15,5,7
2021-05-22,153,94,25,12,7,7
2021-05-23,138,103,29,10,4,9
2021-05-24,161,112,11,9,3,6
2021-05-25,154,119,17,7,4,4
2021-05-26,166,150,20,13,3,6
2021-05-27,170,127,25,17,3,6
2021-05-28,158,115,31,15,4,9
2021-05-29,161,163,32,21,5,12
2021-05-30,164,97,14,10,3,7
2021-05-31,128,106,18,13,5,9
2021-06-01,153,142,18,12,6,5
2021-06-02,175,125,18,5,6,4
2021-06-03,158,122,17,14,4,5
2021-06-04,161,141,20,16,3,5
2021-06-05,172,148,21,22,5,8
2021-06-06,166,102,16,11,3,4
2021-06-07,143,101,19,5,4,3
2021-06-08,146,229,26,6,6,3
2021-06-09,183,104,20,10,5,4
2021-06-10,153,170,22,18,5,9
2021-06-11,178,191,18,22,6,15
2021-06-12,192,218,23,22,7,13
2021-06-13,177,122,26,13,5,6
2021-06-14,160,115,22,12,6,5
2021-06-15,155,144,29,14,3,9
2021-06-16,152,142,30,16,5,7
2021-06-17,168,369,13,12,4,5
2021-06-18,297,568,22,9,3,4
2021-06-19,291,116,22,13,3,3
2021-06-20,158,112,25,16,3,5
2021-06-21,161,131,31,23,5,10
2021-06-22,177,169,29,17,4,7
2021-06-23,182,134,27,11,4,4
2021-06-24,154,125,21,7,3,5
2021-06-25,163,315,23,4,2,8
2021-06-26,216,264,24,3,2,6
2021-06-27,210,120,26,12,3,8
2021-06-28,163,137,25,21,4,9
2021-06-29,161,143,25,26,5,7
