time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,150,102,39,9,5,4
2021-01-01,129,95,34,8,6,4
2021-01-02,163,100,35,10,15,4
2021-01-02,150,102,39,9,5,4
2021-01-03,162,100,40,10,7,4
2021-01-03,163,100,35,10,15,4
2021-01-04,161,105,41,9,5,4
2021-01-04,162,100,40,10,7,4
2021-01-05,160,105,42,13,8,5
2021-01-05,161,,,,,
2021-01-06,163,116,44,16,7,5
2021-01-07,173,111,41,11,8,5
2021-01-08,164,115,42,11,5,6
2021-01-09,174,111,40,11,9,6
2021-01-10,175,126,42,13,6,7
2021-01-11,185,127,37,16,5,7
2021-01-12,187,122,29,24,18,11
2021-01-13,191,177,34,20,7,10
2021-01-14,233,174,34,20,8,9
2021-01-15,232,181,35,22,14,9
2021-01-16,211,215,40,22,7,12
2021-01-17,250,150,40,17,9,9
2021-01-18,210,143,40,17,8,9
2021-01-19,205,157,38,21,10,10
2021-01-20,210,146,43,26,10,10
2021-01-21,214,152,39,24,9,11
2021-01-22,214,152,37,30,6,11
2021-01-23,202,187,36,29,8,12
2021-01-24,241,172,40,24,8,13
2021-01-25,241,143,34,23,8,10
2021-01-26,205,145,40,22,8,9
2021-01-27,193,150,39,29,9,12
2021-01-28,200,152,35,31,5,12
2021-01-29,200,173,32,20,10,11
2021-01-30,232,186,33,13,11,12
2021-01-31,240,226,36,12,11,12
2021-02-01,267,224,33,21,12,13
2021-02-02,279,244,27,32,7,17
2021-02-03,277,340,32,31,14,17
2021-02-04,341,279,33,30,17,15
2021-02-05,313,159,33,21,11,9
2021-02-06,231,209,37,26,19,12
2021-02-07,265,263,35,38,13,17
2021-02-08,294,162,30,43,12,10
2021-02-09,211,129,32,37,6,9
2021-02-10,195,112,29,40,7,10
2021-02-11,179,145,30,45,8,13
2021-02-12,186,177,29,37,9,11
2021-02-13,234,203,33,30,18,11
2021-02-14,311,151,29,14,10,7
2021-02-15,238,50,17,12,6,5
2021-02-16,88,65,20,16,3,3
2021-02-17,112,84,28,23,8,7
2021-02-18,148,96,32,17,11,6
2021-02-19,165,107,31,17,10,5
2021-02-20,176,76,28,15,7,4
2021-02-21,142,88,30,18,11,4
2021-02-22,162,115,24,32,11,7
2021-02-23,180,139,28,38,9,10
2021-02-24,196,137,11,29,10,9
2021-02-25,200,51,14,12,8,3
2021-02-26,101,70,20,16,5,3
2021-02-27,146,88,28,25,8,6
2021-02-28,157,116,31,39,8,9
2021-03-01,175,157,34,47,8,12
2021-03-02,199,162,32,38,9,12
2021-03-03,223,158,37,26,11,8
2021-03-04,225,157,28,41,7,11
2021-03-05,210,154,22,30,7,9
2021-03-06,222,113,19,19,7,7
2021-03-07,183,129,26,21,8,9
2021-03-08,190,138,28,16,5,8
2021-03-09,201,154,16,24,5,13
2021-03-10,230,113,19,20,7,11
2021-03-11,193,85,17,21,19,4
2021-03-12,158,113,15,35,32,7
2021-03-13,170,90,14,21,37,6
2021-03-14,161,62,10,13,5,3
2021-03-15,126,65,10,9,2,3
2021-03-16,139,75,15,11,6,3
2021-03-17,158,79,12,11,13,5
2021-03-18,161,84,15,11,1,4
2021-03-19,165,98,25,14,4,6
2021-03-20,173,106,27,16,6,6
2021-03-21,177,113,26,17,7,7
2021-03-22,181,201,22,31,4,16
2021-03-23,257,196,24,39,5,18
2021-03-24,258,167,24,35,5,13
2021-03-25,232,145,24,27,5,9
2021-03-26,218,127,27,19,5,8
2021-03-27,199,148,14,24,4,14
2021-03-28,206,95,20,19,2,10
2021-03-29,170,122,18,10,2,5
2021-03-30,168,127,18,14,3,6
2021-03-31,178,100,9,16,1,8
2021-04-01,,68,14,15,4,4
2021-04-01,169,95,7,19,1,10
2021-04-02,144,33,9,10,3,2
2021-04-02,169,97,3,20,1,12
2021-04-03,83,48,11,10,2,4
2021-04-03,175,117,6,21,3,12
2021-04-04,101,75,7,8,2,4
2021-04-04,195,95,12,18,5,6
2021-04-05,154,72,14,10,4,4
2021-04-05,173,,,,,
2021-04-06,148,96,13,11,3,5
2021-04-07,166,85,10,8,1,4
2021-04-08,164,82,13,9,2,4
2021-04-09,162,108,11,13,2,6
2021-04-10,175,117,18,13,2,7
2021-04-11,185,107,7,16,2,10
2021-04-12,181,116,13,18,2,13
2021-04-13,184,78,9,11,1,10
2021-04-14,161,107,17,11,2,10
2021-04-15,178,116,16,12,3,10
2021-04-16,179,96,18,13,3,8
2021-04-17,174,93,18,9,2,7
2021-04-18,171,113,23,14,10,9
2021-04-19,184,109,11,15,2,9
2021-04-20,180,112,18,15,3,9
2021-04-21,182,116,10,11,1,8
2021-04-22,183,113,15,14,2,7
2021-04-23,176,125,22,12,3,7
2021-04-24,178,112,24,13,4,5
2021-04-25,168,136,13,18,3,12
2021-04-26,184,93,20,11,3,8
2021-04-27,172,105,25,9,6,8
2021-04-28,167,136,28,21,7,8
2021-04-29,185,127,24,22,4,9
2021-04-30,190,118,17,22,5,8
2021-05-01,176,128,21,15,5,9
2021-05-02,192,42,15,9,6,2
2021-05-03,93,44,17,12,6,3
2021-05-04,81,70,19,10,4,4
2021-05-05,138,90,23,11,5,5
2021-05-06,159,112,19,11,4,6
2021-05-07,171,158,16,14,4,8
2021-05-08,201,149,21,21,8,10
2021-05-09,212,120,15,18,15,8
2021-05-10,177,142,5,30,3,11
2021-05-11,200,101,13,35,2,13
2021-05-12,165,120,18,29,2,11
2021-05-13,182,112,17,33,2,10
2021-05-14,172,126,14,45,3,10
2021-05-15,182,118,17,43,4,11
2021-05-16,171,109,24,28,4,8
2021-05-17,174,89,14,22,2,10
2021-05-18,162,90,17,19,2,10
2021-05-19,164,104,21,16,3,8
2021-05-20,170,106,18,18,3,7
2021-05-21,171,113,21,28,4,8
2021-05-22,165,96,21,23,5,5
2021-05-23,158,92,19,20,5,4
2021-05-24,144,89,19,7,7,4
2021-05-25,135,71,18,1,6,3
2021-05-26,107,82,25,1,7,2
2021-05-27,106,96,25,2,6,3
2021-05-28,147,83,26,4,7,3
2021-05-29,132,80,25,8,5,3
2021-05-30,129,94,21,13,19,5
2021-05-31,152,92,28,7,6,4
2021-06-01,153,93,27,10,7,4
2021-06-02,153,105,24,15,7,5
2021-06-03,161,94,23,10,6,4
2021-06-04,134,110,24,19,11,6
2021-06-05,166,85,20,11,7,4
2021-06-06,140,107,28,9,8,6
2021-06-07,161,86,15,8,12,4
2021-06-08,136,72,20,9,10,3
2021-06-09,125,68,22,5,5,3
2021-06-10,124,83,18,5,3,3
2021-06-11,135,121,18,6,4,3
2021-06-12,159,136,19,7,5,3
2021-06-13,162,143,21,8,6,3
2021-06-14,168,118,22,7,11,4
2021-06-15,159,94,25,7,7,3
2021-06-16,149,88,27,11,13,4
2021-06-17,157,63,15,7,6,2
2021-06-18,115,68,9,10,13,2
2021-06-19,105,74,20,11,10,3
2021-06-20,123,67,20,5,9,2
2021-06-21,98,64,24,6,8,3
2021-06-22,109,80,28,8,9,3
2021-06-23,136,103,35,12,15,5
2021-06-24,157,128,25,12,11,8
2021-06-25,171,126,29,9,11,5
2021-06-26,164,92,25,6,7,2
2021-06-27,131,87,25,6,8,1
2021-06-28,128,87,24,8,7,2
2021-06-29,131,83,27,12,12,2
2021-06-30,129,74,27,7,6,2
2021-07-01,124,,,,,
2021-12-30,,65,31,7,5,3
2021-12-31,134,71,32,4,5,3
2022-01-01,149,60,36,3,3,2
2022-01-02,112,62,22,5,4,2
2022-01-03,111,44,30,4,3,2
2022-01-04,84,64,37,4,4,2
2022-01-05,120,80,52,4,7,3
2022-01-06,145,76,75,5,5,3
2022-01-07,149,,,,,
2022-01-08,,115,55,14,4,6
2022-01-09,167,118,27,16,4,6
2022-01-10,169,117,28,12,9,5
2022-01-11,157,125,66,9,5,5
2022-01-12,164,115,78,9,7,5
2022-01-13,163,123,82,10,7,6
2022-01-14,176,166,39,13,18,8
2022-01-15,208,82,11,7,5,4
2022-01-16,126,33,9,13,3,3
2022-01-17,66,80,53,10,7,5
2022-01-18,136,122,57,13,6,7
2022-01-19,178,175,62,16,7,8
2022-01-20,201,135,33,20,5,6
2022-01-21,167,178,45,25,15,9
2022-01-22,204,66,28,12,4,3
2022-01-23,118,53,36,14,5,3
2022-01-24,93,89,41,15,5,4
2022-01-25,135,127,54,18,7,5
2022-01-26,170,108,47,16,23,6
2022-01-27,158,131,47,18,2,8
2022-01-28,179,121,55,16,2,7
2022-01-29,183,185,59,26,2,11
2022-01-30,204,135,43,25,1,9
2022-01-31,180,107,48,18,1,6
2022-02-01,166,156,41,25,1,9
2022-02-02,180,255,44,26,9,10
2022-02-03,230,194,51,15,7,9
2022-02-04,284,167,55,19,8,9
2022-02-05,227,249,59,34,8,13
2022-02-06,275,306,62,38,8,14
2022-02-07,306,265,51,38,13,14
2022-02-08,276,189,51,31,6,12
2022-02-09,225,207,50,33,6,12
2022-02-10,232,176,44,32,6,11
2022-02-11,220,160,44,31,9,10
2022-02-12,211,169,46,33,9,10
2022-02-13,207,132,51,26,8,8
2022-02-14,181,140,48,28,9,9
2022-02-15,191,154,52,33,8,12
2022-02-16,189,138,50,34,4,11
2022-02-17,183,166,53,42,7,11
2022-02-18,196,139,57,38,7,11
2022-02-19,183,120,55,18,8,6
2022-02-20,177,112,49,14,7,5
2022-02-21,164,134,55,33,7,8
2022-02-22,182,130,47,30,5,8
2022-02-23,185,161,56,35,5,13
2022-02-24,193,140,45,34,8,12
2022-02-25,190,185,47,38,12,14
2022-02-26,210,186,48,37,6,14
2022-02-27,207,133,44,19,6,6
2022-02-28,179,149,53,27,7,10
2022-03-01,188,171,14,34,5,12
2022-03-02,203,154,8,24,6,9
2022-03-03,204,144,31,30,6,8
2022-03-04,195,124,33,36,4,8
2022-03-05,176,94,38,21,14,5
2022-03-06,156,77,31,20,6,4
2022-03-07,133,83,34,16,5,2
2022-03-08,142,102,41,24,7,6
2022-03-09,159,118,36,25,5,13
2022-03-10,177,109,40,19,6,4
2022-03-11,168,119,54,27,8,7
2022-03-12,175,172,43,40,7,12
2022-03-13,196,162,30,36,14,13
2022-03-14,206,120,40,21,4,8
2022-03-15,179,127,45,24,4,9
2022-03-16,182,120,32,18,5,8
2022-03-17,180,102,30,12,2,7
2022-03-18,172,111,34,12,4,8
2022-03-19,175,117,47,16,4,7
2022-03-20,176,151,44,31,5,11
2022-03-21,208,169,38,38,4,14
2022-03-22,208,162,44,42,4,13
2022-03-23,215,134,39,30,7,10
2022-03-24,186,135,30,35,5,12
2022-03-25,183,146,33,38,4,14
2022-03-26,204,136,15,28,5,12
2022-03-27,203,82,34,20,3,5
2022-03-28,145,100,23,27,2,7
2022-03-29,167,94,38,17,6,5
2022-03-30,163,100,40,23,10,7
2022-03-31,,116,44,23,3,8
2022-03-31,164,112,40,24,5,7
2022-04-01,179,150,17,28,9,10
2022-04-01,174,144,37,31,3,10
2022-04-02,204,128,14,21,10,10
2022-04-02,198,128,44,21,4,8
2022-04-03,195,61,15,13,1,4
2022-04-03,189,,,,,
2022-04-04,137,60,13,9,7,7
2022-04-05,147,34,19,3,6,2
2022-04-06,83,29,18,2,4,2
2022-04-07,52,48,21,2,4,3
2022-04-08,107,56,19,2,4,3
2022-04-09,131,72,19,3,7,5
2022-04-10,155,76,17,3,4,5
2022-04-11,161,87,20,2,9,4
2022-04-12,166,87,16,2,7,4
2022-04-13,162,84,16,2,4,4
2022-04-14,165,106,12,5,6,5
2022-04-15,180,98,20,3,3,6
2022-04-16,174,101,19,3,12,6
2022-04-17,177,86,11,4,4,8
2022-04-18,166,92,13,5,5,11
2022-04-19,169,78,24,2,5,6
2022-04-20,158,41,23,2,4,2
2022-04-21,102,60,11,10,4,4
2022-04-22,128,80,17,20,4,3
2022-04-23,151,83,26,19,38,4
2022-04-24,156,75,36,15,32,3
2022-04-25,152,84,43,17,8,3
2022-04-26,156,88,34,17,6,4
2022-04-27,166,84,43,17,7,3
2022-04-28,154,100,12,25,0,7
2022-04-29,173,87,20,20,1,8
2022-04-30,165,98,23,18,5,5
2022-05-01,172,71,30,12,2,2
2022-05-02,128,41,28,18,3,2
2022-05-03,78,59,31,22,3,3
2022-05-04,100,88,22,25,3,4
2022-05-05,140,101,42,36,4,5
2022-05-06,164,117,39,27,12,5
2022-05-07,173,118,24,15,6,5
2022-05-08,177,78,30,11,5,3
2022-05-09,146,77,38,10,10,3
2022-05-10,143,82,45,17,11,4
2022-05-11,148,109,46,35,10,6
2022-05-12,170,123,47,46,14,8
2022-05-13,175,135,45,42,25,7
2022-05-14,175,101,46,26,14,5
2022-05-15,169,95,37,19,42,4
2022-05-16,169,90,35,19,8,5
2022-05-17,164,86,40,16,11,4
2022-05-18,162,87,42,14,8,5
2022-05-19,163,95,42,19,6,5
2022-05-20,165,109,46,16,48,5
2022-05-21,166,99,40,25,22,5
2022-05-22,160,118,37,24,13,6
2022-05-23,174,77,38,19,23,3
2022-05-24,140,45,25,14,12,1
