time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,154,107,7,2,5,11
2021-01-02,158,117,7,2,6,12
2021-01-03,165,115,7,2,6,12
2021-01-04,163,117,7,3,9,12
2021-01-05,165,,,,,
2021-04-01,,71,,3,8,11
2021-04-02,115,64,,3,11,10
2021-04-03,109,66,,3,8,11
2021-04-04,114,89,,2,4,8
2021-04-05,155,116,,3,5,9
2021-04-06,164,142,,2,7,10
2021-04-07,178,125,,2,5,8
2021-04-08,169,113,,2,5,9
2021-04-09,166,131,,2,5,10
2021-04-10,173,181,,3,7,12
2021-04-11,273,244,,4,7,15
2021-04-12,298,326,,2,7,21
2021-04-13,279,167,,1,8,17
2021-04-14,196,137,,1,6,11
2021-04-15,182,226,,1,6,17
2021-04-16,245,161,,1,8,4
2021-04-17,187,131,,1,6,4
2021-04-18,171,153,,2,9,5
2021-04-19,178,189,,1,5,6
2021-04-20,198,146,,1,6,4
2021-04-21,180,,,,,
2021-05-15,,134,,4,12,8
2021-05-16,215,185,,3,11,4
2021-05-17,194,187,,3,9,4
2021-05-18,193,129,,3,14,5
2021-05-19,173,143,,3,7,4
2021-05-20,178,152,,1,9,5
2021-05-21,172,169,,3,12,7
2021-05-22,207,166,,3,11,2
2021-05-23,206,141,,2,14,5
2021-05-24,129,114,,2,8,5
2021-05-25,147,109,,3,5,5
2021-05-26,109,121,,3,12,4
2021-05-27,111,120,,3,14,3
2021-05-28,107,106,,2,9,4
2021-05-29,92,107,,2,10,6
2021-05-30,97,182,,3,15,4
2021-05-31,147,123,,2,11,4
2021-06-01,109,115,,2,11,4
2021-06-02,104,,,,,
2021-06-03,,183,,3,14,6
2021-06-04,235,188,,3,7,6
2021-06-05,154,140,,3,18,5
2021-06-06,131,211,,4,16,5
2021-06-07,144,201,,3,19,4
2021-06-08,156,154,,3,17,5
2021-06-09,126,100,,2,12,4
2021-06-10,85,120,,2,13,5
2021-06-11,113,180,,2,13,4
2021-06-12,133,191,,2,14,5
2021-06-13,146,214,,3,15,5
2021-06-14,151,154,,2,15,4
2021-06-15,129,124,,14,13,2
2021-06-16,269,151,,13,19,4
2021-06-17,129,147,,13,15,5
2021-06-18,120,147,,14,14,5
2021-06-19,131,131,,12,17,5
2021-06-20,115,91,,9,9,4
2021-06-21,77,97,,10,11,5
2021-06-22,83,130,,14,18,6
2021-06-23,124,194,,14,21,6
2021-06-24,138,165,,12,16,5
2021-06-25,139,203,,11,15,4
2021-06-26,150,150,,8,7,4
2021-06-27,70,140,,8,11,5
2021-06-28,138,94,,10,13,4
2021-06-29,175,136,,12,19,8
2021-06-30,116,110,,12,17,8
2021-07-01,,140,,8,11,5
2021-07-01,102,,,,,
2021-07-02,138,94,,10,13,4
2021-07-03,175,136,,12,19,8
2021-07-04,116,110,,12,17,8
2021-07-05,102,153,,14,22,8
2021-07-06,139,194,,10,15,7
2021-07-07,187,147,,10,13,9
2021-07-08,163,96,,10,15,8
2021-07-09,125,99,,11,16,8
2021-07-10,121,105,,12,19,9
2021-07-11,119,121,,12,17,9
2021-07-12,142,136,,12,20,8
2021-07-13,157,126,,10,16,8
2021-07-14,141,109,,7,24,8
2021-07-15,143,110,,8,8,5
2021-07-16,330,291,,7,,
2021-07-17,249,81,,9,13,8
2021-07-18,103,98,,8,16,8
2021-07-19,121,109,,9,17,9
2021-07-20,128,129,,10,21,8
2021-07-21,141,94,,7,12,8
2021-07-22,111,78,,8,10,8
2021-07-23,96,80,,9,10,8
2021-07-24,88,74,,7,13,9
2021-07-25,94,108,,9,19,9
2021-07-26,132,149,,15,20,10
2021-07-27,154,212,,16,26,11
2021-07-28,181,184,,14,22,8
2021-07-29,171,235,,10,17,8
2021-07-30,169,187,,14,17,8
2021-07-31,171,242,,10,13,8
2021-08-01,181,163,,8,15,8
2021-08-02,224,139,,8,15,8
2021-08-03,254,132,,8,13,8
2021-08-04,158,129,,7,10,8
2021-08-05,146,157,,6,8,8
2021-08-06,140,93,,7,12,9
2021-08-07,121,81,,7,9,7
2021-08-08,111,96,,8,12,8
2021-08-09,132,96,,9,13,9
2021-08-10,132,103,,9,12,8
2021-08-11,140,96,,8,9,9
2021-08-12,135,72,,7,11,8
2021-08-13,97,77,,8,12,7
2021-08-14,112,120,,9,17,8
