time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,97,57,31,4,5,4
2021-01-01,91,53,30,4,5,4
2021-01-02,85,43,35,6,4,5
2021-01-02,97,57,31,4,5,4
2021-01-03,80,42,24,5,4,4
2021-01-03,85,43,35,6,4,5
2021-01-04,85,50,27,5,4,5
2021-01-04,80,42,24,5,4,4
2021-01-05,88,34,23,5,3,5
2021-01-05,85,,,,,
2021-01-06,63,35,23,6,3,6
2021-01-07,64,53,29,7,3,5
2021-01-08,98,43,25,8,3,6
2021-01-09,84,34,21,4,3,4
2021-01-10,67,12,13,3,2,4
2021-01-11,31,11,10,4,3,4
2021-01-12,33,14,17,4,1,5
2021-01-13,38,16,14,7,1,5
2021-01-14,47,31,18,9,5,8
2021-01-15,65,25,28,4,3,4
2021-01-16,51,21,22,4,2,5
2021-01-17,42,22,23,2,3,4
2021-01-18,37,23,23,3,3,4
2021-01-19,43,27,15,5,3,6
2021-01-20,42,35,12,5,2,6
2021-01-21,40,76,38,4,6,6
2021-01-22,120,89,38,5,6,7
2021-01-23,155,85,42,6,5,7
2021-01-24,148,84,49,8,5,7
2021-01-25,145,80,53,6,6,6
2021-01-26,142,75,54,7,6,6
2021-01-27,125,77,49,9,6,8
2021-01-28,123,81,57,9,7,7
2021-01-29,116,86,65,9,7,7
2021-01-30,135,91,64,9,7,7
2021-01-31,146,91,65,7,7,7
2021-02-01,155,86,61,7,6,7
2021-02-02,155,63,44,5,5,6
2021-02-03,110,61,38,5,5,5
2021-02-04,112,60,36,4,12,6
2021-02-05,106,73,47,5,4,6
2021-02-06,135,85,73,6,6,9
2021-02-07,156,87,69,6,7,6
2021-02-08,155,83,69,8,8,6
2021-02-09,143,74,56,7,6,6
2021-02-10,133,40,23,5,3,5
2021-02-11,53,24,24,5,3,5
2021-02-12,37,51,50,6,6,5
2021-02-13,62,81,63,7,12,5
2021-02-14,114,65,47,5,7,5
2021-02-15,111,65,46,6,5,5
