time,pm25,pm10,O3,NO2,SO2,CO
2022-09-29,,29,5,0,4,0
2022-09-30,45,36,5,0,4,0
2022-10-01,47,38,5,0,4,0
2022-10-02,48,37,5,0,4,0
2022-10-03,42,39,5,0,4,0
2022-10-04,47,45,5,0,4,0
2022-10-05,53,43,5,0,4,0
2022-10-06,53,39,5,0,4,0
2022-10-07,53,48,5,1,4,0
2022-10-08,65,45,5,0,4,0
2022-10-09,57,39,5,0,4,0
2022-10-10,45,32,5,0,4,0
2022-10-11,26,33,5,0,4,0
2022-10-12,32,27,5,0,4,0
2022-10-13,37,,,,,
2022-12-29,,33,5,0,4,0
2022-12-30,32,27,5,0,4,0
2022-12-31,37,24,6,0,4,0
2023-01-01,29,29,6,0,4,1
2023-01-02,47,45,5,0,4,0
2023-01-03,68,50,6,0,4,1
2023-01-04,68,42,5,0,4,0
2023-01-05,60,44,5,1,4,0
2023-01-06,59,27,5,0,4,0
2023-01-07,58,25,5,1,4,0
2023-01-08,59,18,5,0,8,2
2023-01-09,35,18,5,0,4,4
2023-01-10,18,31,5,1,5,4
2023-01-11,31,17,5,0,5,3
2023-01-12,38,14,5,0,4,3
2023-01-13,24,16,5,0,5,2
2023-01-14,21,,,,,
2023-01-21,,14,5,0,5,1
2023-01-22,26,68,5,1,4,2
2023-01-23,134,59,5,1,4,1
2023-01-24,69,76,5,1,4,1
2023-01-25,117,59,5,1,4,1
2023-01-26,93,39,5,0,4,1
2023-01-27,54,37,5,0,4,0
2023-01-28,70,60,5,1,4,0
2023-01-29,127,48,5,0,4,1
2023-01-30,95,29,5,1,4,1
2023-01-31,38,24,5,0,4,1
2023-02-01,46,14,5,0,4,1
2023-02-02,21,14,5,0,4,1
2023-02-03,41,18,5,0,4,2
2023-02-04,32,44,5,1,4,1
2023-02-05,70,26,5,0,4,1
2023-02-06,35,36,5,1,4,0
2023-02-07,43,38,5,0,7,2
2023-02-08,59,25,5,0,4,4
2023-02-09,54,45,5,1,4,3
2023-02-10,41,17,5,0,4,2
2023-02-11,20,14,5,0,4,2
2023-02-12,22,33,5,1,4,3
2023-02-13,60,68,5,2,4,2
2023-02-14,141,75,5,2,4,2
2023-02-15,151,74,5,2,4,3
2023-02-16,151,74,5,1,4,1
2023-02-17,145,75,5,1,4,1
2023-02-18,142,73,5,1,4,1
2023-02-19,154,64,5,1,4,1
2023-02-20,137,52,5,1,4,1
2023-02-21,109,59,5,1,4,1
2023-02-22,111,58,5,1,4,3
2023-02-23,96,42,5,0,4,3
2023-02-24,67,44,5,0,4,4
2023-02-25,101,65,5,1,4,3
2023-02-26,121,65,5,2,4,2
2023-02-27,145,65,5,2,4,2
