time,pm25,pm10,O3,NO2,SO2,CO
2023-03-28,,,1,9,1,7
2023-03-29,152,69,5,6,0,5
2023-03-30,144,54,5,5,0,3
2023-03-31,106,38,2,5,0,3
2023-04-01,111,50,1,5,0,3
2023-04-02,133,54,1,5,1,4
2023-04-03,121,56,0,5,0,4
2023-04-04,147,47,3,4,1,3
2023-04-05,106,44,5,5,1,2
2023-04-06,100,48,5,6,0,3
2023-04-07,100,55,5,7,0,4
2023-04-08,116,43,7,7,0,3
2023-04-09,96,49,7,5,1,3
2023-04-10,108,58,6,7,1,4
2023-04-11,120,59,5,6,0,4
2023-04-12,117,59,5,5,0,3
2023-04-13,127,47,3,4,0,3
2023-04-14,118,28,3,4,1,2
2023-04-15,83,18,3,4,1,2
2023-04-16,62,26,4,4,1,2
2023-04-17,74,40,4,5,0,3
2023-04-18,80,49,5,6,0,3
2023-04-19,101,41,6,6,0,2
2023-04-20,92,29,8,5,0,1
2023-04-21,73,44,6,6,1,3
2023-04-22,91,53,6,7,1,3
2023-04-23,110,52,5,7,1,3
2023-04-24,107,58,8,7,0,4
2023-04-25,122,61,6,7,1,4
2023-04-26,128,51,4,6,1,2
2023-04-27,108,40,5,6,1,2
2023-04-28,88,42,7,6,1,3
2023-04-29,91,52,9,6,0,3
2023-04-30,109,60,9,8,1,4
2023-05-01,129,59,10,7,1,4
2023-05-02,121,56,7,7,0,3
2023-05-03,121,52,10,8,0,3
2023-05-04,109,58,11,7,1,3
2023-05-05,119,42,10,6,1,3
2023-05-06,99,35,9,5,1,1
2023-05-07,73,41,7,6,0,3
2023-05-08,86,46,6,6,1,3
2023-05-09,105,46,2,5,1,2
2023-05-10,109,28,3,4,0,2
2023-05-11,82,19,2,5,1,2
2023-05-12,62,13,3,3,1,0
2023-05-13,45,16,2,4,1,1
2023-05-14,55,27,4,5,1,2
2023-05-15,65,41,7,4,1,2
2023-05-16,94,34,3,3,1,2
2023-05-17,81,30,5,3,1,1
2023-05-18,80,24,5,4,1,1
2023-05-19,64,26,6,5,1,0
2023-05-20,51,30,9,5,1,1
2023-05-21,64,37,6,4,1,1
2023-05-22,77,,,,,
2023-06-27,,11,2,4,1,1
2023-06-28,37,16,2,4,1,1
2023-06-29,50,19,4,4,0,1
2023-06-30,56,28,7,3,0,1
2023-07-01,65,41,6,5,,2
2023-07-02,73,44,4,7,,2
2023-07-03,77,54,4,8,,3
2023-07-04,97,57,6,7,,2
2023-07-05,102,55,6,10,1,3
2023-07-06,82,59,7,11,0,2
2023-07-07,105,63,8,9,1,4
2023-07-08,117,58,6,8,0,3
2023-07-09,96,61,8,8,1,5
2023-07-10,84,64,7,8,0,4
2023-07-11,92,46,7,7,1,3
2023-07-12,90,48,6,8,0,3
2023-07-13,96,36,9,7,1,3
2023-07-14,68,19,5,6,0,2
2023-07-15,51,21,5,6,0,1
2023-07-16,56,23,5,7,0,1
2023-07-17,60,22,4,7,0,1
2023-07-18,51,21,6,6,0,1
2023-07-19,57,27,5,7,0,2
2023-07-20,68,22,6,5,0,1
2023-07-21,56,30,6,6,0,2
2023-07-22,66,23,7,6,1,2
2023-07-23,53,29,4,7,0,2
2023-07-24,59,23,5,6,0,2
2023-07-25,59,21,4,6,0,2
2023-07-26,55,20,6,7,0,1
2023-07-27,51,20,4,8,0,1
2023-07-28,54,21,4,6,0,2
2023-07-29,56,21,4,5,1,1
2023-07-30,56,16,3,6,1,1
2023-07-31,40,16,5,6,0,1
2023-08-01,39,20,6,6,0,1
2023-08-02,54,30,6,6,0,1
2023-08-03,57,31,7,6,1,1
2023-08-04,56,36,4,5,1,2
2023-08-05,67,37,3,6,0,1
2023-08-06,54,42,2,6,0,2
2023-08-07,61,40,,6,4,2
2023-08-08,66,15,1,5,4,1
2023-08-09,44,11,0,3,0,1
2023-08-10,32,8,0,4,0,1
2023-08-11,28,20,0,4,0,2
2023-08-12,48,19,0,4,0,1
2023-08-13,48,,,,0,
2023-08-15,,19,1,4,,1
2023-08-16,43,27,2,5,0,2
2023-08-17,57,28,0,4,1,1
2023-08-18,56,25,2,4,0,1
2023-08-19,49,19,2,4,0,1
2023-08-20,41,14,0,6,0,1
2023-08-21,39,19,0,6,0,2
2023-08-22,35,31,0,5,0,2
2023-08-23,61,36,0,7,0,2
